municipality,group,variable,month,Primer Control Post Parto,TOTAL
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2021-03-01,11,11
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
LA ASUNTA,atencion de partos en servicios,primer control post parto,2021-03-01,60,60
LA PAZ,atencion de partos en servicios,primer control post parto,2021-03-01,47,47
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2021-03-01,7,7
LAJA,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
LORETO,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
MACHARETI,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
MALLA,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
MOJOCOYA,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2021-03-01,27,27
MONTERO,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2021-03-01,1,1
OCURI,atencion de partos en servicios,primer control post parto,2021-03-01,10,10
ORURO,atencion de partos en servicios,primer control post parto,2021-03-01,39,39
PADILLA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
PASORAPA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2021-03-01,9,9
POROMA,atencion de partos en servicios,primer control post parto,2021-03-01,8,8
PORTACHUELO,atencion de partos en servicios,primer control post parto,2021-03-01,14,14
POTOSI,atencion de partos en servicios,primer control post parto,2021-03-01,112,112
PRESTO,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
PUERTO RICO,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
PUERTO SILES,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
PUNATA,atencion de partos en servicios,primer control post parto,2021-03-01,18,18
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2021-03-01,41,41
ROBORE,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2021-03-01,43,43
SABAYA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SACABA,atencion de partos en servicios,primer control post parto,2021-03-01,45,45
SACACA,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
SAMAIPATA,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2021-03-01,10,10
SAN BENITO,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
SAN BORJA,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2021-03-01,76,76
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2021-03-01,29,29
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SAN LUCAS,atencion de partos en servicios,primer control post parto,2021-03-01,27,27
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2021-03-01,8,8
SAN RAMON BENI,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
SANTA ANA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2021-03-01,227,227
SANTA ROSA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2021-03-01,10,10
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
SENA,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
SHINAOTA,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
SICAYA,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
SIPE SIPE,atencion de partos en servicios,primer control post parto,2021-03-01,8,8
SOPACHUY,atencion de partos en servicios,primer control post parto,2021-03-01,9,9
SUCRE,atencion de partos en servicios,primer control post parto,2021-03-01,31,31
TARABUCO,atencion de partos en servicios,primer control post parto,2021-03-01,11,11
TARIJA,atencion de partos en servicios,primer control post parto,2021-03-01,54,54
TARVITA,atencion de partos en servicios,primer control post parto,2021-03-01,8,8
TIAHUANACU,atencion de partos en servicios,primer control post parto,2021-03-01,14,14
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2021-03-01,33,33
TOLEDO,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
TOMAVE,atencion de partos en servicios,primer control post parto,2021-03-01,6,6
TORO TORO,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2021-03-01,1,1
TUPIZA,atencion de partos en servicios,primer control post parto,2021-03-01,12,12
TURCO,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2021-03-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2021-03-01,11,11
VIACHA,atencion de partos en servicios,primer control post parto,2021-03-01,31,31
VILLA MONTES,atencion de partos en servicios,primer control post parto,2021-03-01,16,16
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2021-03-01,1,1
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2021-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2021-03-01,4,4
VINTO,atencion de partos en servicios,primer control post parto,2021-03-01,13,13
VITICHI,atencion de partos en servicios,primer control post parto,2021-03-01,5,5
WALDO BALLIVIAN,atencion de partos en servicios,primer control post parto,2021-03-01,2,2
YACO,atencion de partos en servicios,primer control post parto,2021-03-01,3,3
YACUIBA,atencion de partos en servicios,primer control post parto,2021-03-01,52,52
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2021-03-01,4,4
