municipality,group,variable,month,N° de perros y gatos con vacuna antirrábica,TOTAL
TOCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,144,144
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,973,973
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,35,35
TOTORA(ORR),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,10,10
TURCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,58,58
VACAS,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,500,500
VIACHA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,117,117
VILA VILA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,140,140
VILLA RIVERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,800,800
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,90,90
VINTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,17089,17089
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-03-01,67,67
ACHOCALLA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,16,16
AIQUILE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,32,32
ALALAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,20,20
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,35,35
CAPINOTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,41,41
CHIMORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,20,20
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,46,46
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,114,114
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,247,247
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,10,10
COLOMI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,20,20
EL ALTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,49,49
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,11,11
GUANAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,30,30
HUAYLLAMARCA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,50,50
LA GUARDIA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,22,22
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,55,55
MIZQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,107,107
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,28,28
MOROCHATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,109,109
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,10,10
PALCA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,32,32
PALOS BLANCOS,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,6,6
PASORAPA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,11,11
POCONA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,140,140
POJO (CBBA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,80,80
PUERTO PEREZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,10,10
PUERTO VILLARROEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,164,164
PUNATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,158,158
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,136,136
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,327,327
SACABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,80,80
SAN BENITO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,60,60
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,25,25
SAN PEDRO DE QUEMES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,2,2
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,17,17
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,40,40
SICAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,8,8
SIPE SIPE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,426,426
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,205,205
TACOPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,39,39
TARATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,14,14
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,328,328
TOCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,32,32
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,25,25
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,16,16
TOTORA(ORR),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,10,10
VACAS,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,50,50
VIACHA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,8,8
VINTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,141,141
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-04-01,31,31
ACHOCALLA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,35,35
AIQUILE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,71,71
ALALAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,30,30
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,40,40
ARBIETO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,52,52
AYOPAYA (V. DE INDEPENDENCIA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,81,81
BOLIVAR,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,48,48
CAPINOTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,41,41
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,115,115
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,181,181
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,833,833
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,26,26
COLOMI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,10,10
EL ALTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,46,46
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,21,21
GUANAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,20,20
GUAQUI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,36,36
LA GUARDIA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,29,29
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,41,41
MIZQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,30,30
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,9,9
MOROCHATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,202,202
OCURI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,1,1
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,3,3
PALCA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,21,21
POCONA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,20,20
POJO (CBBA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,47,47
PUNATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,240,240
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,63,63
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,669,669
SACABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,80,80
SAN BENITO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,20,20
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,11,11
SAN PEDRO DE QUEMES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2020-05-01,2,2
