,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,33,43,2,6,35,49,84
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,274,213,10,4,284,217,501
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2017-01-01,205,199,1,2,206,201,407
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,61,64,5,4,66,68,134
BAURES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,135,86,3,1,138,87,225
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,15,9,0,0,15,9,24
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,17,0,0,21,17,38
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2017-01-01,80,70,3,1,83,71,154
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,801,667,40,35,841,702,1543
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,218,220,5,4,223,224,447
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2017-01-01,52,36,0,0,52,36,88
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,42,52,2,3,44,55,99
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,61,68,1,2,62,70,132
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,248,212,47,75,295,287,582
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,509,481,39,30,548,511,1059
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,120,119,29,32,149,151,300
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2017-01-01,102,77,3,0,105,77,182
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,138,159,10,16,148,175,323
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,27,39,0,0,27,39,66
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,91,80,3,0,94,80,174
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,117,111,2,1,119,112,231
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,38,33,0,3,38,36,74
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,569,505,85,76,654,581,1235
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,171,154,60,46,231,200,431
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,42,28,4,0,46,28,74
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,239,193,23,19,262,212,474
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,804,691,51,44,855,735,1590
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,1,4,0,0,1,4,5
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,265,226,19,3,284,229,513
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,75,52,15,0,90,52,142
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,57,57,5,4,62,61,123
CATACORA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,22,17,1,1,23,18,41
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,16,0,0,21,16,37
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,396,364,8,2,404,366,770
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,82,89,1,1,83,90,173
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,562,599,18,22,580,621,1201
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,14,15,0,1,14,16,30
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,111,127,0,0,111,127,238
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,548,552,28,30,576,582,1158
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,8,9,1,2,9,11,20
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,6,3,0,0,6,3,9
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,11,10,4,2,15,12,27
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2017-01-01,193,186,15,14,208,200,408
CHUMA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,60,70,1,0,61,70,131
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,57,41,0,0,57,41,98
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,146,136,0,0,146,136,282
CLIZA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,171,127,33,32,204,159,363
COBIJA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,660,577,56,32,716,609,1325
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,352,370,5,7,357,377,734
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,7254,6764,2694,2463,9948,9227,19175
COIPASA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,8,0,0,21,8,29
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,410,373,206,155,616,528,1144
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2017-01-01,175,186,16,16,191,202,393
COLLANA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,17,22,2,0,19,22,41
COLOMI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,215,199,11,11,226,210,436
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,94,96,45,49,139,145,284
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,301,273,1,0,302,273,575
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,71,63,19,9,90,72,162
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,143,166,4,10,147,176,323
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,16,10,0,0,16,10,26
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,163,147,17,11,180,158,338
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,17,11,1,1,18,12,30
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2017-01-01,241,201,25,21,266,222,488
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,52,49,13,17,65,66,131
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,242,198,29,19,271,217,488
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,33,45,5,1,38,46,84
COROICO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,168,181,13,15,181,196,377
CORQUE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,59,76,1,2,60,78,138
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,250,239,17,18,267,257,524
COTOCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,809,709,24,23,833,732,1565
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,6,2,0,0,6,2,8
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,289,250,27,21,316,271,587
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2017-01-01,24,18,7,5,31,23,54
CUEVO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,73,67,25,33,98,100,198
CULPINA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,162,164,2,1,164,165,329
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,27,26,2,1,29,27,56
CURVA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,29,34,1,0,30,34,64
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,17,1,0,22,17,39
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,6707,6104,2072,2206,8779,8310,17089
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,44,27,1,2,45,29,74
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2017-01-01,190,188,2,4,192,192,384
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,134,102,21,9,155,111,266
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,1009,974,284,320,1293,1294,2587
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2017-01-01,62,67,2,0,64,67,131
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,288,254,14,17,302,271,573
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,590,494,64,57,654,551,1205
ESCARA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,5,5,0,0,5,5,10
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,42,35,24,19,66,54,120
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,10,9,1,1,11,10,21
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,53,31,2,1,55,32,87
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2017-01-01,25,23,0,1,25,24,49
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2017-01-01,62,67,0,0,62,67,129
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,195,175,70,48,265,223,488
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,174,143,0,2,174,145,319
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,260,241,54,58,314,299,613
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2017-01-01,84,54,16,15,100,69,169
GUANAY,consulta externa,ninos  de 1 a 4 anos,2017-01-01,195,182,57,55,252,237,489
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,30,25,2,0,32,25,57
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2017-01-01,789,738,24,25,813,763,1576
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,362,339,19,37,381,376,757
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,151,138,0,4,151,142,293
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,61,83,17,16,78,99,177
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,55,40,4,2,59,42,101
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,268,176,32,24,300,200,500
HUARACAJE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,59,79,2,1,61,80,141
HUARINA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,28,27,27,28,55,55,110
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,10,10,26,10,36,20,56
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,34,28,1,1,35,29,64
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,12,23,0,0,12,23,35
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,30,38,0,0,30,38,68
ICLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,194,200,3,4,197,204,401
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,204,194,1,1,205,195,400
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,35,29,0,0,35,29,64
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,88,82,4,5,92,87,179
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,231,163,18,14,249,177,426
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,181,183,1,1,182,184,366
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,80,84,53,72,133,156,289
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,519,492,11,12,530,504,1034
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,1317,1081,124,183,1441,1264,2705
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,7073,6451,2039,1865,9112,8316,17428
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,3,6,0,0,3,6,9
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,132,139,3,4,135,143,278
LAJA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,108,85,8,6,116,91,207
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,48,48,0,1,48,49,97
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,32,37,18,30,50,67,117
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,564,498,7,5,571,503,1074
LLICA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,26,24,0,0,26,24,50
LORETO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,66,60,6,3,72,63,135
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2017-01-01,74,61,16,7,90,68,158
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,42,36,5,0,47,36,83
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,141,135,3,2,144,137,281
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,195,182,7,10,202,192,394
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,138,107,12,5,150,112,262
MALLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,22,13,1,1,23,14,37
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,147,153,12,4,159,157,316
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,85,86,3,4,88,90,178
MINEROS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,236,283,43,44,279,327,606
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,328,296,22,13,350,309,659
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,57,48,5,1,62,49,111
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,11,14,1,1,12,15,27
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,93,55,28,28,121,83,204
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,359,326,25,20,384,346,730
MONTERO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,2101,1941,290,304,2391,2245,4636
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,26,16,3,1,29,17,46
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,100,91,2,1,102,92,194
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,72,54,1,2,73,56,129
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,4,2,0,0,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,55,55,1,1,56,56,112
OCURI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,158,166,2,4,160,170,330
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,181,183,10,15,191,198,389
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,111,89,5,3,116,92,208
ORURO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,3142,2693,390,378,3532,3071,6603
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,274,235,12,12,286,247,533
PADILLA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,207,156,15,18,222,174,396
PAILON,consulta externa,ninos  de 1 a 4 anos,2017-01-01,303,332,30,31,333,363,696
PALCA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,134,106,3,2,137,108,245
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,373,391,153,178,526,569,1095
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,33,23,0,0,33,23,56
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,123,95,10,1,133,96,229
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,52,34,1,0,53,34,87
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,31,28,3,0,34,28,62
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,212,198,2,2,214,200,414
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,46,57,3,6,49,63,112
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,94,77,0,1,94,78,172
POCOATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,142,140,1,0,143,140,283
POCONA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,130,111,0,5,130,116,246
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,152,111,5,5,157,116,273
POOPO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,63,44,5,8,68,52,120
PORCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,108,76,1,0,109,76,185
POROMA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,232,250,0,0,232,250,482
PORONGO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,129,121,6,4,135,125,260
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,267,274,5,3,272,277,549
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2017-01-01,89,73,5,1,94,74,168
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,16,9,5,5,21,14,35
POTOSI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,2662,2208,209,178,2871,2386,5257
PRESTO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,127,131,1,2,128,133,261
PUCARA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,18,1,4,22,22,44
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,134,111,8,4,142,115,257
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,55,45,1,0,56,45,101
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,49,70,15,16,64,86,150
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,187,152,3,4,190,156,346
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,21,35,0,2,21,37,58
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,114,87,20,17,134,104,238
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,158,153,2,0,160,153,313
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,29,25,0,1,29,26,55
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,238,212,26,25,264,237,501
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2017-01-01,966,881,24,31,990,912,1902
PUNA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,124,115,2,0,126,115,241
PUNATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,364,244,80,45,444,289,733
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,53,56,11,17,64,73,137
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,1558,1347,998,1094,2556,2441,4997
QUIME,consulta externa,ninos  de 1 a 4 anos,2017-01-01,78,80,1,1,79,81,160
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,10,13,0,0,10,13,23
RAVELO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,132,125,0,0,132,125,257
REYES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,175,167,13,20,188,187,375
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,896,850,166,145,1062,995,2057
ROBORE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,228,178,2,7,230,185,415
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2017-01-01,346,308,17,18,363,326,689
SABAYA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,71,63,6,1,77,64,141
SACABA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,1624,1408,221,231,1845,1639,3484
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,24,24,3,3,27,27,54
SACACA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,191,192,0,1,191,193,384
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,67,76,14,11,81,87,168
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,133,130,10,2,143,132,275
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,141,106,2,1,143,107,250
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2017-01-01,36,20,4,1,40,21,61
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,191,201,23,33,214,234,448
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,34,24,0,0,34,24,58
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,26,15,2,3,28,18,46
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,163,154,0,6,163,160,323
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,92,84,50,38,142,122,264
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,729,710,25,29,754,739,1493
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,201,196,9,9,210,205,415
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,239,238,26,29,265,267,532
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,486,413,74,70,560,483,1043
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,621,630,25,26,646,656,1302
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2017-01-01,43,39,8,11,51,50,101
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2017-01-01,81,87,1,0,82,87,169
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2017-01-01,109,86,1,0,110,86,196
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,263,247,33,33,296,280,576
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,187,163,48,271,235,434,669
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2017-01-01,510,493,243,207,753,700,1453
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2017-01-01,160,175,2,1,162,176,338
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2017-01-01,281,247,81,64,362,311,673
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,322,277,8,3,330,280,610
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2017-01-01,152,122,13,9,165,131,296
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,130,123,24,19,154,142,296
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,46,51,2,1,48,52,100
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2017-01-01,386,397,20,31,406,428,834
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,221,215,1,2,222,217,439
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,69,55,4,2,73,57,130
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2017-01-01,8,12,0,0,8,12,20
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,20,25,37,42,57,67,124
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2017-01-01,47,52,2,0,49,52,101
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2017-01-01,113,109,17,31,130,140,270
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,84,88,3,6,87,94,181
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2017-01-01,133,1,2,4,135,5,140
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,283,227,77,68,360,295,655
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,13222,11713,3153,3156,16375,14869,31244
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,122,117,3,2,125,119,244
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,288,275,32,31,320,306,626
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2017-01-01,19,15,7,7,26,22,48
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2017-01-01,118,108,3,2,121,110,231
