municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,17,17
COTOCA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,8,8
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
INCAHUASI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,14,14
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,4,4
POCOATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
PUNA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,4,4
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
QUIRUSILLAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
SAN JAVIER(STC),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,24,24
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,2,2
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
VALLEGRANDE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-02-01,1,1
APOLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,13,13
COMARAPA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,5,5
EL TORNO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,20,20
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,5,5
OCURI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,6,6
PORTACHUELO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,4,4
PUERTO SILES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,4,4
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
SAN IGNACIO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,14,14
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,7,7
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,3,3
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,2,2
VILLAZON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-03-01,1,1
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
CARAPARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,9,9
COMARAPA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
CONCEPCION,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,5,5
EUCALIPTUS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,11,11
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,10,10
POCONA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
POJO (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
RURRENABAQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
SANTA ANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,18,18
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,5,5
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,5,5
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
VACAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,2,2
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,4,4
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-04-01,3,3
ANCORAIMES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,4,4
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,16,16
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
COTOCA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
CULPINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
DESAGUADERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,7,7
HUANUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
IXIAMAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
LA ASUNTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,24,24
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,4,4
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,2,2
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,2,2
SAN LORENZO(TJA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
SAN PEDRO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,17,17
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,5,5
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,3,3
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,2,2
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,12,12
VILLAZON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-05-01,1,1
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
BATALLAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
CAPINOTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,16,16
CULPINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,11,11
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
HUANUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
LA ASUNTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,19,19
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,6,6
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,5,5
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,3,3
TOLEDO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
UNCIA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,2,2
UYUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
ZUDAÑEZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-06-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,3,3
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,10,10
CULPINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
DESAGUADERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,14,14
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
HUANUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,13,13
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,7,7
OCURI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,11,11
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,2,2
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
PUERTO QUIJARRO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,12,12
SANTIAGO DE HUARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,4,4
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,2,2
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-07-01,3,3
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,2,2
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,3,3
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,3,3
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,9,9
COPACABANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,3,3
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,2,2
HUANUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,10,10
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,3,3
MOJOCOYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,5,5
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,7,7
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,4,4
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,4,4
RURRENABAQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
SAN JAVIER(STC),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,9,9
SIPE SIPE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,9,9
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,2,2
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,2,2
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
VILLA RIVERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,3,3
YOTALA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,2,2
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
BATALLAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
BETANZOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,3,3
BUENA VISTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
CHALLAPATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,2,2
CHAYANTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,9,9
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,11,11
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,12,12
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,2,2
MAGDALENA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2005-09-01,3,3
