municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
COIPASA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,174,174
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,82,82
COLLANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,14,14
COLOMI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,147,147
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,22,22
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,252,252
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,47,47
COMANCHE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,11,11
COMARAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,34,34
COMBAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
CONCEPCION,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
COPACABANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,26,26
CORIPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,100,100
CORO CORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
CORQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,35,35
COTAGAITA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,160,160
COTOCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,57,57
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,3,3
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
CUEVO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,19,19
CULPINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,116,116
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,34,34
CURVA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,19,19
DESAGUADERO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,32,32
EL ALTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
EL CHORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,30,30
EL PUENTE(STC),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,119,119
EL PUENTE(TJA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,75,75
EL TORNO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
EL VILLAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,18,18
ENTRE RIOS TRJ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,177,177
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,352,352
ESCARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,2,2
ESCOMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,24,24
EUCALIPTUS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,38,38
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,85,85
FILADELFIA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
GENERAL SAAVEDRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,25,25
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,72,72
GUANAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,57,57
GUAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,33,33
GUAYARAMERIN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,306,306
GUTIERREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
HUACARETA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,70,70
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,14,14
HUANUNI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,119,119
HUAYLLAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
HUMANATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,23,23
ICHOCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,27,27
ICLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,53,53
INCAHUASI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,62,62
INQUISIVI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,48,48
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
IXIAMAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,28,28
JESUS DE MACHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,46,46
LA ASUNTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,122,122
LA GUARDIA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,203,203
LA PAZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,375,375
LAJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,132,132
LAS CARRERAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
LICOMA PAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,14,14
LLALLAGUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,335,335
LLICA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,16,16
LORETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,5,5
LURIBAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,45,45
MACHACAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
MACHARETI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,15,15
MAGDALENA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
MALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,5,5
MAPIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,18,18
MECAPACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
MINEROS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,108,108
MIZQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,252,252
MOCOMOCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,70,70
MOJINETE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
MOJOCOYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,49,49
MONTEAGUDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,96,96
MONTERO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,20,20
MORO MORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
MOROCHATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,71,71
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,20,20
OCURI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,87,87
OKINAWA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
OMEREQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,46,46
ORURO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,710,710
PADCAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,45,45
PADILLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
PAILON,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
PALCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,47,47
PALOS BLANCOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,6,6
PAMPA GRANDE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,4,4
PAPEL PAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,25,25
PASORAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,14,14
PATACAMAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,79,79
PAZÑA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,28,28
PELECHUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,36,36
POCOATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,151,151
POCONA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,69,69
POOPO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,48,48
PORCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,105,105
POROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,72,72
PORONGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
PORTACHUELO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
PORVENIR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,64,64
POSTRER VALLE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,12,12
POTOSI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1463,1463
PRESTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,43,43
PUCARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
PUCARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,209,209
PUERTO CARABUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,27,27
PUERTO GONZALO MORENO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,41,41
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,128,128
PUERTO VILLARROEL,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,459,459
PUNA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,126,126
PUNATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,45,45
QUIABAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,19,19
QUILLACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,454,454
QUIME,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,43,43
QUIRUSILLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,10,10
RAVELO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,97,97
REYES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,213,213
ROBORE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,124,124
RURRENABAQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
SABAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
SACABA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,999,999
SACABAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,22,22
SACACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,150,150
SAIPINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,38,38
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,52,52
SAMAIPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,69,69
SAN AGUSTIN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,7,7
SAN ANDRES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,2,2
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,14,14
SAN BENITO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
SAN BORJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,383,383
SAN CARLOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,18,18
SAN IGNACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,98,98
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,343,343
SAN JAVIER(STC),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,127,127
SAN JOAQUIN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,8,8
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,28,28
SAN JULIAN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,135,135
SAN LORENZO(PND),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,70,70
SAN LUCAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,206,206
SAN MATIAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1,1
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,2,2
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,17,17
SAN PEDRO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,114,114
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,195,195
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,16,16
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,3,3
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,12,12
SAN PEDRO(PND),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,17,17
SAN RAFAEL,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,49,49
SAN RAMON BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,16,16
SAN RAMON SCZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,74,74
SANTA ANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,20,20
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,1855,1855
SANTA ROSA DEL SARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,45,45
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,19,19
SANTIAGO DE HUARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,52,52
SANTIAGO DE HUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,22,22
SANTIAGO DE MACHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
SANTIVAÑES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,42,42
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,28,28
SAPAHAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,47,47
SENA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,81,81
SHINAOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,76,76
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,66,66
SICAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,29,29
SIPE SIPE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,362,362
SOPACHUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,33,33
SORACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,72,72
SORATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,13,13
SUCRE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,328,328
TACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,6,6
TACACOMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,36,36
TACOBAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,73,73
TACOPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,15,15
TAHUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,6,6
TAPACARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,176,176
TARABUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,90,90
TARATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,65,65
TARIJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,276,276
TARVITA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,49,49
TEOPONTE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,15,15
TIAWANACU,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,11,11
TINGUIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,128,128
TIPUANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,44,44
TIQUIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,183,183
TIRAQUE (CBBA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,63,63
TOCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,58,58
TOLATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2017-01-01,25,25
