municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
CLIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
COBIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,77,77
COCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,20,20
COCHABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,156,156
COLCAPIRHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,27,27
"COLCHA ""K""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
COLLANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
COLOMI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
COLQUECHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,39,39
COLQUENCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
COLQUIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
COMANCHE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
COMARAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,36,36
COMBAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
COPACABANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
CORIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
CORO CORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
COROICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
CORQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
COTAGAITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,19,19
COTOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
CUATRO CAÑADAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,24,24
CUEVO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
CULPINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,19,19
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
CURVA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
EL ALTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,846,846
EL CHORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
EL PUENTE(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
EL PUENTE(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
EL TORNO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,44,44
EL VILLAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
ENTRE RIOS TRJ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,22,22
ENTRE RIOS CBBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,23,23
ESCOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
EUCALIPTUS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
EXALTACION,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
FILADELFIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
GENERAL SAAVEDRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
GUANAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
GUAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
GUAYARAMERIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
GUTIERREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
HUACARETA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
HUANUNI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,24,24
HUARACAJE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
HUARINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
HUAYLLAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
HUMANATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
ICHOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
ICLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
INCAHUASI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
INGAVI (HUMAITA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
INQUISIVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
IXIAMAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
JESUS DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
LA ASUNTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,50,50
LA GUARDIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,56,56
LA PAZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,606,606
LA RIVERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
LAGUNILLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
LAJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,24,24
LAS CARRERAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
LICOMA PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
LLALLAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,52,52
LLICA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
LORETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
LURIBAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
MACHACAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
MACHARETI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
MAGDALENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
MAIRANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
MALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
MAPIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
MECAPACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
MINEROS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
MIZQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,32,32
MOCOMOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
MOJINETE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
MOJOCOYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
MONTEAGUDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,46,46
MONTERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,64,64
MOROCHATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
NAZACARA DE PACAJES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
OCURI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
OKINAWA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
OMEREQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
ORURO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,388,388
PADCAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
PADILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,16,16
PAILON,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,34,34
PALCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
PALOS BLANCOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
PAMPA AULLAGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
PAMPA GRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
PAPEL PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
PASORAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
PATACAMAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,38,38
PAZÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
PELECHUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
POCOATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,41,41
POCONA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
POJO (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
POOPO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
PORCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
POROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
PORONGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
PORTACHUELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
PORVENIR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
POTOSI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,294,294
PRESTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
PUCARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,23,23
PUERTO ACOSTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
PUERTO CARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
PUERTO GONZALO MORENO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
PUERTO PEREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
PUERTO QUIJARRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
PUERTO RICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
PUERTO SUAREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,40,40
PUERTO VILLARROEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
PUNA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
PUNATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,35,35
QUIABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
QUILLACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,161,161
QUIME,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
RAVELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,13,13
REYES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
RIBERALTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,57,57
ROBORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
RURRENABAQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,43,43
SABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SACABA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,117,117
SACABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SACACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,25,25
SAIPINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
SAMAIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SAN AGUSTIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
SAN BENITO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
SAN BORJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,72,72
SAN BUENA VENTURA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
SAN CARLOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,21,21
SAN IGNACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,37,37
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,57,57
SAN JAVIER(BNI),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SAN JAVIER(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,19,19
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,20,20
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
SAN JULIAN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,75,75
SAN LORENZO(PND),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,14,14
SAN LORENZO(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SAN LUCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,52,52
SAN MATIAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,24,24
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,19,19
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SAN PEDRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,58,58
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
SAN RAFAEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SAN RAMON BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SAN RAMON SCZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
SANTA ANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,36,36
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,758,758
SANTA ROSA DEL SARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
SANTIAGO DE HUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SANTIAGO DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
SANTIVAÑES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
SAPAHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,6,6
SENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
SHINAOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,43,43
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
SICAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
SIPE SIPE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,53,53
SOPACHUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,18,18
SORACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,22,22
SORATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,22,22
SUCRE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,105,105
TACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
TACACOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
TACOBAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
TACOPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,8,8
TAPACARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,21,21
TARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,20,20
TARACO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
TARATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
TARIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,71,71
TARVITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,15,15
TEOPONTE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,9,9
TIAWANACU,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,12,12
TINGUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,22,22
TIPUANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
TIQUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,97,97
TIRAQUE (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
TOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
TOLATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
TOLEDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,1,1
TOMAVE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,21,21
TOMINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
TORO TORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
TOTORA(CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,20,20
TOTORA(ORR),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
TRINIDAD,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,266,266
TUPIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,17,17
TURCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
UMALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,4,4
UNCIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,24,24
URIONDO (A. CONCEPCION),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,11,11
URUBICHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,3,3
UYUNI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,2,2
VALLEGRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,38,38
VIACHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,16,16
VILLA CHARCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,7,7
VILLA MONTES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,26,26
VILLA NUEVA (LOMA ALTA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,5,5
VILLA SERRANO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
VILLA TUNARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,88,88
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2016-01-01,10,10
