municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,79,79
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,110,110
CLIZA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,97,97
COBIJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,373,373
COCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,131,131
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1537,1537
COIPASA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,175,175
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,73,73
COLLANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,21,21
COLOMI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,151,151
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,23,23
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,293,293
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,62,62
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,40,40
COMARAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,87,87
COPACABANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
CORIPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,64,64
CORO CORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,35,35
CORQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
COTAGAITA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,152,152
COTOCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,126,126
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,14,14
CUEVO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
CULPINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,145,145
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1,1
CURVA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,17,17
DESAGUADERO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,7,7
EL CHORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,27,27
EL PUENTE(STC),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,99,99
EL PUENTE(TJA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,87,87
EL TORNO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
EL VILLAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,31,31
ENTRE RIOS TRJ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,203,203
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,241,241
ESCOMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,21,21
EUCALIPTUS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,32,32
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
EXALTACION,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,15,15
FERNANDEZ ALONSO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,44,44
FILADELFIA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,53,53
GENERAL SAAVEDRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,57,57
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
GUAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,30,30
GUTIERREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,33,33
HUACARETA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,36,36
HUACHACALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,7,7
HUANUNI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,167,167
HUARACAJE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,9,9
HUARINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,29,29
HUATAJATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,7,7
HUAYLLAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,25,25
HUMANATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,9,9
ICHOCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,5,5
ICLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,59,59
INCAHUASI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,102,102
LA ASUNTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,308,308
LA GUARDIA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
LA PAZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,31,31
LA RIVERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
LAGUNILLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,4,4
LAJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,137,137
LAS CARRERAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,31,31
LICOMA PAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,17,17
LLALLAGUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,386,386
LLICA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,24,24
LORETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,24,24
LURIBAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,55,55
MACHACAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,26,26
MACHARETI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,38,38
MAGDALENA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,4,4
MAIRANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,77,77
MALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,12,12
MAPIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,119,119
MINEROS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,152,152
MIZQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,206,206
MOCOMOCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,72,72
MOJINETE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
MOJOCOYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,54,54
MONTEAGUDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,185,185
MONTERO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,172,172
MORO MORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,11,11
MOROCHATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,86,86
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,22,22
NAZACARA DE PACAJES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
OCURI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,104,104
OMEREQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,37,37
ORURO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1417,1417
PADCAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,160,160
PADILLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,60,60
PAILON,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,158,158
PALCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,50,50
PALOS BLANCOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,19,19
PAMPA AULLAGAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,31,31
PAMPA GRANDE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,24,24
PAPEL PAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,22,22
PASORAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,15,15
PATACAMAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,17,17
PAZÑA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
PELECHUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,49,49
POCOATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,171,171
POCONA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,93,93
POOPO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,39,39
PORCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,94,94
POROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,95,95
PORONGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1,1
PORTACHUELO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,36,36
PORVENIR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,44,44
POSTRER VALLE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,4,4
POTOSI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,200,200
PRESTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,61,61
PUCARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,7,7
PUCARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,167,167
PUERTO ACOSTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,52,52
PUERTO CARABUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,13,13
PUERTO GONZALO MORENO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,71,71
PUERTO PEREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,15,15
PUERTO RICO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,18,18
PUERTO VILLARROEL,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,210,210
PUNA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,120,120
PUNATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,46,46
QUIABAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,5,5
QUILLACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,580,580
QUIME,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,51,51
QUIRUSILLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,8,8
RAVELO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,106,106
RIBERALTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,176,176
ROBORE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,143,143
RURRENABAQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
SABAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,15,15
SACABA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1019,1019
SACABAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
SACACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,150,150
SAIPINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,29,29
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,73,73
SAN AGUSTIN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,8,8
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,21,21
SAN BENITO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,53,53
SAN BORJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,397,397
SAN CARLOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,12,12
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,380,380
SAN JAVIER(BNI),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,1,1
SAN JOAQUIN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,72,72
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,26,26
SAN JULIAN,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,266,266
SAN LORENZO(PND),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,46,46
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,61,61
SAN LUCAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,255,255
SAN MATIAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,16,16
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,91,91
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,11,11
SAN PEDRO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,18,18
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,238,238
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,50,50
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2,2
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,20,20
SAN PEDRO(PND),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,17,17
SAN RAFAEL,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,40,40
SAN RAMON BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,13,13
SAN RAMON SCZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,65,65
SANTA ANA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,88,88
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,2068,2068
SANTA ROSA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,9,9
SANTA ROSA DEL SARA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,62,62
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,8,8
SANTIAGO DE HUARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,50,50
SANTIAGO DE HUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,17,17
SANTIAGO DE MACHACA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,30,30
SANTIVAÑES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,30,30
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,29,29
SAPAHAQUI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,32,32
SENA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,69,69
SHINAOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,67,67
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,68,68
SICAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,32,32
SIPE SIPE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,72,72
SOPACHUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,57,57
SORACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,76,76
SORATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,98,98
SUCRE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,964,964
TACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
TACACOMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,16,16
TACOBAMBA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,66,66
TACOPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,71,71
TAHUA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
TAPACARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,212,212
TARABUCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,82,82
TARACO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,29,29
TARATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,129,129
TARIJA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,998,998
TARVITA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
TEOPONTE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,6,6
TINGUIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,92,92
TIPUANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,27,27
TIQUIPAYA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,202,202
TIRAQUE (CBBA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,121,121
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
TOCO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,29,29
TOLATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,11,11
TOLEDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,3,3
TOMAVE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,94,94
TOMINA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,64,64
TORO TORO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2016-01-01,88,88
