municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
COLLANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,12,12
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
COMANCHE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
CORQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,15,15
COTOCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
CULPINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
EL ALTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,168,168
EL CHORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,11,11
EL TORNO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
EL VILLAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,10,10
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
ESCARA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
ESCOMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
GUANAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
GUAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,25,25
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
HUACARETA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
HUANUNI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
HUMANATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
ICHOCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
ICLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
INCAHUASI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
INQUISIVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
LA GUARDIA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
LA PAZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,253,253
LAJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,12,12
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,12,12
LORETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
LURIBAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
MACHARETI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
MAGDALENA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
MAIRANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
MAPIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
MECAPACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,12,12
MINEROS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,10,10
MIZQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,33,33
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
MONTERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
MOROCHATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
OCURI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,14,14
OKINAWA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
OMEREQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
ORURO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,86,86
PADCAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PADILLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
PALCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
PASORAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PATACAMAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,21,21
PELECHUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
POCOATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
POCONA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
POJO (CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
PORCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,7,7
POROMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PORVENIR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
POTOSI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,143,143
PRESTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PUCARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,13,13
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,7,7
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PUERTO RICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
PUERTO SILES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,242,242
PUNA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,9,9
PUNATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,38,38
QUIRUSILLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
RAVELO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
REYES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
RIBERALTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,16,16
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
SABAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SACABA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,30,30
SACABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,9,9
SACACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,16,16
SAIPINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
SAMAIPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SAN ANDRES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
SAN BENITO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SAN BORJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,35,35
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
SAN JAVIER(BNI),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
SAN LUCAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,10,10
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
SAN PEDRO(PND),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SANTA ANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,274,274
SANTA ROSA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
SENA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
SHINAOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,18,18
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
SICAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
SIPE SIPE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,13,13
SOPACHUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
SORACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
SUCRE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,32,32
TACACOMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
TACOBAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,9,9
TACOPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,12,12
TAPACARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,37,37
TARABUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
TARACO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
TARATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,16,16
TARIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,13,13
TIAWANACU,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
TINGUIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,18,18
TIPUANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
TIQUIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,16,16
TIRAQUE (CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,19,19
TOCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
TOLATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
TOLEDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
TOMAVE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
TOMINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
TORO TORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
TOTORA(CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,24,24
TRINIDAD,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,14,14
TUPIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,7,7
TURCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
UMALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,9,9
UNCIA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,13,13
URIONDO (A. CONCEPCION),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,2,2
UYUNI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
VACAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
VALLEGRANDE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
VIACHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,14,14
VILA VILA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
VILLA CHARCAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
VILLA MONTES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,4,4
VILLA NUEVA (LOMA ALTA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
VILLA RIVERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
VILLA SERRANO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
VILLA TUNARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,22,22
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
VILLAZON,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,8,8
VINTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,19,19
VITICHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,6,6
WARNES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,5,5
YACO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
YACUIBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,13,13
YAMPARAEZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,3,3
YOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
YOTALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
ZUDAÑEZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-01-01,1,1
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,2,2
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,6,6
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,21,21
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,4,4
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,3,3
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,12,12
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,5,5
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,8,8
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,16,16
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,2,2
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,2,2
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,7,7
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,5,5
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2016-02-01,2,2
