municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,24,24
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,38,38
CARANAVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,70,70
CARAPARI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,39,39
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,10,10
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
CHACARILLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,57,57
CHAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,54,54
CHARAÑA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
CHIMORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,38,38
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
CHUMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,18,18
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
CLIZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,33,33
COBIJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,99,99
COCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,321,321
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,41,41
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,26,26
COLLANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
COLOMI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,37,37
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,39,39
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,11,11
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,22,22
COMANCHE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
COMARAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
COMBAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
CONCEPCION,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,37,37
COPACABANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
CORIPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,20,20
CORO CORO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
COROICO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
CORQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
COTAGAITA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,30,30
COTOCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,89,89
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
CUEVO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
CULPINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,34,34
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
CURVA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
EL ALTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,826,826
EL CHORO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
EL TORNO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,97,97
EL VILLAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,53,53
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,52,52
ESCOMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
EXALTACION,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
FILADELFIA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
GUANAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
GUAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,61,61
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
HUACARETA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
HUACHACALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
HUANUNI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,18,18
HUARACAJE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
HUARINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
HUATAJATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
HUMANATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
ICHOCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
ICLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
INCAHUASI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
INQUISIVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
IXIAMAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,36,36
LA GUARDIA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,164,164
LA PAZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,662,662
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
LAJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,27,27
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,84,84
LLICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
LORETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
LURIBAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
MACHARETI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
MAGDALENA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,24,24
MAIRANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
MALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
MAPIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
MECAPACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
MINEROS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,35,35
MIZQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,31,31
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
MOJOCOYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,44,44
MONTERO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,239,239
MORO MORO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
MOROCHATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
NAZACARA DE PACAJES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
OCURI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
OKINAWA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
OMEREQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
ORURO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,313,313
PADCAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,31,31
PADILLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
PAILON,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,24,24
PALCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,18,18
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,36,36
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
PASORAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,4,4
PATACAMAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
PAZÑA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
PELECHUCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
POCOATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,18,18
POCONA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,19,19
POJO (CBBA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,25,25
POOPO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
PORCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,12,12
POROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,12,12
PORONGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
PORTACHUELO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,12,12
PORVENIR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
POTOSI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,152,152
PRESTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
PUCARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
PUCARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,43,43
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,11,11
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,8,8
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
PUERTO QUIJARRO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,12,12
PUERTO RICO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,13,13
PUERTO SILES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
PUERTO SUAREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,50,50
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,74,74
PUNA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
PUNATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,39,39
QUIABAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,120,120
QUIME,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,11,11
QUIRUSILLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
RAVELO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,15,15
REYES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,20,20
RIBERALTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,156,156
ROBORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
SABAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
SACABA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,202,202
SACABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
SACACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,28,28
SAIPINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,7,7
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,25,25
SAMAIPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
SAN ANDRES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
SAN BENITO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
SAN BORJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,76,76
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,17,17
SAN CARLOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,44,44
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,46,46
SAN JAVIER(BNI),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,21,21
SAN JOAQUIN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,26,26
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
SAN JULIAN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,81,81
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,10,10
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,26,26
SAN LUCAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,28,28
SAN MATIAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,6,6
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,9,9
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
SAN PEDRO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,29,29
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,49,49
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,3,3
SAN PEDRO(PND),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1,1
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,5,5
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,11,11
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,14,14
SANTA ANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,23,23
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,1165,1165
SANTA ROSA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,18,18
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,16,16
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2016-01-01,2,2
