municipality,group,variable,month,Primer Control Post Parto,TOTAL
HUANUNI,atencion de partos en servicios,primer control post parto,2022-01-01,15,15
HUARACAJE,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
HUARINA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
HUAYLLAMARCA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
HUMANATA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
ICLA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
INQUISIVI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2022-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
LA ASUNTA,atencion de partos en servicios,primer control post parto,2022-01-01,35,35
LA GUARDIA,atencion de partos en servicios,primer control post parto,2022-01-01,82,82
LA PAZ,atencion de partos en servicios,primer control post parto,2022-01-01,271,271
LA RIVERA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
LAJA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
LURIBAY,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
MACHARETI,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
MAIRANA,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
MECAPACA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
MINEROS,atencion de partos en servicios,primer control post parto,2022-01-01,11,11
MIZQUE,atencion de partos en servicios,primer control post parto,2022-01-01,24,24
MOCOMOCO,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
MOJOCOYA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
MONTERO,atencion de partos en servicios,primer control post parto,2022-01-01,82,82
MORO MORO,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2022-01-01,1,1
OCURI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
OKINAWA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
ORURO,atencion de partos en servicios,primer control post parto,2022-01-01,273,273
PADCAYA,atencion de partos en servicios,primer control post parto,2022-01-01,20,20
PADILLA,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
PALCA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
PAMPA AULLAGAS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
PATACAMAYA,atencion de partos en servicios,primer control post parto,2022-01-01,33,33
PELECHUCO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
POCOATA,atencion de partos en servicios,primer control post parto,2022-01-01,11,11
POOPO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2022-01-01,11,11
POROMA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
PORONGO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
PORVENIR,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2022-01-01,219,219
PRESTO,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
PUCARANI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
PUNA,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
PUNATA,atencion de partos en servicios,primer control post parto,2022-01-01,33,33
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2022-01-01,77,77
QUIRUSILLAS,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
RAVELO,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
REYES,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
RIBERALTA,atencion de partos en servicios,primer control post parto,2022-01-01,269,269
ROBORE,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2022-01-01,33,33
SABAYA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
SACABA,atencion de partos en servicios,primer control post parto,2022-01-01,89,89
SACABAMBA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SACACA,atencion de partos en servicios,primer control post parto,2022-01-01,10,10
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
SAMAIPATA,atencion de partos en servicios,primer control post parto,2022-01-01,8,8
SAN ANDRES,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2022-01-01,10,10
SAN BENITO,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
SAN BORJA,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
SAN BUENA VENTURA,atencion de partos en servicios,primer control post parto,2022-01-01,26,26
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2022-01-01,32,32
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2022-01-01,108,108
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2022-01-01,33,33
SAN JULIAN,atencion de partos en servicios,primer control post parto,2022-01-01,50,50
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2022-01-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,primer control post parto,2022-01-01,11,11
SAN LUCAS,atencion de partos en servicios,primer control post parto,2022-01-01,9,9
SAN MATIAS,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2022-01-01,14,14
SAN PEDRO,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2022-01-01,14,14
SAN PEDRO DE TIQUINA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2022-01-01,13,13
SANTA ANA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2022-01-01,341,341
SANTA ROSA,atencion de partos en servicios,primer control post parto,2022-01-01,14,14
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
SANTIAGO DE HUATA,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
SAPAHAQUI,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
SENA,atencion de partos en servicios,primer control post parto,2022-01-01,5,5
SHINAOTA,atencion de partos en servicios,primer control post parto,2022-01-01,78,78
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2022-01-01,5,5
SIPE SIPE,atencion de partos en servicios,primer control post parto,2022-01-01,31,31
SOPACHUY,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
SORACACHI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
SORATA,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
SUCRE,atencion de partos en servicios,primer control post parto,2022-01-01,402,402
TARABUCO,atencion de partos en servicios,primer control post parto,2022-01-01,9,9
TARATA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TARIJA,atencion de partos en servicios,primer control post parto,2022-01-01,221,221
TARVITA,atencion de partos en servicios,primer control post parto,2022-01-01,11,11
TEOPONTE,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TIAHUANACU,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2022-01-01,14,14
TOCO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TOLATA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
TOLEDO,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TOMAVE,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
TOMINA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
TORO TORO,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2022-01-01,7,7
TRIGAL,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TRINIDAD,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
TUPIZA,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
TURCO,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
UNCIA,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2022-01-01,2,2
URUBICHA,atencion de partos en servicios,primer control post parto,2022-01-01,7,7
UYUNI,atencion de partos en servicios,primer control post parto,2022-01-01,13,13
VACAS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2022-01-01,4,4
VIACHA,atencion de partos en servicios,primer control post parto,2022-01-01,30,30
VILLA CHARCAS,atencion de partos en servicios,primer control post parto,2022-01-01,1,1
VILLA MONTES,atencion de partos en servicios,primer control post parto,2022-01-01,18,18
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2022-01-01,2,2
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2022-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2022-01-01,42,42
VILLAZON,atencion de partos en servicios,primer control post parto,2022-01-01,45,45
VINTO,atencion de partos en servicios,primer control post parto,2022-01-01,51,51
VITICHI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
WARNES,atencion de partos en servicios,primer control post parto,2022-01-01,92,92
YACUIBA,atencion de partos en servicios,primer control post parto,2022-01-01,28,28
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
YANACACHI,atencion de partos en servicios,primer control post parto,2022-01-01,2,2
YAPACANI,atencion de partos en servicios,primer control post parto,2022-01-01,86,86
YOTALA,atencion de partos en servicios,primer control post parto,2022-01-01,6,6
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2022-01-01,8,8
ACACIO,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
ACHACACHI,atencion de partos en servicios,primer control post parto,2022-02-01,30,30
ACHOCALLA,atencion de partos en servicios,primer control post parto,2022-02-01,21,21
AIQUILE,atencion de partos en servicios,primer control post parto,2022-02-01,19,19
ALCALA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ALTO BENI,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
ANDAMARCA,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
ANZALDO,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
APOLO,atencion de partos en servicios,primer control post parto,2022-02-01,7,7
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ARANI,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ARBIETO,atencion de partos en servicios,primer control post parto,2022-02-01,11,11
ARQUE,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2022-02-01,37,37
ATOCHA,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
AUCAPATA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
AYATA,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
AZURDUY,atencion de partos en servicios,primer control post parto,2022-02-01,6,6
BAURES,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
BELLA FLOR,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
BERMEJO,atencion de partos en servicios,primer control post parto,2022-02-01,28,28
BETANZOS,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
BOLIVAR,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
BOYUIBE,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-02-01,9,9
CABEZAS,atencion de partos en servicios,primer control post parto,2022-02-01,20,20
CAIROMA,atencion de partos en servicios,primer control post parto,2022-02-01,6,6
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2022-02-01,8,8
CAJUATA,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
CAMARGO,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
CAMIRI,atencion de partos en servicios,primer control post parto,2022-02-01,30,30
CAPINOTA,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
CARACOLLO,atencion de partos en servicios,primer control post parto,2022-02-01,12,12
CARANAVI,atencion de partos en servicios,primer control post parto,2022-02-01,54,54
CARAPARI,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-02-01,32,32
CHAQUI,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-02-01,12,12
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-02-01,7,7
CHIMORE,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
CHUA COCANI,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-02-01,21,21
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
CLIZA,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
COBIJA,atencion de partos en servicios,primer control post parto,2022-02-01,18,18
COCAPATA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-02-01,456,456
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-02-01,7,7
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-02-01,4,4
COLLANA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
COLOMI,atencion de partos en servicios,primer control post parto,2022-02-01,11,11
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-02-01,10,10
COMBAYA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-02-01,27,27
COPACABANA,atencion de partos en servicios,primer control post parto,2022-02-01,9,9
CORIPATA,atencion de partos en servicios,primer control post parto,2022-02-01,12,12
COROICO,atencion de partos en servicios,primer control post parto,2022-02-01,18,18
CORQUE,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-02-01,11,11
CUEVO,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
CULPINA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
DESAGUADERO,atencion de partos en servicios,primer control post parto,2022-02-01,9,9
EL ALTO,atencion de partos en servicios,primer control post parto,2022-02-01,422,422
EL CHORO,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2022-02-01,5,5
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2022-02-01,4,4
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-02-01,6,6
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2022-02-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2022-02-01,3,3
GUAQUI,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2022-02-01,36,36
GUTIERREZ,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
HUACARETA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,primer control post parto,2022-02-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2022-02-01,16,16
HUARACAJE,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
HUARINA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
ICHOCA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ICLA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
INQUISIVI,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2022-02-01,2,2
IXIAMAS,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
LA ASUNTA,atencion de partos en servicios,primer control post parto,2022-02-01,26,26
LA GUARDIA,atencion de partos en servicios,primer control post parto,2022-02-01,47,47
LA PAZ,atencion de partos en servicios,primer control post parto,2022-02-01,166,166
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
LAJA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
LLALLAGUA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
LORETO,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
MACHARETI,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
MAIRANA,atencion de partos en servicios,primer control post parto,2022-02-01,8,8
MECAPACA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
MINEROS,atencion de partos en servicios,primer control post parto,2022-02-01,17,17
MIZQUE,atencion de partos en servicios,primer control post parto,2022-02-01,12,12
MOCOMOCO,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
MOJOCOYA,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
MONTERO,atencion de partos en servicios,primer control post parto,2022-02-01,99,99
MORO MORO,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
MOROCHATA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,primer control post parto,2022-02-01,1,1
OCURI,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
OKINAWA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
ORURO,atencion de partos en servicios,primer control post parto,2022-02-01,247,247
PADCAYA,atencion de partos en servicios,primer control post parto,2022-02-01,20,20
PADILLA,atencion de partos en servicios,primer control post parto,2022-02-01,9,9
PAILON,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PALCA,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
PAMPA AULLAGAS,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PASORAPA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PATACAMAYA,atencion de partos en servicios,primer control post parto,2022-02-01,31,31
POCOATA,atencion de partos en servicios,primer control post parto,2022-02-01,12,12
POCONA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
PORCO,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
POROMA,atencion de partos en servicios,primer control post parto,2022-02-01,5,5
PORONGO,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
PORTACHUELO,atencion de partos en servicios,primer control post parto,2022-02-01,17,17
PORVENIR,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
POSTRER VALLE,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2022-02-01,286,286
PRESTO,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PUCARANI,atencion de partos en servicios,primer control post parto,2022-02-01,2,2
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2022-02-01,4,4
PUERTO PEREZ,atencion de partos en servicios,primer control post parto,2022-02-01,1,1
PUERTO RICO,atencion de partos en servicios,primer control post parto,2022-02-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2022-02-01,10,10
PUNA,atencion de partos en servicios,primer control post parto,2022-02-01,6,6
PUNATA,atencion de partos en servicios,primer control post parto,2022-02-01,32,32
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2022-02-01,53,53
RAQAYPAMPA(ETA),atencion de partos en servicios,primer control post parto,2022-02-01,5,5
