,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,1,7
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,0,16
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,3,9
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,2,3
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,105,0,105
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,2,15
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,3,5
HUACHACALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,32,0,32
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,0,10
HUATAJATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,2,3
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,1,4
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,4,7
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,4,10
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,3,11
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,4,7
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,1,11
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,4,6
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,49,1,50
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,124,0,124
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,928,0,928
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,0,9
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,0,10
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,75,2,77
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,1,12
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,1,7
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,27,0,27
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,1,2
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,27,0,27
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,1,6
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,48,0,48
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,65,2,67
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,33,0,33
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,208,0,208
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,6,14
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,1,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,8,24
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,22,0,22
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,515,0,515
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,17,1,18
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,29,2,31
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,2,13
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,3,12
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,46,0,46
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,0,11
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,3,8
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,1,16
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,1,4
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,6,21
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,0,8
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,0,8
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,21,0,21
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,4,16
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,0,8
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,23,0,23
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,334,0,334
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,3,9
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,1,2
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,27,1,28
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,5,12
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,3,4
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,2,6
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,38,0,38
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,1,2
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,43,0,43
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,54,0,54
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,0,18
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,40,0,40
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,147,0,147
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,1,14
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,4,10
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,28,2,30
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,258,5,263
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,17,0,17
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,22,0,22
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,175,0,175
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,0,7
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,2,13
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,0,11
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,1,8
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,14,0,14
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,4,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,5,13
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,20,1,21
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,70,1,71
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,30,0,30
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,43,4,47
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,73,3,76
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,46,0,46
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,17,0,17
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,33,0,33
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,88,2,90
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,16,2,18
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,26,10,36
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,0,18
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,0,11
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,21,0,21
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,22,2,24
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,1,4
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,0,3
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,0,1
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,11,0,11
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,0,6
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,0,8
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,32,0,32
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1889,0,1889
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,25,0,25
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,19,0,19
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,6,4,10
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,1,13
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,2,5
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,10,2,12
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,3,1,4
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,2,11
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,0,4
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,57,0,57
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,32,0,32
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,73,0,73
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,8,4,12
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,14,4,18
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,487,1,488
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,0,9
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,1,1,2
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,1,14
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,18,2,20
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,1,6
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,355,0,355
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,4,19
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,12,0,12
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,15,0,15
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,63,4,67
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,24,5,29
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,0,1,1
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,5,0,5
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,13,0,13
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,5,9
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,1,10
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,7,3,10
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,9,1,10
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,4,2,6
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,2,0,2
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2013-01-01,255,1,256
