,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,11,91,81,105,92,197
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,20,16,110,113,130,129,259
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,100,97,79,76,179,173,352
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,3,77,72,86,75,161
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,3,27,35,31,38,69
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,6,79,62,88,68,156
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,7,49,43,53,50,103
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,21,20,147,146,168,166,334
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,112,100,0,0,112,100,212
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,11,5,85,85,96,90,186
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,1,24,16,26,17,43
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,9,15,10,15,25
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,0,4,9,7,9,16
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,2,17,8,18,10,28
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,32,27,90,80,122,107,229
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,30,26,252,257,282,283,565
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,15,6,71,61,86,67,153
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,10,20,11,20,31
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,1,29,24,33,25,58
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,6,149,73,154,79,233
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,17,15,89,73,106,88,194
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,4,58,73,65,77,142
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,7,73,76,78,83,161
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,7,61,46,70,53,123
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,3,33,17,35,20,55
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,8,93,88,101,96,197
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,11,15,99,105,110,120,230
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,2,28,19,30,21,51
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,38,40,176,197,214,237,451
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,19,15,182,156,201,171,372
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,4,43,35,47,39,86
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,16,14,163,126,179,140,319
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,24,27,319,286,343,313,656
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,9,79,86,82,95,177
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,5,62,71,70,76,146
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,3,23,17,25,20,45
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,10,6,10,6,16
CHACARILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,1,5,5,7,6,13
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,34,34,207,237,241,271,512
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,54,49,55,49,104
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,42,32,170,131,212,163,375
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,0,13,13,17,13,30
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,6,95,84,102,90,192
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,69,54,156,139,225,193,418
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,16,12,16,12,28
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,9,3,10,4,14
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,21,21,58,34,79,55,134
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,6,59,47,63,53,116
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,7,54,48,58,55,113
CKOCHAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,15,129,104,136,119,255
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,3,113,114,121,117,238
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,63,44,202,184,265,228,493
COCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,17,9,98,82,115,91,206
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,919,868,1949,1700,2868,2568,5436
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,4,6,5,6,11
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,40,30,218,196,258,226,484
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,7,67,63,70,70,140
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,2,26,13,27,15,42
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,7,119,132,127,139,266
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,4,5,5,6,11
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,28,24,293,298,321,322,643
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,6,5,65,71,71,76,147
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,21,12,85,97,106,109,215
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,21,21,21,21,42
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,3,90,110,92,113,205
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,4,14,8,18,12,30
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,12,12,89,82,101,94,195
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,10,13,55,61,65,74,139
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,21,26,69,86,90,112,202
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,2,51,51,58,53,111
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,4,71,77,72,81,153
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,3,44,48,47,51,98
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,20,26,128,108,148,134,282
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,43,36,156,140,199,176,375
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,17,13,83,70,100,83,183
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,1,17,6,17,7,24
CUEVO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,2,30,33,33,35,68
CULPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,7,143,122,151,129,280
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,7,31,34,38,41,79
CURVA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,1,22,17,24,18,42
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,4,32,19,35,23,58
EL ALTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,622,610,3086,2936,3708,3546,7254
EL CHORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,42,47,43,48,91
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,63,52,64,52,116
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,10,66,63,80,73,153
EL TORNO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,45,45,165,180,210,225,435
EL VILLAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,3,20,26,21,29,50
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,18,124,133,138,151,289
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,30,19,208,186,238,205,443
ESCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,1,0,1,0,1
ESCOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,2,26,18,28,20,48
ESMERALDA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,6,2,0,1,6,3,9
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,4,43,47,47,51,98
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,1,14,24,14,25,39
EXALTACION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,12,9,12,9,21
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,2,86,66,86,68,154
FILADELFIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,6,4,16,15,22,19,41
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,18,12,72,72,90,84,174
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,6,52,78,66,84,150
GUANAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,6,85,97,92,103,195
GUAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,10,30,29,34,39,73
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,30,37,165,176,195,213,408
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,6,155,163,159,169,328
HUACARETA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,10,5,79,51,89,56,145
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,2,20,13,25,15,40
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,1,3,2,6,3,9
HUANUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,12,16,131,91,143,107,250
HUARACAJE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,2,22,23,22,25,47
HUARINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,3,18,24,21,27,48
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,1,23,16,25,17,42
HUMANATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,3,24,21,27,24,51
ICHOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,3,26,22,27,25,52
ICLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,9,61,63,65,72,137
INCAHUASI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,38,28,18,17,56,45,101
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,19,23,3,3,22,26,48
INQUISIVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,6,61,70,63,76,139
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,4,62,73,71,77,148
IXIAMAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,5,36,40,43,45,88
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,9,77,72,82,81,163
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,36,33,214,170,250,203,453
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,56,50,177,199,233,249,482
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,782,691,2674,2432,3456,3123,6579
LA RIVERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,1,0,0,2,1,3
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,3,38,57,38,60,98
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,18,8,91,68,109,76,185
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,5,18,19,25,24,49
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,22,11,23,12,35
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,166,152,116,118,282,270,552
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,1,26,17,26,18,44
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,12,13,19,16,31,29,60
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,7,46,55,51,62,113
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,1,27,32,30,33,63
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,6,4,49,49,55,53,108
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,4,42,41,56,45,101
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,17,13,65,77,82,90,172
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,2,22,12,24,14,38
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,5,7,50,40,55,47,102
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,21,21,30,36,51,57,108
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,3,165,140,167,143,310
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,27,20,204,199,231,219,450
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,13,16,63,78,76,94,170
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,3,6,3,6,9
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,5,63,49,71,54,125
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,15,25,207,176,222,201,423
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,75,79,477,472,552,551,1103
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,5,17,19,19,24,43
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,25,32,64,53,89,85,174
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,0,10,8,12,8,20
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,4,2,5,3,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,2,19,14,20,16,36
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,11,141,83,155,94,249
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,92,80,93,81,174
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,4,38,44,41,48,89
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,265,270,1430,1354,1695,1624,3319
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,8,127,103,135,111,246
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,13,77,90,85,103,188
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,10,14,121,95,131,109,240
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,12,20,75,81,87,101,188
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,19,16,197,193,216,209,425
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,3,17,14,19,17,36
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,16,10,50,40,66,50,116
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,6,6,45,24,51,30,81
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,1,23,18,26,19,45
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,46,29,84,109,130,138,268
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,8,47,56,50,64,114
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,5,34,26,38,31,69
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,13,18,171,146,184,164,348
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,14,21,70,74,84,95,179
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,4,68,77,71,81,152
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,10,5,29,43,39,48,87
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,8,81,61,84,69,153
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,10,8,118,119,128,127,255
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,11,43,28,51,39,90
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,15,18,51,64,66,82,148
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,9,4,37,43,46,47,93
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,0,10,7,11,7,18
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,148,111,723,690,871,801,1672
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,4,3,74,56,78,59,137
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,1,1,11,19,12,20,32
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,22,13,178,156,200,169,369
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,19,15,43,45,62,60,122
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,13,73,66,81,79,160
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,4,66,59,69,63,132
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,3,40,52,40,55,95
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,2,2,88,86,90,88,178
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,7,6,57,39,64,45,109
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,11,4,1,0,12,4,16
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,52,38,1,3,53,41,94
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,61,58,378,316,439,374,813
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,30,28,129,146,159,174,333
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,33,58,96,89,129,147,276
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,3,1,21,13,24,14,38
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,84,81,479,427,563,508,1071
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,8,12,50,60,58,72,130
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2012-01-01,0,0,10,7,10,7,17
