,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,21,99,65,109,86,195
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,14,100,103,113,117,230
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,198,191,43,37,241,228,469
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,7,86,72,89,79,168
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,28,25,28,26,54
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,13,43,48,57,61,118
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,8,1,10,19,18,20,38
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,21,15,164,136,185,151,336
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,168,176,0,0,168,176,344
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,14,53,63,63,77,140
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,6,37,23,40,29,69
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,0,10,10,13,10,23
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,11,11,11,11,22
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,16,8,17,8,25
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,25,29,25,33,50,62,112
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,30,34,264,251,294,285,579
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,15,15,129,105,144,120,264
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,20,15,21,15,36
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,2,57,51,58,53,111
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,8,85,80,97,88,185
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,16,12,81,67,97,79,176
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,3,78,78,79,81,160
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,4,53,45,56,49,105
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,62,58,64,61,125
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,20,20,20,20,40
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,5,61,92,65,97,162
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,12,153,130,167,142,309
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,1,39,36,40,37,77
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,59,43,203,177,262,220,482
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,18,103,94,117,112,229
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,2,33,27,33,29,62
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,16,16,116,124,132,140,272
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,32,52,199,193,231,245,476
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,1,1,1,1,2
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,9,88,70,101,79,180
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,11,4,98,94,109,98,207
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,2,28,21,32,23,55
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,17,7,18,7,25
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,4,3,5,3,8
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,19,12,137,128,156,140,296
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,2,31,42,32,44,76
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,28,24,193,193,221,217,438
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,1,19,20,20,21,41
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,7,58,82,65,89,154
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,68,82,149,143,217,225,442
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,8,9,8,10,18
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,1,11,4,12,5,17
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,17,19,37,23,54,42,96
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,5,39,55,48,60,108
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,1,20,25,21,26,47
CKOCHAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,18,148,118,160,136,296
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,4,98,82,108,86,194
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,41,38,180,182,221,220,441
COCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,20,11,77,70,97,81,178
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1345,1316,1420,1342,2765,2658,5423
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,3,7,3,8,11
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,53,40,139,92,192,132,324
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,7,51,64,53,71,124
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,4,10,10,12,14,26
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,12,78,100,87,112,199
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,1,2,4,5,5,10
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,12,153,162,165,174,339
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,4,21,25,25,29,54
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,17,13,139,135,156,148,304
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,9,18,9,18,27
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,2,55,58,57,60,117
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,26,32,28,35,63
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,2,49,49,61,51,112
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,8,8,62,72,70,80,150
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,28,27,89,84,117,111,228
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,2,35,32,36,34,70
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,7,73,85,86,92,178
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,0,26,36,29,36,65
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,18,20,165,177,183,197,380
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,25,24,153,149,178,173,351
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,20,15,73,75,93,90,183
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,5,6,6,6,12
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,1,72,67,74,68,142
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,10,127,152,141,162,303
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,8,3,45,33,53,36,89
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,2,38,14,39,16,55
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,5,15,17,19,22,41
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,508,502,1595,1530,2103,2032,4135
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,0,31,38,34,38,72
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,3,61,55,61,58,119
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,20,39,59,53,79,132
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,43,33,191,179,234,212,446
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,5,57,59,63,64,127
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,11,12,131,104,142,116,258
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,21,13,232,162,253,175,428
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,3,2,3,2,5
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,1,12,7,16,8,24
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,3,0,0,4,3,7
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,1,34,38,37,39,76
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,17,19,17,19,36
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,10,11,11,11,22
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,4,80,82,81,86,167
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,2,39,22,45,24,69
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,11,93,80,107,91,198
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,8,7,57,49,65,56,121
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,8,16,92,130,100,146,246
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,3,23,19,30,22,52
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,17,27,163,182,180,209,389
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,8,220,233,225,241,466
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,4,79,94,82,98,180
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,6,41,28,41,34,75
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,16,4,3,11,19,30
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,16,19,84,97,100,116,216
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,2,19,31,21,33,54
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,0,11,9,17,9,26
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,7,27,22,29,29,58
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,2,15,11,22,13,35
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,3,40,26,47,29,76
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,11,184,197,194,208,402
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,22,19,28,36,50,55,105
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,27,17,1,1,28,18,46
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,4,72,89,73,93,166
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,4,81,85,87,89,176
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,4,29,48,35,52,87
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,7,65,81,74,88,162
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,48,29,138,131,186,160,346
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,37,27,255,233,292,260,552
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,941,870,2110,2026,3051,2896,5947
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,0,0,2,3,5
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,3,123,102,129,105,234
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,8,38,53,43,61,104
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,9,39,35,49,44,93
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,13,12,15,15,30
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,47,50,67,94,114,144,258
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,18,16,18,17,35
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,11,16,29,32,40,48,88
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,12,57,53,63,65,128
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,2,43,31,48,33,81
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,2,123,92,124,94,218
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,19,17,65,63,84,80,164
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,11,33,37,47,48,95
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,32,23,33,23,56
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,3,55,58,58,61,119
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,26,16,16,28,42,44,86
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,12,121,122,134,134,268
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,15,19,182,183,197,202,399
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,4,76,69,83,73,156
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,2,7,2,7,9
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,7,82,90,91,97,188
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,13,214,226,228,239,467
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,70,56,399,435,469,491,960
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,1,9,17,14,18,32
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,23,21,53,71,76,92,168
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,6,8,9,9,15,24
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,0,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,32,24,32,25,57
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,8,99,119,112,127,239
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,1,70,78,71,79,150
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,1,45,37,50,38,88
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,264,282,932,877,1196,1159,2355
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,13,2,97,116,110,118,228
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,5,170,179,180,184,364
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,5,147,96,161,101,262
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,18,18,55,57,73,75,148
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,20,17,201,179,221,196,417
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,7,13,7,14,21
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,7,24,28,34,35,69
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,7,36,26,38,33,71
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,1,41,28,41,29,70
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,40,28,40,33,80,61,141
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,3,76,75,78,78,156
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,3,45,34,50,37,87
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,18,14,117,120,135,134,269
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,15,17,84,90,99,107,206
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,5,83,60,95,65,160
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,11,27,26,32,37,69
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,1,0,52,57,53,57,110
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,10,171,154,180,164,344
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,14,14,33,35,47,49,96
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,12,13,86,85,98,98,196
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,5,39,27,44,32,76
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,2,8,10,11,12,23
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,170,187,447,459,617,646,1263
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,3,1,99,103,102,104,206
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,2,7,13,7,15,22
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,16,13,73,76,89,89,178
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,7,14,22,29,29,43,72
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,5,70,59,79,64,143
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,6,4,107,94,113,98,211
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,6,58,71,63,77,140
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,5,3,47,51,52,54,106
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,10,5,36,30,46,35,81
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,9,13,0,0,9,13,22
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,33,33,1,3,34,36,70
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,74,77,292,267,366,344,710
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,22,18,159,196,181,214,395
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,46,36,49,67,95,103,198
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,0,0,30,24,30,24,54
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,73,57,259,276,332,333,665
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,4,3,87,81,91,84,175
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,2,4,10,16,12,20,32
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2012-01-01,16,16,165,201,181,217,398
