,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,0,5
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,24,0,24
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,2,9
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,19,0,19
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,2,8
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,96,1,97
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,1,6
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,2,4
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,32,0,32
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,3,5
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,2,10
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,1,6
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,2,6
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,9,1,10
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,23,3,26
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,70,3,73
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,92,0,92
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1018,0,1018
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,1,3
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,96,5,101
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,1,5
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,3,9
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,0,18
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,21,0,21
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,2,3
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,0,18
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,1,8
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,54,0,54
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,31,0,31
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,2,7
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,63,2,65
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,194,0,194
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,1,4
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,11,15
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,4,14
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,1,5
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,430,0,430
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,3,21
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,24,1,25
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,57,0,57
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,1,1
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,49,0,49
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,1,6
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,1,7
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,12,3,15
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,0,7
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,13,0,13
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,11,2,13
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,52,0,52
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,0,10
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,293,0,293
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,8,11
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,10,15
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,1,11
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,1,8
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,2,2
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,22,0,22
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,12,0,12
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,43,0,43
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,81,0,81
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,21,0,21
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,34,0,34
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,78,0,78
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,0,7
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,1,9
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,23,18,41
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,190,5,195
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,22,0,22
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,38,0,38
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,180,0,180
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,23,5,28
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,9,0,9
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,15,1,16
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,1,5
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,15,0,15
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,0,8
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,15,1,16
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,103,0,103
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,21,0,21
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,66,0,66
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,43,0,43
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,63,8,71
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,20,0,20
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,12,0,12
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,68,2,70
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,0,5
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,0,14
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,24,12,36
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,19,0,19
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,27,1,28
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,33,0,33
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,4,22
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,2,2
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,1,7
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,0,7
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,25,0,25
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,86,0,86
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1488,0,1488
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,27,0,27
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,2,2
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,8,1,9
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,4,10
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,49,0,49
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,36,0,36
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,87,0,87
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,1,8
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,1,6
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,25,3,28
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,745,1,746
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,5,0,5
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,6,6
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,14,0,14
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,2,19
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,9,26
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,0,1,1
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,9,0,9
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,266,0,266
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,4,11
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,17,0,17
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,18,3,21
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,0,6
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,19,0,19
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,54,0,54
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,30,0,30
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,0,4
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,11,0,11
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,4,2,6
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,7,4,11
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,16,0,16
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,2,5
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,77,8,85
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,3,0,3
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,2,0,2
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,213,0,213
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,51,0,51
TURCO,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,1,0,1
UMALA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,6,2,8
UNCIA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,23,3,26
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,13,0,13
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2012-01-01,10,4,14
