municipality,group,variable,month,Repetidas,TOTAL
CLIZA,consultas prenatales,repetidas,2006-01-01,116,116
COBIJA,consultas prenatales,repetidas,2006-01-01,343,343
COCHABAMBA,consultas prenatales,repetidas,2006-01-01,5759,5759
COLCAPIRHUA,consultas prenatales,repetidas,2006-01-01,353,353
"COLCHA ""K""",consultas prenatales,repetidas,2006-01-01,27,27
COLLANA,consultas prenatales,repetidas,2006-01-01,5,5
COLOMI,consultas prenatales,repetidas,2006-01-01,121,121
COLPA BELGICA,consultas prenatales,repetidas,2006-01-01,40,40
COLQUECHACA,consultas prenatales,repetidas,2006-01-01,113,113
COLQUENCHA,consultas prenatales,repetidas,2006-01-01,14,14
COLQUIRI,consultas prenatales,repetidas,2006-01-01,108,108
COMANCHE,consultas prenatales,repetidas,2006-01-01,5,5
COMARAPA,consultas prenatales,repetidas,2006-01-01,130,130
COMBAYA,consultas prenatales,repetidas,2006-01-01,5,5
CONCEPCION,consultas prenatales,repetidas,2006-01-01,154,154
COPACABANA,consultas prenatales,repetidas,2006-01-01,50,50
CORIPATA,consultas prenatales,repetidas,2006-01-01,57,57
CORO CORO,consultas prenatales,repetidas,2006-01-01,29,29
COROICO,consultas prenatales,repetidas,2006-01-01,83,83
CORQUE,consultas prenatales,repetidas,2006-01-01,13,13
COTAGAITA,consultas prenatales,repetidas,2006-01-01,121,121
COTOCA,consultas prenatales,repetidas,2006-01-01,223,223
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-01-01,123,123
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-01-01,1,1
CUEVO,consultas prenatales,repetidas,2006-01-01,29,29
CULPINA,consultas prenatales,repetidas,2006-01-01,94,94
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-01-01,18,18
CURVA,consultas prenatales,repetidas,2006-01-01,3,3
DESAGUADERO,consultas prenatales,repetidas,2006-01-01,20,20
EL ALTO,consultas prenatales,repetidas,2006-01-01,3941,3941
EL CHORO,consultas prenatales,repetidas,2006-01-01,10,10
EL PUENTE(STC),consultas prenatales,repetidas,2006-01-01,87,87
EL PUENTE(TJA),consultas prenatales,repetidas,2006-01-01,53,53
EL TORNO,consultas prenatales,repetidas,2006-01-01,204,204
EL VILLAR,consultas prenatales,repetidas,2006-01-01,33,33
ENTRE RIOS,consultas prenatales,repetidas,2006-01-01,79,79
ENTRE RIOS,consultas prenatales,repetidas,2006-01-01,131,131
EUCALIPTUS,consultas prenatales,repetidas,2006-01-01,23,23
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-01-01,14,14
EXALTACION,consultas prenatales,repetidas,2006-01-01,11,11
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-01-01,91,91
FILADELFIA,consultas prenatales,repetidas,2006-01-01,17,17
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-01-01,77,77
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-01-01,21,21
GUANAY,consultas prenatales,repetidas,2006-01-01,79,79
GUAQUI,consultas prenatales,repetidas,2006-01-01,28,28
GUAYARAMERIN,consultas prenatales,repetidas,2006-01-01,412,412
GUTIERREZ,consultas prenatales,repetidas,2006-01-01,54,54
HUACARETA,consultas prenatales,repetidas,2006-01-01,60,60
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2006-01-01,17,17
HUACHACALLA,consultas prenatales,repetidas,2006-01-01,2,2
HUANUNI,consultas prenatales,repetidas,2006-01-01,231,231
HUARACAJE,consultas prenatales,repetidas,2006-01-01,28,28
HUAYLLAMARCA,consultas prenatales,repetidas,2006-01-01,15,15
ICHOCA,consultas prenatales,repetidas,2006-01-01,5,5
ICLA,consultas prenatales,repetidas,2006-01-01,60,60
INCAHUASI,consultas prenatales,repetidas,2006-01-01,109,109
INGAVI (HUMAITA),consultas prenatales,repetidas,2006-01-01,1,1
INQUISIVI,consultas prenatales,repetidas,2006-01-01,45,45
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2006-01-01,48,48
IXIAMAS,consultas prenatales,repetidas,2006-01-01,41,41
JESUS DE MACHACA,consultas prenatales,repetidas,2006-01-01,24,24
LA ASUNTA,consultas prenatales,repetidas,2006-01-01,183,183
LA GUARDIA,consultas prenatales,repetidas,2006-01-01,393,393
LA PAZ,consultas prenatales,repetidas,2006-01-01,6976,6976
LAGUNILLAS,consultas prenatales,repetidas,2006-01-01,31,31
LAJA,consultas prenatales,repetidas,2006-01-01,38,38
LAS CARRERAS,consultas prenatales,repetidas,2006-01-01,19,19
LICOMA PAMPA,consultas prenatales,repetidas,2006-01-01,8,8
LLALLAGUA,consultas prenatales,repetidas,2006-01-01,384,384
LLICA,consultas prenatales,repetidas,2006-01-01,9,9
LORETO,consultas prenatales,repetidas,2006-01-01,5,5
LURIBAY,consultas prenatales,repetidas,2006-01-01,29,29
MACHACAMARCA,consultas prenatales,repetidas,2006-01-01,5,5
MACHARETI,consultas prenatales,repetidas,2006-01-01,44,44
MAGDALENA,consultas prenatales,repetidas,2006-01-01,97,97
MAIRANA,consultas prenatales,repetidas,2006-01-01,47,47
MALLA,consultas prenatales,repetidas,2006-01-01,10,10
MAPIRI,consultas prenatales,repetidas,2006-01-01,97,97
MECAPACA,consultas prenatales,repetidas,2006-01-01,26,26
MINEROS,consultas prenatales,repetidas,2006-01-01,160,160
MIZQUE,consultas prenatales,repetidas,2006-01-01,117,117
MOCOMOCO,consultas prenatales,repetidas,2006-01-01,24,24
MOJINETE,consultas prenatales,repetidas,2006-01-01,1,1
MOJOCOYA,consultas prenatales,repetidas,2006-01-01,37,37
MONTEAGUDO,consultas prenatales,repetidas,2006-01-01,226,226
MONTERO,consultas prenatales,repetidas,2006-01-01,823,823
MORO MORO,consultas prenatales,repetidas,2006-01-01,8,8
MOROCHATA,consultas prenatales,repetidas,2006-01-01,64,64
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2006-01-01,2,2
NAZACARA DE PACAJES,consultas prenatales,repetidas,2006-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2006-01-01,5,5
OCURI,consultas prenatales,repetidas,2006-01-01,92,92
OKINAWA,consultas prenatales,repetidas,2006-01-01,110,110
OMEREQUE,consultas prenatales,repetidas,2006-01-01,18,18
ORURO,consultas prenatales,repetidas,2006-01-01,2127,2127
PADCAYA,consultas prenatales,repetidas,2006-01-01,63,63
PADILLA,consultas prenatales,repetidas,2006-01-01,95,95
PAILON,consultas prenatales,repetidas,2006-01-01,85,85
PALCA,consultas prenatales,repetidas,2006-01-01,15,15
PALOS BLANCOS,consultas prenatales,repetidas,2006-01-01,105,105
PAMPA AULLAGAS,consultas prenatales,repetidas,2006-01-01,18,18
PAMPA GRANDE,consultas prenatales,repetidas,2006-01-01,50,50
PAPEL PAMPA,consultas prenatales,repetidas,2006-01-01,15,15
PASORAPA,consultas prenatales,repetidas,2006-01-01,13,13
PATACAMAYA,consultas prenatales,repetidas,2006-01-01,94,94
PAZÑA,consultas prenatales,repetidas,2006-01-01,22,22
PELECHUCO,consultas prenatales,repetidas,2006-01-01,16,16
POCOATA,consultas prenatales,repetidas,2006-01-01,65,65
POCONA,consultas prenatales,repetidas,2006-01-01,44,44
POJO (CBBA),consultas prenatales,repetidas,2006-01-01,41,41
POOPO,consultas prenatales,repetidas,2006-01-01,27,27
PORCO,consultas prenatales,repetidas,2006-01-01,51,51
POROMA,consultas prenatales,repetidas,2006-01-01,53,53
PORONGO,consultas prenatales,repetidas,2006-01-01,37,37
PORTACHUELO,consultas prenatales,repetidas,2006-01-01,121,121
PORVENIR,consultas prenatales,repetidas,2006-01-01,23,23
POSTRER VALLE,consultas prenatales,repetidas,2006-01-01,2,2
POTOSI,consultas prenatales,repetidas,2006-01-01,1462,1462
PRESTO,consultas prenatales,repetidas,2006-01-01,37,37
PUCARA,consultas prenatales,repetidas,2006-01-01,6,6
PUCARANI,consultas prenatales,repetidas,2006-01-01,74,74
PUERTO ACOSTA,consultas prenatales,repetidas,2006-01-01,64,64
PUERTO CARABUCO,consultas prenatales,repetidas,2006-01-01,32,32
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2006-01-01,21,21
PUERTO PEREZ,consultas prenatales,repetidas,2006-01-01,9,9
PUERTO QUIJARRO,consultas prenatales,repetidas,2006-01-01,55,55
PUERTO RICO,consultas prenatales,repetidas,2006-01-01,45,45
PUERTO SUAREZ,consultas prenatales,repetidas,2006-01-01,142,142
PUERTO VILLARROEL,consultas prenatales,repetidas,2006-01-01,239,239
PUNA,consultas prenatales,repetidas,2006-01-01,140,140
PUNATA,consultas prenatales,repetidas,2006-01-01,116,116
QUIABAYA,consultas prenatales,repetidas,2006-01-01,2,2
QUILLACOLLO,consultas prenatales,repetidas,2006-01-01,753,753
QUIME,consultas prenatales,repetidas,2006-01-01,44,44
QUIRUSILLAS,consultas prenatales,repetidas,2006-01-01,4,4
RAVELO,consultas prenatales,repetidas,2006-01-01,65,65
REYES,consultas prenatales,repetidas,2006-01-01,62,62
RIBERALTA,consultas prenatales,repetidas,2006-01-01,858,858
ROBORE,consultas prenatales,repetidas,2006-01-01,70,70
RURRENABAQUE,consultas prenatales,repetidas,2006-01-01,114,114
SABAYA,consultas prenatales,repetidas,2006-01-01,10,10
SACABA,consultas prenatales,repetidas,2006-01-01,704,704
SACABAMBA,consultas prenatales,repetidas,2006-01-01,14,14
SACACA,consultas prenatales,repetidas,2006-01-01,78,78
SAIPINA,consultas prenatales,repetidas,2006-01-01,51,51
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2006-01-01,43,43
SAMAIPATA,consultas prenatales,repetidas,2006-01-01,52,52
SAN AGUSTIN,consultas prenatales,repetidas,2006-01-01,11,11
SAN ANDRES,consultas prenatales,repetidas,2006-01-01,41,41
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2006-01-01,4,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2006-01-01,7,7
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2006-01-01,43,43
SAN BENITO,consultas prenatales,repetidas,2006-01-01,61,61
SAN BORJA,consultas prenatales,repetidas,2006-01-01,260,260
SAN BUENA VENTURA,consultas prenatales,repetidas,2006-01-01,51,51
SAN CARLOS,consultas prenatales,repetidas,2006-01-01,195,195
SAN IGNACIO,consultas prenatales,repetidas,2006-01-01,144,144
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2006-01-01,387,387
SAN JAVIER(BNI),consultas prenatales,repetidas,2006-01-01,7,7
SAN JAVIER(STC),consultas prenatales,repetidas,2006-01-01,97,97
SAN JOAQUIN,consultas prenatales,repetidas,2006-01-01,22,22
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2006-01-01,97,97
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2006-01-01,74,74
SAN JULIAN,consultas prenatales,repetidas,2006-01-01,365,365
SAN LORENZO(PND),consultas prenatales,repetidas,2006-01-01,15,15
SAN LORENZO(TJA),consultas prenatales,repetidas,2006-01-01,80,80
SAN LUCAS,consultas prenatales,repetidas,2006-01-01,247,247
SAN MATIAS,consultas prenatales,repetidas,2006-01-01,97,97
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2006-01-01,55,55
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2006-01-01,15,15
SAN PEDRO,consultas prenatales,repetidas,2006-01-01,171,171
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2006-01-01,70,70
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2006-01-01,10,10
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2006-01-01,3,3
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2006-01-01,4,4
SAN PEDRO(PND),consultas prenatales,repetidas,2006-01-01,3,3
SAN RAFAEL,consultas prenatales,repetidas,2006-01-01,22,22
SAN RAMON,consultas prenatales,repetidas,2006-01-01,15,15
SAN RAMON,consultas prenatales,repetidas,2006-01-01,45,45
SANTA ANA,consultas prenatales,repetidas,2006-01-01,92,92
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2006-01-01,8502,8502
SANTA ROSA,consultas prenatales,repetidas,2006-01-01,50,50
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2006-01-01,132,132
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2006-01-01,6,6
SANTIAGO DE HUARI,consultas prenatales,repetidas,2006-01-01,16,16
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2006-01-01,14,14
SANTIVAÑES,consultas prenatales,repetidas,2006-01-01,26,26
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2006-01-01,6,6
SAPAHAQUI,consultas prenatales,repetidas,2006-01-01,23,23
SENA,consultas prenatales,repetidas,2006-01-01,23,23
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2006-01-01,57,57
SICAYA,consultas prenatales,repetidas,2006-01-01,3,3
SIPE SIPE,consultas prenatales,repetidas,2006-01-01,232,232
SOPACHUY,consultas prenatales,repetidas,2006-01-01,53,53
SORACACHI,consultas prenatales,repetidas,2006-01-01,17,17
SORATA,consultas prenatales,repetidas,2006-01-01,63,63
SUCRE,consultas prenatales,repetidas,2006-01-01,1815,1815
TACACHI,consultas prenatales,repetidas,2006-01-01,2,2
TACACOMA,consultas prenatales,repetidas,2006-01-01,13,13
TACOBAMBA,consultas prenatales,repetidas,2006-01-01,15,15
TACOPAYA,consultas prenatales,repetidas,2006-01-01,62,62
TAHUA,consultas prenatales,repetidas,2006-01-01,3,3
TAPACARI,consultas prenatales,repetidas,2006-01-01,71,71
TARABUCO,consultas prenatales,repetidas,2006-01-01,157,157
TARACO,consultas prenatales,repetidas,2006-01-01,5,5
TARATA,consultas prenatales,repetidas,2006-01-01,40,40
TARIJA,consultas prenatales,repetidas,2006-01-01,1014,1014
TARVITA,consultas prenatales,repetidas,2006-01-01,100,100
TEOPONTE,consultas prenatales,repetidas,2006-01-01,24,24
TIAWANACU,consultas prenatales,repetidas,2006-01-01,42,42
TINGUIPAYA,consultas prenatales,repetidas,2006-01-01,68,68
TIPUANI,consultas prenatales,repetidas,2006-01-01,70,70
TIQUIPAYA,consultas prenatales,repetidas,2006-01-01,311,311
TIRAQUE (CBBA),consultas prenatales,repetidas,2006-01-01,269,269
TOCO,consultas prenatales,repetidas,2006-01-01,5,5
TODOS SANTOS,consultas prenatales,repetidas,2006-01-01,1,1
TOLATA,consultas prenatales,repetidas,2006-01-01,19,19
TOLEDO,consultas prenatales,repetidas,2006-01-01,18,18
TOMAVE,consultas prenatales,repetidas,2006-01-01,32,32
TOMINA,consultas prenatales,repetidas,2006-01-01,69,69
TORO TORO,consultas prenatales,repetidas,2006-01-01,51,51
TOTORA(CBBA),consultas prenatales,repetidas,2006-01-01,53,53
TOTORA(ORR),consultas prenatales,repetidas,2006-01-01,9,9
TRIGAL,consultas prenatales,repetidas,2006-01-01,6,6
TRINIDAD,consultas prenatales,repetidas,2006-01-01,797,797
TUPIZA,consultas prenatales,repetidas,2006-01-01,289,289
TURCO,consultas prenatales,repetidas,2006-01-01,9,9
UMALA,consultas prenatales,repetidas,2006-01-01,3,3
UNCIA,consultas prenatales,repetidas,2006-01-01,149,149
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2006-01-01,71,71
URUBICHA,consultas prenatales,repetidas,2006-01-01,67,67
UYUNI,consultas prenatales,repetidas,2006-01-01,115,115
VACAS,consultas prenatales,repetidas,2006-01-01,65,65
VALLEGRANDE,consultas prenatales,repetidas,2006-01-01,79,79
VIACHA,consultas prenatales,repetidas,2006-01-01,146,146
VILA VILA,consultas prenatales,repetidas,2006-01-01,3,3
VILLA MONTES,consultas prenatales,repetidas,2006-01-01,221,221
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2006-01-01,1,1
VILLA RIVERO,consultas prenatales,repetidas,2006-01-01,20,20
VILLA SERRANO,consultas prenatales,repetidas,2006-01-01,63,63
VILLA TUNARI,consultas prenatales,repetidas,2006-01-01,366,366
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2006-01-01,59,59
VILLAZON,consultas prenatales,repetidas,2006-01-01,260,260
VINTO,consultas prenatales,repetidas,2006-01-01,181,181
VITICHI,consultas prenatales,repetidas,2006-01-01,65,65
WALDO BALLIVIAN,consultas prenatales,repetidas,2006-01-01,3,3
WARNES,consultas prenatales,repetidas,2006-01-01,348,348
YACO,consultas prenatales,repetidas,2006-01-01,12,12
YACUIBA,consultas prenatales,repetidas,2006-01-01,454,454
YAMPARAEZ,consultas prenatales,repetidas,2006-01-01,53,53
YANACACHI,consultas prenatales,repetidas,2006-01-01,15,15
YAPACANI,consultas prenatales,repetidas,2006-01-01,343,343
YOCALLA,consultas prenatales,repetidas,2006-01-01,14,14
YOTALA,consultas prenatales,repetidas,2006-01-01,46,46
YUNCHARA,consultas prenatales,repetidas,2006-01-01,25,25
ZUDAÑEZ,consultas prenatales,repetidas,2006-01-01,43,43
ACACIO,consultas prenatales,repetidas,2006-02-01,29,29
ACHACACHI,consultas prenatales,repetidas,2006-02-01,166,166
ACHOCALLA,consultas prenatales,repetidas,2006-02-01,46,46
AIQUILE,consultas prenatales,repetidas,2006-02-01,121,121
ALALAY,consultas prenatales,repetidas,2006-02-01,3,3
ALCALA,consultas prenatales,repetidas,2006-02-01,32,32
ANCORAIMES,consultas prenatales,repetidas,2006-02-01,57,57
ANDAMARCA,consultas prenatales,repetidas,2006-02-01,6,6
ANTEQUERA,consultas prenatales,repetidas,2006-02-01,14,14
ANZALDO,consultas prenatales,repetidas,2006-02-01,18,18
APOLO,consultas prenatales,repetidas,2006-02-01,56,56
ARAMPAMPA,consultas prenatales,repetidas,2006-02-01,14,14
ARANI,consultas prenatales,repetidas,2006-02-01,36,36
ARBIETO,consultas prenatales,repetidas,2006-02-01,13,13
ARQUE,consultas prenatales,repetidas,2006-02-01,47,47
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-02-01,183,183
ATOCHA,consultas prenatales,repetidas,2006-02-01,66,66
AUCAPATA,consultas prenatales,repetidas,2006-02-01,6,6
AYATA,consultas prenatales,repetidas,2006-02-01,13,13
AYO AYO,consultas prenatales,repetidas,2006-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-02-01,89,89
AZURDUY,consultas prenatales,repetidas,2006-02-01,95,95
BATALLAS,consultas prenatales,repetidas,2006-02-01,51,51
BAURES,consultas prenatales,repetidas,2006-02-01,25,25
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-02-01,4,4
BELEN DE URMIRI,consultas prenatales,repetidas,2006-02-01,11,11
BELLA FLOR,consultas prenatales,repetidas,2006-02-01,17,17
BERMEJO,consultas prenatales,repetidas,2006-02-01,185,185
BETANZOS,consultas prenatales,repetidas,2006-02-01,129,129
BOLIVAR,consultas prenatales,repetidas,2006-02-01,19,19
BOLPEBRA,consultas prenatales,repetidas,2006-02-01,5,5
BOYUIBE,consultas prenatales,repetidas,2006-02-01,22,22
BUENA VISTA,consultas prenatales,repetidas,2006-02-01,69,69
CABEZAS,consultas prenatales,repetidas,2006-02-01,70,70
CAIROMA,consultas prenatales,repetidas,2006-02-01,60,60
"CAIZA ""D""",consultas prenatales,repetidas,2006-02-01,20,20
CAJUATA,consultas prenatales,repetidas,2006-02-01,52,52
CALACOTO,consultas prenatales,repetidas,2006-02-01,8,8
CALAMARCA,consultas prenatales,repetidas,2006-02-01,46,46
CAMARGO,consultas prenatales,repetidas,2006-02-01,122,122
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-02-01,31,31
CAMIRI,consultas prenatales,repetidas,2006-02-01,217,217
CAPINOTA,consultas prenatales,repetidas,2006-02-01,104,104
CAQUIAVIRI,consultas prenatales,repetidas,2006-02-01,19,19
CARACOLLO,consultas prenatales,repetidas,2006-02-01,74,74
CARANAVI,consultas prenatales,repetidas,2006-02-01,296,296
CARAPARI,consultas prenatales,repetidas,2006-02-01,45,45
CARIPUYO,consultas prenatales,repetidas,2006-02-01,22,22
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-02-01,10,10
CHACARILLA,consultas prenatales,repetidas,2006-02-01,2,2
CHALLAPATA,consultas prenatales,repetidas,2006-02-01,127,127
CHAQUI,consultas prenatales,repetidas,2006-02-01,20,20
CHARAGUA,consultas prenatales,repetidas,2006-02-01,112,112
CHARAÑA,consultas prenatales,repetidas,2006-02-01,6,6
CHAYANTA,consultas prenatales,repetidas,2006-02-01,60,60
CHIMORE,consultas prenatales,repetidas,2006-02-01,59,59
CHIPAYA,consultas prenatales,repetidas,2006-02-01,8,8
CHOQUE COTA,consultas prenatales,repetidas,2006-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-02-01,111,111
CHUMA,consultas prenatales,repetidas,2006-02-01,22,22
CLIZA,consultas prenatales,repetidas,2006-02-01,78,78
COBIJA,consultas prenatales,repetidas,2006-02-01,286,286
COCHABAMBA,consultas prenatales,repetidas,2006-02-01,4662,4662
COIPASA,consultas prenatales,repetidas,2006-02-01,1,1
COLCAPIRHUA,consultas prenatales,repetidas,2006-02-01,283,283
"COLCHA ""K""",consultas prenatales,repetidas,2006-02-01,44,44
COLLANA,consultas prenatales,repetidas,2006-02-01,3,3
COLOMI,consultas prenatales,repetidas,2006-02-01,105,105
COLPA BELGICA,consultas prenatales,repetidas,2006-02-01,40,40
COLQUECHACA,consultas prenatales,repetidas,2006-02-01,151,151
COLQUENCHA,consultas prenatales,repetidas,2006-02-01,19,19
COLQUIRI,consultas prenatales,repetidas,2006-02-01,71,71
COMANCHE,consultas prenatales,repetidas,2006-02-01,10,10
COMARAPA,consultas prenatales,repetidas,2006-02-01,105,105
CONCEPCION,consultas prenatales,repetidas,2006-02-01,98,98
COPACABANA,consultas prenatales,repetidas,2006-02-01,53,53
CORIPATA,consultas prenatales,repetidas,2006-02-01,68,68
CORO CORO,consultas prenatales,repetidas,2006-02-01,29,29
COROICO,consultas prenatales,repetidas,2006-02-01,88,88
CORQUE,consultas prenatales,repetidas,2006-02-01,12,12
COTAGAITA,consultas prenatales,repetidas,2006-02-01,116,116
COTOCA,consultas prenatales,repetidas,2006-02-01,131,131
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-02-01,85,85
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-02-01,3,3
CUEVO,consultas prenatales,repetidas,2006-02-01,25,25
CULPINA,consultas prenatales,repetidas,2006-02-01,81,81
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-02-01,23,23
CURVA,consultas prenatales,repetidas,2006-02-01,3,3
DESAGUADERO,consultas prenatales,repetidas,2006-02-01,22,22
EL ALTO,consultas prenatales,repetidas,2006-02-01,3763,3763
EL CHORO,consultas prenatales,repetidas,2006-02-01,13,13
EL PUENTE(STC),consultas prenatales,repetidas,2006-02-01,79,79
EL PUENTE(TJA),consultas prenatales,repetidas,2006-02-01,46,46
EL TORNO,consultas prenatales,repetidas,2006-02-01,176,176
EL VILLAR,consultas prenatales,repetidas,2006-02-01,36,36
ENTRE RIOS,consultas prenatales,repetidas,2006-02-01,64,64
ENTRE RIOS,consultas prenatales,repetidas,2006-02-01,135,135
EUCALIPTUS,consultas prenatales,repetidas,2006-02-01,31,31
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-02-01,1,1
EXALTACION,consultas prenatales,repetidas,2006-02-01,20,20
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-02-01,84,84
FILADELFIA,consultas prenatales,repetidas,2006-02-01,11,11
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-02-01,81,81
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-02-01,16,16
