municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,20,20
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,19,19
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,36,36
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,24,24
MOROCHATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,603,603
PADCAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,12,12
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,26,26
PALOS BLANCOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,23,23
PAMPA GRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,23,23
POCOATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
POCONA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,8,8
POJO (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,14,14
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,18,18
POROMA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,8,8
PORONGO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,27,27
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,443,443
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,18,18
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,118,118
PUNA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,9,9
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,68,68
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,222,222
RAVELO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,15,15
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,128,128
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,31,31
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,29,29
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,157,157
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,8,8
SAMAIPATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
SAN AGUSTIN,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
SAN ANDRES,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,8,8
SAN BENITO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
SAN BORJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,57,57
SAN BUENA VENTURA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,27,27
SAN CARLOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,24,24
SAN IGNACIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,29,29
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,67,67
SAN JAVIER(STC),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,26,26
SAN JOAQUIN,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,38,38
SAN JUAN DE YAPACANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
SAN JULIAN,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,38,38
SAN LORENZO(PND),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
SAN LORENZO(TJA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
SAN LUCAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,29,29
SAN MATIAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,11,11
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,11,11
SAN RAFAEL,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,5,5
SAN RAMON BENI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,15,15
SAN RAMON SCZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2236,2236
SANTA ROSA DEL SARA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,13,13
SANTUARIO DE QUILLACAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,4,4
SENA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
SIPE SIPE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,30,30
SOPACHUY,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
SUCRE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,378,378
TARABUCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,14,14
TARIJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,488,488
TARVITA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,14,14
TINGUIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
TIQUIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,75,75
TIRAQUE (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,15,15
TOMAVE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
TOMINA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,9,9
TORO TORO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
TOTORA(CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,27,27
TRINIDAD,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,301,301
UNCIA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,14,14
URUBICHA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
UYUNI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
VACAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,7,7
VALLEGRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,24,24
VIACHA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,60,60
VILLA MONTES,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,76,76
VILLA RIVERO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,10,10
VILLA SERRANO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
VILLA TUNARI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,60,60
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
VILLAZON,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,36,36
VINTO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,38,38
WARNES,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,2,2
YACO,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,3,3
YACUIBA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,46,46
YAPACANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,92,92
YOTALA,atencion de partos en servicios,rn con alojamiento conjunto,2018-01-01,6,6
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,18,18
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,19,19
APOLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,18,18
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,43,43
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
AYATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,16,16
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
BELEN DE ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,42,42
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,7,7
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,23,23
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
CALACOTO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,24,24
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,15,15
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,13,13
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,10,10
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,68,68
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,27,27
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,46,46
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
CHIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,19,19
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,36,36
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,116,116
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,904,904
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,42,42
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,17,17
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,22,22
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,31,31
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,24,24
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,62,62
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,15,15
CUEVO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1290,1290
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,7,7
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,39,39
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,12,12
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,9,9
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
GUAYARAMERIN,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,68,68
GUTIERREZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,8,8
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,12,12
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,20,20
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,10,10
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,64,64
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,603,603
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,39,39
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
MACHACAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
MACHARETI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,16,16
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,11,11
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,18,18
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,36,36
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,43,43
MOROCHATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1022,1022
PADCAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,8,8
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,12,12
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,28,28
PALOS BLANCOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,13,13
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,17,17
PELECHUCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
POCOATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
POCONA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
POJO (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
POROMA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
PORTACHUELO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,29,29
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,363,363
PUERTO ACOSTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,104,104
PUNA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,87,87
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,208,208
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,11,11
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,247,247
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,25,25
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,30,30
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,148,148
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,9,9
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
SAMAIPATA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
SAN ANDRES,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,7,7
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
SAN BORJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,60,60
SAN BUENA VENTURA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
SAN CARLOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,30,30
SAN IGNACIO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,28,28
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,81,81
SAN JOAQUIN,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,40,40
SAN JUAN DE YAPACANI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
SAN JULIAN,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,31,31
SAN LORENZO(PND),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
SAN LUCAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,19,19
SAN MATIAS,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,17,17
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
SAN PEDRO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,10,10
SAN RAFAEL,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,3,3
SAN RAMON BENI,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
SAN RAMON SCZ,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,7,7
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2005,2005
SANTA ROSA DEL SARA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,10,10
SENA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
SIPE SIPE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,36,36
SOPACHUY,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,7,7
SUCRE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,342,342
TARABUCO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,13,13
TARIJA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,337,337
TARVITA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,6,6
TIQUIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,65,65
TIRAQUE (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
TOLEDO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,1,1
TOMAVE,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,2,2
TOMINA,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,5,5
TORO TORO,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,4,4
TOTORA(CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,19,19
TRINIDAD,atencion de partos en servicios,rn con alojamiento conjunto,2018-02-01,306,306
