municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,33,33
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,83,83
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,42,42
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,56,56
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,60,60
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,57,57
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,66,66
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,231,231
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,14,14
CATACORA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
CHACARILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,77,77
CHARAÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,40,40
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,29,29
CHOQUE COTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,59,59
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
CLIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,66,66
COBIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,129,129
COCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
COCHABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1389,1389
COIPASA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
COLCAPIRHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,108,108
"COLCHA ""K""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,21,21
COLLANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
COLOMI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,66,66
COLPA BELGICA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,21,21
COLQUECHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
COLQUENCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,19,19
COLQUIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
COMANCHE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
COMARAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,37,37
COMBAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
CONCEPCION,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,96,96
COPACABANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,29,29
CORIPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,35,35
CORO CORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,13,13
COROICO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
CORQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
COTAGAITA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,45,45
COTOCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,116,116
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,41,41
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
CUEVO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
CULPINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,7,7
CURVA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
DESAGUADERO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
EL ALTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1756,1756
EL CHORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
EL PUENTE(STC),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
EL PUENTE(TJA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
EL TORNO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,156,156
EL VILLAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,11,11
ENTRE RIOS TRJ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
ENTRE RIOS CBBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,82,82
ESCOMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,25,25
EUCALIPTUS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,13,13
EUREKA (SANTOS MERCADO),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
EXALTACION,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
FILADELFIA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,18,18
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,46,46
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
GUANAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
GUAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
GUAYARAMERIN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,170,170
GUTIERREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
HUACARETA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
HUACHACALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
HUANUNI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,43,43
HUARACAJE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
HUARINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
HUAYLLAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,7,7
HUMANATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
ICHOCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
ICLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
INCAHUASI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
INGAVI (HUMAITA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
INQUISIVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,21,21
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
IXIAMAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
JESUS DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
LA ASUNTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,103,103
LA GUARDIA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,137,137
LA PAZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1575,1575
LAGUNILLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
LAJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
LAS CARRERAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
LICOMA PAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
LLALLAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,64,64
LLICA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
LORETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,19,19
LURIBAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,26,26
MACHACAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,12,12
MACHARETI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
MAGDALENA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
MAIRANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
MALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
MAPIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,31,31
MECAPACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
MINEROS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,69,69
MIZQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,66,66
MOCOMOCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
MOJOCOYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,13,13
MONTEAGUDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,66,66
MONTERO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,192,192
MORO MORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
MOROCHATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,27,27
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
OCURI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,29,29
OKINAWA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
OMEREQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,12,12
ORURO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,752,752
PADCAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
PADILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
PAILON,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,95,95
PALCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,28,28
PALOS BLANCOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,93,93
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
PAMPA GRANDE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,14,14
PAPEL PAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,7,7
PASORAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
PATACAMAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
PAZÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,13,13
PELECHUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
POCOATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,34,34
POCONA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
POJO (CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,41,41
POOPO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,18,18
PORCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
POROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,19,19
PORONGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
PORTACHUELO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,27,27
PORVENIR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
POSTRER VALLE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
POTOSI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,438,438
PRESTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
PUCARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
PUCARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,49,49
PUERTO ACOSTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
PUERTO CARABUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,14,14
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
PUERTO PEREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
PUERTO QUIJARRO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,57,57
PUERTO RICO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,19,19
PUERTO SILES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
PUERTO SUAREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,45,45
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,149,149
PUNA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,18,18
PUNATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,28,28
QUIABAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
QUILLACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,184,184
QUIME,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
QUIRUSILLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
RAVELO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
REYES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,26,26
RIBERALTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,300,300
ROBORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
RURRENABAQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,50,50
SABAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
SACABA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,310,310
SACABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
SACACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,38,38
SAIPINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
SAMAIPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,10,10
SAN ANDRES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,20,20
SAN BENITO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SAN BORJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,95,95
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,36,36
SAN CARLOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,44,44
SAN IGNACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,53,53
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,187,187
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
SAN JAVIER(STC),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,38,38
SAN JOAQUIN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,10,10
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
SAN JULIAN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,234,234
SAN LORENZO(PND),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,10,10
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SAN LUCAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,70,70
SAN MATIAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,42,42
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
SAN PEDRO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,22,22
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,11,11
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SAN PEDRO(PND),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
SAN RAFAEL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,16,16
SAN RAMON BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SAN RAMON SCZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,31,31
SANTA ANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,44,44
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2208,2208
SANTA ROSA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,30,30
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,48,48
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,14,14
SANTIAGO DE HUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,11,11
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
SANTIVAÑES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,9,9
SAPAHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
SENA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,7,7
SHINAOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,49,49
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,44,44
SICAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
SIPE SIPE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,96,96
SOPACHUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,17,17
SORACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
SORATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,42,42
SUCRE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,752,752
TACACOMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,23,23
TACOBAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,6,6
TACOPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,24,24
TAHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
TAPACARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,41,41
TARABUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,31,31
TARACO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
TARATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,29,29
TARIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,236,236
TARVITA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,31,31
TEOPONTE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
TIAWANACU,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,33,33
TINGUIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,21,21
TIPUANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,43,43
TIQUIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,123,123
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,32,32
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,1,1
TOCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,10,10
TODOS SANTOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,2,2
TOLATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,4,4
TOLEDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,14,14
TOMAVE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,19,19
TOMINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,12,12
TORO TORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,15,15
TOTORA(CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,13,13
TOTORA(ORR),micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,8,8
TRIGAL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,3,3
TRINIDAD,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,430,430
TUPIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,41,41
TURCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2011-01-01,7,7
