municipality,group,variable,month,Viviendas Roceadas,TOTAL
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-02-01,8,8
MONTEAGUDO,chagas viviendas,viviendas roceadas,2016-02-01,4,4
OMEREQUE,chagas viviendas,viviendas roceadas,2016-02-01,7,7
PADCAYA,chagas viviendas,viviendas roceadas,2016-02-01,3,3
PASORAPA,chagas viviendas,viviendas roceadas,2016-02-01,2,2
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-02-01,19,19
RAVELO,chagas viviendas,viviendas roceadas,2016-02-01,138,138
SACABA,chagas viviendas,viviendas roceadas,2016-02-01,11,11
SAIPINA,chagas viviendas,viviendas roceadas,2016-02-01,9,9
SAN BENITO,chagas viviendas,viviendas roceadas,2016-02-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2016-02-01,5,5
SANTIVAÑES,chagas viviendas,viviendas roceadas,2016-02-01,7,7
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-02-01,30,30
TAPACARI,chagas viviendas,viviendas roceadas,2016-02-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2016-02-01,6,6
TUPIZA,chagas viviendas,viviendas roceadas,2016-02-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-02-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-02-01,12,12
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-02-01,11,11
VILLA RIVERO,chagas viviendas,viviendas roceadas,2016-02-01,4,4
VINTO,chagas viviendas,viviendas roceadas,2016-02-01,4,4
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-02-01,6,6
AIQUILE,chagas viviendas,viviendas roceadas,2016-03-01,117,117
ANZALDO,chagas viviendas,viviendas roceadas,2016-03-01,8,8
ARANI,chagas viviendas,viviendas roceadas,2016-03-01,5,5
ARBIETO,chagas viviendas,viviendas roceadas,2016-03-01,6,6
ARQUE,chagas viviendas,viviendas roceadas,2016-03-01,26,26
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2016-03-01,6,6
CAMARGO,chagas viviendas,viviendas roceadas,2016-03-01,13,13
CAPINOTA,chagas viviendas,viviendas roceadas,2016-03-01,39,39
CARAPARI,chagas viviendas,viviendas roceadas,2016-03-01,9,9
CLIZA,chagas viviendas,viviendas roceadas,2016-03-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-03-01,37,37
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-03-01,8,8
COMARAPA,chagas viviendas,viviendas roceadas,2016-03-01,52,52
COTAGAITA,chagas viviendas,viviendas roceadas,2016-03-01,8,8
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2016-03-01,35,35
MIZQUE,chagas viviendas,viviendas roceadas,2016-03-01,100,100
OMEREQUE,chagas viviendas,viviendas roceadas,2016-03-01,20,20
PASORAPA,chagas viviendas,viviendas roceadas,2016-03-01,1,1
POCONA,chagas viviendas,viviendas roceadas,2016-03-01,2,2
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-03-01,190,190
PUCARA,chagas viviendas,viviendas roceadas,2016-03-01,1,1
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-03-01,21,21
SACABA,chagas viviendas,viviendas roceadas,2016-03-01,3,3
SAN BENITO,chagas viviendas,viviendas roceadas,2016-03-01,9,9
SICAYA,chagas viviendas,viviendas roceadas,2016-03-01,22,22
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-03-01,36,36
TAPACARI,chagas viviendas,viviendas roceadas,2016-03-01,9,9
TARATA,chagas viviendas,viviendas roceadas,2016-03-01,1,1
TARIJA,chagas viviendas,viviendas roceadas,2016-03-01,33,33
TIQUIPAYA,chagas viviendas,viviendas roceadas,2016-03-01,5,5
TOMAVE,chagas viviendas,viviendas roceadas,2016-03-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2016-03-01,46,46
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2016-03-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-03-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-03-01,24,24
VILLA RIVERO,chagas viviendas,viviendas roceadas,2016-03-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-03-01,35,35
ACACIO,chagas viviendas,viviendas roceadas,2016-04-01,4,4
AIQUILE,chagas viviendas,viviendas roceadas,2016-04-01,81,81
ALCALA,chagas viviendas,viviendas roceadas,2016-04-01,2,2
ANZALDO,chagas viviendas,viviendas roceadas,2016-04-01,6,6
ARAMPAMPA,chagas viviendas,viviendas roceadas,2016-04-01,5,5
ARANI,chagas viviendas,viviendas roceadas,2016-04-01,7,7
ARBIETO,chagas viviendas,viviendas roceadas,2016-04-01,4,4
ARQUE,chagas viviendas,viviendas roceadas,2016-04-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2016-04-01,2,2
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2016-04-01,34,34
CAMARGO,chagas viviendas,viviendas roceadas,2016-04-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2016-04-01,63,63
CARAPARI,chagas viviendas,viviendas roceadas,2016-04-01,11,11
CHARAGUA,chagas viviendas,viviendas roceadas,2016-04-01,552,552
CKOCHAS,chagas viviendas,viviendas roceadas,2016-04-01,4,4
CLIZA,chagas viviendas,viviendas roceadas,2016-04-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-04-01,63,63
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-04-01,9,9
COMARAPA,chagas viviendas,viviendas roceadas,2016-04-01,125,125
COTAGAITA,chagas viviendas,viviendas roceadas,2016-04-01,16,16
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2016-04-01,3,3
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-04-01,5,5
MIZQUE,chagas viviendas,viviendas roceadas,2016-04-01,138,138
MONTEAGUDO,chagas viviendas,viviendas roceadas,2016-04-01,157,157
OCURI,chagas viviendas,viviendas roceadas,2016-04-01,164,164
OMEREQUE,chagas viviendas,viviendas roceadas,2016-04-01,13,13
PASORAPA,chagas viviendas,viviendas roceadas,2016-04-01,335,335
POCONA,chagas viviendas,viviendas roceadas,2016-04-01,1,1
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-04-01,4,4
POROMA,chagas viviendas,viviendas roceadas,2016-04-01,41,41
PUNA,chagas viviendas,viviendas roceadas,2016-04-01,75,75
PUNATA,chagas viviendas,viviendas roceadas,2016-04-01,25,25
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-04-01,15,15
RAVELO,chagas viviendas,viviendas roceadas,2016-04-01,74,74
SACABA,chagas viviendas,viviendas roceadas,2016-04-01,14,14
SAIPINA,chagas viviendas,viviendas roceadas,2016-04-01,32,32
SAN BENITO,chagas viviendas,viviendas roceadas,2016-04-01,1,1
SAN LUCAS,chagas viviendas,viviendas roceadas,2016-04-01,8,8
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2016-04-01,17,17
SICAYA,chagas viviendas,viviendas roceadas,2016-04-01,8,8
SUCRE,chagas viviendas,viviendas roceadas,2016-04-01,13,13
TAPACARI,chagas viviendas,viviendas roceadas,2016-04-01,7,7
TARABUCO,chagas viviendas,viviendas roceadas,2016-04-01,16,16
TARIJA,chagas viviendas,viviendas roceadas,2016-04-01,22,22
TOLATA,chagas viviendas,viviendas roceadas,2016-04-01,3,3
TOMAVE,chagas viviendas,viviendas roceadas,2016-04-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2016-04-01,7,7
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2016-04-01,3,3
TUPIZA,chagas viviendas,viviendas roceadas,2016-04-01,12,12
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-04-01,18,18
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-04-01,2,2
VILLA CHARCAS,chagas viviendas,viviendas roceadas,2016-04-01,59,59
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-04-01,18,18
VILLA RIVERO,chagas viviendas,viviendas roceadas,2016-04-01,4,4
VILLA SERRANO,chagas viviendas,viviendas roceadas,2016-04-01,10,10
VINTO,chagas viviendas,viviendas roceadas,2016-04-01,12,12
VITICHI,chagas viviendas,viviendas roceadas,2016-04-01,16,16
YAMPARAEZ,chagas viviendas,viviendas roceadas,2016-04-01,4,4
YOTALA,chagas viviendas,viviendas roceadas,2016-04-01,9,9
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-04-01,41,41
ACACIO,chagas viviendas,viviendas roceadas,2016-05-01,10,10
AIQUILE,chagas viviendas,viviendas roceadas,2016-05-01,60,60
ANZALDO,chagas viviendas,viviendas roceadas,2016-05-01,6,6
ARAMPAMPA,chagas viviendas,viviendas roceadas,2016-05-01,5,5
ARANI,chagas viviendas,viviendas roceadas,2016-05-01,8,8
ARBIETO,chagas viviendas,viviendas roceadas,2016-05-01,8,8
ARQUE,chagas viviendas,viviendas roceadas,2016-05-01,7,7
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2016-05-01,6,6
CAMARGO,chagas viviendas,viviendas roceadas,2016-05-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2016-05-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2016-05-01,47,47
CARAPARI,chagas viviendas,viviendas roceadas,2016-05-01,16,16
CHAQUI,chagas viviendas,viviendas roceadas,2016-05-01,230,230
CHARAGUA,chagas viviendas,viviendas roceadas,2016-05-01,664,664
CKOCHAS,chagas viviendas,viviendas roceadas,2016-05-01,4,4
CLIZA,chagas viviendas,viviendas roceadas,2016-05-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-05-01,60,60
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-05-01,13,13
COMARAPA,chagas viviendas,viviendas roceadas,2016-05-01,38,38
COTAGAITA,chagas viviendas,viviendas roceadas,2016-05-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2016-05-01,2,2
CULPINA,chagas viviendas,viviendas roceadas,2016-05-01,33,33
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-05-01,12,12
ICLA,chagas viviendas,viviendas roceadas,2016-05-01,3,3
MOJOCOYA,chagas viviendas,viviendas roceadas,2016-05-01,15,15
MONTEAGUDO,chagas viviendas,viviendas roceadas,2016-05-01,48,48
MOROCHATA,chagas viviendas,viviendas roceadas,2016-05-01,12,12
OMEREQUE,chagas viviendas,viviendas roceadas,2016-05-01,22,22
PADCAYA,chagas viviendas,viviendas roceadas,2016-05-01,2,2
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2016-05-01,3,3
PASORAPA,chagas viviendas,viviendas roceadas,2016-05-01,24,24
POCOATA,chagas viviendas,viviendas roceadas,2016-05-01,32,32
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-05-01,15,15
POROMA,chagas viviendas,viviendas roceadas,2016-05-01,4,4
POSTRER VALLE,chagas viviendas,viviendas roceadas,2016-05-01,20,20
PRESTO,chagas viviendas,viviendas roceadas,2016-05-01,12,12
PUCARA,chagas viviendas,viviendas roceadas,2016-05-01,1,1
PUNA,chagas viviendas,viviendas roceadas,2016-05-01,133,133
PUNATA,chagas viviendas,viviendas roceadas,2016-05-01,23,23
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-05-01,11,11
RAVELO,chagas viviendas,viviendas roceadas,2016-05-01,63,63
SACABA,chagas viviendas,viviendas roceadas,2016-05-01,22,22
SACABAMBA,chagas viviendas,viviendas roceadas,2016-05-01,5,5
SAIPINA,chagas viviendas,viviendas roceadas,2016-05-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2016-05-01,6,6
SANTIVAÑES,chagas viviendas,viviendas roceadas,2016-05-01,45,45
SAPAHAQUI,chagas viviendas,viviendas roceadas,2016-05-01,35,35
SICAYA,chagas viviendas,viviendas roceadas,2016-05-01,11,11
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-05-01,129,129
SUCRE,chagas viviendas,viviendas roceadas,2016-05-01,99,99
TAPACARI,chagas viviendas,viviendas roceadas,2016-05-01,8,8
TARABUCO,chagas viviendas,viviendas roceadas,2016-05-01,2,2
TARIJA,chagas viviendas,viviendas roceadas,2016-05-01,21,21
TOCO,chagas viviendas,viviendas roceadas,2016-05-01,2,2
TOMAVE,chagas viviendas,viviendas roceadas,2016-05-01,2,2
TOMINA,chagas viviendas,viviendas roceadas,2016-05-01,88,88
TORO TORO,chagas viviendas,viviendas roceadas,2016-05-01,20,20
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2016-05-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2016-05-01,14,14
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-05-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-05-01,176,176
VILLA CHARCAS,chagas viviendas,viviendas roceadas,2016-05-01,28,28
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-05-01,23,23
VINTO,chagas viviendas,viviendas roceadas,2016-05-01,4,4
YACUIBA,chagas viviendas,viviendas roceadas,2016-05-01,11,11
YOTALA,chagas viviendas,viviendas roceadas,2016-05-01,16,16
YUNCHARA,chagas viviendas,viviendas roceadas,2016-05-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-05-01,17,17
ACACIO,chagas viviendas,viviendas roceadas,2016-06-01,8,8
AIQUILE,chagas viviendas,viviendas roceadas,2016-06-01,59,59
ALCALA,chagas viviendas,viviendas roceadas,2016-06-01,13,13
ANZALDO,chagas viviendas,viviendas roceadas,2016-06-01,8,8
ARAMPAMPA,chagas viviendas,viviendas roceadas,2016-06-01,17,17
ARBIETO,chagas viviendas,viviendas roceadas,2016-06-01,10,10
ARQUE,chagas viviendas,viviendas roceadas,2016-06-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2016-06-01,74,74
AZURDUY,chagas viviendas,viviendas roceadas,2016-06-01,8,8
BETANZOS,chagas viviendas,viviendas roceadas,2016-06-01,16,16
CAPINOTA,chagas viviendas,viviendas roceadas,2016-06-01,35,35
CARAPARI,chagas viviendas,viviendas roceadas,2016-06-01,35,35
CHAQUI,chagas viviendas,viviendas roceadas,2016-06-01,9,9
CHARAGUA,chagas viviendas,viviendas roceadas,2016-06-01,628,628
CKOCHAS,chagas viviendas,viviendas roceadas,2016-06-01,59,59
CLIZA,chagas viviendas,viviendas roceadas,2016-06-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-06-01,53,53
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-06-01,12,12
COLQUECHACA,chagas viviendas,viviendas roceadas,2016-06-01,5,5
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2016-06-01,4,4
CULPINA,chagas viviendas,viviendas roceadas,2016-06-01,52,52
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-06-01,2,2
EL VILLAR,chagas viviendas,viviendas roceadas,2016-06-01,517,517
HUACARETA,chagas viviendas,viviendas roceadas,2016-06-01,5,5
ICLA,chagas viviendas,viviendas roceadas,2016-06-01,2,2
INCAHUASI,chagas viviendas,viviendas roceadas,2016-06-01,10,10
LURIBAY,chagas viviendas,viviendas roceadas,2016-06-01,43,43
MAIRANA,chagas viviendas,viviendas roceadas,2016-06-01,23,23
MIZQUE,chagas viviendas,viviendas roceadas,2016-06-01,14,14
MOJOCOYA,chagas viviendas,viviendas roceadas,2016-06-01,90,90
MONTEAGUDO,chagas viviendas,viviendas roceadas,2016-06-01,52,52
MORO MORO,chagas viviendas,viviendas roceadas,2016-06-01,185,185
OMEREQUE,chagas viviendas,viviendas roceadas,2016-06-01,34,34
PADCAYA,chagas viviendas,viviendas roceadas,2016-06-01,10,10
PADILLA,chagas viviendas,viviendas roceadas,2016-06-01,8,8
POCOATA,chagas viviendas,viviendas roceadas,2016-06-01,43,43
POCONA,chagas viviendas,viviendas roceadas,2016-06-01,2,2
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-06-01,9,9
POROMA,chagas viviendas,viviendas roceadas,2016-06-01,7,7
POSTRER VALLE,chagas viviendas,viviendas roceadas,2016-06-01,4,4
PRESTO,chagas viviendas,viviendas roceadas,2016-06-01,34,34
PUNATA,chagas viviendas,viviendas roceadas,2016-06-01,285,285
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-06-01,49,49
RAVELO,chagas viviendas,viviendas roceadas,2016-06-01,52,52
SACABA,chagas viviendas,viviendas roceadas,2016-06-01,25,25
SACABAMBA,chagas viviendas,viviendas roceadas,2016-06-01,7,7
SAIPINA,chagas viviendas,viviendas roceadas,2016-06-01,25,25
SAN BENITO,chagas viviendas,viviendas roceadas,2016-06-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2016-06-01,3,3
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2016-06-01,462,462
SANTIVAÑES,chagas viviendas,viviendas roceadas,2016-06-01,74,74
SAPAHAQUI,chagas viviendas,viviendas roceadas,2016-06-01,4,4
SICAYA,chagas viviendas,viviendas roceadas,2016-06-01,23,23
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-06-01,164,164
TACACHI,chagas viviendas,viviendas roceadas,2016-06-01,3,3
TAPACARI,chagas viviendas,viviendas roceadas,2016-06-01,11,11
TARATA,chagas viviendas,viviendas roceadas,2016-06-01,2,2
TARIJA,chagas viviendas,viviendas roceadas,2016-06-01,12,12
TARVITA,chagas viviendas,viviendas roceadas,2016-06-01,950,950
TOCO,chagas viviendas,viviendas roceadas,2016-06-01,2,2
TOMINA,chagas viviendas,viviendas roceadas,2016-06-01,36,36
TORO TORO,chagas viviendas,viviendas roceadas,2016-06-01,63,63
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2016-06-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2016-06-01,346,346
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-06-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-06-01,25,25
VILLA CHARCAS,chagas viviendas,viviendas roceadas,2016-06-01,32,32
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-06-01,6,6
VILLA RIVERO,chagas viviendas,viviendas roceadas,2016-06-01,5,5
VILLA SERRANO,chagas viviendas,viviendas roceadas,2016-06-01,15,15
VILLAZON,chagas viviendas,viviendas roceadas,2016-06-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2016-06-01,9,9
VITICHI,chagas viviendas,viviendas roceadas,2016-06-01,24,24
YACUIBA,chagas viviendas,viviendas roceadas,2016-06-01,158,158
YAMPARAEZ,chagas viviendas,viviendas roceadas,2016-06-01,72,72
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-06-01,11,11
AIQUILE,chagas viviendas,viviendas roceadas,2016-07-01,118,118
ALCALA,chagas viviendas,viviendas roceadas,2016-07-01,12,12
ARAMPAMPA,chagas viviendas,viviendas roceadas,2016-07-01,2,2
ARBIETO,chagas viviendas,viviendas roceadas,2016-07-01,11,11
ARQUE,chagas viviendas,viviendas roceadas,2016-07-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2016-07-01,82,82
BETANZOS,chagas viviendas,viviendas roceadas,2016-07-01,9,9
CAMARGO,chagas viviendas,viviendas roceadas,2016-07-01,9,9
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2016-07-01,8,8
CAPINOTA,chagas viviendas,viviendas roceadas,2016-07-01,39,39
CARAPARI,chagas viviendas,viviendas roceadas,2016-07-01,9,9
CHARAGUA,chagas viviendas,viviendas roceadas,2016-07-01,100,100
CKOCHAS,chagas viviendas,viviendas roceadas,2016-07-01,35,35
CLIZA,chagas viviendas,viviendas roceadas,2016-07-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-07-01,54,54
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-07-01,3,3
COLQUECHACA,chagas viviendas,viviendas roceadas,2016-07-01,22,22
COMARAPA,chagas viviendas,viviendas roceadas,2016-07-01,7,7
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2016-07-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-07-01,11,11
EL TORNO,chagas viviendas,viviendas roceadas,2016-07-01,45,45
EL VILLAR,chagas viviendas,viviendas roceadas,2016-07-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2016-07-01,7,7
LAS CARRERAS,chagas viviendas,viviendas roceadas,2016-07-01,12,12
LURIBAY,chagas viviendas,viviendas roceadas,2016-07-01,14,14
MOJOCOYA,chagas viviendas,viviendas roceadas,2016-07-01,14,14
MONTEAGUDO,chagas viviendas,viviendas roceadas,2016-07-01,174,174
OMEREQUE,chagas viviendas,viviendas roceadas,2016-07-01,31,31
PADCAYA,chagas viviendas,viviendas roceadas,2016-07-01,4,4
PADILLA,chagas viviendas,viviendas roceadas,2016-07-01,42,42
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2016-07-01,28,28
PASORAPA,chagas viviendas,viviendas roceadas,2016-07-01,1,1
POCONA,chagas viviendas,viviendas roceadas,2016-07-01,8,8
POJO (CBBA),chagas viviendas,viviendas roceadas,2016-07-01,9,9
POROMA,chagas viviendas,viviendas roceadas,2016-07-01,16,16
PRESTO,chagas viviendas,viviendas roceadas,2016-07-01,2,2
PUNATA,chagas viviendas,viviendas roceadas,2016-07-01,103,103
QUILLACOLLO,chagas viviendas,viviendas roceadas,2016-07-01,33,33
RAVELO,chagas viviendas,viviendas roceadas,2016-07-01,62,62
SAIPINA,chagas viviendas,viviendas roceadas,2016-07-01,25,25
SAN BENITO,chagas viviendas,viviendas roceadas,2016-07-01,12,12
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2016-07-01,8,8
SAN LUCAS,chagas viviendas,viviendas roceadas,2016-07-01,5,5
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2016-07-01,206,206
SANTIVAÑES,chagas viviendas,viviendas roceadas,2016-07-01,56,56
SICAYA,chagas viviendas,viviendas roceadas,2016-07-01,2,2
SIPE SIPE,chagas viviendas,viviendas roceadas,2016-07-01,43,43
SOPACHUY,chagas viviendas,viviendas roceadas,2016-07-01,299,299
SUCRE,chagas viviendas,viviendas roceadas,2016-07-01,25,25
TACACHI,chagas viviendas,viviendas roceadas,2016-07-01,5,5
TAPACARI,chagas viviendas,viviendas roceadas,2016-07-01,20,20
TARABUCO,chagas viviendas,viviendas roceadas,2016-07-01,55,55
TARIJA,chagas viviendas,viviendas roceadas,2016-07-01,1,1
TARVITA,chagas viviendas,viviendas roceadas,2016-07-01,4,4
TOCO,chagas viviendas,viviendas roceadas,2016-07-01,2,2
TOLATA,chagas viviendas,viviendas roceadas,2016-07-01,7,7
TOMAVE,chagas viviendas,viviendas roceadas,2016-07-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2016-07-01,8,8
TUPIZA,chagas viviendas,viviendas roceadas,2016-07-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2016-07-01,4,4
VALLEGRANDE,chagas viviendas,viviendas roceadas,2016-07-01,10,10
VILLA CHARCAS,chagas viviendas,viviendas roceadas,2016-07-01,35,35
VILLA MONTES,chagas viviendas,viviendas roceadas,2016-07-01,35,35
VILLA RIVERO,chagas viviendas,viviendas roceadas,2016-07-01,4,4
VILLA SERRANO,chagas viviendas,viviendas roceadas,2016-07-01,7,7
VITICHI,chagas viviendas,viviendas roceadas,2016-07-01,2,2
YACUIBA,chagas viviendas,viviendas roceadas,2016-07-01,247,247
YAMPARAEZ,chagas viviendas,viviendas roceadas,2016-07-01,8,8
YUNCHARA,chagas viviendas,viviendas roceadas,2016-07-01,7,7
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2016-07-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2016-08-01,50,50
ALCALA,chagas viviendas,viviendas roceadas,2016-08-01,7,7
ANZALDO,chagas viviendas,viviendas roceadas,2016-08-01,26,26
ARANI,chagas viviendas,viviendas roceadas,2016-08-01,6,6
ARBIETO,chagas viviendas,viviendas roceadas,2016-08-01,14,14
ARQUE,chagas viviendas,viviendas roceadas,2016-08-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2016-08-01,92,92
AZURDUY,chagas viviendas,viviendas roceadas,2016-08-01,11,11
BETANZOS,chagas viviendas,viviendas roceadas,2016-08-01,77,77
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2016-08-01,2,2
CAMARGO,chagas viviendas,viviendas roceadas,2016-08-01,34,34
CAPINOTA,chagas viviendas,viviendas roceadas,2016-08-01,26,26
CARAPARI,chagas viviendas,viviendas roceadas,2016-08-01,90,90
CKOCHAS,chagas viviendas,viviendas roceadas,2016-08-01,15,15
COCHABAMBA,chagas viviendas,viviendas roceadas,2016-08-01,41,41
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2016-08-01,16,16
COLQUECHACA,chagas viviendas,viviendas roceadas,2016-08-01,25,25
COTAGAITA,chagas viviendas,viviendas roceadas,2016-08-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2016-08-01,1,1
CULPINA,chagas viviendas,viviendas roceadas,2016-08-01,58,58
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2016-08-01,11,11
