municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,43,43
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,15,15
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,18,18
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,38,38
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,4,4
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,144,144
YACO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-01-01,1,1
ACACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,2,2
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,2,2
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,5,5
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,3,3
CHAYANTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,2,2
CORO CORO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,5,5
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,3,3
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,2,2
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,11,11
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,4,4
PALCA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,4,4
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,11,11
RAVELO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,4,4
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,4,4
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,6,6
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,7,7
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
SAN PEDRO DE MACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,45,45
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,4,4
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,7,7
UMALA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,1,1
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,14,14
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-02-01,42,42
ACACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,2,2
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,35,35
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,38,38
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,3,3
CHARAGUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,11,11
CHAYANTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,3,3
"COLCHA ""K""",micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,30,30
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,20,20
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,5,5
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,3,3
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,63,63
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,2,2
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,2,2
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,2,2
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
SAN AGUSTIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,3,3
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,4,4
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,5,5
SAN PEDRO DE MACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,69,69
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,15,15
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,10,10
UNCIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,2,2
UYUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,1,1
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-03-01,144,144
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
ACHOCALLA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,2,2
BAURES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,6,6
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,5,5
CHARAGUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
CHAYANTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,2,2
COLQUECHACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,28,28
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,4,4
GUAYARAMERIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,13,13
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,5,5
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
LA GUARDIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,6,6
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,31,31
LLICA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,6,6
MECAPACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,3,3
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,8,8
PALCA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,4,4
POOPO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
PORONGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,2,2
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,37,37
PUNA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,21,21
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,2,2
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,5,5
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,36,36
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,5,5
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,10,10
UMALA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,1,1
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,4,4
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-04-01,110,110
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,8,8
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,25,25
CHAYANTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,4,4
COLQUECHACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,35,35
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,5,5
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,3,3
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,32,32
MECAPACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,4,4
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,2,2
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,15,15
PALCA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,5,5
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,6,6
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,3,3
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,5,5
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,4,4
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,4,4
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,5,5
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,3,3
SAN PEDRO DE MACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,2,2
TAHUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,2,2
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,11,11
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,20,20
URUBICHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,2,2
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,1,1
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-05-01,100,100
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,11,11
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,4,4
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
CHARAGUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,14,14
COLCAPIRHUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,13,13
COLQUECHACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
CONCEPCION,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,25,25
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,22,22
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,2,2
GUAYARAMERIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
HUANUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,9,9
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
LA GUARDIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,5,5
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,34,34
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,7,7
OKINAWA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,11,11
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,22,22
POCOATA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,4,4
PORONGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,8,8
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,9,9
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,16,16
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,2,2
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,7,7
SACACA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,5,5
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,7,7
SANTA ANA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,32,32
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,50,50
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,12,12
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,9,9
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,4,4
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,25,25
YACUIBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-06-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
CAMARGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,9,9
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
CLIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,5,5
COLCAPIRHUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,23,23
CONCEPCION,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,13,13
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,22,22
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,3,3
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
ESCOMA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
LA GUARDIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,41,41
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,16,16
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,23,23
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,5,5
PORONGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,11,11
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,6,6
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,21,21
SANTA ROSA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,2,2
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,3,3
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,11,11
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,9,9
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,3,3
WARNES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-07-01,13,13
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,5,5
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,7,7
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,8,8
COLCAPIRHUA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,36,36
COLQUIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,2,2
CONCEPCION,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,19,19
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,90,90
EL TORNO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,3,3
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,2,2
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,2,2
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,3,3
LA GUARDIA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,104,104
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,21,21
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,1,1
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,1,1
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,10,10
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,5,5
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,10,10
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,7,7
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,4,4
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,1,1
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,10,10
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,33,33
TARIJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2021-08-01,4,4
