municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
COBIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,73,73
COCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,33,33
COCHABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1036,1036
COIPASA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
COLCAPIRHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,58,58
"COLCHA ""K""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,17,17
COLLANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
COLOMI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,40,40
COLPA BELGICA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
COLQUECHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,39,39
COLQUENCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
COLQUIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
COMANCHE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
COMARAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,45,45
COMBAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
CONCEPCION,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,46,46
COPACABANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,22,22
CORIPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
CORO CORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
COROICO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,21,21
CORQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
COTAGAITA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,22,22
COTOCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,117,117
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
CUEVO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
CULPINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,26,26
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
CURVA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
DESAGUADERO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
EL ALTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1235,1235
EL CHORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
EL PUENTE(STC),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,13,13
EL PUENTE(TJA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
EL TORNO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,82,82
EL VILLAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
ENTRE RIOS TRJ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,26,26
ENTRE RIOS CBBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,79,79
ESCOMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
EUCALIPTUS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
FILADELFIA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,22,22
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
GUANAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
GUAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
GUAYARAMERIN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,82,82
GUTIERREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,23,23
HUACARETA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
HUANUNI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,31,31
HUARACAJE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
HUARINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
HUATAJATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
HUAYLLAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
HUMANATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
ICHOCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
ICLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
INCAHUASI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,21,21
INQUISIVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
IXIAMAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
JESUS DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,13,13
LA ASUNTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,72,72
LA GUARDIA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,182,182
LA PAZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,723,723
LAGUNILLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
LAJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,39,39
LAS CARRERAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
LICOMA PAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
LLALLAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,84,84
LLICA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
LORETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
LURIBAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
MACHACAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
MACHARETI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
MAGDALENA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
MAIRANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
MALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
MAPIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,39,39
MECAPACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
MINEROS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
MIZQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,36,36
MOCOMOCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
MOJOCOYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
MONTEAGUDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,28,28
MONTERO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,312,312
MORO MORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
MOROCHATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
NAZACARA DE PACAJES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
OCURI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
OKINAWA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
OMEREQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
ORURO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,589,589
PADCAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
PADILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,25,25
PAILON,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,45,45
PALCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
PALOS BLANCOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,32,32
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
PAMPA GRANDE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
PAPEL PAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
PATACAMAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,32,32
PAZÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
PELECHUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
POCOATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
POCONA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
POJO (CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
POOPO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
PORCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
POROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
PORONGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
PORTACHUELO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
PORVENIR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
POSTRER VALLE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
POTOSI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,383,383
PRESTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
PUCARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
PUCARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,54,54
PUERTO ACOSTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
PUERTO CARABUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
PUERTO PEREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
PUERTO QUIJARRO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,38,38
PUERTO RICO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
PUERTO SUAREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,26,26
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,133,133
PUNA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
PUNATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,73,73
QUIABAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
QUILLACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,235,235
QUIME,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
RAQAYPAMPA(ETA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
RAVELO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
REYES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
RIBERALTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,284,284
ROBORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
RURRENABAQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,28,28
SABAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
SACABA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,241,241
SACABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
SACACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,35,35
SAIPINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
SAMAIPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SAN AGUSTIN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
SAN ANDRES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
SAN BENITO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
SAN BORJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,73,73
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
SAN CARLOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
SAN IGNACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,20,20
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,147,147
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
SAN JAVIER(STC),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,25,25
SAN JOAQUIN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,19,19
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
SAN JULIAN,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
SAN LORENZO(PND),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
SAN LUCAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,67,67
SAN MATIAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,25,25
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
SAN PEDRO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,14,14
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,36,36
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,6,6
SAN PEDRO DE MACHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,29,29
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SAN PEDRO(PND),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,3,3
SAN RAFAEL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SAN RAMON BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
SAN RAMON SCZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
SANTA ANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2691,2691
SANTA ROSA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,13,13
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
SANTIAGO DE HUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
SANTIVAÑES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
SAPAHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
SENA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
SHINAOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,67,67
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,24,24
SICAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
SIPE SIPE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,82,82
SOPACHUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SORACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
SORATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,26,26
SUCRE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,488,488
TACACOMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,16,16
TACOBAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
TACOPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
TAHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
TAPACARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,38,38
TARABUCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,12,12
TARACO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
TARATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
TARIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,157,157
TARVITA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,13,13
TEOPONTE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
TIAHUANACU,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
TINGUIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,18,18
TIPUANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
TIQUIPAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,88,88
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,32,32
TOCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
TOLATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,7,7
TOLEDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
TOMAVE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,5,5
TOMINA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,8,8
TORO TORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,10,10
TOTORA(CBBA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,30,30
TOTORA(ORR),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,2,2
TRIGAL,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,1,1
TRINIDAD,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,334,334
TUPIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,64,64
TURCO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,9,9
UMALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
UNCIA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,27,27
URIONDO (A. CONCEPCION),micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,15,15
URUBICHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2021-01-01,11,11
