,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,20,20
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,17,17
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,90,90
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,9,9
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,28,28
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,1,1
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,31,31
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,33,33
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,18,18
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,68,68
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,19,19
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,36,36
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,34,34
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,47,47
COCAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,3,3
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,367,367
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
COLOMI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
COLQUIRI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,15,15
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,30,30
COROICO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,59,59
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,29,29
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,1085,1085
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,101,101
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,19,19
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,3,3
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,13,13
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,182,182
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,36,36
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,19,19
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,9,9
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,45,45
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,78,78
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,446,446
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,9,9
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,21,21
MAGDALENA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,16,16
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,26,26
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,57,57
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,81,81
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,316,316
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,3,3
OKINAWA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,41,41
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,664,664
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,14,14
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,24,24
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,77,77
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,23,23
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,71,71
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,155,155
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,127,127
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,13,13
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,32,32
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,33,33
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,289,289
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
SAN BUENA VENTURA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,15,15
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,49,49
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,40,40
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,78,78
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,33,33
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,50,50
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,13,13
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,11,11
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,98,98
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,25,25
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,15,15
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,39,39
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,907,907
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,18,18
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,85,85
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,14,14
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,638,638
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,24,24
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,211,211
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,17,17
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,8,8
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,3,3
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,11,11
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,44,44
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,27,27
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,14,14
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,1,1
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,2,2
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,37,37
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,59,59
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,52,52
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,22,22
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,118,118
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,12,12
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,212,212
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,17,17
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,101,101
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,153,153
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,66,66
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,4,4
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,33,33
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,10,10
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,5,5
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-06-01,0,6,6
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,26,26
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,47,47
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,30,30
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,79,79
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,12,12
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,18,18
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,33,33
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,79,79
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,13,13
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,6,6
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,37,37
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,82,82
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,40,40
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,29,29
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,57,57
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,32,32
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,43,43
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,35,35
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,275,275
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,709,709
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,6,6
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
COLQUIRI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,30,30
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,28,28
COROICO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,57,57
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,15,15
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,25,25
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,24,24
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,30,30
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,1091,1091
EL PUENTE(STC),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,16,16
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,56,56
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,30,30
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,9,9
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,15,15
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,13,13
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,26,26
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,11,11
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,157,157
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,252,252
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,21,21
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,21,21
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,13,13
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,75,75
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,452,452
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,4,4
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,4,4
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,90,90
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,29,29
MAGDALENA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,34,34
MAPIRI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,22,22
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,51,51
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,7,7
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,69,69
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,184,184
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,317,317
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,19,19
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,34,34
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,64,64
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,9,9
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,4,4
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,10,10
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,87,87
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
PUCARANI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,14,14
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,19,19
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,55,55
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,173,173
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,115,115
QUILLACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,8,8
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,22,22
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,50,50
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,233,233
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,18,18
SAN BUENA VENTURA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,42,42
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,79,79
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,38,38
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,122,122
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,25,25
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,34,34
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,13,13
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,6,6
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,100,100
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,10,10
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,17,17
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,37,37
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,45,45
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,940,940
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,4,4
SANTIVAÑES,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,1,1
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,9,9
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,23,23
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,104,104
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,18,18
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,802,802
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,51,51
TARATA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,20,20
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,266,266
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,25,25
TIPUANI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,18,18
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,7,7
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,50,50
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,23,23
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,12,12
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,2,2
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,5,5
URIONDO (A. CONCEPCION),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,3,3
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,15,15
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,64,64
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,52,52
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,47,47
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,22,22
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,120,120
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,29,29
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,216,216
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,17,17
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,100,100
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,45,45
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,71,71
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,9,9
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,39,39
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,11,11
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,7,7
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-07-01,0,4,4
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,64,64
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,2,2
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,32,32
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,84,84
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,19,19
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,40,40
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,58,58
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,22,22
CAJUATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,7,7
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,47,47
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,14,14
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,78,78
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,50,50
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,28,28
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,71,71
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,24,24
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,43,43
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,55,55
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,308,308
COCAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,5,5
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,600,600
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,9,9
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
COLQUIRI,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,12,12
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,9,9
CORIPATA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,2,2
COROICO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,55,55
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,6,6
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,25,25
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,34,34
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,53,53
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,32,32
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,1668,1668
EL CHORO,vih,n de mujeres embarazadas con prueba rapida,2011-08-01,0,11,11
