,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,717,717
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,22,22
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,13,13
SORATA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,16,16
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,525,525
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,20,20
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,111,111
TIQUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,2,2
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,7,7
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,6,6
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,5,5
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,15,15
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,1,1
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,15,15
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,47,47
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,6,6
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,80,80
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,4,4
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,7,7
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,121,121
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,16,16
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,96,96
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,11,11
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,7,7
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,7,7
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,5,5
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-01-01,0,11,11
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,40,40
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
ARBIETO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,8,8
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,43,43
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,15,15
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,34,34
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,12,12
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,11,11
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,17,17
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,3,3
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,14,14
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,31,31
CHUMA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,22,22
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,172,172
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,355,355
COLOMI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,9,9
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,6,6
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,34,34
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,728,728
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,102,102
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,5,5
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,17,17
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,5,5
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,1,1
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,5,5
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,12,12
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,144,144
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,9,9
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,10,10
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,9,9
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,8,8
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,19,19
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,20,20
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,355,355
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,6,6
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,57,57
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,7,7
MAGDALENA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,14,14
MINEROS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,39,39
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,34,34
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,7,7
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,76,76
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,106,106
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,3,3
OKINAWA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,10,10
ORURO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,416,416
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
PAILON,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,11,11
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,62,62
POJO (CBBA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
POROMA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,10,10
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,11,11
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,5,5
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,17,17
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,3,3
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,5,5
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,37,37
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,37,37
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,150,150
QUIME,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,6,6
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,4,4
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,8,8
SACABA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,213,213
SAN BORJA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,31,31
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,31,31
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,89,89
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,30,30
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,46,46
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,69,69
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,7,7
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,1,1
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,24,24
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,26,26
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,45,45
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,436,436
SENA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,2,2
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,3,3
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,13,13
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,498,498
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,12,12
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,110,110
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,4,4
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,7,7
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,37,37
TURCO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,1,1
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,16,16
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,48,48
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,1,1
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,4,4
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,62,62
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,18,18
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,140,140
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,18,18
WARNES,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,110,110
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,22,22
YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,19,19
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2011-02-01,0,14,14
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,34,34
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,25,25
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,9,9
APOLO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,20,20
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,30,30
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
BATALLAS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,17,17
BELLA FLOR,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,6,6
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,12,12
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,4,4
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,25,25
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,27,27
CARANAVI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,55,55
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,21,21
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,28,28
CHIMORE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,17,17
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,33,33
CHUMA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,3,3
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,35,35
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,63,63
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,489,489
COLOMI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,32,32
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,14,14
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,11,11
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,21,21
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,3,3
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,32,32
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,687,687
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,7,7
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,97,97
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,7,7
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,17,17
EUCALIPTUS,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,2,2
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,12,12
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,6,6
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,11,11
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,185,185
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,2,2
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,43,43
ICLA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,9,9
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,12,12
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,11,11
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,48,48
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,269,269
LICOMA PAMPA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,103,103
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,4,4
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,10,10
MAGDALENA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,20,20
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,20,20
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,36,36
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,8,8
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,77,77
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,124,124
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2011-03-01,0,1,1
