,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,10,98,108
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,22,22
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,22,23
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,4,18,22
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,9,11,20
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,1,1
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,3,3
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,5,8,13
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,3,4
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,9,78,87
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,4,5
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,5,5
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,8,8
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,4,4
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,59,60
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,7,7,14
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,9,9
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,5,6
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,42,44
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,25,101,126
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,26,27
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,3,15,18
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,17,18
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,9,10
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,31,33
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,12,14
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,4,45,49
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,242,847,1089
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,3,5
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,22,23
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,14,14
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,16,16
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,36,351,387
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,3,20,23
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,42,109,151
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,7,7
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,6,6
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,5,5
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,9,21,30
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,18,18
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,13,4,17
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,15,15
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,47,47
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,6,6
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,7,7
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,16,16
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,54,54
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,80,82
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,13,14
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,7,7
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,2,18,20
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,5,5
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,1,1,2
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-01-01,0,11,11
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,40,40
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,2,3
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,4,51,55
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,15,16
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,34,36
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,41,41
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,2,3
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,12,13
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,8,15,23
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,6,23,29
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,15,8,23
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,14,14
CHAYANTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,11,11
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,3,68,71
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,21,394,415
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,9,10
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,8,9
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,34,34
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,363,1064,1427
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,3,110,113
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,6,6
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,5,5
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,5,5
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,42,85,127
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,16,16
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,11,11
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,9,9
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,8,8
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,7,35,42
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,289,439,728
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,6,7
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,2,3
LLICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,0,1
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,22,23
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,23,23
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,39,39
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,34,35
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,8,8
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,14,89,103
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,101,101
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,3,3
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,3,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,34,54,88
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,16,16
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,3,7,10
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,14,15
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,62,62
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,13,13
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,12,14
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,5,5
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,33,33
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,3,3
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,8,8
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,45,20,65
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,4,38,42
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,7,9
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,5,150,155
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,7,0,7
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,7,7
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,11,13
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,4,1,5
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,2,2
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,3,34,37
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,5,37,42
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,20,56,76
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,31,32
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,10,6,16
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,16,16
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,16,76,92
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,7,7
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,1,1
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,14,15
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,24,25
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,17,18
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,3,45,48
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,148,509,657
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,29,15,44
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,13,14
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,0,2
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,45,323,368
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,0,1
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,12,14
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,13,86,99
TIQUIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,0,1
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,4,4
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,5,16,21
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,9,9
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,10,2,12
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,16,18
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,2,48,50
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,5,5
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,17,18
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,16,25,41
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,1,66,67
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,6,105,111
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,10,32,42
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,22,22
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,4,16,20
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-02-01,0,14,14
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,1,2
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,9,9
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,7,30,37
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,32,32
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,8,8
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,9,11
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,66,66
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,1,1
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,12,12
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,4,6
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,6,23,29
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,5,42,47
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,10,57,67
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,21,21
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,2,3
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,20,21
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,3,3
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,35,35
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,73,74
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,48,499,547
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,37,37
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,11,11
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,1,2
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,3,4
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,32,32
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,377,1359,1736
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,3,104,107
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,7,7
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,13,15
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,4,4
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,6,6
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,11,12
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,221,232,453
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,43,44
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,10,10
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,12,12
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,3,67,70
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,226,479,705
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,2,2
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,4,11,15
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,27,27
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,3,36,39
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,9,9
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,3,78,81
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,2,120,122
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,1,1
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,16,170,186
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,1,22,23
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,0,18,18
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,11,63,74
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,10,10,20
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,8,0,8
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-03-01,13,70,83
