municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,12,12
COPACABANA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,11,11
CORIPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
CORO CORO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
CORQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,65,65
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
CUEVO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
CULPINA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,16,16
DESAGUADERO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,739,739
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,101,101
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,23,23
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,11,11
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
GUANAY,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,14,14
GUAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
GUTIERREZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,24,24
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
ICLA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
INCAHUASI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,12,12
INGAVI (HUMAITA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
INQUISIVI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,10,10
JESUS DE MACHACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
LA ASUNTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,40,40
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,49,49
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,569,569
LAJA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
LAS CARRERAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,61,61
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
MACHACAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
MACHARETI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
MAGDALENA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,25,25
MAIRANA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,26,26
MAPIRI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,14,14
MIZQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,20,20
MOJOCOYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,11,11
MONTEAGUDO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,13,13
MONTERO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,44,44
MORO MORO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
MOROCHATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
OCURI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
OKINAWA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,21,21
OMEREQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
ORURO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1246,1246
PADCAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
PADILLA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
PAILON,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
PALCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,16,16
PAMPA AULLAGAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
PAPEL PAMPA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
PATACAMAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,33,33
PAZÑA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
POCOATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
POCONA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
POJO (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
PORCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
POROMA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
PORVENIR,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
POTOSI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,14,14
PRESTO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
PUCARANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
PUERTO ACOSTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
PUERTO PEREZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,36,36
PUERTO RICO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
PUERTO VILLARROEL,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,91,91
PUNA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
PUNATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,55,55
QUILLACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,224,224
QUIME,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
QUIRUSILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
RAVELO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
REYES,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,15,15
RIBERALTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,92,92
ROBORE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,20,20
RURRENABAQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,49,49
SABAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SACABA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,150,150
SACABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SACACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,11,11
SAIPINA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
SAMAIPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
SAN AGUSTIN,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SAN ANDRES,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
SAN BENITO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
SAN BORJA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,20,20
SAN BUENA VENTURA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,12,12
SAN CARLOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,37,37
SAN IGNACIO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,36,36
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,41,41
SAN JUAN DE YAPACANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
SAN JULIAN,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,66,66
SAN LORENZO(PND),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SAN LORENZO(TJA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
SAN LUCAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,39,39
SAN MATIAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,15,15
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
SAN PEDRO DE TIQUINA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
SAN RAFAEL,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
SAN RAMON SCZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,17,17
SANTA ANA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1082,1082
SANTA ROSA DEL SARA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
SANTIAGO DE HUARI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
SANTUARIO DE QUILLACAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
SAPAHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
SENA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
SHINAOTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,36,36
SICA SICA (VILLA AROMA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,8,8
SICAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SIPE SIPE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,36,36
SOPACHUY,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
SORACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
SUCRE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,189,189
TACOPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,3,3
TAPACARI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
TARABUCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,16,16
TARACO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
TARATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
TARIJA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,304,304
TARVITA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,16,16
TEOPONTE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
TIAWANACU,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
TIPUANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
TIQUIPAYA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,75,75
TIRAQUE (CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
TOCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,2,2
TOLATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
TOLEDO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
TOMAVE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
TOMINA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,10,10
TORO TORO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
TOTORA(CBBA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,17,17
TRINIDAD,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
TURCO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,1,1
URUBICHA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,5,5
VACAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
VALLEGRANDE,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,31,31
VIACHA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,6,6
VILLA CHARCAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
VILLA MONTES,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,81,81
VILLA RIVERO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
VILLA TUNARI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,97,97
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,12,12
VINTO,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,49,49
YACUIBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,12,12
YAMPARAEZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,4,4
YAPACANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,17,17
YOTALA,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,7,7
ZUDAÑEZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-01-01,9,9
ACACIO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,18,18
ACHOCALLA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,21,21
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
ANTEQUERA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
ANZALDO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
ARAMPAMPA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
ARANI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,5,5
ARBIETO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,13,13
ARQUE,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,43,43
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
AYO AYO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,17,17
AZURDUY,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
BATALLAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,7,7
BELEN DE ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
BELLA FLOR,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,23,23
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,14,14
CAIROMA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
CAJUATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,8,8
CALAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,7,7
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,29,29
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,34,34
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,16,16
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,10,10
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,44,44
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,27,27
CHAYANTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
CHIMORE,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,10,10
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,26,26
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,25,25
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,106,106
COCAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,7,7
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,595,595
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,29,29
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
COLLANA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
COLOMI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,19,19
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
COLQUENCHA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,21,21
COPACABANA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,5,5
CORIPATA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
CORO CORO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,29,29
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
CUEVO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
CULPINA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,13,13
DESAGUADERO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,7,7
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,619,619
EL CHORO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,76,76
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,18,18
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,19,19
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
GENERAL SAAVEDRA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
GUANAY,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,17,17
GUAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,5,5
HUACARETA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
HUANUNI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,32,32
HUARACAJE,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,8,8
ICHOCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
ICLA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
INCAHUASI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
INGAVI (HUMAITA),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
INQUISIVI,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,12,12
IXIAMAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,3,3
JESUS DE MACHACA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
LA ASUNTA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,49,49
LA GUARDIA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,54,54
LA PAZ,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,521,521
LAGUNILLAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,14,14
LAJA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,8,8
LAS CARRERAS,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,5,5
LLALLAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,41,41
LLICA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,5,5
LURIBAY,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,6,6
MACHACAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2015-02-01,1,1
