municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2141,2141
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,640,640
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,437,437
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,147,147
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2420,2420
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,59,59
HUATAJATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,84,84
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,431,431
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
INQUISIVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1178,1178
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,68514,68514
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,121,121
LICOMA PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,30,30
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1085,1085
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
LURIBAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,91,91
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,775,775
MOJINETE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,241,241
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1736,1736
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,4448,4448
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,185,185
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,372,372
OKINAWA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,292,292
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,7892,7892
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,496,496
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,362,362
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,178,178
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,180,180
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,279,279
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,556,556
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1054,1054
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,115,115
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,11129,11129
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,153,153
PUCARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,28,28
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,30,30
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,366,366
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,140,140
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1020,1020
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1674,1674
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1581,1581
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,968,968
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,148,148
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2914,2914
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1814,1814
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,651,651
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1798,1798
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,207,207
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,103,103
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,588,588
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
SAN CARLOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,900,900
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,744,744
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2387,2387
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1109,1109
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,703,703
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,937,937
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,69,69
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,707,707
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,589,589
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,341,341
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,403,403
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,49538,49538
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,90,90
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,122,122
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,157,157
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,651,651
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,930,930
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,36410,36410
TACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,155,155
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,154,154
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,640,640
TARACO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,58,58
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,13699,13699
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,489,489
TEOPONTE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,31,31
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,744,744
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,279,279
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,713,713
TRIGAL,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,5732,5732
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,2604,2604
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,84,84
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1147,1147
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,682,682
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,682,682
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,93,93
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1116,1116
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,124,124
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1767,1767
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,310,310
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,1240,1240
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,775,775
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,835,835
YACO,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,3171,3171
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,248,248
YANACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,62,62
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,860,860
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,217,217
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-01-01,186,186
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,420,420
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1020,1020
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
ANDAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
ANTEQUERA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
ARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,146,146
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1792,1792
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,160,160
AYO AYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,784,784
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,618,618
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,574,574
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,252,252
BOLIVAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,26,26
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,336,336
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,283,283
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
CAIROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
CAJUATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,874,874
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2296,2296
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,280,280
CAQUIAVIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1,1
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,980,980
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,325,325
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,728,728
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,232,232
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,120,120
CHIMORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,812,812
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2462,2462
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,46843,46843
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,989,989
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,392,392
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,336,336
CORO CORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,896,896
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,222,222
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,420,420
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,17024,17024
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2688,2688
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,196,196
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,448,448
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,168,168
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,140,140
EXALTACION,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,130,130
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,112,112
GUAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,5,5
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,1932,1932
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,610,610
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,476,476
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,122,122
HUACHACALLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,2160,2160
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,56,56
HUATAJATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,84,84
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,364,364
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,224,224
INQUISIVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-02-01,28,28
