municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,107,107
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,137,137
ALALAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1,1
ANTEQUERA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,748,748
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,7,7
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,327,327
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,75,75
AYO AYO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,47,47
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,40,40
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,28,28
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1218,1218
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,12,12
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,66,66
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,35,35
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,26,26
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
CAJUATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,28,28
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,240,240
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1229,1229
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,27,27
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,35,35
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,297,297
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,13,13
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,156,156
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,74,74
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,11,11
CHIMORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,310,310
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,103,103
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1372,1372
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,29482,29482
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,215,215
"COLCHA ""K""",internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
COLOMI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1,1
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,8,8
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,186,186
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,308,308
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,382,382
COTAGAITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,164,164
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,54,54
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,7565,7565
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,16,16
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,812,812
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,39,39
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,8,8
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,54,54
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,24,24
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,70,70
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1030,1030
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,27,27
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,41,41
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,14,14
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,516,516
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,30,30
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,18,18
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,13,13
INQUISIVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,56,56
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,41,41
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,32,32
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,10,10
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,229,229
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,45490,45490
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,6,6
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,541,541
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,11,11
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,113,113
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,32,32
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,14,14
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,53,53
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,44,44
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,13,13
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,569,569
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2549,2549
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1,1
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,42,42
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,15,15
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,6866,6866
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,185,185
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,19,19
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,42,42
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,18,18
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,5,5
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,10,10
POCOATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
POCONA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1,1
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,5,5
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,370,370
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,7,7
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,6385,6385
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,154,154
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,104,104
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,183,183
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,383,383
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,805,805
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,247,247
QUIME,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,8,8
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,5,5
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,53,53
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2203,2203
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,179,179
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,371,371
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,600,600
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,9,9
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,21,21
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,7,7
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,360,360
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,35,35
SAN CARLOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,237,237
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,127,127
