municipality,group,variable,month,Controles repetidos en niños de 2 años de < 5 NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,40,40,33,73
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,13,13,13,26
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,428,428,390,818
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,0,0,3,3
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,23,23,10,33
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,113,113,106,219
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,125,125,119,244
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,12,12,8,20
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,21,21,18,39
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,54,54,57,111
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,35,35,48,83
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,17,17,28,45
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,123,123,129,252
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,138,138,158,296
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,102,102,100,202
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,23,23,21,44
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,41,41,49,90
QUIME,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,135,135,142,277
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,19,19,19,38
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,106,106,77,183
REYES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,123,123,141,264
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,499,499,430,929
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,91,91,89,180
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,51,51,54,105
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,4,4,5,9
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,130,130,142,272
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,3,11
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,205,205,176,381
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,28,28,39,67
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,79,79,57,136
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,72,72,69,141
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,13,13,15,28
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,37,37,36,73
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,27,27,32,59
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,7,15
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,162,162,178,340
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,9,9,9,18
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,224,224,188,412
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,49,49,122,171
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,112,112,96,208
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,185,185,160,345
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,415,415,370,785
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,14,14,14,28
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,52,52,49,101
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,31,31,45,76
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,41,41,34,75
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,95,95,73,168
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,105,105,105,210
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,77,77,50,127
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,213,213,202,415
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,111,111,86,197
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,118,118,133,251
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,17,17,12,29
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,159,159,139,298
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,91,91,71,162
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,44,44,26,70
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1,1,2,3
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,29,29,35,64
SAN PEDRO(PND),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,2,2,1,3
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,51,51,33,84
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,15,15,22,37
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,49,49,49,98
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,90,90,81,171
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,1882,1882,1827,3709
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,28,28,29,57
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,84,84,75,159
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,22,22,22,44
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,37,37,29,66
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,8,8,12,20
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,29,29,37,66
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,41,41,48,89
SENA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,13,13,15,28
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,111,111,94,205
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,6,6,2,8
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,46,46,49,95
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,48,48,61,109
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2005-01-01,204,204,191,395
