municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,168,168,161,329
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,107,107,103,210
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,97,97,92,189
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,58,58,43,101
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,47,47,47,94
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,32,32,22,54
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,39,39,50,89
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,274,274,209,483
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,301,301,258,559
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,0,0,2,2
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,49,49,69,118
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,26,26,27,53
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,18,18,10,28
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,19,19,10,29
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2790,2790,2478,5268
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,8,8,20,28
EL PUENTE(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,114,114,119,233
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,70,70,64,134
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,218,218,207,425
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,196,196,170,366
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,175,175,137,312
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,33,33,28,61
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2,2,11,13
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,22,22,22,44
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,174,174,180,354
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,31,31,30,61
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,256,256,238,494
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,31,31,34,65
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,140,140,119,259
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,26,26,23,49
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,240,240,258,498
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,170,170,170,340
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,3,3,2,5
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,49,49,42,91
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,38,38,25,63
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,5,5,6,11
ICHOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,16,30
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2,2,3,5
INQUISIVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,100,100,78,178
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,115,115,91,206
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,98,98,56,154
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,69,69,49,118
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,33,33,23,56
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,350,350,332,682
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2452,2452,2351,4803
LA RIVERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2,2,0,2
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,69,69,64,133
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,3,3,5,8
LICOMA PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,18,18,11,29
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,215,215,186,401
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,20,20,22,42
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,6,6,8,14
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,81,81,78,159
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,13,13,21,34
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,100,100,81,181
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,105,105,84,189
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,7,7,8,15
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,99,99,99,198
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,65,65,50,115
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,224,224,192,416
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,339,339,62,401
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,84,84,53,137
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,9,9,5,14
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,639,639,635,1274
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,41,41,18,59
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,24,24,23,47
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,11,11,11,22
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,1,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,15,15,9,24
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,126,126,125,251
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,100,100,93,193
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,6,6,4,10
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,1098,1098,1069,2167
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,160,160,124,284
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,148,148,124,272
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,53,53,42,95
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,239,239,233,472
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,15,15,10,25
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,67,67,55,122
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,17,17,27,44
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,16,16,12,28
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,154,154,175,329
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,22,22,27,49
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,32,32,21,53
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,171,171,162,333
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,34,34,23,57
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,85,85,78,163
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,11,11,10,21
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,40,40,42,82
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,59,59,50,109
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,57,57,46,103
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,30,30,29,59
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,10,10,13,23
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,712,712,665,1377
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,10,10,0,10
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,79,79,73,152
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,101,101,105,206
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,109,109,130,239
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,22,22,16,38
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,31,31,21,52
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,118,118,130,248
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,34,34,37,71
PUERTO SILES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,2,2,4,6
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,76,76,77,153
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,162,162,139,301
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,136,136,137,273
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,238,238,118,356
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,24,24,19,43
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,115,115,103,218
QUIME,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,99,99,96,195
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,13,13,19,32
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,113,113,124,237
REYES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,188,188,148,336
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,743,743,708,1451
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,112,112,108,220
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,123,123,120,243
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,21,21,8,29
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,169,169,162,331
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,16,16,21,37
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,150,150,111,261
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,70,70,50,120
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,63,63,64,127
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,95,95,86,181
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,7,7,16,23
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,43,43,37,80
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,30,30,32,62
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,10,10,2,12
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,144,144,125,269
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,38,38,29,67
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,372,372,327,699
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,77,77,75,152
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,182,182,217,399
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,199,199,160,359
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,496,496,494,990
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,17,31
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,76,76,55,131
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,45,45,52,97
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,108,108,93,201
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,134,134,109,243
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,226,226,215,441
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,33,33,35,68
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,189,189,174,363
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,112,112,110,222
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,128,128,120,248
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,18,18,18,36
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,161,161,139,300
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,73,73,77,150
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,16,30
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,5,5,5,10
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,26,26,26,52
SAN PEDRO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,13,13,17,30
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,49,49,50,99
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,13,13,17,30
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,75,75,53,128
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,189,189,159,348
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,3594,3594,3480,7074
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,46,46,54,100
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,73,73,71,144
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,33,33,34,67
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,38,38,24,62
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,19,19,14,33
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,61,61,51,112
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,47,47,31,78
SENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,14,14,21,35
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,97,97,99,196
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,12,12,10,22
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,120,120,92,212
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,56,56,48,104
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,139,139,107,246
TACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,8,8,1,9
TACACOMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,46,46,40,86
TACOBAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,62,62,48,110
TACOPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,56,56,70,126
TAHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,5,5,4,9
TAPACARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2005-01-01,163,163,161,324
