municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,23,23,16,39
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,7,11
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,2,2
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,2,6
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,4,6
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,105,105,61,166
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,27,27,31,58
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,12,12,17,29
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,1,1
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,5,11
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,23,23,17,40
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,147,147,109,256
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,6,11
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,44,44,35,79
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,15,29
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,1,3
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,13,23
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,195,195,187,382
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,61,61,36,97
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,59,59,32,91
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,25,25,18,43
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,2,8
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,43,43,41,84
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,53,53,43,96
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,11,19
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,10,16
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,4,9
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,9,9,3,12
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,4,5
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,23,23,27,50
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,5,13
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,23,23,18,41
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,1,4
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,26,26,25,51
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,37,37,31,68
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,20,20,16,36
CHOQUE COTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,18,25
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,33,33,29,62
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,10,16
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,63,63,60,123
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,44,44,41,85
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1620,1620,1528,3148
COIPASA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,0,4
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,95,95,94,189
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,2,5
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,7,17
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,138,138,124,262
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,87,87,52,139
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,36,36,31,67
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,21,21,29,50
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,170,170,162,332
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,5,6
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,21,39
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,7,11
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,5,11
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,15,33
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,16,16,10,26
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,2,7
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,80,80,67,147
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,3,7
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,85,85,53,138
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,72,72,44,116
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,106,106,81,187
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,37,37,18,55
CUEVO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,7,12
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,329,329,291,620
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,6,10
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,2,10
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,6,13
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2156,2156,2039,4195
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,0,3
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,11,25
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,16,16,10,26
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,36,36,32,68
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,83,83,87,170
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,52,52,28,80
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,164,164,120,284
ESCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,8,13
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,4,4
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,11,11,15,26
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,12,15
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,26,26,17,43
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,10,18
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,21,21,21,42
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,4,12
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,75,75,55,130
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,150,150,137,287
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,162,162,156,318
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,36,36,34,70
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,3,6
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,56,56,55,111
HUARACAJE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,2,3
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,24,24,29,53
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,19,19,11,30
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,175,175,164,339
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,265,265,338,603
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,29,29,33,62
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,17,17,13,30
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,16,16,9,25
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,6,14
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,133,133,185,318
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,111,111,79,190
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1793,1793,1700,3493
LA RIVERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,1,3
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,4,14
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,110,110,83,193
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,34,34,32,66
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,41,41,50,91
LLICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,5,11
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,19,33
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,8,14
MACHACAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,3,8
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,141,141,141,282
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,11,18
MAIRANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,15,20
MALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,4,6
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,16,16,13,29
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,35,35,17,52
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,20,20,18,38
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,24,24,17,41
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,11,25
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,95,95,84,179
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,270,270,293,563
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,81,81,71,152
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,1,3
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,108,108,106,214
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,0,1
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
OCURI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,25,25,29,54
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,46,46,47,93
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,627,627,616,1243
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,42,42,42,84
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,182,182,159,341
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,12,12,9,21
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,48,48,27,75
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,51,51,57,108
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,3,8
PAMPA GRANDE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,9,19
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,4,11
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,0,2
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,29,29,32,61
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,5,7
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,4,9
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,22,40
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,45,45,16,61
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,35,35,26,61
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,3,6
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,10,14
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,197,197,165,362
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,8,14
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,142,142,131,273
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,1,4
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,1,1
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,593,593,686,1279
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,136,136,107,243
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,38,38,57,95
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,25,25,20,45
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,15,33
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,2,9
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,29,29,3,32
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,28,28,38,66
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,9,9,9,18
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,12,22
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,17,17,19,36
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,52,52,56,108
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,25,25,40,65
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,206,206,152,358
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,5,5
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,375,375,281,656
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,14,24
QUIRUSILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,0,1
RAVELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,17,17,11,28
REYES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,22,36
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,118,118,115,233
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,26,26,25,51
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,13,13,13,26
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,2,3
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,293,293,256,549
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,3,3,5,8
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,59,59,77,136
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,12,20
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,8,8,7,15
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,17,17,9,26
SAN AGUSTIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,0,2
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,32,32,41,73
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,6,6,1,7
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,2,2,6,8
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,18,18,24,42
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,54,54,28,82
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,9,14
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,28,28,20,48
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,59,59,62,121
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,119,119,79,198
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,15,15,15,30
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,15,15,11,26
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,10,10,4,14
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,23,23,26,49
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,7,7,8,15
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,67,67,58,125
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,9,9,9,18
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,26,26,26,52
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,540,540,536,1076
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,15,15,21,36
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,14,14,10,24
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,5,6
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,22,22,16,38
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,56,56,45,101
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,31,31,16,47
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,0,0,1,1
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,1,1,1,2
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,4,4,1,5
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,49,49,43,92
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,5,5,5,10
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-01-01,22,22,20,42
