,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
BOLIVAR,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-08-01,2,0,2,0,2
CHIMORE,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-08-01,9,13,9,13,22
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-08-01,1,1,1,1,2
COLQUIRI,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-08-01,31,27,31,27,58
EL TORNO,rabia,no de personas con esquema clasico completo,2023-08-01,2,2,2,2,4
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2023-08-01,2,0,2,0,2
ESCOMA,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
HUANUNI,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
ICLA,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-08-01,5,2,5,2,7
LA PAZ,rabia,no de personas con esquema clasico completo,2023-08-01,53,40,53,40,93
MAGDALENA,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
MAIRANA,rabia,no de personas con esquema clasico completo,2023-08-01,2,0,2,0,2
MONTERO,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2023-08-01,4,3,4,3,7
PAILON,rabia,no de personas con esquema clasico completo,2023-08-01,3,1,3,1,4
PALCA,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2023-08-01,1,2,1,2,3
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-08-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-08-01,1,2,1,2,3
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-08-01,1,2,1,2,3
SACABA,rabia,no de personas con esquema clasico completo,2023-08-01,3,0,3,0,3
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-08-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-08-01,60,49,60,49,109
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2023-08-01,1,1,1,1,2
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
SORATA,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema clasico completo,2023-08-01,8,7,8,7,15
TIPUANI,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2023-08-01,0,2,0,2,2
TOCO,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-08-01,17,8,17,8,25
UNCIA,rabia,no de personas con esquema clasico completo,2023-08-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-08-01,8,6,8,6,14
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2023-08-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2023-08-01,5,8,5,8,13
YACUIBA,rabia,no de personas con esquema clasico completo,2023-08-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2023-09-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-09-01,3,4,3,4,7
ANCORAIMES,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2023-09-01,2,0,2,0,2
ARBIETO,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2023-09-01,1,1,1,1,2
CABEZAS,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-09-01,2,1,2,1,3
CAPINOTA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-09-01,2,2,2,2,4
CARAPARI,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-09-01,10,6,10,6,16
CORIPATA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-09-01,46,43,46,43,89
EL TORNO,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2023-09-01,4,1,4,1,5
FERNANDEZ ALONSO,rabia,no de personas con esquema clasico completo,2023-09-01,13,3,13,3,16
GAIOC JATUN AYLLU YURA,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con esquema clasico completo,2023-09-01,2,0,2,0,2
GUANAY,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema clasico completo,2023-09-01,2,0,2,0,2
HUARINA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-09-01,4,4,4,4,8
LA PAZ,rabia,no de personas con esquema clasico completo,2023-09-01,55,61,55,61,116
LAJA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2023-09-01,2,2,2,2,4
POROMA,rabia,no de personas con esquema clasico completo,2023-09-01,0,3,0,3,3
PORONGO,rabia,no de personas con esquema clasico completo,2023-09-01,5,0,5,0,5
PORTACHUELO,rabia,no de personas con esquema clasico completo,2023-09-01,1,1,1,1,2
PUCARANI,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
PUERTO PEREZ,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-09-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-09-01,2,3,2,3,5
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-09-01,2,1,2,1,3
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-09-01,6,3,6,3,9
SAN CARLOS,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SAN JOAQUIN,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-09-01,29,33,29,33,62
SHINAOTA,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SORATA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2023-09-01,2,5,2,5,7
TARIJA,rabia,no de personas con esquema clasico completo,2023-09-01,35,25,35,25,60
TINGUIPAYA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-09-01,11,7,11,7,18
UYUNI,rabia,no de personas con esquema clasico completo,2023-09-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-09-01,8,7,8,7,15
WARNES,rabia,no de personas con esquema clasico completo,2023-09-01,4,3,4,3,7
YACUIBA,rabia,no de personas con esquema clasico completo,2023-09-01,1,0,1,0,1
YOTALA,rabia,no de personas con esquema clasico completo,2023-09-01,0,2,0,2,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-10-01,2,4,2,4,6
AIQUILE,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
APOLO,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
ATOCHA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
BOLIVAR,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-10-01,2,0,2,0,2
CARAPARI,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2023-10-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-10-01,13,10,13,10,23
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-10-01,33,29,33,29,62
EL TORNO,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
HUANUNI,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-10-01,4,9,4,9,13
LA PAZ,rabia,no de personas con esquema clasico completo,2023-10-01,44,52,44,52,96
MAPIRI,rabia,no de personas con esquema clasico completo,2023-10-01,2,0,2,0,2
MOCOMOCO,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
PORCO,rabia,no de personas con esquema clasico completo,2023-10-01,3,0,3,0,3
PORONGO,rabia,no de personas con esquema clasico completo,2023-10-01,1,2,1,2,3
PORTACHUELO,rabia,no de personas con esquema clasico completo,2023-10-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-10-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-10-01,2,0,2,0,2
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema clasico completo,2023-10-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-10-01,2,1,2,1,3
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-10-01,61,60,61,60,121
SUCRE,rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
TARIJA,rabia,no de personas con esquema clasico completo,2023-10-01,18,9,18,9,27
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-10-01,8,2,8,2,10
VIACHA,rabia,no de personas con esquema clasico completo,2023-10-01,12,10,12,10,22
VILLAZON,rabia,no de personas con esquema clasico completo,2023-10-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2023-10-01,10,1,10,1,11
YACUIBA,rabia,no de personas con esquema clasico completo,2023-10-01,1,1,1,1,2
YOTALA,rabia,no de personas con esquema clasico completo,2023-10-01,0,4,0,4,4
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-11-01,0,2,0,2,2
APOLO,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas con esquema clasico completo,2023-11-01,0,2,0,2,2
BELLA FLOR,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-11-01,2,2,2,2,4
CARAPARI,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-11-01,9,8,9,8,17
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2023-11-01,1,1,1,1,2
COPACABANA,rabia,no de personas con esquema clasico completo,2023-11-01,0,2,0,2,2
COROICO,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-11-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2023-11-01,35,25,35,25,60
EL TORNO,rabia,no de personas con esquema clasico completo,2023-11-01,3,0,3,0,3
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2023-11-01,1,1,1,1,2
HUANUNI,rabia,no de personas con esquema clasico completo,2023-11-01,2,2,2,2,4
IXIAMAS,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-11-01,5,4,5,4,9
LA PAZ,rabia,no de personas con esquema clasico completo,2023-11-01,58,38,58,38,96
LAJA,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
OCURI,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2023-11-01,2,2,2,2,4
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
POJO (CBBA),rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema clasico completo,2023-11-01,2,0,2,0,2
PORONGO,rabia,no de personas con esquema clasico completo,2023-11-01,2,2,2,2,4
PUCARANI,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-11-01,3,3,3,3,6
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-11-01,3,1,3,1,4
SAIPINA,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-11-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-11-01,60,53,60,53,113
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2023-11-01,1,1,1,1,2
SIPE SIPE,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2023-11-01,1,1,1,1,2
TARIJA,rabia,no de personas con esquema clasico completo,2023-11-01,7,7,7,7,14
TIAHUANACU,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-11-01,8,5,8,5,13
TUPIZA,rabia,no de personas con esquema clasico completo,2023-11-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-11-01,2,4,2,4,6
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2023-11-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema clasico completo,2023-11-01,8,3,8,3,11
YACUIBA,rabia,no de personas con esquema clasico completo,2023-11-01,1,2,1,2,3
YOTALA,rabia,no de personas con esquema clasico completo,2023-11-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2023-12-01,2,2,2,2,4
ALTO BENI,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
BAURES,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
BOYUIBE,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
CHUA COCANI,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2023-12-01,7,9,7,9,16
COLOMI,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2023-12-01,1,5,1,5,6
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2023-12-01,38,30,38,30,68
EL TORNO,rabia,no de personas con esquema clasico completo,2023-12-01,3,6,3,6,9
ICLA,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2023-12-01,3,7,3,7,10
LA PAZ,rabia,no de personas con esquema clasico completo,2023-12-01,66,70,66,70,136
LORETO,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
MAPIRI,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2023-12-01,1,1,1,1,2
MONTERO,rabia,no de personas con esquema clasico completo,2023-12-01,3,2,3,2,5
ORURO,rabia,no de personas con esquema clasico completo,2023-12-01,2,2,2,2,4
PATACAMAYA,rabia,no de personas con esquema clasico completo,2023-12-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2023-12-01,3,1,3,1,4
PUCARANI,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
PUERTO PEREZ,rabia,no de personas con esquema clasico completo,2023-12-01,1,1,1,1,2
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2023-12-01,7,1,7,1,8
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2023-12-01,0,3,0,3,3
SAIPINA,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2023-12-01,5,2,5,2,7
SAN JULIAN,rabia,no de personas con esquema clasico completo,2023-12-01,4,3,4,3,7
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2023-12-01,56,45,56,45,101
SUCRE,rabia,no de personas con esquema clasico completo,2023-12-01,54,50,54,50,104
TRINIDAD,rabia,no de personas con esquema clasico completo,2023-12-01,9,5,9,5,14
UNCIA,rabia,no de personas con esquema clasico completo,2023-12-01,2,1,2,1,3
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2023-12-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2023-12-01,4,4,4,4,8
WARNES,rabia,no de personas con esquema clasico completo,2023-12-01,3,3,3,3,6
