,group,variable,month,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL A. < 15,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL B. 15 A 19,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL C. 20 - 34,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL D. 35 - 49,N° DE INTERRUPCIONES LEGALES DEL EMBARAZO POR VIOLENCIA SEXUAL E. 50 Y MAS,TOTALES
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,1,2,1,0,0,4
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,1,0,0,0,0,1
PADILLA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,0,1,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,0,2,0,0,0,2
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-04-01,1,0,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,1,0,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,0,0,1,0,0,1
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,1,0,0,0,0,1
RURRENABAQUE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,0,0,1,0,0,1
SACABA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,2,0,0,0,0,2
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-05-01,2,0,0,0,0,2
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,2,1,1,0,0,4
ESCOMA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,1,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,1,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,1,0,0,0,0,1
SAN BUENA VENTURA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,5,1,6,0,0,12
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,1,0,0,0,0,1
UYUNI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,0,1,0,0,1
VINTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-06-01,0,2,0,0,0,2
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,2,0,0,0,0,2
LLALLAGUA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,0,1,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,1,0,0,0,0,1
SACABA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,0,1,0,0,0,1
VILLA MONTES,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,0,1,0,0,0,1
VILLA TUNARI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-07-01,0,1,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,0,1,0,0,0,1
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,0,1,0,0,0,1
PADILLA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,2,0,0,0,0,2
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,0,1,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,0,1,0,0,0,1
SAN BUENA VENTURA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-08-01,1,1,0,0,0,2
COROICO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,1,1,0,0,3
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,1,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,1,0,0,0,1
PUERTO VILLARROEL,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,2,0,0,0,0,2
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,0,0,0,0,1
SAN IGNACIO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,0,0,0,0,1
SAN JOAQUIN,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,0,1,0,0,1
SAN LUCAS,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,3,2,0,0,0,5
TARIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,1,0,0,0,1
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,0,2,0,0,0,2
VILLA MONTES,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,0,0,0,0,1
VILLA TUNARI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-09-01,1,0,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,1,0,0,0,1
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,0,1,0,0,1
LLALLAGUA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,1,0,0,0,1
MONTEAGUDO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,1,0,0,0,1
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,0,1,0,0,1
PADILLA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,1,0,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,1,0,0,0,0,1
PUCARANI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,0,0,0,1,0,1
PUERTO VILLARROEL,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,1,0,0,0,0,1
QUILLACOLLO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,1,1,0,0,0,2
RIBERALTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-10-01,2,0,0,0,0,2
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,0,0,0,0,1
CHALLAPATA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,1,0,0,0,2
COBIJA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,2,0,0,0,0,2
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,0,0,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,0,0,0,0,1
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,0,1,0,0,0,1
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,0,1,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,2,0,0,0,0,2
SACABA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,2,0,0,0,0,2
TRINIDAD,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-11-01,1,0,0,0,0,1
BUENA VISTA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,1,0,0,0,0,1
CAMARGO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,0,1,0,0,0,1
CARANAVI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,0,2,0,0,0,2
COCHABAMBA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,3,1,0,0,0,4
LA PAZ,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,0,1,0,0,0,1
MONTEAGUDO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,1,0,0,0,0,1
ORURO,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,1,0,0,0,0,1
POTOSI,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,1,0,0,0,0,1
SACABA,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,0,1,0,0,0,1
SUCRE,interrupcion legal del embarazo,n de interrupciones legales del embarazo por violencia sexual,2023-12-01,2,0,1,0,0,3
