municipality,group,variable,month,Egresos,TOTAL
MACHARETI,internaciones,egresos,2007-01-01,16,16
MAGDALENA,internaciones,egresos,2007-01-01,64,64
MAIRANA,internaciones,egresos,2007-01-01,54,54
MAPIRI,internaciones,egresos,2007-01-01,19,19
MECAPACA,internaciones,egresos,2007-01-01,8,8
MINEROS,internaciones,egresos,2007-01-01,27,27
MIZQUE,internaciones,egresos,2007-01-01,48,48
MOJOCOYA,internaciones,egresos,2007-01-01,9,9
MONTEAGUDO,internaciones,egresos,2007-01-01,160,160
MONTERO,internaciones,egresos,2007-01-01,605,605
MORO MORO,internaciones,egresos,2007-01-01,2,2
MOROCHATA,internaciones,egresos,2007-01-01,8,8
OCURI,internaciones,egresos,2007-01-01,14,14
OMEREQUE,internaciones,egresos,2007-01-01,5,5
ORURO,internaciones,egresos,2007-01-01,2167,2167
PADILLA,internaciones,egresos,2007-01-01,89,89
PAILON,internaciones,egresos,2007-01-01,40,40
PALCA,internaciones,egresos,2007-01-01,1,1
PALOS BLANCOS,internaciones,egresos,2007-01-01,58,58
PAMPA GRANDE,internaciones,egresos,2007-01-01,5,5
PAPEL PAMPA,internaciones,egresos,2007-01-01,2,2
PATACAMAYA,internaciones,egresos,2007-01-01,33,33
PAZÑA,internaciones,egresos,2007-01-01,1,1
PELECHUCO,internaciones,egresos,2007-01-01,1,1
POCOATA,internaciones,egresos,2007-01-01,8,8
POCONA,internaciones,egresos,2007-01-01,12,12
POJO (CBBA),internaciones,egresos,2007-01-01,10,10
POROMA,internaciones,egresos,2007-01-01,10,10
PORONGO,internaciones,egresos,2007-01-01,19,19
PORTACHUELO,internaciones,egresos,2007-01-01,174,174
PORVENIR,internaciones,egresos,2007-01-01,14,14
POSTRER VALLE,internaciones,egresos,2007-01-01,1,1
POTOSI,internaciones,egresos,2007-01-01,1485,1485
PRESTO,internaciones,egresos,2007-01-01,14,14
PUCARANI,internaciones,egresos,2007-01-01,7,7
PUERTO ACOSTA,internaciones,egresos,2007-01-01,67,67
PUERTO CARABUCO,internaciones,egresos,2007-01-01,1,1
PUERTO GONZALO MORENO,internaciones,egresos,2007-01-01,2,2
PUERTO QUIJARRO,internaciones,egresos,2007-01-01,52,52
PUERTO RICO,internaciones,egresos,2007-01-01,33,33
PUERTO SUAREZ,internaciones,egresos,2007-01-01,117,117
PUERTO VILLARROEL,internaciones,egresos,2007-01-01,227,227
PUNA,internaciones,egresos,2007-01-01,27,27
PUNATA,internaciones,egresos,2007-01-01,220,220
QUILLACOLLO,internaciones,egresos,2007-01-01,215,215
QUIME,internaciones,egresos,2007-01-01,18,18
QUIRUSILLAS,internaciones,egresos,2007-01-01,1,1
RAVELO,internaciones,egresos,2007-01-01,4,4
REYES,internaciones,egresos,2007-01-01,51,51
RIBERALTA,internaciones,egresos,2007-01-01,631,631
ROBORE,internaciones,egresos,2007-01-01,127,127
RURRENABAQUE,internaciones,egresos,2007-01-01,84,84
SACABA,internaciones,egresos,2007-01-01,502,502
SACACA,internaciones,egresos,2007-01-01,20,20
SAIPINA,internaciones,egresos,2007-01-01,5,5
SAMAIPATA,internaciones,egresos,2007-01-01,24,24
SAN ANDRES,internaciones,egresos,2007-01-01,1,1
SAN ANDRES DE MACHACA,internaciones,egresos,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,egresos,2007-01-01,28,28
SAN BENITO,internaciones,egresos,2007-01-01,10,10
SAN BORJA,internaciones,egresos,2007-01-01,156,156
SAN BUENA VENTURA,internaciones,egresos,2007-01-01,61,61
SAN CARLOS,internaciones,egresos,2007-01-01,176,176
SAN IGNACIO,internaciones,egresos,2007-01-01,71,71
SAN IGNACIO DE VELASCO,internaciones,egresos,2007-01-01,385,385
SAN JAVIER(STC),internaciones,egresos,2007-01-01,70,70
SAN JOAQUIN,internaciones,egresos,2007-01-01,46,46
SAN JOSE DE CHIQUITOS,internaciones,egresos,2007-01-01,93,93
SAN JUAN DE YAPACANI,internaciones,egresos,2007-01-01,104,104
SAN JULIAN,internaciones,egresos,2007-01-01,96,96
SAN LUCAS,internaciones,egresos,2007-01-01,46,46
SAN MATIAS,internaciones,egresos,2007-01-01,68,68
SAN MIGUEL DE VELASCO,internaciones,egresos,2007-01-01,63,63
SAN PEDRO,internaciones,egresos,2007-01-01,24,24
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2007-01-01,10,10
SAN RAFAEL,internaciones,egresos,2007-01-01,17,17
SAN RAMON,internaciones,egresos,2007-01-01,32,32
SAN RAMON,internaciones,egresos,2007-01-01,56,56
SANTA ANA,internaciones,egresos,2007-01-01,120,120
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2007-01-01,7589,7589
SANTA ROSA,internaciones,egresos,2007-01-01,57,57
SANTA ROSA DEL SARA,internaciones,egresos,2007-01-01,65,65
SANTIAGO DE HUARI,internaciones,egresos,2007-01-01,2,2
SANTIAGO DE MACHACA,internaciones,egresos,2007-01-01,2,2
SANTIVAÑES,internaciones,egresos,2007-01-01,3,3
SAPAHAQUI,internaciones,egresos,2007-01-01,1,1
SENA,internaciones,egresos,2007-01-01,11,11
SICA SICA (VILLA AROMA),internaciones,egresos,2007-01-01,12,12
SICAYA,internaciones,egresos,2007-01-01,1,1
SIPE SIPE,internaciones,egresos,2007-01-01,47,47
SOPACHUY,internaciones,egresos,2007-01-01,35,35
SORATA,internaciones,egresos,2007-01-01,13,13
SUCRE,internaciones,egresos,2007-01-01,2786,2786
TACACOMA,internaciones,egresos,2007-01-01,10,10
TACOPAYA,internaciones,egresos,2007-01-01,4,4
TAPACARI,internaciones,egresos,2007-01-01,13,13
TARABUCO,internaciones,egresos,2007-01-01,59,59
TARACO,internaciones,egresos,2007-01-01,1,1
TARATA,internaciones,egresos,2007-01-01,5,5
TARIJA,internaciones,egresos,2007-01-01,1651,1651
TARVITA,internaciones,egresos,2007-01-01,38,38
TEOPONTE,internaciones,egresos,2007-01-01,4,4
TIAWANACU,internaciones,egresos,2007-01-01,9,9
TIPUANI,internaciones,egresos,2007-01-01,23,23
TIQUIPAYA,internaciones,egresos,2007-01-01,82,82
TIRAQUE (CBBA),internaciones,egresos,2007-01-01,168,168
TOCO,internaciones,egresos,2007-01-01,4,4
TOLATA,internaciones,egresos,2007-01-01,2,2
TOLEDO,internaciones,egresos,2007-01-01,14,14
TOMAVE,internaciones,egresos,2007-01-01,5,5
TOMINA,internaciones,egresos,2007-01-01,21,21
TORO TORO,internaciones,egresos,2007-01-01,1,1
TOTORA(CBBA),internaciones,egresos,2007-01-01,28,28
TOTORA(ORR),internaciones,egresos,2007-01-01,1,1
TRIGAL,internaciones,egresos,2007-01-01,1,1
TRINIDAD,internaciones,egresos,2007-01-01,1327,1327
TUPIZA,internaciones,egresos,2007-01-01,359,359
TURCO,internaciones,egresos,2007-01-01,5,5
UMALA,internaciones,egresos,2007-01-01,1,1
UNCIA,internaciones,egresos,2007-01-01,21,21
URIONDO (A. CONCEPCION),internaciones,egresos,2007-01-01,12,12
URUBICHA,internaciones,egresos,2007-01-01,30,30
UYUNI,internaciones,egresos,2007-01-01,122,122
VACAS,internaciones,egresos,2007-01-01,15,15
VALLEGRANDE,internaciones,egresos,2007-01-01,122,122
VIACHA,internaciones,egresos,2007-01-01,17,17
VILA VILA,internaciones,egresos,2007-01-01,1,1
VILLA MONTES,internaciones,egresos,2007-01-01,272,272
VILLA RIVERO,internaciones,egresos,2007-01-01,11,11
VILLA SERRANO,internaciones,egresos,2007-01-01,26,26
VILLA TUNARI,internaciones,egresos,2007-01-01,163,163
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2007-01-01,19,19
VILLAZON,internaciones,egresos,2007-01-01,265,265
VINTO,internaciones,egresos,2007-01-01,50,50
VITICHI,internaciones,egresos,2007-01-01,11,11
WARNES,internaciones,egresos,2007-01-01,93,93
YACUIBA,internaciones,egresos,2007-01-01,661,661
YAMPARAEZ,internaciones,egresos,2007-01-01,11,11
YANACACHI,internaciones,egresos,2007-01-01,5,5
YAPACANI,internaciones,egresos,2007-01-01,665,665
YOCALLA,internaciones,egresos,2007-01-01,2,2
YOTALA,internaciones,egresos,2007-01-01,26,26
ZUDAÑEZ,internaciones,egresos,2007-01-01,17,17
ACACIO,internaciones,egresos,2007-02-01,1,1
ACHACACHI,internaciones,egresos,2007-02-01,67,67
ACHOCALLA,internaciones,egresos,2007-02-01,6,6
AIQUILE,internaciones,egresos,2007-02-01,109,109
ALALAY,internaciones,egresos,2007-02-01,5,5
ALCALA,internaciones,egresos,2007-02-01,4,4
ANCORAIMES,internaciones,egresos,2007-02-01,4,4
ANDAMARCA,internaciones,egresos,2007-02-01,3,3
ANTEQUERA,internaciones,egresos,2007-02-01,4,4
ANZALDO,internaciones,egresos,2007-02-01,4,4
APOLO,internaciones,egresos,2007-02-01,25,25
ARAMPAMPA,internaciones,egresos,2007-02-01,3,3
ARBIETO,internaciones,egresos,2007-02-01,6,6
ARQUE,internaciones,egresos,2007-02-01,5,5
ASCENCION DE GUARAYOS,internaciones,egresos,2007-02-01,154,154
ATOCHA,internaciones,egresos,2007-02-01,115,115
AYATA,internaciones,egresos,2007-02-01,4,4
AYO AYO,internaciones,egresos,2007-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2007-02-01,45,45
AZURDUY,internaciones,egresos,2007-02-01,22,22
BATALLAS,internaciones,egresos,2007-02-01,4,4
BAURES,internaciones,egresos,2007-02-01,9,9
BERMEJO,internaciones,egresos,2007-02-01,153,153
BETANZOS,internaciones,egresos,2007-02-01,30,30
BOYUIBE,internaciones,egresos,2007-02-01,28,28
BUENA VISTA,internaciones,egresos,2007-02-01,50,50
CABEZAS,internaciones,egresos,2007-02-01,43,43
CAIROMA,internaciones,egresos,2007-02-01,3,3
"CAIZA ""D""",internaciones,egresos,2007-02-01,2,2
CAJUATA,internaciones,egresos,2007-02-01,12,12
CALAMARCA,internaciones,egresos,2007-02-01,7,7
CAMARGO,internaciones,egresos,2007-02-01,124,124
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2007-02-01,16,16
CAMIRI,internaciones,egresos,2007-02-01,453,453
CAPINOTA,internaciones,egresos,2007-02-01,59,59
CAQUIAVIRI,internaciones,egresos,2007-02-01,1,1
CARACOLLO,internaciones,egresos,2007-02-01,26,26
CARANAVI,internaciones,egresos,2007-02-01,171,171
CARAPARI,internaciones,egresos,2007-02-01,1,1
CARMEN RIVERO TORREZ,internaciones,egresos,2007-02-01,10,10
CHALLAPATA,internaciones,egresos,2007-02-01,3,3
CHAQUI,internaciones,egresos,2007-02-01,3,3
CHARAGUA,internaciones,egresos,2007-02-01,124,124
CHARAÑA,internaciones,egresos,2007-02-01,1,1
CHAYANTA,internaciones,egresos,2007-02-01,14,14
CHIMORE,internaciones,egresos,2007-02-01,24,24
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2007-02-01,100,100
CHUMA,internaciones,egresos,2007-02-01,6,6
CLIZA,internaciones,egresos,2007-02-01,22,22
COBIJA,internaciones,egresos,2007-02-01,308,308
COCHABAMBA,internaciones,egresos,2007-02-01,5742,5742
COLCAPIRHUA,internaciones,egresos,2007-02-01,153,153
"COLCHA ""K""",internaciones,egresos,2007-02-01,2,2
COLLANA,internaciones,egresos,2007-02-01,1,1
COLOMI,internaciones,egresos,2007-02-01,27,27
COLPA BELGICA,internaciones,egresos,2007-02-01,12,12
COLQUENCHA,internaciones,egresos,2007-02-01,1,1
COLQUIRI,internaciones,egresos,2007-02-01,6,6
COMARAPA,internaciones,egresos,2007-02-01,87,87
CONCEPCION,internaciones,egresos,2007-02-01,83,83
COPACABANA,internaciones,egresos,2007-02-01,26,26
CORIPATA,internaciones,egresos,2007-02-01,25,25
CORO CORO,internaciones,egresos,2007-02-01,3,3
COROICO,internaciones,egresos,2007-02-01,77,77
COTAGAITA,internaciones,egresos,2007-02-01,29,29
COTOCA,internaciones,egresos,2007-02-01,135,135
CUATRO CAÑADAS,internaciones,egresos,2007-02-01,60,60
CULPINA,internaciones,egresos,2007-02-01,33,33
DESAGUADERO,internaciones,egresos,2007-02-01,7,7
EL ALTO,internaciones,egresos,2007-02-01,2459,2459
EL PUENTE(STC),internaciones,egresos,2007-02-01,13,13
EL TORNO,internaciones,egresos,2007-02-01,145,145
EL VILLAR,internaciones,egresos,2007-02-01,10,10
ENTRE RIOS,internaciones,egresos,2007-02-01,40,40
ENTRE RIOS,internaciones,egresos,2007-02-01,19,19
EUCALIPTUS,internaciones,egresos,2007-02-01,4,4
FERNANDEZ ALONSO,internaciones,egresos,2007-02-01,50,50
FILADELFIA,internaciones,egresos,2007-02-01,7,7
GENERAL SAAVEDRA,internaciones,egresos,2007-02-01,45,45
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2007-02-01,3,3
GUANAY,internaciones,egresos,2007-02-01,36,36
GUAQUI,internaciones,egresos,2007-02-01,6,6
GUAYARAMERIN,internaciones,egresos,2007-02-01,508,508
GUTIERREZ,internaciones,egresos,2007-02-01,29,29
HUACARETA,internaciones,egresos,2007-02-01,23,23
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2007-02-01,1,1
HUACHACALLA,internaciones,egresos,2007-02-01,3,3
HUANUNI,internaciones,egresos,2007-02-01,56,56
HUARACAJE,internaciones,egresos,2007-02-01,9,9
HUAYLLAMARCA,internaciones,egresos,2007-02-01,5,5
ICHOCA,internaciones,egresos,2007-02-01,1,1
ICLA,internaciones,egresos,2007-02-01,8,8
INCAHUASI,internaciones,egresos,2007-02-01,10,10
INQUISIVI,internaciones,egresos,2007-02-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,egresos,2007-02-01,18,18
IXIAMAS,internaciones,egresos,2007-02-01,22,22
JESUS DE MACHACA,internaciones,egresos,2007-02-01,11,11
LA ASUNTA,internaciones,egresos,2007-02-01,42,42
LA GUARDIA,internaciones,egresos,2007-02-01,179,179
LA PAZ,internaciones,egresos,2007-02-01,5933,5933
LAGUNILLAS,internaciones,egresos,2007-02-01,9,9
LAJA,internaciones,egresos,2007-02-01,2,2
LICOMA PAMPA,internaciones,egresos,2007-02-01,1,1
LLALLAGUA,internaciones,egresos,2007-02-01,225,225
LLICA,internaciones,egresos,2007-02-01,7,7
LURIBAY,internaciones,egresos,2007-02-01,6,6
MACHACAMARCA,internaciones,egresos,2007-02-01,2,2
MACHARETI,internaciones,egresos,2007-02-01,6,6
MAGDALENA,internaciones,egresos,2007-02-01,68,68
MAIRANA,internaciones,egresos,2007-02-01,52,52
MAPIRI,internaciones,egresos,2007-02-01,29,29
MECAPACA,internaciones,egresos,2007-02-01,2,2
MINEROS,internaciones,egresos,2007-02-01,29,29
MIZQUE,internaciones,egresos,2007-02-01,45,45
MOCOMOCO,internaciones,egresos,2007-02-01,1,1
MOJOCOYA,internaciones,egresos,2007-02-01,1,1
MONTEAGUDO,internaciones,egresos,2007-02-01,138,138
MONTERO,internaciones,egresos,2007-02-01,601,601
MORO MORO,internaciones,egresos,2007-02-01,5,5
MOROCHATA,internaciones,egresos,2007-02-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),internaciones,egresos,2007-02-01,1,1
OCURI,internaciones,egresos,2007-02-01,15,15
OKINAWA,internaciones,egresos,2007-02-01,8,8
OMEREQUE,internaciones,egresos,2007-02-01,5,5
ORURO,internaciones,egresos,2007-02-01,1487,1487
PADILLA,internaciones,egresos,2007-02-01,68,68
PAILON,internaciones,egresos,2007-02-01,68,68
PALOS BLANCOS,internaciones,egresos,2007-02-01,59,59
PAMPA AULLAGAS,internaciones,egresos,2007-02-01,3,3
PAMPA GRANDE,internaciones,egresos,2007-02-01,12,12
PAPEL PAMPA,internaciones,egresos,2007-02-01,3,3
PATACAMAYA,internaciones,egresos,2007-02-01,24,24
POCOATA,internaciones,egresos,2007-02-01,8,8
POCONA,internaciones,egresos,2007-02-01,6,6
POJO (CBBA),internaciones,egresos,2007-02-01,18,18
POROMA,internaciones,egresos,2007-02-01,5,5
PORONGO,internaciones,egresos,2007-02-01,15,15
PORTACHUELO,internaciones,egresos,2007-02-01,165,165
PORVENIR,internaciones,egresos,2007-02-01,9,9
POTOSI,internaciones,egresos,2007-02-01,1188,1188
PRESTO,internaciones,egresos,2007-02-01,9,9
PUCARA,internaciones,egresos,2007-02-01,2,2
PUCARANI,internaciones,egresos,2007-02-01,3,3
PUERTO ACOSTA,internaciones,egresos,2007-02-01,73,73
PUERTO CARABUCO,internaciones,egresos,2007-02-01,2,2
PUERTO GONZALO MORENO,internaciones,egresos,2007-02-01,1,1
PUERTO PEREZ,internaciones,egresos,2007-02-01,1,1
PUERTO QUIJARRO,internaciones,egresos,2007-02-01,58,58
PUERTO RICO,internaciones,egresos,2007-02-01,17,17
PUERTO SUAREZ,internaciones,egresos,2007-02-01,117,117
PUERTO VILLARROEL,internaciones,egresos,2007-02-01,228,228
PUNA,internaciones,egresos,2007-02-01,14,14
PUNATA,internaciones,egresos,2007-02-01,265,265
QUILLACOLLO,internaciones,egresos,2007-02-01,249,249
QUIME,internaciones,egresos,2007-02-01,11,11
QUIRUSILLAS,internaciones,egresos,2007-02-01,3,3
RAVELO,internaciones,egresos,2007-02-01,2,2
REYES,internaciones,egresos,2007-02-01,37,37
RIBERALTA,internaciones,egresos,2007-02-01,572,572
ROBORE,internaciones,egresos,2007-02-01,125,125
RURRENABAQUE,internaciones,egresos,2007-02-01,132,132
SACABA,internaciones,egresos,2007-02-01,390,390
SACACA,internaciones,egresos,2007-02-01,23,23
SAIPINA,internaciones,egresos,2007-02-01,8,8
SALINAS DE GARCI MENDOZA,internaciones,egresos,2007-02-01,1,1
SAMAIPATA,internaciones,egresos,2007-02-01,30,30
SAN AGUSTIN,internaciones,egresos,2007-02-01,1,1
SAN ANDRES DE MACHACA,internaciones,egresos,2007-02-01,2,2
SAN ANTONIO DE LOMERIO,internaciones,egresos,2007-02-01,23,23
SAN BENITO,internaciones,egresos,2007-02-01,6,6
SAN BORJA,internaciones,egresos,2007-02-01,154,154
SAN BUENA VENTURA,internaciones,egresos,2007-02-01,49,49
SAN CARLOS,internaciones,egresos,2007-02-01,181,181
SAN IGNACIO,internaciones,egresos,2007-02-01,59,59
SAN IGNACIO DE VELASCO,internaciones,egresos,2007-02-01,343,343
SAN JAVIER(STC),internaciones,egresos,2007-02-01,65,65
SAN JOAQUIN,internaciones,egresos,2007-02-01,53,53
SAN JOSE DE CHIQUITOS,internaciones,egresos,2007-02-01,92,92
SAN JUAN DE YAPACANI,internaciones,egresos,2007-02-01,91,91
SAN JULIAN,internaciones,egresos,2007-02-01,103,103
SAN LORENZO(TJA),internaciones,egresos,2007-02-01,16,16
SAN LUCAS,internaciones,egresos,2007-02-01,10,10
SAN MATIAS,internaciones,egresos,2007-02-01,60,60
SAN MIGUEL DE VELASCO,internaciones,egresos,2007-02-01,63,63
SAN PEDRO,internaciones,egresos,2007-02-01,35,35
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2007-02-01,7,7
SAN PEDRO DE CURAHUARA,internaciones,egresos,2007-02-01,2,2
SAN PEDRO DE TIQUINA,internaciones,egresos,2007-02-01,1,1
SAN RAFAEL,internaciones,egresos,2007-02-01,19,19
SAN RAMON,internaciones,egresos,2007-02-01,29,29
SAN RAMON,internaciones,egresos,2007-02-01,44,44
SANTA ANA,internaciones,egresos,2007-02-01,76,76
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2007-02-01,7160,7160
SANTA ROSA,internaciones,egresos,2007-02-01,47,47
SANTA ROSA DEL SARA,internaciones,egresos,2007-02-01,69,69
SANTIAGO DE HUARI,internaciones,egresos,2007-02-01,6,6
SANTIAGO DE MACHACA,internaciones,egresos,2007-02-01,3,3
SANTIVAÑES,internaciones,egresos,2007-02-01,1,1
SAPAHAQUI,internaciones,egresos,2007-02-01,1,1
SENA,internaciones,egresos,2007-02-01,14,14
SICA SICA (VILLA AROMA),internaciones,egresos,2007-02-01,6,6
SIPE SIPE,internaciones,egresos,2007-02-01,53,53
SOPACHUY,internaciones,egresos,2007-02-01,47,47
SORACACHI,internaciones,egresos,2007-02-01,1,1
SORATA,internaciones,egresos,2007-02-01,19,19
SUCRE,internaciones,egresos,2007-02-01,2459,2459
TACACOMA,internaciones,egresos,2007-02-01,5,5
TACOPAYA,internaciones,egresos,2007-02-01,4,4
TAPACARI,internaciones,egresos,2007-02-01,24,24
TARABUCO,internaciones,egresos,2007-02-01,68,68
TARACO,internaciones,egresos,2007-02-01,5,5
TARATA,internaciones,egresos,2007-02-01,16,16
TARIJA,internaciones,egresos,2007-02-01,1583,1583
TARVITA,internaciones,egresos,2007-02-01,31,31
TEOPONTE,internaciones,egresos,2007-02-01,12,12
TIAWANACU,internaciones,egresos,2007-02-01,3,3
TIPUANI,internaciones,egresos,2007-02-01,18,18
TIQUIPAYA,internaciones,egresos,2007-02-01,63,63
TIRAQUE (CBBA),internaciones,egresos,2007-02-01,181,181
TOCO,internaciones,egresos,2007-02-01,2,2
TOLATA,internaciones,egresos,2007-02-01,2,2
TOLEDO,internaciones,egresos,2007-02-01,6,6
TOMAVE,internaciones,egresos,2007-02-01,17,17
TOMINA,internaciones,egresos,2007-02-01,21,21
TORO TORO,internaciones,egresos,2007-02-01,1,1
TOTORA(CBBA),internaciones,egresos,2007-02-01,29,29
TRIGAL,internaciones,egresos,2007-02-01,2,2
TRINIDAD,internaciones,egresos,2007-02-01,1385,1385
TUPIZA,internaciones,egresos,2007-02-01,323,323
