municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
FERNANDEZ ALONSO,internaciones,dias camas ocupadas otros servicios,2007-01-01,589,589
FILADELFIA,internaciones,dias camas ocupadas otros servicios,2007-01-01,11,11
GENERAL SAAVEDRA,internaciones,dias camas ocupadas otros servicios,2007-01-01,37,37
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
GUANAY,internaciones,dias camas ocupadas otros servicios,2007-01-01,32,32
GUAYARAMERIN,internaciones,dias camas ocupadas otros servicios,2007-01-01,1149,1149
GUTIERREZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,57,57
HUACARETA,internaciones,dias camas ocupadas otros servicios,2007-01-01,33,33
HUACHACALLA,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
HUANUNI,internaciones,dias camas ocupadas otros servicios,2007-01-01,109,109
HUARACAJE,internaciones,dias camas ocupadas otros servicios,2007-01-01,14,14
ICHOCA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
INCAHUASI,internaciones,dias camas ocupadas otros servicios,2007-01-01,6,6
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas otros servicios,2007-01-01,47,47
IXIAMAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,47,47
JESUS DE MACHACA,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
LA ASUNTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,135,135
LA GUARDIA,internaciones,dias camas ocupadas otros servicios,2007-01-01,321,321
LA PAZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,38809,38809
LAGUNILLAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,13,13
LLALLAGUA,internaciones,dias camas ocupadas otros servicios,2007-01-01,449,449
LURIBAY,internaciones,dias camas ocupadas otros servicios,2007-01-01,16,16
MACHARETI,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
MAGDALENA,internaciones,dias camas ocupadas otros servicios,2007-01-01,121,121
MAIRANA,internaciones,dias camas ocupadas otros servicios,2007-01-01,59,59
MAPIRI,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
MINEROS,internaciones,dias camas ocupadas otros servicios,2007-01-01,81,81
MIZQUE,internaciones,dias camas ocupadas otros servicios,2007-01-01,106,106
MOJOCOYA,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
MONTEAGUDO,internaciones,dias camas ocupadas otros servicios,2007-01-01,336,336
MONTERO,internaciones,dias camas ocupadas otros servicios,2007-01-01,1197,1197
MORO MORO,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
MOROCHATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
OCURI,internaciones,dias camas ocupadas otros servicios,2007-01-01,23,23
ORURO,internaciones,dias camas ocupadas otros servicios,2007-01-01,6829,6829
PADILLA,internaciones,dias camas ocupadas otros servicios,2007-01-01,194,194
PAILON,internaciones,dias camas ocupadas otros servicios,2007-01-01,29,29
PALOS BLANCOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,34,34
PAMPA GRANDE,internaciones,dias camas ocupadas otros servicios,2007-01-01,3,3
PASORAPA,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
PATACAMAYA,internaciones,dias camas ocupadas otros servicios,2007-01-01,9,9
POCOATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
POJO (CBBA),internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
POROMA,internaciones,dias camas ocupadas otros servicios,2007-01-01,5,5
PORONGO,internaciones,dias camas ocupadas otros servicios,2007-01-01,15,15
PORTACHUELO,internaciones,dias camas ocupadas otros servicios,2007-01-01,377,377
PORVENIR,internaciones,dias camas ocupadas otros servicios,2007-01-01,18,18
POTOSI,internaciones,dias camas ocupadas otros servicios,2007-01-01,5348,5348
PRESTO,internaciones,dias camas ocupadas otros servicios,2007-01-01,21,21
PUCARANI,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
PUERTO ACOSTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,251,251
PUERTO CARABUCO,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
PUERTO GONZALO MORENO,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
PUERTO QUIJARRO,internaciones,dias camas ocupadas otros servicios,2007-01-01,99,99
PUERTO RICO,internaciones,dias camas ocupadas otros servicios,2007-01-01,43,43
PUERTO SUAREZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,226,226
PUERTO VILLARROEL,internaciones,dias camas ocupadas otros servicios,2007-01-01,476,476
PUNA,internaciones,dias camas ocupadas otros servicios,2007-01-01,41,41
PUNATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,309,309
QUILLACOLLO,internaciones,dias camas ocupadas otros servicios,2007-01-01,261,261
QUIME,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
REYES,internaciones,dias camas ocupadas otros servicios,2007-01-01,73,73
RIBERALTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1253,1253
ROBORE,internaciones,dias camas ocupadas otros servicios,2007-01-01,144,144
RURRENABAQUE,internaciones,dias camas ocupadas otros servicios,2007-01-01,185,185
SACABA,internaciones,dias camas ocupadas otros servicios,2007-01-01,604,604
SACABAMBA,internaciones,dias camas ocupadas otros servicios,2007-01-01,30,30
SACACA,internaciones,dias camas ocupadas otros servicios,2007-01-01,29,29
SAIPINA,internaciones,dias camas ocupadas otros servicios,2007-01-01,8,8
SALINAS DE GARCI MENDOZA,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
SAMAIPATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,27,27
SAN ANTONIO DE LOMERIO,internaciones,dias camas ocupadas otros servicios,2007-01-01,72,72
SAN BENITO,internaciones,dias camas ocupadas otros servicios,2007-01-01,3,3
SAN BORJA,internaciones,dias camas ocupadas otros servicios,2007-01-01,247,247
SAN BUENA VENTURA,internaciones,dias camas ocupadas otros servicios,2007-01-01,149,149
SAN CARLOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,414,414
SAN IGNACIO,internaciones,dias camas ocupadas otros servicios,2007-01-01,94,94
SAN IGNACIO DE VELASCO,internaciones,dias camas ocupadas otros servicios,2007-01-01,1348,1348
SAN JAVIER(STC),internaciones,dias camas ocupadas otros servicios,2007-01-01,63,63
SAN JOAQUIN,internaciones,dias camas ocupadas otros servicios,2007-01-01,54,54
SAN JOSE DE CHIQUITOS,internaciones,dias camas ocupadas otros servicios,2007-01-01,158,158
SAN JUAN DE YAPACANI,internaciones,dias camas ocupadas otros servicios,2007-01-01,389,389
SAN JULIAN,internaciones,dias camas ocupadas otros servicios,2007-01-01,176,176
SAN LORENZO(TJA),internaciones,dias camas ocupadas otros servicios,2007-01-01,5,5
SAN LUCAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,144,144
SAN MATIAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,67,67
SAN MIGUEL DE VELASCO,internaciones,dias camas ocupadas otros servicios,2007-01-01,103,103
SAN PEDRO,internaciones,dias camas ocupadas otros servicios,2007-01-01,331,331
SAN PEDRO DE BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2007-01-01,21,21
SAN RAFAEL,internaciones,dias camas ocupadas otros servicios,2007-01-01,41,41
SAN RAMON,internaciones,dias camas ocupadas otros servicios,2007-01-01,82,82
SAN RAMON,internaciones,dias camas ocupadas otros servicios,2007-01-01,44,44
SANTA ANA,internaciones,dias camas ocupadas otros servicios,2007-01-01,219,219
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas otros servicios,2007-01-01,25255,25255
SANTA ROSA,internaciones,dias camas ocupadas otros servicios,2007-01-01,149,149
SANTA ROSA DEL SARA,internaciones,dias camas ocupadas otros servicios,2007-01-01,61,61
SANTIAGO DE HUARI,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
SICA SICA (VILLA AROMA),internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
SIPE SIPE,internaciones,dias camas ocupadas otros servicios,2007-01-01,40,40
SOPACHUY,internaciones,dias camas ocupadas otros servicios,2007-01-01,132,132
SORATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
SUCRE,internaciones,dias camas ocupadas otros servicios,2007-01-01,20738,20738
TACACOMA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
TAPACARI,internaciones,dias camas ocupadas otros servicios,2007-01-01,6,6
TARABUCO,internaciones,dias camas ocupadas otros servicios,2007-01-01,155,155
TARATA,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
TARIJA,internaciones,dias camas ocupadas otros servicios,2007-01-01,5362,5362
TARVITA,internaciones,dias camas ocupadas otros servicios,2007-01-01,45,45
TEOPONTE,internaciones,dias camas ocupadas otros servicios,2007-01-01,1,1
TIPUANI,internaciones,dias camas ocupadas otros servicios,2007-01-01,22,22
TIQUIPAYA,internaciones,dias camas ocupadas otros servicios,2007-01-01,52,52
TIRAQUE (CBBA),internaciones,dias camas ocupadas otros servicios,2007-01-01,340,340
TOLEDO,internaciones,dias camas ocupadas otros servicios,2007-01-01,16,16
TOMAVE,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
TOMINA,internaciones,dias camas ocupadas otros servicios,2007-01-01,17,17
TOTORA(CBBA),internaciones,dias camas ocupadas otros servicios,2007-01-01,37,37
TRIGAL,internaciones,dias camas ocupadas otros servicios,2007-01-01,17,17
TRINIDAD,internaciones,dias camas ocupadas otros servicios,2007-01-01,3334,3334
TUPIZA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1480,1480
TURCO,internaciones,dias camas ocupadas otros servicios,2007-01-01,4,4
UNCIA,internaciones,dias camas ocupadas otros servicios,2007-01-01,24,24
URIONDO (A. CONCEPCION),internaciones,dias camas ocupadas otros servicios,2007-01-01,21,21
URUBICHA,internaciones,dias camas ocupadas otros servicios,2007-01-01,42,42
UYUNI,internaciones,dias camas ocupadas otros servicios,2007-01-01,193,193
VACAS,internaciones,dias camas ocupadas otros servicios,2007-01-01,34,34
VALLEGRANDE,internaciones,dias camas ocupadas otros servicios,2007-01-01,225,225
VILLA MONTES,internaciones,dias camas ocupadas otros servicios,2007-01-01,856,856
VILLA RIVERO,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
VILLA SERRANO,internaciones,dias camas ocupadas otros servicios,2007-01-01,49,49
VILLA TUNARI,internaciones,dias camas ocupadas otros servicios,2007-01-01,731,731
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,dias camas ocupadas otros servicios,2007-01-01,36,36
VILLAZON,internaciones,dias camas ocupadas otros servicios,2007-01-01,638,638
VINTO,internaciones,dias camas ocupadas otros servicios,2007-01-01,21,21
VITICHI,internaciones,dias camas ocupadas otros servicios,2007-01-01,7,7
WARNES,internaciones,dias camas ocupadas otros servicios,2007-01-01,237,237
YACUIBA,internaciones,dias camas ocupadas otros servicios,2007-01-01,1686,1686
YAMPARAEZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,12,12
YANACACHI,internaciones,dias camas ocupadas otros servicios,2007-01-01,2,2
YAPACANI,internaciones,dias camas ocupadas otros servicios,2007-01-01,596,596
YOTALA,internaciones,dias camas ocupadas otros servicios,2007-01-01,77,77
ZUDAÑEZ,internaciones,dias camas ocupadas otros servicios,2007-01-01,31,31
ACACIO,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2007-02-01,52,52
ACHOCALLA,internaciones,dias camas ocupadas otros servicios,2007-02-01,54,54
AIQUILE,internaciones,dias camas ocupadas otros servicios,2007-02-01,204,204
ALALAY,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
ALCALA,internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
ANDAMARCA,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
ANTEQUERA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
ANZALDO,internaciones,dias camas ocupadas otros servicios,2007-02-01,5,5
APOLO,internaciones,dias camas ocupadas otros servicios,2007-02-01,29,29
ARAMPAMPA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
ARANI,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
ARBIETO,internaciones,dias camas ocupadas otros servicios,2007-02-01,9,9
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,367,367
ATOCHA,internaciones,dias camas ocupadas otros servicios,2007-02-01,301,301
AYATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2007-02-01,47,47
AZURDUY,internaciones,dias camas ocupadas otros servicios,2007-02-01,21,21
BAURES,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
BERMEJO,internaciones,dias camas ocupadas otros servicios,2007-02-01,417,417
BETANZOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
BOLIVAR,internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2007-02-01,59,59
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,107,107
CABEZAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,25,25
CAIROMA,internaciones,dias camas ocupadas otros servicios,2007-02-01,4,4
"CAIZA ""D""",internaciones,dias camas ocupadas otros servicios,2007-02-01,4,4
CAJUATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
CAMARGO,internaciones,dias camas ocupadas otros servicios,2007-02-01,145,145
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2007-02-01,25,25
CAMIRI,internaciones,dias camas ocupadas otros servicios,2007-02-01,1287,1287
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,119,119
CARACOLLO,internaciones,dias camas ocupadas otros servicios,2007-02-01,20,20
CARANAVI,internaciones,dias camas ocupadas otros servicios,2007-02-01,353,353
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,73,73
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2007-02-01,303,303
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,10,10
CHIMORE,internaciones,dias camas ocupadas otros servicios,2007-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas otros servicios,2007-02-01,230,230
CHUMA,internaciones,dias camas ocupadas otros servicios,2007-02-01,21,21
CLIZA,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
COBIJA,internaciones,dias camas ocupadas otros servicios,2007-02-01,851,851
COCHABAMBA,internaciones,dias camas ocupadas otros servicios,2007-02-01,23977,23977
COLCAPIRHUA,internaciones,dias camas ocupadas otros servicios,2007-02-01,356,356
"COLCHA ""K""",internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
COLOMI,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
COLPA BELGICA,internaciones,dias camas ocupadas otros servicios,2007-02-01,18,18
COLQUIRI,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
COMARAPA,internaciones,dias camas ocupadas otros servicios,2007-02-01,320,320
CONCEPCION,internaciones,dias camas ocupadas otros servicios,2007-02-01,111,111
COPACABANA,internaciones,dias camas ocupadas otros servicios,2007-02-01,13,13
CORIPATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,18,18
COROICO,internaciones,dias camas ocupadas otros servicios,2007-02-01,387,387
COTAGAITA,internaciones,dias camas ocupadas otros servicios,2007-02-01,74,74
COTOCA,internaciones,dias camas ocupadas otros servicios,2007-02-01,241,241
CUATRO CAÑADAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,82,82
CULPINA,internaciones,dias camas ocupadas otros servicios,2007-02-01,39,39
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,18,18
EL ALTO,internaciones,dias camas ocupadas otros servicios,2007-02-01,5484,5484
EL PUENTE(STC),internaciones,dias camas ocupadas otros servicios,2007-02-01,8,8
EL PUENTE(TJA),internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
EL TORNO,internaciones,dias camas ocupadas otros servicios,2007-02-01,667,667
EL VILLAR,internaciones,dias camas ocupadas otros servicios,2007-02-01,7,7
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,36,36
ENTRE RIOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,13,13
EUCALIPTUS,internaciones,dias camas ocupadas otros servicios,2007-02-01,5,5
FERNANDEZ ALONSO,internaciones,dias camas ocupadas otros servicios,2007-02-01,1218,1218
FILADELFIA,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
GENERAL SAAVEDRA,internaciones,dias camas ocupadas otros servicios,2007-02-01,34,34
GUANAY,internaciones,dias camas ocupadas otros servicios,2007-02-01,37,37
GUAYARAMERIN,internaciones,dias camas ocupadas otros servicios,2007-02-01,862,862
GUTIERREZ,internaciones,dias camas ocupadas otros servicios,2007-02-01,56,56
HUACARETA,internaciones,dias camas ocupadas otros servicios,2007-02-01,45,45
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas ocupadas otros servicios,2007-02-01,8,8
HUANUNI,internaciones,dias camas ocupadas otros servicios,2007-02-01,68,68
HUARACAJE,internaciones,dias camas ocupadas otros servicios,2007-02-01,23,23
ICHOCA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
INCAHUASI,internaciones,dias camas ocupadas otros servicios,2007-02-01,15,15
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas otros servicios,2007-02-01,19,19
IXIAMAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,16,16
JESUS DE MACHACA,internaciones,dias camas ocupadas otros servicios,2007-02-01,7,7
LA ASUNTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,87,87
LA GUARDIA,internaciones,dias camas ocupadas otros servicios,2007-02-01,372,372
LA PAZ,internaciones,dias camas ocupadas otros servicios,2007-02-01,36667,36667
LAGUNILLAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
LICOMA PAMPA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
LLALLAGUA,internaciones,dias camas ocupadas otros servicios,2007-02-01,375,375
LURIBAY,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
MACHARETI,internaciones,dias camas ocupadas otros servicios,2007-02-01,1,1
MAGDALENA,internaciones,dias camas ocupadas otros servicios,2007-02-01,159,159
MAIRANA,internaciones,dias camas ocupadas otros servicios,2007-02-01,48,48
MAPIRI,internaciones,dias camas ocupadas otros servicios,2007-02-01,13,13
MINEROS,internaciones,dias camas ocupadas otros servicios,2007-02-01,87,87
MIZQUE,internaciones,dias camas ocupadas otros servicios,2007-02-01,51,51
MONTEAGUDO,internaciones,dias camas ocupadas otros servicios,2007-02-01,344,344
MONTERO,internaciones,dias camas ocupadas otros servicios,2007-02-01,1274,1274
MORO MORO,internaciones,dias camas ocupadas otros servicios,2007-02-01,9,9
MOROCHATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
OCURI,internaciones,dias camas ocupadas otros servicios,2007-02-01,19,19
OKINAWA,internaciones,dias camas ocupadas otros servicios,2007-02-01,26,26
OMEREQUE,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
ORURO,internaciones,dias camas ocupadas otros servicios,2007-02-01,6034,6034
PADILLA,internaciones,dias camas ocupadas otros servicios,2007-02-01,94,94
PAILON,internaciones,dias camas ocupadas otros servicios,2007-02-01,45,45
PALOS BLANCOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,43,43
PAMPA GRANDE,internaciones,dias camas ocupadas otros servicios,2007-02-01,8,8
PATACAMAYA,internaciones,dias camas ocupadas otros servicios,2007-02-01,10,10
POCOATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,3,3
POCONA,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
POJO (CBBA),internaciones,dias camas ocupadas otros servicios,2007-02-01,4,4
POROMA,internaciones,dias camas ocupadas otros servicios,2007-02-01,12,12
PORONGO,internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
PORTACHUELO,internaciones,dias camas ocupadas otros servicios,2007-02-01,399,399
PORVENIR,internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
POTOSI,internaciones,dias camas ocupadas otros servicios,2007-02-01,3825,3825
PRESTO,internaciones,dias camas ocupadas otros servicios,2007-02-01,14,14
PUCARANI,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
PUERTO ACOSTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,271,271
PUERTO CARABUCO,internaciones,dias camas ocupadas otros servicios,2007-02-01,4,4
PUERTO QUIJARRO,internaciones,dias camas ocupadas otros servicios,2007-02-01,99,99
PUERTO RICO,internaciones,dias camas ocupadas otros servicios,2007-02-01,45,45
PUERTO SUAREZ,internaciones,dias camas ocupadas otros servicios,2007-02-01,265,265
PUERTO VILLARROEL,internaciones,dias camas ocupadas otros servicios,2007-02-01,482,482
PUNA,internaciones,dias camas ocupadas otros servicios,2007-02-01,17,17
PUNATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,603,603
QUILLACOLLO,internaciones,dias camas ocupadas otros servicios,2007-02-01,218,218
QUIME,internaciones,dias camas ocupadas otros servicios,2007-02-01,11,11
QUIRUSILLAS,internaciones,dias camas ocupadas otros servicios,2007-02-01,6,6
REYES,internaciones,dias camas ocupadas otros servicios,2007-02-01,78,78
RIBERALTA,internaciones,dias camas ocupadas otros servicios,2007-02-01,1171,1171
ROBORE,internaciones,dias camas ocupadas otros servicios,2007-02-01,171,171
RURRENABAQUE,internaciones,dias camas ocupadas otros servicios,2007-02-01,216,216
SACABA,internaciones,dias camas ocupadas otros servicios,2007-02-01,529,529
SACABAMBA,internaciones,dias camas ocupadas otros servicios,2007-02-01,42,42
SACACA,internaciones,dias camas ocupadas otros servicios,2007-02-01,56,56
SAIPINA,internaciones,dias camas ocupadas otros servicios,2007-02-01,8,8
SAMAIPATA,internaciones,dias camas ocupadas otros servicios,2007-02-01,16,16
SAN ANTONIO DE LOMERIO,internaciones,dias camas ocupadas otros servicios,2007-02-01,78,78
SAN BENITO,internaciones,dias camas ocupadas otros servicios,2007-02-01,2,2
SAN BORJA,internaciones,dias camas ocupadas otros servicios,2007-02-01,204,204
SAN BUENA VENTURA,internaciones,dias camas ocupadas otros servicios,2007-02-01,98,98
SAN CARLOS,internaciones,dias camas ocupadas otros servicios,2007-02-01,345,345
