municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles maternidad,2007-01-01,19,19
CHALLAPATA,internaciones,dias camas disponibles maternidad,2007-01-01,341,341
CHAQUI,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CHARAGUA,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
CHARAÑA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
CHAYANTA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
CHIMORE,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
CHIPAYA,internaciones,dias camas disponibles maternidad,2007-01-01,22,22
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles maternidad,2007-01-01,124,124
CHUMA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CLIZA,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
COBIJA,internaciones,dias camas disponibles maternidad,2007-01-01,680,680
COCHABAMBA,internaciones,dias camas disponibles maternidad,2007-01-01,12617,12617
COLCAPIRHUA,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
"COLCHA ""K""",internaciones,dias camas disponibles maternidad,2007-01-01,62,62
COLLANA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
COLOMI,internaciones,dias camas disponibles maternidad,2007-01-01,341,341
COLPA BELGICA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
COLQUENCHA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
COLQUIRI,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
COMARAPA,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
CONCEPCION,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
COPACABANA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CORIPATA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
CORO CORO,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
COROICO,internaciones,dias camas disponibles maternidad,2007-01-01,279,279
COTAGAITA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
COTOCA,internaciones,dias camas disponibles maternidad,2007-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
CUCHUMUELA (V. G. VILLARROEL),internaciones,dias camas disponibles maternidad,2007-01-01,31,31
CUEVO,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
CULPINA,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
DESAGUADERO,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
EL ALTO,internaciones,dias camas disponibles maternidad,2007-01-01,4929,4929
EL PUENTE(STC),internaciones,dias camas disponibles maternidad,2007-01-01,124,124
EL PUENTE(TJA),internaciones,dias camas disponibles maternidad,2007-01-01,88,88
EL TORNO,internaciones,dias camas disponibles maternidad,2007-01-01,558,558
EL VILLAR,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
ENTRE RIOS,internaciones,dias camas disponibles maternidad,2007-01-01,341,341
ENTRE RIOS,internaciones,dias camas disponibles maternidad,2007-01-01,156,156
EUCALIPTUS,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
EXALTACION,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
FERNANDEZ ALONSO,internaciones,dias camas disponibles maternidad,2007-01-01,527,527
FILADELFIA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
GENERAL SAAVEDRA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles maternidad,2007-01-01,62,62
GUANAY,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
GUAQUI,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
GUAYARAMERIN,internaciones,dias camas disponibles maternidad,2007-01-01,511,511
GUTIERREZ,internaciones,dias camas disponibles maternidad,2007-01-01,152,152
HUACARETA,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles maternidad,2007-01-01,93,93
HUACHACALLA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
HUANUNI,internaciones,dias camas disponibles maternidad,2007-01-01,240,240
HUARACAJE,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
HUAYLLAMARCA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
ICHOCA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
ICLA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
INCAHUASI,internaciones,dias camas disponibles maternidad,2007-01-01,307,307
INQUISIVI,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles maternidad,2007-01-01,124,124
IXIAMAS,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
JESUS DE MACHACA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
LA ASUNTA,internaciones,dias camas disponibles maternidad,2007-01-01,248,248
LA GUARDIA,internaciones,dias camas disponibles maternidad,2007-01-01,465,465
LA PAZ,internaciones,dias camas disponibles maternidad,2007-01-01,13268,13268
LAGUNILLAS,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
LAJA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
LICOMA PAMPA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
LLALLAGUA,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
LLICA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
LURIBAY,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
MACHACAMARCA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
MACHARETI,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
MAGDALENA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
MAIRANA,internaciones,dias camas disponibles maternidad,2007-01-01,279,279
MAPIRI,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
MECAPACA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
MINEROS,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
MIZQUE,internaciones,dias camas disponibles maternidad,2007-01-01,193,193
MOJOCOYA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
MONTEAGUDO,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
MONTERO,internaciones,dias camas disponibles maternidad,2007-01-01,744,744
MORO MORO,internaciones,dias camas disponibles maternidad,2007-01-01,91,91
MOROCHATA,internaciones,dias camas disponibles maternidad,2007-01-01,276,276
OCURI,internaciones,dias camas disponibles maternidad,2007-01-01,140,140
OKINAWA,internaciones,dias camas disponibles maternidad,2007-01-01,88,88
OMEREQUE,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
ORURO,internaciones,dias camas disponibles maternidad,2007-01-01,3486,3486
PADILLA,internaciones,dias camas disponibles maternidad,2007-01-01,465,465
PAILON,internaciones,dias camas disponibles maternidad,2007-01-01,180,180
PALCA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
PALOS BLANCOS,internaciones,dias camas disponibles maternidad,2007-01-01,248,248
PAMPA AULLAGAS,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
PAMPA GRANDE,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
PAPEL PAMPA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
PASORAPA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
PATACAMAYA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
PAZÑA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
PELECHUCO,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
POCOATA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
POCONA,internaciones,dias camas disponibles maternidad,2007-01-01,339,339
POJO (CBBA),internaciones,dias camas disponibles maternidad,2007-01-01,93,93
POOPO,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
PORCO,internaciones,dias camas disponibles maternidad,2007-01-01,16,16
POROMA,internaciones,dias camas disponibles maternidad,2007-01-01,401,401
PORONGO,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
PORTACHUELO,internaciones,dias camas disponibles maternidad,2007-01-01,527,527
PORVENIR,internaciones,dias camas disponibles maternidad,2007-01-01,22,22
POSTRER VALLE,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
POTOSI,internaciones,dias camas disponibles maternidad,2007-01-01,1302,1302
PRESTO,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
PUCARA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
PUCARANI,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
PUERTO ACOSTA,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
PUERTO GONZALO MORENO,internaciones,dias camas disponibles maternidad,2007-01-01,43,43
PUERTO QUIJARRO,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
PUERTO RICO,internaciones,dias camas disponibles maternidad,2007-01-01,23,23
PUERTO SUAREZ,internaciones,dias camas disponibles maternidad,2007-01-01,310,310
PUERTO VILLARROEL,internaciones,dias camas disponibles maternidad,2007-01-01,961,961
PUNA,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
PUNATA,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
QUILLACOLLO,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
QUIME,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
QUIRUSILLAS,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
RAVELO,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
REYES,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
RIBERALTA,internaciones,dias camas disponibles maternidad,2007-01-01,713,713
ROBORE,internaciones,dias camas disponibles maternidad,2007-01-01,402,402
RURRENABAQUE,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SACABA,internaciones,dias camas disponibles maternidad,2007-01-01,1426,1426
SACACA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
SAIPINA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
SALINAS DE GARCI MENDOZA,internaciones,dias camas disponibles maternidad,2007-01-01,185,185
SAMAIPATA,internaciones,dias camas disponibles maternidad,2007-01-01,279,279
SAN ANDRES,internaciones,dias camas disponibles maternidad,2007-01-01,28,28
SAN ANDRES DE MACHACA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
SAN ANTONIO DE LOMERIO,internaciones,dias camas disponibles maternidad,2007-01-01,75,75
SAN BENITO,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
SAN BORJA,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
SAN BUENA VENTURA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SAN CARLOS,internaciones,dias camas disponibles maternidad,2007-01-01,340,340
SAN IGNACIO,internaciones,dias camas disponibles maternidad,2007-01-01,465,465
SAN IGNACIO DE VELASCO,internaciones,dias camas disponibles maternidad,2007-01-01,1023,1023
SAN JAVIER(STC),internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SAN JOAQUIN,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones,dias camas disponibles maternidad,2007-01-01,465,465
SAN JUAN DE YAPACANI,internaciones,dias camas disponibles maternidad,2007-01-01,183,183
SAN JULIAN,internaciones,dias camas disponibles maternidad,2007-01-01,592,592
SAN LORENZO(TJA),internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SAN LUCAS,internaciones,dias camas disponibles maternidad,2007-01-01,341,341
SAN MATIAS,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
SAN MIGUEL DE VELASCO,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
SAN PEDRO,internaciones,dias camas disponibles maternidad,2007-01-01,367,367
SAN PEDRO DE BUENA VISTA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
SAN RAFAEL,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SAN RAMON,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
SAN RAMON,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
SANTA ANA,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
SANTA CRUZ DE LA SIERRA,internaciones,dias camas disponibles maternidad,2007-01-01,13618,13618
SANTA ROSA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
SANTA ROSA DEL SARA,internaciones,dias camas disponibles maternidad,2007-01-01,496,496
SANTIAGO DE HUARI,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SANTIAGO DE MACHACA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
SANTIVAÑES,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
SANTUARIO DE QUILLACAS,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
SAPAHAQUI,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
SICA SICA (VILLA AROMA),internaciones,dias camas disponibles maternidad,2007-01-01,217,217
SICAYA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
SIPE SIPE,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
SOPACHUY,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
SORATA,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
SUCRE,internaciones,dias camas disponibles maternidad,2007-01-01,4061,4061
TACACHI,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
TACACOMA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
TACOPAYA,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
TAPACARI,internaciones,dias camas disponibles maternidad,2007-01-01,464,464
TARABUCO,internaciones,dias camas disponibles maternidad,2007-01-01,186,186
TARACO,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
TARATA,internaciones,dias camas disponibles maternidad,2007-01-01,211,211
TARIJA,internaciones,dias camas disponibles maternidad,2007-01-01,1188,1188
TARVITA,internaciones,dias camas disponibles maternidad,2007-01-01,589,589
TEOPONTE,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
TIAWANACU,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
TIPUANI,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
TIQUIPAYA,internaciones,dias camas disponibles maternidad,2007-01-01,588,588
TIRAQUE (CBBA),internaciones,dias camas disponibles maternidad,2007-01-01,837,837
TOCO,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
TOLATA,internaciones,dias camas disponibles maternidad,2007-01-01,56,56
TOLEDO,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
TOMAVE,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
TOMINA,internaciones,dias camas disponibles maternidad,2007-01-01,372,372
TORO TORO,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
TOTORA(CBBA),internaciones,dias camas disponibles maternidad,2007-01-01,244,244
TOTORA(ORR),internaciones,dias camas disponibles maternidad,2007-01-01,116,116
TRIGAL,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
TRINIDAD,internaciones,dias camas disponibles maternidad,2007-01-01,1451,1451
TUPIZA,internaciones,dias camas disponibles maternidad,2007-01-01,620,620
TURCO,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
UMALA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
UNCIA,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
URIONDO (A. CONCEPCION),internaciones,dias camas disponibles maternidad,2007-01-01,4,4
URUBICHA,internaciones,dias camas disponibles maternidad,2007-01-01,62,62
UYUNI,internaciones,dias camas disponibles maternidad,2007-01-01,241,241
VACAS,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
VALLEGRANDE,internaciones,dias camas disponibles maternidad,2007-01-01,216,216
VIACHA,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
VILA VILA,internaciones,dias camas disponibles maternidad,2007-01-01,59,59
VILLA MONTES,internaciones,dias camas disponibles maternidad,2007-01-01,150,150
VILLA RIVERO,internaciones,dias camas disponibles maternidad,2007-01-01,155,155
VILLA SERRANO,internaciones,dias camas disponibles maternidad,2007-01-01,279,279
VILLA TUNARI,internaciones,dias camas disponibles maternidad,2007-01-01,1240,1240
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,dias camas disponibles maternidad,2007-01-01,248,248
VILLAZON,internaciones,dias camas disponibles maternidad,2007-01-01,434,434
VINTO,internaciones,dias camas disponibles maternidad,2007-01-01,217,217
VITICHI,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
WARNES,internaciones,dias camas disponibles maternidad,2007-01-01,744,744
YACUIBA,internaciones,dias camas disponibles maternidad,2007-01-01,1378,1378
YAMPARAEZ,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
YANACACHI,internaciones,dias camas disponibles maternidad,2007-01-01,93,93
YAPACANI,internaciones,dias camas disponibles maternidad,2007-01-01,589,589
YOCALLA,internaciones,dias camas disponibles maternidad,2007-01-01,31,31
YOTALA,internaciones,dias camas disponibles maternidad,2007-01-01,91,91
ZUDAÑEZ,internaciones,dias camas disponibles maternidad,2007-01-01,124,124
ACACIO,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
ACHACACHI,internaciones,dias camas disponibles maternidad,2007-02-01,224,224
ACHOCALLA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
AIQUILE,internaciones,dias camas disponibles maternidad,2007-02-01,286,286
ALALAY,internaciones,dias camas disponibles maternidad,2007-02-01,186,186
ALCALA,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
ANCORAIMES,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
ANTEQUERA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
ANZALDO,internaciones,dias camas disponibles maternidad,2007-02-01,52,52
APOLO,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
ARAMPAMPA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
ARANI,internaciones,dias camas disponibles maternidad,2007-02-01,168,168
ARBIETO,internaciones,dias camas disponibles maternidad,2007-02-01,88,88
ARQUE,internaciones,dias camas disponibles maternidad,2007-02-01,198,198
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2007-02-01,308,308
ATOCHA,internaciones,dias camas disponibles maternidad,2007-02-01,312,312
AYATA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
AYO AYO,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2007-02-01,420,420
AZURDUY,internaciones,dias camas disponibles maternidad,2007-02-01,168,168
BATALLAS,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
BAURES,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
BERMEJO,internaciones,dias camas disponibles maternidad,2007-02-01,436,436
BETANZOS,internaciones,dias camas disponibles maternidad,2007-02-01,336,336
BOLIVAR,internaciones,dias camas disponibles maternidad,2007-02-01,92,92
BOYUIBE,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
BUENA VISTA,internaciones,dias camas disponibles maternidad,2007-02-01,324,324
CABEZAS,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
CAIROMA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
"CAIZA ""D""",internaciones,dias camas disponibles maternidad,2007-02-01,224,224
CAJUATA,internaciones,dias camas disponibles maternidad,2007-02-01,87,87
CALAMARCA,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
CAMARGO,internaciones,dias camas disponibles maternidad,2007-02-01,168,168
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles maternidad,2007-02-01,84,84
CAMIRI,internaciones,dias camas disponibles maternidad,2007-02-01,728,728
CAPINOTA,internaciones,dias camas disponibles maternidad,2007-02-01,283,283
CARACOLLO,internaciones,dias camas disponibles maternidad,2007-02-01,146,146
CARANAVI,internaciones,dias camas disponibles maternidad,2007-02-01,392,392
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles maternidad,2007-02-01,14,14
CHALLAPATA,internaciones,dias camas disponibles maternidad,2007-02-01,308,308
CHAQUI,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
CHARAGUA,internaciones,dias camas disponibles maternidad,2007-02-01,168,168
CHARAÑA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
CHAYANTA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
CHIMORE,internaciones,dias camas disponibles maternidad,2007-02-01,224,224
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles maternidad,2007-02-01,112,112
CHUMA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
CLIZA,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
COBIJA,internaciones,dias camas disponibles maternidad,2007-02-01,560,560
COCHABAMBA,internaciones,dias camas disponibles maternidad,2007-02-01,11424,11424
COLCAPIRHUA,internaciones,dias camas disponibles maternidad,2007-02-01,308,308
"COLCHA ""K""",internaciones,dias camas disponibles maternidad,2007-02-01,56,56
COLLANA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
COLOMI,internaciones,dias camas disponibles maternidad,2007-02-01,364,364
COLPA BELGICA,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
COLQUENCHA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
COLQUIRI,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
COMARAPA,internaciones,dias camas disponibles maternidad,2007-02-01,280,280
CONCEPCION,internaciones,dias camas disponibles maternidad,2007-02-01,60,60
COPACABANA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
CORIPATA,internaciones,dias camas disponibles maternidad,2007-02-01,140,140
CORO CORO,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
COROICO,internaciones,dias camas disponibles maternidad,2007-02-01,224,224
COTAGAITA,internaciones,dias camas disponibles maternidad,2007-02-01,140,140
COTOCA,internaciones,dias camas disponibles maternidad,2007-02-01,588,588
CUATRO CAÑADAS,internaciones,dias camas disponibles maternidad,2007-02-01,202,202
CUCHUMUELA (V. G. VILLARROEL),internaciones,dias camas disponibles maternidad,2007-02-01,58,58
CULPINA,internaciones,dias camas disponibles maternidad,2007-02-01,196,196
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles maternidad,2007-02-01,102,102
DESAGUADERO,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
EL ALTO,internaciones,dias camas disponibles maternidad,2007-02-01,4480,4480
EL PUENTE(STC),internaciones,dias camas disponibles maternidad,2007-02-01,143,143
EL PUENTE(TJA),internaciones,dias camas disponibles maternidad,2007-02-01,78,78
EL TORNO,internaciones,dias camas disponibles maternidad,2007-02-01,422,422
EL VILLAR,internaciones,dias camas disponibles maternidad,2007-02-01,224,224
ENTRE RIOS,internaciones,dias camas disponibles maternidad,2007-02-01,364,364
ENTRE RIOS,internaciones,dias camas disponibles maternidad,2007-02-01,168,168
EUCALIPTUS,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
FERNANDEZ ALONSO,internaciones,dias camas disponibles maternidad,2007-02-01,532,532
FILADELFIA,internaciones,dias camas disponibles maternidad,2007-02-01,58,58
GENERAL SAAVEDRA,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles maternidad,2007-02-01,112,112
GUANAY,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
GUAQUI,internaciones,dias camas disponibles maternidad,2007-02-01,31,31
GUAYARAMERIN,internaciones,dias camas disponibles maternidad,2007-02-01,590,590
GUTIERREZ,internaciones,dias camas disponibles maternidad,2007-02-01,146,146
HUACARETA,internaciones,dias camas disponibles maternidad,2007-02-01,196,196
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles maternidad,2007-02-01,84,84
HUACHACALLA,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
HUANUNI,internaciones,dias camas disponibles maternidad,2007-02-01,224,224
HUARACAJE,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
HUAYLLAMARCA,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
ICLA,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
INCAHUASI,internaciones,dias camas disponibles maternidad,2007-02-01,6,6
INQUISIVI,internaciones,dias camas disponibles maternidad,2007-02-01,28,28
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles maternidad,2007-02-01,112,112
IXIAMAS,internaciones,dias camas disponibles maternidad,2007-02-01,112,112
JESUS DE MACHACA,internaciones,dias camas disponibles maternidad,2007-02-01,84,84
LA ASUNTA,internaciones,dias camas disponibles maternidad,2007-02-01,252,252
LA GUARDIA,internaciones,dias camas disponibles maternidad,2007-02-01,504,504
LA PAZ,internaciones,dias camas disponibles maternidad,2007-02-01,11846,11846
LAGUNILLAS,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
LAJA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
LLALLAGUA,internaciones,dias camas disponibles maternidad,2007-02-01,336,336
LLICA,internaciones,dias camas disponibles maternidad,2007-02-01,56,56
