municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-04-01,140,140
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,24,24
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-04-01,10,10
PUERTO ACOSTA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,5,5
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,4,4
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SAN MATIAS,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,108,108
SORATA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-04-01,23,23
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,27,27
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-04-01,10,10
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2007-04-01,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2007-04-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2007-04-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-04-01,9,9
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
AZURDUY,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,6,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,89,89
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
COTAGAITA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,4,4
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-05-01,142,142
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,31,31
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,20,20
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,3,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-05-01,62,62
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-05-01,8,8
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,129,129
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-05-01,23,23
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,35,35
TIPUANI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-05-01,10,10
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,4,4
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,2,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2007-05-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-05-01,3,3
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2007-06-01,2,2
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,94,94
COLQUIRI,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,7,7
ENTRE RIOS,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-06-01,3,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-06-01,142,142
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,3,3
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,36,36
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-06-01,14,14
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,3,3
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,2,2
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,120,120
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-06-01,34,34
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,27,27
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-06-01,8,8
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,4,4
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2007-06-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-06-01,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-06-01,8,8
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,3,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-07-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,109,109
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,16,16
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-07-01,5,5
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-07-01,134,134
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,4,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,31,31
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-07-01,28,28
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,3,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,112,112
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,2,2
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-07-01,31,31
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,26,26
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-07-01,12,12
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,11,11
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-07-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,3,3
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,3,3
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-08-01,4,4
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,87,87
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,15,15
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-08-01,132,132
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,3,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,26,26
POROMA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-08-01,24,24
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,5,5
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
SACABA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,116,116
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-08-01,38,38
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2007-08-01,1,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,52,52
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-08-01,8,8
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,3,3
UYUNI,internaciones,fallecidos a partir de las 48 horas,2007-08-01,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2007-08-01,5,5
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2007-09-01,5,5
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2007-09-01,4,4
COBIJA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,96,96
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,12,12
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2007-09-01,3,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2007-09-01,136,136
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,2,2
MAPIRI,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,2,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,28,28
POTOSI,internaciones,fallecidos a partir de las 48 horas,2007-09-01,23,23
PUNATA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,5,5
ROBORE,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2007-09-01,2,2
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
SAN MATIAS,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,124,124
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2007-09-01,47,47
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2007-09-01,1,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,19,19
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2007-09-01,6,6
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,6,6
UNCIA,internaciones,fallecidos a partir de las 48 horas,2007-09-01,4,4
