municipality,group,variable,month,Ingresos espontáneos,TOTAL
POROMA,internaciones,ingresos espontaneos,2007-01-01,10,10
PORONGO,internaciones,ingresos espontaneos,2007-01-01,19,19
PORTACHUELO,internaciones,ingresos espontaneos,2007-01-01,172,172
PORVENIR,internaciones,ingresos espontaneos,2007-01-01,16,16
POSTRER VALLE,internaciones,ingresos espontaneos,2007-01-01,1,1
POTOSI,internaciones,ingresos espontaneos,2007-01-01,1519,1519
PRESTO,internaciones,ingresos espontaneos,2007-01-01,14,14
PUCARANI,internaciones,ingresos espontaneos,2007-01-01,7,7
PUERTO ACOSTA,internaciones,ingresos espontaneos,2007-01-01,67,67
PUERTO CARABUCO,internaciones,ingresos espontaneos,2007-01-01,1,1
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2007-01-01,2,2
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2007-01-01,52,52
PUERTO RICO,internaciones,ingresos espontaneos,2007-01-01,33,33
PUERTO SUAREZ,internaciones,ingresos espontaneos,2007-01-01,113,113
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2007-01-01,218,218
PUNA,internaciones,ingresos espontaneos,2007-01-01,27,27
PUNATA,internaciones,ingresos espontaneos,2007-01-01,163,163
QUILLACOLLO,internaciones,ingresos espontaneos,2007-01-01,189,189
QUIME,internaciones,ingresos espontaneos,2007-01-01,19,19
QUIRUSILLAS,internaciones,ingresos espontaneos,2007-01-01,1,1
RAVELO,internaciones,ingresos espontaneos,2007-01-01,4,4
REYES,internaciones,ingresos espontaneos,2007-01-01,47,47
RIBERALTA,internaciones,ingresos espontaneos,2007-01-01,541,541
ROBORE,internaciones,ingresos espontaneos,2007-01-01,130,130
RURRENABAQUE,internaciones,ingresos espontaneos,2007-01-01,98,98
SACABA,internaciones,ingresos espontaneos,2007-01-01,509,509
SACABAMBA,internaciones,ingresos espontaneos,2007-01-01,24,24
SACACA,internaciones,ingresos espontaneos,2007-01-01,21,21
SAIPINA,internaciones,ingresos espontaneos,2007-01-01,5,5
SAMAIPATA,internaciones,ingresos espontaneos,2007-01-01,24,24
SAN ANDRES,internaciones,ingresos espontaneos,2007-01-01,1,1
SAN ANDRES DE MACHACA,internaciones,ingresos espontaneos,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2007-01-01,29,29
SAN BENITO,internaciones,ingresos espontaneos,2007-01-01,8,8
SAN BORJA,internaciones,ingresos espontaneos,2007-01-01,160,160
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2007-01-01,56,56
SAN CARLOS,internaciones,ingresos espontaneos,2007-01-01,158,158
SAN IGNACIO,internaciones,ingresos espontaneos,2007-01-01,71,71
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2007-01-01,380,380
SAN JAVIER(STC),internaciones,ingresos espontaneos,2007-01-01,73,73
SAN JOAQUIN,internaciones,ingresos espontaneos,2007-01-01,46,46
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2007-01-01,94,94
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2007-01-01,103,103
SAN JULIAN,internaciones,ingresos espontaneos,2007-01-01,101,101
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2007-01-01,18,18
SAN LUCAS,internaciones,ingresos espontaneos,2007-01-01,40,40
SAN MATIAS,internaciones,ingresos espontaneos,2007-01-01,68,68
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2007-01-01,63,63
SAN PEDRO,internaciones,ingresos espontaneos,2007-01-01,24,24
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2007-01-01,10,10
SAN RAFAEL,internaciones,ingresos espontaneos,2007-01-01,17,17
SAN RAMON,internaciones,ingresos espontaneos,2007-01-01,33,33
SAN RAMON,internaciones,ingresos espontaneos,2007-01-01,55,55
SANTA ANA,internaciones,ingresos espontaneos,2007-01-01,119,119
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2007-01-01,6515,6515
SANTA ROSA,internaciones,ingresos espontaneos,2007-01-01,47,47
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2007-01-01,67,67
SANTIAGO DE HUARI,internaciones,ingresos espontaneos,2007-01-01,2,2
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2007-01-01,2,2
SANTIVAÑES,internaciones,ingresos espontaneos,2007-01-01,3,3
SAPAHAQUI,internaciones,ingresos espontaneos,2007-01-01,1,1
SENA,internaciones,ingresos espontaneos,2007-01-01,11,11
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2007-01-01,12,12
SICAYA,internaciones,ingresos espontaneos,2007-01-01,1,1
SIPE SIPE,internaciones,ingresos espontaneos,2007-01-01,47,47
SOPACHUY,internaciones,ingresos espontaneos,2007-01-01,33,33
SORATA,internaciones,ingresos espontaneos,2007-01-01,12,12
SUCRE,internaciones,ingresos espontaneos,2007-01-01,2910,2910
TACACOMA,internaciones,ingresos espontaneos,2007-01-01,10,10
TACOPAYA,internaciones,ingresos espontaneos,2007-01-01,5,5
TAPACARI,internaciones,ingresos espontaneos,2007-01-01,13,13
TARABUCO,internaciones,ingresos espontaneos,2007-01-01,55,55
TARACO,internaciones,ingresos espontaneos,2007-01-01,1,1
TARATA,internaciones,ingresos espontaneos,2007-01-01,5,5
TARIJA,internaciones,ingresos espontaneos,2007-01-01,1692,1692
TARVITA,internaciones,ingresos espontaneos,2007-01-01,38,38
TEOPONTE,internaciones,ingresos espontaneos,2007-01-01,4,4
TIAWANACU,internaciones,ingresos espontaneos,2007-01-01,9,9
TIPUANI,internaciones,ingresos espontaneos,2007-01-01,22,22
TIQUIPAYA,internaciones,ingresos espontaneos,2007-01-01,82,82
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2007-01-01,179,179
TOCO,internaciones,ingresos espontaneos,2007-01-01,4,4
TOLATA,internaciones,ingresos espontaneos,2007-01-01,2,2
TOLEDO,internaciones,ingresos espontaneos,2007-01-01,14,14
TOMAVE,internaciones,ingresos espontaneos,2007-01-01,5,5
TOMINA,internaciones,ingresos espontaneos,2007-01-01,21,21
TORO TORO,internaciones,ingresos espontaneos,2007-01-01,1,1
TOTORA(CBBA),internaciones,ingresos espontaneos,2007-01-01,23,23
TOTORA(ORR),internaciones,ingresos espontaneos,2007-01-01,1,1
TRIGAL,internaciones,ingresos espontaneos,2007-01-01,1,1
TRINIDAD,internaciones,ingresos espontaneos,2007-01-01,1367,1367
TUPIZA,internaciones,ingresos espontaneos,2007-01-01,362,362
TURCO,internaciones,ingresos espontaneos,2007-01-01,5,5
UMALA,internaciones,ingresos espontaneos,2007-01-01,1,1
UNCIA,internaciones,ingresos espontaneos,2007-01-01,29,29
URIONDO (A. CONCEPCION),internaciones,ingresos espontaneos,2007-01-01,12,12
URUBICHA,internaciones,ingresos espontaneos,2007-01-01,30,30
UYUNI,internaciones,ingresos espontaneos,2007-01-01,129,129
VACAS,internaciones,ingresos espontaneos,2007-01-01,15,15
VALLEGRANDE,internaciones,ingresos espontaneos,2007-01-01,132,132
VIACHA,internaciones,ingresos espontaneos,2007-01-01,17,17
VILA VILA,internaciones,ingresos espontaneos,2007-01-01,1,1
VILLA MONTES,internaciones,ingresos espontaneos,2007-01-01,270,270
VILLA RIVERO,internaciones,ingresos espontaneos,2007-01-01,11,11
VILLA SERRANO,internaciones,ingresos espontaneos,2007-01-01,26,26
VILLA TUNARI,internaciones,ingresos espontaneos,2007-01-01,257,257
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2007-01-01,18,18
VILLAZON,internaciones,ingresos espontaneos,2007-01-01,266,266
VINTO,internaciones,ingresos espontaneos,2007-01-01,51,51
VITICHI,internaciones,ingresos espontaneos,2007-01-01,11,11
WARNES,internaciones,ingresos espontaneos,2007-01-01,93,93
YACUIBA,internaciones,ingresos espontaneos,2007-01-01,672,672
YAMPARAEZ,internaciones,ingresos espontaneos,2007-01-01,12,12
YANACACHI,internaciones,ingresos espontaneos,2007-01-01,5,5
YAPACANI,internaciones,ingresos espontaneos,2007-01-01,665,665
YOTALA,internaciones,ingresos espontaneos,2007-01-01,29,29
ZUDAÑEZ,internaciones,ingresos espontaneos,2007-01-01,18,18
ACACIO,internaciones,ingresos espontaneos,2007-02-01,1,1
ACHACACHI,internaciones,ingresos espontaneos,2007-02-01,69,69
ACHOCALLA,internaciones,ingresos espontaneos,2007-02-01,6,6
AIQUILE,internaciones,ingresos espontaneos,2007-02-01,114,114
ALALAY,internaciones,ingresos espontaneos,2007-02-01,5,5
ALCALA,internaciones,ingresos espontaneos,2007-02-01,4,4
ANCORAIMES,internaciones,ingresos espontaneos,2007-02-01,4,4
ANDAMARCA,internaciones,ingresos espontaneos,2007-02-01,3,3
ANTEQUERA,internaciones,ingresos espontaneos,2007-02-01,4,4
ANZALDO,internaciones,ingresos espontaneos,2007-02-01,4,4
APOLO,internaciones,ingresos espontaneos,2007-02-01,25,25
ARAMPAMPA,internaciones,ingresos espontaneos,2007-02-01,3,3
ARBIETO,internaciones,ingresos espontaneos,2007-02-01,6,6
ARQUE,internaciones,ingresos espontaneos,2007-02-01,5,5
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2007-02-01,166,166
ATOCHA,internaciones,ingresos espontaneos,2007-02-01,87,87
AYATA,internaciones,ingresos espontaneos,2007-02-01,4,4
AYO AYO,internaciones,ingresos espontaneos,2007-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2007-02-01,42,42
AZURDUY,internaciones,ingresos espontaneos,2007-02-01,25,25
BATALLAS,internaciones,ingresos espontaneos,2007-02-01,4,4
BAURES,internaciones,ingresos espontaneos,2007-02-01,9,9
BERMEJO,internaciones,ingresos espontaneos,2007-02-01,158,158
BETANZOS,internaciones,ingresos espontaneos,2007-02-01,27,27
BOYUIBE,internaciones,ingresos espontaneos,2007-02-01,30,30
BUENA VISTA,internaciones,ingresos espontaneos,2007-02-01,56,56
CABEZAS,internaciones,ingresos espontaneos,2007-02-01,43,43
CAIROMA,internaciones,ingresos espontaneos,2007-02-01,3,3
"CAIZA ""D""",internaciones,ingresos espontaneos,2007-02-01,2,2
CAJUATA,internaciones,ingresos espontaneos,2007-02-01,12,12
CALAMARCA,internaciones,ingresos espontaneos,2007-02-01,7,7
CAMARGO,internaciones,ingresos espontaneos,2007-02-01,106,106
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2007-02-01,17,17
CAMIRI,internaciones,ingresos espontaneos,2007-02-01,448,448
CAPINOTA,internaciones,ingresos espontaneos,2007-02-01,66,66
CAQUIAVIRI,internaciones,ingresos espontaneos,2007-02-01,1,1
CARACOLLO,internaciones,ingresos espontaneos,2007-02-01,26,26
CARANAVI,internaciones,ingresos espontaneos,2007-02-01,146,146
CARAPARI,internaciones,ingresos espontaneos,2007-02-01,1,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2007-02-01,8,8
CHALLAPATA,internaciones,ingresos espontaneos,2007-02-01,56,56
CHAQUI,internaciones,ingresos espontaneos,2007-02-01,3,3
CHARAGUA,internaciones,ingresos espontaneos,2007-02-01,117,117
CHARAÑA,internaciones,ingresos espontaneos,2007-02-01,1,1
CHAYANTA,internaciones,ingresos espontaneos,2007-02-01,14,14
CHIMORE,internaciones,ingresos espontaneos,2007-02-01,24,24
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2007-02-01,111,111
CHUMA,internaciones,ingresos espontaneos,2007-02-01,7,7
CLIZA,internaciones,ingresos espontaneos,2007-02-01,22,22
COBIJA,internaciones,ingresos espontaneos,2007-02-01,240,240
COCHABAMBA,internaciones,ingresos espontaneos,2007-02-01,5790,5790
COLCAPIRHUA,internaciones,ingresos espontaneos,2007-02-01,153,153
"COLCHA ""K""",internaciones,ingresos espontaneos,2007-02-01,2,2
COLLANA,internaciones,ingresos espontaneos,2007-02-01,1,1
COLOMI,internaciones,ingresos espontaneos,2007-02-01,26,26
COLPA BELGICA,internaciones,ingresos espontaneos,2007-02-01,12,12
COLQUENCHA,internaciones,ingresos espontaneos,2007-02-01,1,1
COLQUIRI,internaciones,ingresos espontaneos,2007-02-01,6,6
COMARAPA,internaciones,ingresos espontaneos,2007-02-01,95,95
CONCEPCION,internaciones,ingresos espontaneos,2007-02-01,86,86
COPACABANA,internaciones,ingresos espontaneos,2007-02-01,26,26
CORIPATA,internaciones,ingresos espontaneos,2007-02-01,25,25
CORO CORO,internaciones,ingresos espontaneos,2007-02-01,2,2
COROICO,internaciones,ingresos espontaneos,2007-02-01,72,72
COTAGAITA,internaciones,ingresos espontaneos,2007-02-01,32,32
COTOCA,internaciones,ingresos espontaneos,2007-02-01,135,135
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2007-02-01,63,63
CULPINA,internaciones,ingresos espontaneos,2007-02-01,32,32
DESAGUADERO,internaciones,ingresos espontaneos,2007-02-01,7,7
EL ALTO,internaciones,ingresos espontaneos,2007-02-01,2282,2282
EL PUENTE(STC),internaciones,ingresos espontaneos,2007-02-01,13,13
EL TORNO,internaciones,ingresos espontaneos,2007-02-01,127,127
EL VILLAR,internaciones,ingresos espontaneos,2007-02-01,10,10
ENTRE RIOS,internaciones,ingresos espontaneos,2007-02-01,40,40
ENTRE RIOS,internaciones,ingresos espontaneos,2007-02-01,20,20
EUCALIPTUS,internaciones,ingresos espontaneos,2007-02-01,4,4
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2007-02-01,50,50
FILADELFIA,internaciones,ingresos espontaneos,2007-02-01,10,10
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2007-02-01,46,46
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2007-02-01,3,3
GUANAY,internaciones,ingresos espontaneos,2007-02-01,33,33
GUAQUI,internaciones,ingresos espontaneos,2007-02-01,6,6
GUAYARAMERIN,internaciones,ingresos espontaneos,2007-02-01,493,493
GUTIERREZ,internaciones,ingresos espontaneos,2007-02-01,30,30
HUACARETA,internaciones,ingresos espontaneos,2007-02-01,22,22
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2007-02-01,1,1
HUACHACALLA,internaciones,ingresos espontaneos,2007-02-01,3,3
HUANUNI,internaciones,ingresos espontaneos,2007-02-01,56,56
HUARACAJE,internaciones,ingresos espontaneos,2007-02-01,8,8
HUAYLLAMARCA,internaciones,ingresos espontaneos,2007-02-01,5,5
ICHOCA,internaciones,ingresos espontaneos,2007-02-01,1,1
ICLA,internaciones,ingresos espontaneos,2007-02-01,9,9
INCAHUASI,internaciones,ingresos espontaneos,2007-02-01,10,10
INQUISIVI,internaciones,ingresos espontaneos,2007-02-01,3,3
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2007-02-01,15,15
IXIAMAS,internaciones,ingresos espontaneos,2007-02-01,22,22
JESUS DE MACHACA,internaciones,ingresos espontaneos,2007-02-01,11,11
LA ASUNTA,internaciones,ingresos espontaneos,2007-02-01,42,42
LA GUARDIA,internaciones,ingresos espontaneos,2007-02-01,177,177
LA PAZ,internaciones,ingresos espontaneos,2007-02-01,5164,5164
LAGUNILLAS,internaciones,ingresos espontaneos,2007-02-01,10,10
LAJA,internaciones,ingresos espontaneos,2007-02-01,2,2
LICOMA PAMPA,internaciones,ingresos espontaneos,2007-02-01,1,1
LLALLAGUA,internaciones,ingresos espontaneos,2007-02-01,210,210
LLICA,internaciones,ingresos espontaneos,2007-02-01,7,7
LURIBAY,internaciones,ingresos espontaneos,2007-02-01,6,6
MACHACAMARCA,internaciones,ingresos espontaneos,2007-02-01,2,2
MACHARETI,internaciones,ingresos espontaneos,2007-02-01,6,6
MAGDALENA,internaciones,ingresos espontaneos,2007-02-01,56,56
MAIRANA,internaciones,ingresos espontaneos,2007-02-01,52,52
MAPIRI,internaciones,ingresos espontaneos,2007-02-01,29,29
MECAPACA,internaciones,ingresos espontaneos,2007-02-01,2,2
MINEROS,internaciones,ingresos espontaneos,2007-02-01,29,29
MIZQUE,internaciones,ingresos espontaneos,2007-02-01,46,46
MOCOMOCO,internaciones,ingresos espontaneos,2007-02-01,1,1
MOJOCOYA,internaciones,ingresos espontaneos,2007-02-01,1,1
MONTEAGUDO,internaciones,ingresos espontaneos,2007-02-01,127,127
MONTERO,internaciones,ingresos espontaneos,2007-02-01,614,614
MORO MORO,internaciones,ingresos espontaneos,2007-02-01,5,5
MOROCHATA,internaciones,ingresos espontaneos,2007-02-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos espontaneos,2007-02-01,1,1
OCURI,internaciones,ingresos espontaneos,2007-02-01,14,14
OKINAWA,internaciones,ingresos espontaneos,2007-02-01,8,8
OMEREQUE,internaciones,ingresos espontaneos,2007-02-01,5,5
ORURO,internaciones,ingresos espontaneos,2007-02-01,1466,1466
PADILLA,internaciones,ingresos espontaneos,2007-02-01,54,54
PAILON,internaciones,ingresos espontaneos,2007-02-01,66,66
PALOS BLANCOS,internaciones,ingresos espontaneos,2007-02-01,62,62
PAMPA AULLAGAS,internaciones,ingresos espontaneos,2007-02-01,3,3
PAMPA GRANDE,internaciones,ingresos espontaneos,2007-02-01,13,13
PAPEL PAMPA,internaciones,ingresos espontaneos,2007-02-01,3,3
PATACAMAYA,internaciones,ingresos espontaneos,2007-02-01,22,22
PAZÑA,internaciones,ingresos espontaneos,2007-02-01,1,1
POCOATA,internaciones,ingresos espontaneos,2007-02-01,7,7
POCONA,internaciones,ingresos espontaneos,2007-02-01,6,6
POJO (CBBA),internaciones,ingresos espontaneos,2007-02-01,14,14
PORCO,internaciones,ingresos espontaneos,2007-02-01,2,2
POROMA,internaciones,ingresos espontaneos,2007-02-01,6,6
PORONGO,internaciones,ingresos espontaneos,2007-02-01,15,15
PORTACHUELO,internaciones,ingresos espontaneos,2007-02-01,168,168
PORVENIR,internaciones,ingresos espontaneos,2007-02-01,7,7
POTOSI,internaciones,ingresos espontaneos,2007-02-01,1171,1171
PRESTO,internaciones,ingresos espontaneos,2007-02-01,9,9
PUCARA,internaciones,ingresos espontaneos,2007-02-01,2,2
PUCARANI,internaciones,ingresos espontaneos,2007-02-01,3,3
PUERTO ACOSTA,internaciones,ingresos espontaneos,2007-02-01,63,63
PUERTO CARABUCO,internaciones,ingresos espontaneos,2007-02-01,2,2
