municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,122,122
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,16,16
SACABA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,8,8
SACABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAMAIPATA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAN BENITO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
SAN BORJA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,18,18
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,16,16
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,11,11
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,161,161
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,10,10
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
SORATA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,59,59
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2007-01-01,10,10
TARIJA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,236,236
TARVITA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2007-01-01,5,5
TRIGAL,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecimientos,2007-01-01,20,20
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,8,8
UNCIA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,4,4
URIONDO (A. CONCEPCION),internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
UYUNI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,3,3
VACAS,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2007-01-01,3,3
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2007-01-01,7,7
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,56,56
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2007-01-01,8,8
WARNES,internaciones,ingresos referidos de otros establecimientos,2007-01-01,1,1
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,16,16
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-01-01,6,6
YOCALLA,internaciones,ingresos referidos de otros establecimientos,2007-01-01,2,2
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
ALALAY,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,17,17
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,8,8
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,22,22
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,22,22
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,55,55
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,9,9
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
COBIJA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,15,15
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,16,16
COLOMI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2007-02-01,6,6
CORO CORO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,10,10
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,5,5
COTOCA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,13,13
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,169,169
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2007-02-01,23,23
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
INQUISIVI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1519,1519
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,17,17
LURIBAY,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,12,12
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
MINEROS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,18,18
MONTERO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,68,68
OCURI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
ORURO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,144,144
PADILLA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,20,20
PAILON,internaciones,ingresos referidos de otros establecimientos,2007-02-01,62,62
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
POCOATA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
POJO (CBBA),internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
POROMA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,11,11
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,7,7
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2007-02-01,5,5
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2007-02-01,9,9
PUNATA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,48,48
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,24,24
REYES,internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,45,45
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2007-02-01,11,11
SACABA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,24,24
SACABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
SAN BENITO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,30,30
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,13,13
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2007-02-01,11,11
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,12,12
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2007-02-01,5,5
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,58,58
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,4,4
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
SORATA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos,2007-02-01,58,58
TAPACARI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,13,13
TARATA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
TARIJA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,130,130
TARVITA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecimientos,2007-02-01,6,6
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,51,51
UNCIA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,11,11
UYUNI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2007-02-01,14,14
VILLA SERRANO,internaciones,ingresos referidos de otros establecimientos,2007-02-01,9,9
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,30,30
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2007-02-01,6,6
WARNES,internaciones,ingresos referidos de otros establecimientos,2007-02-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,24,24
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-02-01,8,8
YOTALA,internaciones,ingresos referidos de otros establecimientos,2007-02-01,1,1
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2007-02-01,2,2
ACACIO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,6,6
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,4,4
APOLO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,10,10
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,40,40
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2007-03-01,7,7
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,7,7
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,4,4
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,9,9
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,22,22
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,23,23
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,4,4
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
COBIJA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,12,12
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,33,33
COLOMI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
COROICO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,6,6
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,10,10
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,203,203
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
GUANAY,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2007-03-01,15,15
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
ICLA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,3,3
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1580,1580
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,16,16
LURIBAY,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,4,4
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,3,3
MAPIRI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
MINEROS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
MOJOCOYA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,18,18
MONTERO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,59,59
OCURI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
ORURO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,136,136
PADILLA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,26,26
PAILON,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,3,3
PASORAPA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,8,8
POSTRER VALLE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
PUERTO RICO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2007-03-01,11,11
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
PUNATA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,68,68
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,22,22
REYES,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,126,126
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,12,12
SACABA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,13,13
SACACA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SAN BENITO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,26,26
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,12,12
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,2,2
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2007-03-01,8,8
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,6,6
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SANTA ANA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,154,154
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,13,13
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SENA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,3,3
SIPE SIPE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,71,71
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2007-03-01,18,18
TARIJA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,150,150
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,3,3
TOLATA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,53,53
UNCIA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,4,4
VACAS,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2007-03-01,6,6
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2007-03-01,9,9
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,21,21
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2007-03-01,7,7
WARNES,internaciones,ingresos referidos de otros establecimientos,2007-03-01,6,6
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,5,5
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2007-03-01,8,8
YOTALA,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2007-03-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2007-04-01,9,9
APOLO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,15,15
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2007-04-01,14,14
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,4,4
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,28,28
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,6,6
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,6,6
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2007-04-01,22,22
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2007-04-01,28,28
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,5,5
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2007-04-01,3,3
COBIJA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,39,39
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,25,25
COLOMI,internaciones,ingresos referidos de otros establecimientos,2007-04-01,2,2
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2007-04-01,2,2
COPACABANA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,11,11
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,6,6
COTOCA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,11,11
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,3,3
CUEVO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,258,258
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2007-04-01,5,5
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2007-04-01,3,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2007-04-01,16,16
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2007-04-01,10,10
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1543,1543
LAGUNILLAS,internaciones,ingresos referidos de otros establecimientos,2007-04-01,1,1
