municipality,group,variable,month,0 Contrareferidos,TOTAL
EL ALTO,internaciones,contrareferidos,2007-04-01,44,44
EL TORNO,internaciones,contrareferidos,2007-04-01,1,1
LA PAZ,internaciones,contrareferidos,2007-04-01,46,46
MOJOCOYA,internaciones,contrareferidos,2007-04-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2007-04-01,3,3
OMEREQUE,internaciones,contrareferidos,2007-04-01,2,2
ORURO,internaciones,contrareferidos,2007-04-01,613,613
PALOS BLANCOS,internaciones,contrareferidos,2007-04-01,3,3
PRESTO,internaciones,contrareferidos,2007-04-01,2,2
PUCARANI,internaciones,contrareferidos,2007-04-01,1,1
SACABA,internaciones,contrareferidos,2007-04-01,8,8
SAN BENITO,internaciones,contrareferidos,2007-04-01,1,1
SAN BORJA,internaciones,contrareferidos,2007-04-01,60,60
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-04-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2007-04-01,30,30
SAN LUCAS,internaciones,contrareferidos,2007-04-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2007-04-01,1,1
SAN PEDRO,internaciones,contrareferidos,2007-04-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-04-01,302,302
SOPACHUY,internaciones,contrareferidos,2007-04-01,3,3
SUCRE,internaciones,contrareferidos,2007-04-01,22,22
TAPACARI,internaciones,contrareferidos,2007-04-01,1,1
TARABUCO,internaciones,contrareferidos,2007-04-01,14,14
TARIJA,internaciones,contrareferidos,2007-04-01,570,570
TRIGAL,internaciones,contrareferidos,2007-04-01,1,1
URIONDO (A. CONCEPCION),internaciones,contrareferidos,2007-04-01,2,2
VIACHA,internaciones,contrareferidos,2007-04-01,5,5
VILLA TUNARI,internaciones,contrareferidos,2007-04-01,1,1
VILLAZON,internaciones,contrareferidos,2007-04-01,4,4
APOLO,internaciones,contrareferidos,2007-05-01,1,1
ARAMPAMPA,internaciones,contrareferidos,2007-05-01,1,1
ATOCHA,internaciones,contrareferidos,2007-05-01,30,30
BETANZOS,internaciones,contrareferidos,2007-05-01,2,2
CAMARGO,internaciones,contrareferidos,2007-05-01,3,3
CHARAGUA,internaciones,contrareferidos,2007-05-01,4,4
COCHABAMBA,internaciones,contrareferidos,2007-05-01,3,3
COPACABANA,internaciones,contrareferidos,2007-05-01,1,1
CORIPATA,internaciones,contrareferidos,2007-05-01,1,1
EL ALTO,internaciones,contrareferidos,2007-05-01,11,11
EUCALIPTUS,internaciones,contrareferidos,2007-05-01,2,2
GENERAL SAAVEDRA,internaciones,contrareferidos,2007-05-01,8,8
GUTIERREZ,internaciones,contrareferidos,2007-05-01,2,2
HUANUNI,internaciones,contrareferidos,2007-05-01,7,7
ICLA,internaciones,contrareferidos,2007-05-01,2,2
LA PAZ,internaciones,contrareferidos,2007-05-01,126,126
MAGDALENA,internaciones,contrareferidos,2007-05-01,2,2
OMEREQUE,internaciones,contrareferidos,2007-05-01,1,1
ORURO,internaciones,contrareferidos,2007-05-01,635,635
POCONA,internaciones,contrareferidos,2007-05-01,1,1
PORONGO,internaciones,contrareferidos,2007-05-01,31,31
RIBERALTA,internaciones,contrareferidos,2007-05-01,15,15
SACABA,internaciones,contrareferidos,2007-05-01,1,1
SACACA,internaciones,contrareferidos,2007-05-01,3,3
SAIPINA,internaciones,contrareferidos,2007-05-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-05-01,6,6
SAN LUCAS,internaciones,contrareferidos,2007-05-01,4,4
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-05-01,199,199
SOPACHUY,internaciones,contrareferidos,2007-05-01,1,1
SUCRE,internaciones,contrareferidos,2007-05-01,12,12
TARIJA,internaciones,contrareferidos,2007-05-01,280,280
TARVITA,internaciones,contrareferidos,2007-05-01,2,2
TOMINA,internaciones,contrareferidos,2007-05-01,1,1
TUPIZA,internaciones,contrareferidos,2007-05-01,93,93
VILLAZON,internaciones,contrareferidos,2007-05-01,21,21
WARNES,internaciones,contrareferidos,2007-05-01,1,1
YACUIBA,internaciones,contrareferidos,2007-05-01,2,2
YANACACHI,internaciones,contrareferidos,2007-05-01,1,1
ZUDAÑEZ,internaciones,contrareferidos,2007-05-01,5,5
ANDAMARCA,internaciones,contrareferidos,2007-06-01,2,2
BAURES,internaciones,contrareferidos,2007-06-01,1,1
BOLIVAR,internaciones,contrareferidos,2007-06-01,1,1
CAMARGO,internaciones,contrareferidos,2007-06-01,4,4
COCHABAMBA,internaciones,contrareferidos,2007-06-01,5,5
COLOMI,internaciones,contrareferidos,2007-06-01,2,2
CORIPATA,internaciones,contrareferidos,2007-06-01,1,1
COTOCA,internaciones,contrareferidos,2007-06-01,1,1
CUATRO CAÑADAS,internaciones,contrareferidos,2007-06-01,90,90
CULPINA,internaciones,contrareferidos,2007-06-01,30,30
EL ALTO,internaciones,contrareferidos,2007-06-01,3,3
EL PUENTE(STC),internaciones,contrareferidos,2007-06-01,1,1
EL PUENTE(TJA),internaciones,contrareferidos,2007-06-01,1,1
GENERAL SAAVEDRA,internaciones,contrareferidos,2007-06-01,10,10
GUTIERREZ,internaciones,contrareferidos,2007-06-01,1,1
HUANUNI,internaciones,contrareferidos,2007-06-01,7,7
ICLA,internaciones,contrareferidos,2007-06-01,2,2
IRUPANA (VILLA DE LANZA),internaciones,contrareferidos,2007-06-01,2,2
JESUS DE MACHACA,internaciones,contrareferidos,2007-06-01,1,1
LA PAZ,internaciones,contrareferidos,2007-06-01,75,75
MAIRANA,internaciones,contrareferidos,2007-06-01,1,1
MIZQUE,internaciones,contrareferidos,2007-06-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2007-06-01,2,2
ORURO,internaciones,contrareferidos,2007-06-01,225,225
PALOS BLANCOS,internaciones,contrareferidos,2007-06-01,5,5
RIBERALTA,internaciones,contrareferidos,2007-06-01,40,40
SACACA,internaciones,contrareferidos,2007-06-01,2,2
SAIPINA,internaciones,contrareferidos,2007-06-01,4,4
SALINAS DE GARCI MENDOZA,internaciones,contrareferidos,2007-06-01,90,90
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-06-01,2,2
SAN LUCAS,internaciones,contrareferidos,2007-06-01,14,14
SAN RAFAEL,internaciones,contrareferidos,2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-06-01,234,234
SIPE SIPE,internaciones,contrareferidos,2007-06-01,1,1
SOPACHUY,internaciones,contrareferidos,2007-06-01,2,2
SORATA,internaciones,contrareferidos,2007-06-01,1,1
SUCRE,internaciones,contrareferidos,2007-06-01,12,12
TARVITA,internaciones,contrareferidos,2007-06-01,1,1
TUPIZA,internaciones,contrareferidos,2007-06-01,37,37
VILLA TUNARI,internaciones,contrareferidos,2007-06-01,2,2
VILLAZON,internaciones,contrareferidos,2007-06-01,39,39
YACUIBA,internaciones,contrareferidos,2007-06-01,4,4
YAMPARAEZ,internaciones,contrareferidos,2007-06-01,2,2
ATOCHA,internaciones,contrareferidos,2007-07-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2007-07-01,3,3
BOLIVAR,internaciones,contrareferidos,2007-07-01,4,4
CAMARGO,internaciones,contrareferidos,2007-07-01,4,4
CAMATAQUI (C. VILLA ABECIA),internaciones,contrareferidos,2007-07-01,1,1
COBIJA,internaciones,contrareferidos,2007-07-01,56,56
COCHABAMBA,internaciones,contrareferidos,2007-07-01,4,4
COLPA BELGICA,internaciones,contrareferidos,2007-07-01,2,2
COPACABANA,internaciones,contrareferidos,2007-07-01,1,1
COTOCA,internaciones,contrareferidos,2007-07-01,2,2
EL ALTO,internaciones,contrareferidos,2007-07-01,76,76
EL TORNO,internaciones,contrareferidos,2007-07-01,31,31
GUTIERREZ,internaciones,contrareferidos,2007-07-01,1,1
HUANUNI,internaciones,contrareferidos,2007-07-01,13,13
LA GUARDIA,internaciones,contrareferidos,2007-07-01,2,2
LA PAZ,internaciones,contrareferidos,2007-07-01,102,102
MACHARETI,internaciones,contrareferidos,2007-07-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2007-07-01,7,7
MOROCHATA,internaciones,contrareferidos,2007-07-01,2,2
ORURO,internaciones,contrareferidos,2007-07-01,73,73
PALOS BLANCOS,internaciones,contrareferidos,2007-07-01,10,10
POCOATA,internaciones,contrareferidos,2007-07-01,2,2
POTOSI,internaciones,contrareferidos,2007-07-01,4,4
PUNA,internaciones,contrareferidos,2007-07-01,1,1
RURRENABAQUE,internaciones,contrareferidos,2007-07-01,3,3
SACABA,internaciones,contrareferidos,2007-07-01,8,8
SAIPINA,internaciones,contrareferidos,2007-07-01,1,1
SAN ANDRES,internaciones,contrareferidos,2007-07-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2007-07-01,6,6
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-07-01,13,13
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-07-01,280,280
SOPACHUY,internaciones,contrareferidos,2007-07-01,6,6
SUCRE,internaciones,contrareferidos,2007-07-01,10,10
TARABUCO,internaciones,contrareferidos,2007-07-01,18,18
TARVITA,internaciones,contrareferidos,2007-07-01,4,4
TOCO,internaciones,contrareferidos,2007-07-01,31,31
TOMINA,internaciones,contrareferidos,2007-07-01,1,1
TUPIZA,internaciones,contrareferidos,2007-07-01,50,50
VILLA TUNARI,internaciones,contrareferidos,2007-07-01,1,1
VILLAZON,internaciones,contrareferidos,2007-07-01,36,36
VITICHI,internaciones,contrareferidos,2007-07-01,1,1
YACUIBA,internaciones,contrareferidos,2007-07-01,8,8
ANTEQUERA,internaciones,contrareferidos,2007-08-01,3,3
ATOCHA,internaciones,contrareferidos,2007-08-01,25,25
BOLIVAR,internaciones,contrareferidos,2007-08-01,5,5
CABEZAS,internaciones,contrareferidos,2007-08-01,1,1
CAMATAQUI (C. VILLA ABECIA),internaciones,contrareferidos,2007-08-01,1,1
CAPINOTA,internaciones,contrareferidos,2007-08-01,3,3
COBIJA,internaciones,contrareferidos,2007-08-01,30,30
COLOMI,internaciones,contrareferidos,2007-08-01,3,3
COTOCA,internaciones,contrareferidos,2007-08-01,1,1
EL ALTO,internaciones,contrareferidos,2007-08-01,91,91
GRAL. J.J. PEREZ (CHARAZANI),internaciones,contrareferidos,2007-08-01,1,1
HUANUNI,internaciones,contrareferidos,2007-08-01,9,9
ICLA,internaciones,contrareferidos,2007-08-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,contrareferidos,2007-08-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2007-08-01,1,1
LA ASUNTA,internaciones,contrareferidos,2007-08-01,2,2
LA GUARDIA,internaciones,contrareferidos,2007-08-01,2,2
LA PAZ,internaciones,contrareferidos,2007-08-01,175,175
MINEROS,internaciones,contrareferidos,2007-08-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2007-08-01,6,6
ORURO,internaciones,contrareferidos,2007-08-01,54,54
PADILLA,internaciones,contrareferidos,2007-08-01,7,7
PAMPA GRANDE,internaciones,contrareferidos,2007-08-01,1,1
PUCARANI,internaciones,contrareferidos,2007-08-01,1,1
RIBERALTA,internaciones,contrareferidos,2007-08-01,50,50
SACACA,internaciones,contrareferidos,2007-08-01,3,3
SAIPINA,internaciones,contrareferidos,2007-08-01,115,115
SAN CARLOS,internaciones,contrareferidos,2007-08-01,6,6
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-08-01,3,3
SAN LUCAS,internaciones,contrareferidos,2007-08-01,2,2
SAN RAFAEL,internaciones,contrareferidos,2007-08-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-08-01,302,302
SICA SICA (VILLA AROMA),internaciones,contrareferidos,2007-08-01,1,1
SICAYA,internaciones,contrareferidos,2007-08-01,1,1
SIPE SIPE,internaciones,contrareferidos,2007-08-01,1,1
SOPACHUY,internaciones,contrareferidos,2007-08-01,10,10
SUCRE,internaciones,contrareferidos,2007-08-01,9,9
TARABUCO,internaciones,contrareferidos,2007-08-01,15,15
TARIJA,internaciones,contrareferidos,2007-08-01,124,124
TARVITA,internaciones,contrareferidos,2007-08-01,1,1
TOMINA,internaciones,contrareferidos,2007-08-01,2,2
TUPIZA,internaciones,contrareferidos,2007-08-01,30,30
VILLA TUNARI,internaciones,contrareferidos,2007-08-01,20,20
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2007-08-01,3,3
VILLAZON,internaciones,contrareferidos,2007-08-01,47,47
YACUIBA,internaciones,contrareferidos,2007-08-01,2,2
YAMPARAEZ,internaciones,contrareferidos,2007-08-01,1,1
YOTALA,internaciones,contrareferidos,2007-08-01,1,1
ZUDAÑEZ,internaciones,contrareferidos,2007-08-01,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2007-09-01,1,1
ATOCHA,internaciones,contrareferidos,2007-09-01,18,18
BOLIVAR,internaciones,contrareferidos,2007-09-01,4,4
CAMARGO,internaciones,contrareferidos,2007-09-01,1,1
CAMIRI,internaciones,contrareferidos,2007-09-01,3,3
CAPINOTA,internaciones,contrareferidos,2007-09-01,1,1
COBIJA,internaciones,contrareferidos,2007-09-01,18,18
COCHABAMBA,internaciones,contrareferidos,2007-09-01,5,5
COLPA BELGICA,internaciones,contrareferidos,2007-09-01,1,1
COTOCA,internaciones,contrareferidos,2007-09-01,3,3
EL ALTO,internaciones,contrareferidos,2007-09-01,192,192
EL TORNO,internaciones,contrareferidos,2007-09-01,60,60
EUCALIPTUS,internaciones,contrareferidos,2007-09-01,1,1
GENERAL SAAVEDRA,internaciones,contrareferidos,2007-09-01,8,8
HUACARETA,internaciones,contrareferidos,2007-09-01,1,1
LA GUARDIA,internaciones,contrareferidos,2007-09-01,5,5
LA PAZ,internaciones,contrareferidos,2007-09-01,122,122
MONTEAGUDO,internaciones,contrareferidos,2007-09-01,8,8
ORURO,internaciones,contrareferidos,2007-09-01,93,93
PALOS BLANCOS,internaciones,contrareferidos,2007-09-01,4,4
PORCO,internaciones,contrareferidos,2007-09-01,1,1
POROMA,internaciones,contrareferidos,2007-09-01,2,2
PUERTO VILLARROEL,internaciones,contrareferidos,2007-09-01,1,1
RIBERALTA,internaciones,contrareferidos,2007-09-01,66,66
RURRENABAQUE,internaciones,contrareferidos,2007-09-01,1,1
SACABA,internaciones,contrareferidos,2007-09-01,11,11
SAIPINA,internaciones,contrareferidos,2007-09-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-09-01,7,7
SAN LUCAS,internaciones,contrareferidos,2007-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-09-01,208,208
SANTIVAÑES,internaciones,contrareferidos,2007-09-01,1,1
SOPACHUY,internaciones,contrareferidos,2007-09-01,3,3
SUCRE,internaciones,contrareferidos,2007-09-01,7,7
TAPACARI,internaciones,contrareferidos,2007-09-01,1,1
TARABUCO,internaciones,contrareferidos,2007-09-01,10,10
TARIJA,internaciones,contrareferidos,2007-09-01,277,277
TARVITA,internaciones,contrareferidos,2007-09-01,1,1
TUPIZA,internaciones,contrareferidos,2007-09-01,51,51
UYUNI,internaciones,contrareferidos,2007-09-01,120,120
VILLA TUNARI,internaciones,contrareferidos,2007-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2007-09-01,6,6
VILLAZON,internaciones,contrareferidos,2007-09-01,37,37
YACUIBA,internaciones,contrareferidos,2007-09-01,2,2
YAMPARAEZ,internaciones,contrareferidos,2007-09-01,2,2
YOTALA,internaciones,contrareferidos,2007-09-01,1,1
ANTEQUERA,internaciones,contrareferidos,2007-10-01,1,1
ATOCHA,internaciones,contrareferidos,2007-10-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2007-10-01,30,30
BOLIVAR,internaciones,contrareferidos,2007-10-01,8,8
CAMARGO,internaciones,contrareferidos,2007-10-01,2,2
CAPINOTA,internaciones,contrareferidos,2007-10-01,4,4
CARACOLLO,internaciones,contrareferidos,2007-10-01,1,1
CHALLAPATA,internaciones,contrareferidos,2007-10-01,1,1
COBIJA,internaciones,contrareferidos,2007-10-01,47,47
COCHABAMBA,internaciones,contrareferidos,2007-10-01,7,7
"COLCHA ""K""",internaciones,contrareferidos,2007-10-01,1,1
COLPA BELGICA,internaciones,contrareferidos,2007-10-01,1,1
CUATRO CAÑADAS,internaciones,contrareferidos,2007-10-01,186,186
EL ALTO,internaciones,contrareferidos,2007-10-01,112,112
EUCALIPTUS,internaciones,contrareferidos,2007-10-01,1,1
FERNANDEZ ALONSO,internaciones,contrareferidos,2007-10-01,1,1
GENERAL SAAVEDRA,internaciones,contrareferidos,2007-10-01,16,16
HUACARETA,internaciones,contrareferidos,2007-10-01,1,1
LA GUARDIA,internaciones,contrareferidos,2007-10-01,2,2
LA PAZ,internaciones,contrareferidos,2007-10-01,116,116
MACHARETI,internaciones,contrareferidos,2007-10-01,1,1
MAGDALENA,internaciones,contrareferidos,2007-10-01,1,1
MAIRANA,internaciones,contrareferidos,2007-10-01,1,1
MIZQUE,internaciones,contrareferidos,2007-10-01,32,32
MONTEAGUDO,internaciones,contrareferidos,2007-10-01,6,6
ORURO,internaciones,contrareferidos,2007-10-01,59,59
PALOS BLANCOS,internaciones,contrareferidos,2007-10-01,2,2
PATACAMAYA,internaciones,contrareferidos,2007-10-01,3,3
POTOSI,internaciones,contrareferidos,2007-10-01,45,45
PRESTO,internaciones,contrareferidos,2007-10-01,1,1
RIBERALTA,internaciones,contrareferidos,2007-10-01,98,98
RURRENABAQUE,internaciones,contrareferidos,2007-10-01,2,2
SAIPINA,internaciones,contrareferidos,2007-10-01,1,1
SAN CARLOS,internaciones,contrareferidos,2007-10-01,22,22
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-10-01,7,7
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2007-10-01,31,31
SAN LUCAS,internaciones,contrareferidos,2007-10-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-10-01,217,217
SUCRE,internaciones,contrareferidos,2007-10-01,11,11
TARIJA,internaciones,contrareferidos,2007-10-01,1,1
TUPIZA,internaciones,contrareferidos,2007-10-01,69,69
VACAS,internaciones,contrareferidos,2007-10-01,1,1
VILLA TUNARI,internaciones,contrareferidos,2007-10-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2007-10-01,1,1
VILLAZON,internaciones,contrareferidos,2007-10-01,53,53
VITICHI,internaciones,contrareferidos,2007-10-01,3,3
YACUIBA,internaciones,contrareferidos,2007-10-01,16,16
YOTALA,internaciones,contrareferidos,2007-10-01,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2007-11-01,2,2
ATOCHA,internaciones,contrareferidos,2007-11-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2007-11-01,2,2
AZURDUY,internaciones,contrareferidos,2007-11-01,3,3
BOLIVAR,internaciones,contrareferidos,2007-11-01,4,4
CAPINOTA,internaciones,contrareferidos,2007-11-01,1,1
CHARAGUA,internaciones,contrareferidos,2007-11-01,6,6
COBIJA,internaciones,contrareferidos,2007-11-01,35,35
COCHABAMBA,internaciones,contrareferidos,2007-11-01,4,4
COTOCA,internaciones,contrareferidos,2007-11-01,2,2
EL ALTO,internaciones,contrareferidos,2007-11-01,82,82
EUCALIPTUS,internaciones,contrareferidos,2007-11-01,3,3
FERNANDEZ ALONSO,internaciones,contrareferidos,2007-11-01,2,2
GENERAL SAAVEDRA,internaciones,contrareferidos,2007-11-01,9,9
LA GUARDIA,internaciones,contrareferidos,2007-11-01,3,3
LA PAZ,internaciones,contrareferidos,2007-11-01,106,106
LICOMA PAMPA,internaciones,contrareferidos,2007-11-01,1,1
MACHARETI,internaciones,contrareferidos,2007-11-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2007-11-01,7,7
MONTERO,internaciones,contrareferidos,2007-11-01,4,4
ORURO,internaciones,contrareferidos,2007-11-01,111,111
PATACAMAYA,internaciones,contrareferidos,2007-11-01,2,2
PUNATA,internaciones,contrareferidos,2007-11-01,5,5
RIBERALTA,internaciones,contrareferidos,2007-11-01,72,72
SACABA,internaciones,contrareferidos,2007-11-01,2,2
SACABAMBA,internaciones,contrareferidos,2007-11-01,1,1
SAMAIPATA,internaciones,contrareferidos,2007-11-01,1,1
SAN CARLOS,internaciones,contrareferidos,2007-11-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2007-11-01,9,9
SAN RAFAEL,internaciones,contrareferidos,2007-11-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2007-11-01,83,83
SORATA,internaciones,contrareferidos,2007-11-01,3,3
SUCRE,internaciones,contrareferidos,2007-11-01,36,36
TARABUCO,internaciones,contrareferidos,2007-11-01,10,10
TARIJA,internaciones,contrareferidos,2007-11-01,270,270
TARVITA,internaciones,contrareferidos,2007-11-01,2,2
TOCO,internaciones,contrareferidos,2007-11-01,1,1
TUPIZA,internaciones,contrareferidos,2007-11-01,50,50
VACAS,internaciones,contrareferidos,2007-11-01,1,1
VIACHA,internaciones,contrareferidos,2007-11-01,750,750
VILLA TUNARI,internaciones,contrareferidos,2007-11-01,1,1
VILLAZON,internaciones,contrareferidos,2007-11-01,22,22
YACUIBA,internaciones,contrareferidos,2007-11-01,19,19
YOTALA,internaciones,contrareferidos,2007-11-01,2,2
ALALAY,internaciones,contrareferidos,2007-12-01,1,1
ATOCHA,internaciones,contrareferidos,2007-12-01,16,16
AUCAPATA,internaciones,contrareferidos,2007-12-01,1,1
BOLIVAR,internaciones,contrareferidos,2007-12-01,4,4
BUENA VISTA,internaciones,contrareferidos,2007-12-01,1,1
CARACOLLO,internaciones,contrareferidos,2007-12-01,2,2
COBIJA,internaciones,contrareferidos,2007-12-01,27,27
COCHABAMBA,internaciones,contrareferidos,2007-12-01,8,8
EL ALTO,internaciones,contrareferidos,2007-12-01,92,92
EL PUENTE(TJA),internaciones,contrareferidos,2007-12-01,1,1
FERNANDEZ ALONSO,internaciones,contrareferidos,2007-12-01,1,1
GUTIERREZ,internaciones,contrareferidos,2007-12-01,2,2
LA PAZ,internaciones,contrareferidos,2007-12-01,82,82
MIZQUE,internaciones,contrareferidos,2007-12-01,31,31
MONTEAGUDO,internaciones,contrareferidos,2007-12-01,2,2
OKINAWA,internaciones,contrareferidos,2007-12-01,1,1
ORURO,internaciones,contrareferidos,2007-12-01,114,114
PADILLA,internaciones,contrareferidos,2007-12-01,31,31
PALOS BLANCOS,internaciones,contrareferidos,2007-12-01,1,1
POTOSI,internaciones,contrareferidos,2007-12-01,41,41
PUERTO VILLARROEL,internaciones,contrareferidos,2007-12-01,1,1
RIBERALTA,internaciones,contrareferidos,2007-12-01,60,60
SACABA,internaciones,contrareferidos,2007-12-01,2,2
SACABAMBA,internaciones,contrareferidos,2007-12-01,1,1
