,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
ANCORAIMES,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
ARQUE,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
AYATA,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2020-02-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-02-01,6,5,6,5,11
COMARAPA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-02-01,3,3,3,3,6
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2020-02-01,28,13,28,13,41
EL TORNO,rabia,no de personas con esquema clasico completo,2020-02-01,12,4,12,4,16
HUARINA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-02-01,0,2,0,2,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-02-01,4,4,4,4,8
LA PAZ,rabia,no de personas con esquema clasico completo,2020-02-01,16,15,16,15,31
LLALLAGUA,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2020-02-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema clasico completo,2020-02-01,6,0,6,0,6
PAILON,rabia,no de personas con esquema clasico completo,2020-02-01,1,2,1,2,3
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-02-01,87,74,87,74,161
PUCARANI,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2020-02-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
SAIPINA,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-02-01,58,44,58,44,102
SICAYA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2020-02-01,2,6,2,6,8
TARATA,rabia,no de personas con esquema clasico completo,2020-02-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2020-02-01,21,14,21,14,35
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2020-02-01,1,1,1,1,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-02-01,14,14,14,14,28
VIACHA,rabia,no de personas con esquema clasico completo,2020-02-01,2,0,2,0,2
VILLA MONTES,rabia,no de personas con esquema clasico completo,2020-02-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-02-01,3,2,3,2,5
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
APOLO,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
CAJUATA,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-03-01,5,5,5,5,10
COLOMI,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
COMBAYA,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-03-01,3,0,3,0,3
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2020-03-01,14,9,14,9,23
EL TORNO,rabia,no de personas con esquema clasico completo,2020-03-01,8,0,8,0,8
HUACARETA,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-03-01,6,4,6,4,10
LA PAZ,rabia,no de personas con esquema clasico completo,2020-03-01,11,23,11,23,34
LLALLAGUA,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2020-03-01,2,1,2,1,3
ORURO,rabia,no de personas con esquema clasico completo,2020-03-01,4,1,4,1,5
PADILLA,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
PAILON,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2020-03-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-03-01,79,73,79,73,152
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2020-03-01,0,3,0,3,3
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-03-01,2,5,2,5,7
SAN LUCAS,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-03-01,61,64,61,64,125
SIPE SIPE,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
SORATA,rabia,no de personas con esquema clasico completo,2020-03-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2020-03-01,7,6,7,6,13
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-03-01,18,11,18,11,29
TUPIZA,rabia,no de personas con esquema clasico completo,2020-03-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2020-03-01,2,3,2,3,5
WARNES,rabia,no de personas con esquema clasico completo,2020-03-01,3,4,3,4,7
YACUIBA,rabia,no de personas con esquema clasico completo,2020-03-01,0,2,0,2,2
YAPACANI,rabia,no de personas con esquema clasico completo,2020-03-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con esquema clasico completo,2020-04-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-04-01,4,8,4,8,12
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2020-04-01,1,1,1,1,2
COTOCA,rabia,no de personas con esquema clasico completo,2020-04-01,2,2,2,2,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-04-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2020-04-01,14,9,14,9,23
EL TORNO,rabia,no de personas con esquema clasico completo,2020-04-01,7,7,7,7,14
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-04-01,2,1,2,1,3
LA PAZ,rabia,no de personas con esquema clasico completo,2020-04-01,13,10,13,10,23
LLALLAGUA,rabia,no de personas con esquema clasico completo,2020-04-01,1,0,1,0,1
LORETO,rabia,no de personas con esquema clasico completo,2020-04-01,0,2,0,2,2
MAGDALENA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
MECAPACA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
MOROCHATA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2020-04-01,4,0,4,0,4
PADILLA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2020-04-01,0,2,0,2,2
PASORAPA,rabia,no de personas con esquema clasico completo,2020-04-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2020-04-01,2,2,2,2,4
POTOSI,rabia,no de personas con esquema clasico completo,2020-04-01,33,21,33,21,54
PUCARANI,rabia,no de personas con esquema clasico completo,2020-04-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-04-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2020-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-04-01,51,61,51,61,112
TARIJA,rabia,no de personas con esquema clasico completo,2020-04-01,8,3,8,3,11
TOMINA,rabia,no de personas con esquema clasico completo,2020-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-04-01,10,6,10,6,16
TUPIZA,rabia,no de personas con esquema clasico completo,2020-04-01,2,1,2,1,3
VIACHA,rabia,no de personas con esquema clasico completo,2020-04-01,0,6,0,6,6
WARNES,rabia,no de personas con esquema clasico completo,2020-04-01,1,1,1,1,2
YACUIBA,rabia,no de personas con esquema clasico completo,2020-04-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-05-01,1,1,1,1,2
AIQUILE,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2020-05-01,1,1,1,1,2
CAMIRI,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-05-01,7,3,7,3,10
CORIPATA,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-05-01,1,2,1,2,3
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2020-05-01,18,4,18,4,22
EL TORNO,rabia,no de personas con esquema clasico completo,2020-05-01,1,1,1,1,2
HUARINA,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-05-01,5,0,5,0,5
LA PAZ,rabia,no de personas con esquema clasico completo,2020-05-01,9,6,9,6,15
ORURO,rabia,no de personas con esquema clasico completo,2020-05-01,5,1,5,1,6
PALCA,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-05-01,32,48,32,48,80
PUCARANI,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
PUERTO CARABUCO,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
SAN LUCAS,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-05-01,30,39,30,39,69
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2020-05-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema clasico completo,2020-05-01,2,1,2,1,3
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-05-01,2,3,2,3,5
VIACHA,rabia,no de personas con esquema clasico completo,2020-05-01,1,3,1,3,4
VINTO,rabia,no de personas con esquema clasico completo,2020-05-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-05-01,1,2,1,2,3
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-06-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-06-01,4,7,4,7,11
COTOCA,rabia,no de personas con esquema clasico completo,2020-06-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2020-06-01,17,6,17,6,23
EL TORNO,rabia,no de personas con esquema clasico completo,2020-06-01,4,3,4,3,7
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
LA PAZ,rabia,no de personas con esquema clasico completo,2020-06-01,5,4,5,4,9
MECAPACA,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
MOCOMOCO,rabia,no de personas con esquema clasico completo,2020-06-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2020-06-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2020-06-01,4,3,4,3,7
PORONGO,rabia,no de personas con esquema clasico completo,2020-06-01,2,0,2,0,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2020-06-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-06-01,43,66,43,66,109
PUCARANI,rabia,no de personas con esquema clasico completo,2020-06-01,2,1,2,1,3
PUERTO ACOSTA,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
PUERTO PEREZ,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-06-01,1,1,1,1,2
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-06-01,1,2,1,2,3
SACABA,rabia,no de personas con esquema clasico completo,2020-06-01,3,1,3,1,4
SAN CARLOS,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-06-01,39,38,39,38,77
SORATA,rabia,no de personas con esquema clasico completo,2020-06-01,2,0,2,0,2
SUCRE,rabia,no de personas con esquema clasico completo,2020-06-01,3,1,3,1,4
TARIJA,rabia,no de personas con esquema clasico completo,2020-06-01,2,3,2,3,5
TIPUANI,rabia,no de personas con esquema clasico completo,2020-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-06-01,6,7,6,7,13
VIACHA,rabia,no de personas con esquema clasico completo,2020-06-01,3,1,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema clasico completo,2020-06-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2020-06-01,2,1,2,1,3
APOLO,rabia,no de personas con esquema clasico completo,2020-07-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-07-01,4,1,4,1,5
COTOCA,rabia,no de personas con esquema clasico completo,2020-07-01,3,5,3,5,8
EL ALTO,rabia,no de personas con esquema clasico completo,2020-07-01,3,7,3,7,10
EL TORNO,rabia,no de personas con esquema clasico completo,2020-07-01,1,0,1,0,1
HUARINA,rabia,no de personas con esquema clasico completo,2020-07-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-07-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-07-01,3,1,3,1,4
LA PAZ,rabia,no de personas con esquema clasico completo,2020-07-01,3,3,3,3,6
ORURO,rabia,no de personas con esquema clasico completo,2020-07-01,3,3,3,3,6
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2020-07-01,2,0,2,0,2
POTOSI,rabia,no de personas con esquema clasico completo,2020-07-01,16,11,16,11,27
PUCARANI,rabia,no de personas con esquema clasico completo,2020-07-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-07-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2020-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-07-01,27,19,27,19,46
SUCRE,rabia,no de personas con esquema clasico completo,2020-07-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-07-01,13,9,13,9,22
VIACHA,rabia,no de personas con esquema clasico completo,2020-07-01,2,2,2,2,4
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2020-07-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2020-07-01,4,5,4,5,9
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2020-08-01,1,2,1,2,3
CHUMA,rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-08-01,2,0,2,0,2
CONCEPCION,rabia,no de personas con esquema clasico completo,2020-08-01,3,1,3,1,4
COTOCA,rabia,no de personas con esquema clasico completo,2020-08-01,1,3,1,3,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-08-01,3,1,3,1,4
EL ALTO,rabia,no de personas con esquema clasico completo,2020-08-01,5,5,5,5,10
EL TORNO,rabia,no de personas con esquema clasico completo,2020-08-01,4,0,4,0,4
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-08-01,1,4,1,4,5
LA PAZ,rabia,no de personas con esquema clasico completo,2020-08-01,6,8,6,8,14
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2020-08-01,2,1,2,1,3
PORONGO,rabia,no de personas con esquema clasico completo,2020-08-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2020-08-01,2,7,2,7,9
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2020-08-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-08-01,30,29,30,29,59
SORATA,rabia,no de personas con esquema clasico completo,2020-08-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema clasico completo,2020-08-01,25,16,25,16,41
TARIJA,rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
TOCO,rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-08-01,18,10,18,10,28
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
VILLA RIVERO,rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2020-08-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2020-08-01,4,2,4,2,6
YACUIBA,rabia,no de personas con esquema clasico completo,2020-08-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
APOLO,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
"CAIZA ""D""",rabia,no de personas con esquema clasico completo,2020-09-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-09-01,4,2,4,2,6
COLOMI,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2020-09-01,1,1,1,1,2
COROICO,rabia,no de personas con esquema clasico completo,2020-09-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2020-09-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2020-09-01,3,1,3,1,4
EL ALTO,rabia,no de personas con esquema clasico completo,2020-09-01,4,3,4,3,7
EL TORNO,rabia,no de personas con esquema clasico completo,2020-09-01,5,3,5,3,8
LA ASUNTA,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2020-09-01,2,4,2,4,6
LA PAZ,rabia,no de personas con esquema clasico completo,2020-09-01,9,24,9,24,33
MACHARETI,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2020-09-01,2,0,2,0,2
ORURO,rabia,no de personas con esquema clasico completo,2020-09-01,4,3,4,3,7
PAILON,rabia,no de personas con esquema clasico completo,2020-09-01,5,0,5,0,5
PORONGO,rabia,no de personas con esquema clasico completo,2020-09-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2020-09-01,56,46,56,46,102
PUCARANI,rabia,no de personas con esquema clasico completo,2020-09-01,2,0,2,0,2
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2020-09-01,39,39,39,39,78
SIPE SIPE,rabia,no de personas con esquema clasico completo,2020-09-01,1,0,1,0,1
SORATA,rabia,no de personas con esquema clasico completo,2020-09-01,0,1,0,1,1
TARIJA,rabia,no de personas con esquema clasico completo,2020-09-01,2,1,2,1,3
TRINIDAD,rabia,no de personas con esquema clasico completo,2020-09-01,15,17,15,17,32
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2020-09-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2020-09-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2020-09-01,4,4,4,4,8
YAPACANI,rabia,no de personas con esquema clasico completo,2020-09-01,0,2,0,2,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2020-10-01,0,2,0,2,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2020-10-01,2,0,2,0,2
AIQUILE,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
ALTO BENI,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema clasico completo,2020-10-01,1,1,1,1,2
BUENA VISTA,rabia,no de personas con esquema clasico completo,2020-10-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2020-10-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2020-10-01,7,7,7,7,14
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2020-10-01,0,1,0,1,1
COLOMI,rabia,no de personas con esquema clasico completo,2020-10-01,0,1,0,1,1
