municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,258,258
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,13,13
COLOMI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,5,5
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,51,51
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,186,186
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,180,180
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,230,230
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,766,766
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,233,233
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,26,26
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,84,84
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,11149,11149
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,68,68
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,341,341
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,86,86
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,21,21
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,45,45
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,12,12
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,53,53
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,65,65
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,12,12
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1058,1058
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,159,159
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,17,17
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,761,761
HUARACAJE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,44,44
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,11,11
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,10,10
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,48,48
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,77,77
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,976,976
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,48186,48186
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,14,14
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,625,625
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,15,15
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,231,231
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,102,102
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,9,9
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,146,146
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,177,177
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,910,910
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3412,3412
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,27,27
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,10176,10176
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,338,338
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,168,168
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,217,217
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,6,6
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,48,48
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,4,4
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,18,18
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,759,759
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,8,8
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,8187,8187
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,93,93
PUCARA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,6,6
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,204,204
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,7,7
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,199,199
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,672,672
PUNA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,6,6
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1148,1148
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1242,1242
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,82,82
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2121,2121
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,334,334
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,410,410
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1407,1407
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,12,12
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,36,36
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,42,42
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,807,807
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,108,108
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,250,250
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1124,1124
SAN JAVIER(BNI),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,3,3
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,81,81
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,113,113
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,337,337
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,208,208
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1264,1264
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,41,41
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,91,91
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,80,80
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,157,157
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,71,71
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,110,110
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,108,108
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,275,275
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,48432,48432
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,63,63
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,117,117
SENA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,10,10
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,49,49
SIPE SIPE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,41,41
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,13,13
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,26867,26867
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,5,5
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,326,326
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,11511,11511
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,116,116
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,175,175
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,14,14
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,51,51
TRIGAL,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,5,5
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,5699,5699
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1771,1771
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,61,61
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,406,406
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,531,531
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,375,375
VILA VILA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,332,332
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,816,816
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,15,15
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,552,552
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,98,98
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,470,470
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2110,2110
YAMPARAEZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,2,2
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,829,829
YUNCHARA,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,1,1
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-01-01,25,25
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,59,59
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,165,165
ALALAY,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,6,6
ANCORAIMES,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,84,84
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,421,421
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,176,176
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,37,37
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,45,45
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,77,77
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,697,697
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,8,8
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,89,89
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,138,138
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,54,54
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,292,292
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,10,10
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1253,1253
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,156,156
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,229,229
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,0,0
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,29,29
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,240,240
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,347,347
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,39,39
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,90,90
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,4,4
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,43,43
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2256,2256
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,34028,34028
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,306,306
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,4,4
COLOMI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,78,78
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,138,138
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,126,126
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,236,236
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,11,11
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,211,211
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,8,8
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,76,76
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,11268,11268
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,33,33
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,484,484
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,15,15
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,20,20
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,35,35
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,7,7
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,127,127
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,3,3
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,62,62
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,51,51
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1032,1032
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,76,76
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,25,25
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,4,4
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,647,647
HUARACAJE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,62,62
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,16,16
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,19,19
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,37,37
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,49,49
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,791,791
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,44566,44566
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,38,38
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,520,520
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,51,51
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,160,160
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,54,54
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,86,86
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,74,74
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,194,194
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1005,1005
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,3654,3654
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,50,50
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,12668,12668
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,353,353
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,166,166
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,146,146
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,16,16
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,37,37
POCOATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,2,2
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,9,9
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,79,79
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,40,40
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,760,760
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,3,3
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,8142,8142
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,24,24
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,6,6
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,22,22
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,34,34
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,20,20
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,749,749
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1082,1082
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,952,952
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,72,72
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1877,1877
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,322,322
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,407,407
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1210,1210
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,5,5
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,55,55
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,51,51
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,51,51
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,445,445
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,118,118
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,59,59
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,197,197
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,980,980
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,90,90
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,125,125
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,438,438
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,310,310
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1309,1309
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,41,41
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,107,107
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,78,78
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,178,178
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,57,57
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2020-02-01,81,81
