municipality,group,variable,month,Cirugia maxilo faciales,TOTAL
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2009-03-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,86,86
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
COTAGAITA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,8,8
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,50,50
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,11,11
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,3,3
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,9,9
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,4,4
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,368,368
SAPAHAQUI,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,2,2
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,19,19
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,52,52
TUPIZA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,2,2
UNCIA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,10,10
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,1,1
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-04-01,2,2
CAMIRI,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,8,8
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,67,67
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,10,10
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,73,73
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,19,19
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,79,79
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,9,9
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,317,317
SAPAHAQUI,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,1,1
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,21,21
TAHUA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,1,1
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,32,32
UNCIA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,3,3
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-05-01,20,20
ACACIO,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,1,1
BAURES,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,1,1
BERMEJO,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,2,2
CHALLAPATA,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,2,2
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,42,42
"COLCHA ""K""",atenciones odontologicas,cirugia maxilo faciales,2009-06-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,6,6
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,9,9
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,39,39
MINEROS,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,6,6
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,14,14
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,5,5
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,3,3
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,9,9
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,382,382
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,27,27
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,8,8
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,3,3
VILLAZON,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,2,2
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-06-01,28,28
ACACIO,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,1,1
ACHACACHI,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,cirugia maxilo faciales,2009-07-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,78,78
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,5,5
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,39,39
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,7,7
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,2,2
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,4,4
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,8,8
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,378,378
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,27,27
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,8,8
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,1,1
VILLAZON,atenciones odontologicas,cirugia maxilo faciales,2009-07-01,2,2
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,101,101
COLQUIRI,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,5,5
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,43,43
MAGDALENA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,1,1
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,10,10
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,5,5
SAN BENITO,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,3,3
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,12,12
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,6,6
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,303,303
SENA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,2,2
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,24,24
TORO TORO,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,1,1
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2009-08-01,2,2
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,1,1
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-08-01,35,35
ACACIO,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,78,78
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,1,1
COTOCA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,7,7
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,7,7
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,35,35
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,9,9
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,2,2
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,26,26
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,77,77
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,17,17
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,2,2
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,13,13
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,4,4
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,70,70
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-09-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,74,74
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,5,5
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,55,55
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,102,102
MONTERO,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,1,1
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,17,17
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,6,6
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,2,2
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,7,7
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,305,305
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,17,17
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2009-10-01,1,1
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,14,14
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,1,1
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,5,5
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,2,2
YANACACHI,atenciones odontologicas,cirugia maxilo faciales,2009-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,cirugia maxilo faciales,2009-11-01,1,1
CALACOTO,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,60,60
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,9,9
GENERAL SAAVEDRA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,5,5
JESUS DE MACHACA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,4,4
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,33,33
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,21,21
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,34,34
SAN BENITO,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,6,6
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,4,4
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,19,19
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,252,252
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,30,30
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,40,40
VIACHA,atenciones odontologicas,cirugia maxilo faciales,2009-11-01,16,16
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,42,42
COTOCA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,1,1
JESUS DE MACHACA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,1,1
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,54,54
MONTERO,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,4,4
ORURO,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,13,13
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,22,22
QUIME,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,4,4
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,1,1
SAN IGNACIO,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,2,2
SAN IGNACIO DE VELASCO,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,12,12
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,17,17
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,421,421
TAPACARI,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,4,4
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,2,2
UNCIA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,1,1
VIACHA,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,18,18
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2009-12-01,4,4
