municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
CABEZAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,72,72
CAIROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,17,17
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
CALACOTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
CALAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,52,52
CAMARGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,170,170
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
CAMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,107,107
CAPINOTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,107,107
CAQUIAVIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,17,17
CARACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,58,58
CARANAVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,76,76
CARAPARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,18,18
CARIPUYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,25,25
CATACORA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
CHALLAPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,133,133
CHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
CHARAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,45,45
CHAYANTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,91,91
CHIMORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,58,58
CHOQUE COTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,75,75
CHUMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,40,40
CLIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,143,143
COBIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,495,495
COCHABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3778,3778
COLCAPIRHUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,125,125
COLLANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,30,30
COLOMI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,141,141
COLPA BELGICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,138,138
COLQUECHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,35,35
COLQUENCHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,5,5
COLQUIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,53,53
COMANCHE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
COMARAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
COMBAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,22,22
CONCEPCION,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
COPACABANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,26,26
CORIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
CORO CORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,4,4
COROICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
CORQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
COTAGAITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,54,54
COTOCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,18,18
CUATRO CAÑADAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,67,67
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,33,33
CUEVO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,7,7
CULPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,6,6
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,17,17
CURVA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,7,7
DESAGUADERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,18,18
EL ALTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2362,2362
EL PUENTE(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
EL PUENTE(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,24,24
EL TORNO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,35,35
EL VILLAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,38,38
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,28,28
EUCALIPTUS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
FERNANDEZ ALONSO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,37,37
FILADELFIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,40,40
GENERAL SAAVEDRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
GUANAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,5,5
GUAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
GUAYARAMERIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,59,59
GUTIERREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,84,84
HUACARETA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,71,71
HUACHACALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
HUANUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,95,95
HUARACAJE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
HUAYLLAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
ICLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,331,331
INCAHUASI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,241,241
INQUISIVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,9,9
IRUPANA (VILLA DE LANZA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,60,60
IXIAMAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,26,26
JESUS DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
LA ASUNTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,58,58
LA GUARDIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,263,263
LA PAZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,4967,4967
LAGUNILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,23,23
LAJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,41,41
LAS CARRERAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,12,12
LICOMA PAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
LLALLAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,277,277
LLICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
LURIBAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
MACHACAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
MACHARETI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,48,48
MAGDALENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
MAIRANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
MAPIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,32,32
MECAPACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
MINEROS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,127,127
MIZQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,27,27
MOCOMOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
MOJOCOYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,26,26
MONTEAGUDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,126,126
MONTERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,184,184
MORO MORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,34,34
MOROCHATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
OCURI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
OKINAWA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,22,22
ORURO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1224,1224
PADCAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,14,14
PADILLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
PAILON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,73,73
PALCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
PALOS BLANCOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,51,51
PAMPA AULLAGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,6,6
PAMPA GRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,40,40
PASORAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,20,20
PATACAMAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,45,45
PAZÑA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,23,23
PELECHUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
POCOATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,163,163
POCONA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
POJO (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,75,75
POOPO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1,1
PORCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,34,34
POROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,33,33
PORONGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,31,31
PORTACHUELO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,20,20
PORVENIR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,45,45
POSTRER VALLE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
POTOSI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,908,908
PRESTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,19,19
PUCARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
PUCARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
PUERTO ACOSTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,40,40
PUERTO CARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,9,9
PUERTO GONZALO MORENO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
PUERTO PEREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
PUERTO QUIJARRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,40,40
PUERTO RICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
PUERTO SUAREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
PUERTO VILLARROEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,80,80
PUNA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,87,87
PUNATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,156,156
QUILLACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,589,589
QUIME,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
QUIRUSILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,53,53
REYES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,31,31
RIBERALTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,96,96
ROBORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
RURRENABAQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,28,28
SABAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
SACABA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,537,537
SACABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,37,37
SACACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,25,25
SAIPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,18,18
SALINAS DE GARCI MENDOZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,47,47
SAMAIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
SAN AGUSTIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
SAN ANDRES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,9,9
SAN ANDRES DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,5,5
SAN ANTONIO DE LOMERIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
SAN BENITO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,20,20
SAN BORJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,34,34
SAN BUENA VENTURA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,20,20
SAN CARLOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
SAN IGNACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,76,76
SAN IGNACIO DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,27,27
SAN JAVIER(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,12,12
SAN JOSE DE CHIQUITOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,27,27
SAN JUAN DE YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,28,28
SAN JULIAN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,14,14
SAN LORENZO(PND),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,30,30
SAN LORENZO(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,89,89
SAN LUCAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,42,42
SAN MATIAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,74,74
SAN MIGUEL DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
SAN PEDRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,72,72
SAN PEDRO DE CURAHUARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
SAN PEDRO DE TIQUINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
SAN RAFAEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,36,36
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,116,116
SANTA ANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,4058,4058
SANTA ROSA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
SANTA ROSA DEL SARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
SANTIAGO DE HUARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,128,128
SANTIAGO DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,27,27
SANTIVAÑES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
SANTUARIO DE QUILLACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,48,48
SAPAHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,17,17
SENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,16,16
SICA SICA (VILLA AROMA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,100,100
SICAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
SIPE SIPE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,137,137
SOPACHUY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,146,146
SORACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,20,20
SORATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,97,97
SUCRE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1107,1107
TACACOMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
TAHUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,12,12
TAPACARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,27,27
TARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,383,383
TARACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,18,18
TARATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,15,15
TARIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,285,285
TARVITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,145,145
TEOPONTE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
TIAWANACU,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,21,21
TINGUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
TIQUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,905,905
TIRAQUE (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,124,124
TOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,59,59
TOLATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,66,66
TOLEDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,30,30
TOMAVE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,54,54
TOMINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,29,29
TORO TORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,22,22
TOTORA(CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,88,88
TOTORA(ORR),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,5,5
TRIGAL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,9,9
TRINIDAD,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,211,211
TUPIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,32,32
TURCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
UMALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,72,72
UNCIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,105,105
URIONDO (A. CONCEPCION),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,58,58
URUBICHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,11,11
UYUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,23,23
VACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,72,72
VALLEGRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,130,130
VIACHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,141,141
VILA VILA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
VILLA MONTES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,30,30
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,13,13
VILLA RIVERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,25,25
VILLA SERRANO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,86,86
VILLA TUNARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,144,144
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,70,70
VILLAZON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,203,203
VINTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,62,62
VITICHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,2,2
WALDO BALLIVIAN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,1,1
WARNES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,259,259
YACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,10,10
YACUIBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,38,38
YAMPARAEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,57,57
YANACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,8,8
YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,44,44
YOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,25,25
YOTALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,41,41
YUNCHARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,3,3
ZUDAÑEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-01-01,141,141
ACHACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,139,139
ACHOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,28,28
AIQUILE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,44,44
ALALAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,8,8
ALCALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,206,206
ANCORAIMES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,20,20
ANDAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,21,21
ANTEQUERA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,16,16
ANZALDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,99,99
APOLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,92,92
ARAMPAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,11,11
ARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,98,98
ARBIETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,124,124
ARQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,34,34
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,20,20
AUCAPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-02-01,2,2
