municipality,group,variable,month,Restauraciones,TOTAL
CORIPATA,atenciones odontologicas,restauraciones,2009-01-01,18,18
CORO CORO,atenciones odontologicas,restauraciones,2009-01-01,6,6
COROICO,atenciones odontologicas,restauraciones,2009-01-01,283,283
COTAGAITA,atenciones odontologicas,restauraciones,2009-01-01,176,176
COTOCA,atenciones odontologicas,restauraciones,2009-01-01,50,50
CUATRO CAÑADAS,atenciones odontologicas,restauraciones,2009-01-01,124,124
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,restauraciones,2009-01-01,11,11
CUEVO,atenciones odontologicas,restauraciones,2009-01-01,38,38
CULPINA,atenciones odontologicas,restauraciones,2009-01-01,16,16
CURAHUARA DE CARANGAS,atenciones odontologicas,restauraciones,2009-01-01,23,23
CURVA,atenciones odontologicas,restauraciones,2009-01-01,3,3
DESAGUADERO,atenciones odontologicas,restauraciones,2009-01-01,28,28
EL ALTO,atenciones odontologicas,restauraciones,2009-01-01,6753,6753
EL PUENTE(STC),atenciones odontologicas,restauraciones,2009-01-01,16,16
EL PUENTE(TJA),atenciones odontologicas,restauraciones,2009-01-01,167,167
EL TORNO,atenciones odontologicas,restauraciones,2009-01-01,126,126
EL VILLAR,atenciones odontologicas,restauraciones,2009-01-01,2,2
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-01-01,163,163
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-01-01,107,107
EUCALIPTUS,atenciones odontologicas,restauraciones,2009-01-01,49,49
FERNANDEZ ALONSO,atenciones odontologicas,restauraciones,2009-01-01,106,106
FILADELFIA,atenciones odontologicas,restauraciones,2009-01-01,5,5
GENERAL SAAVEDRA,atenciones odontologicas,restauraciones,2009-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,restauraciones,2009-01-01,37,37
GUANAY,atenciones odontologicas,restauraciones,2009-01-01,26,26
GUAQUI,atenciones odontologicas,restauraciones,2009-01-01,35,35
GUAYARAMERIN,atenciones odontologicas,restauraciones,2009-01-01,331,331
GUTIERREZ,atenciones odontologicas,restauraciones,2009-01-01,41,41
HUACARETA,atenciones odontologicas,restauraciones,2009-01-01,37,37
HUACHACALLA,atenciones odontologicas,restauraciones,2009-01-01,12,12
HUANUNI,atenciones odontologicas,restauraciones,2009-01-01,214,214
HUARACAJE,atenciones odontologicas,restauraciones,2009-01-01,39,39
HUAYLLAMARCA,atenciones odontologicas,restauraciones,2009-01-01,12,12
ICLA,atenciones odontologicas,restauraciones,2009-01-01,30,30
INCAHUASI,atenciones odontologicas,restauraciones,2009-01-01,57,57
INQUISIVI,atenciones odontologicas,restauraciones,2009-01-01,25,25
IRUPANA (VILLA DE LANZA),atenciones odontologicas,restauraciones,2009-01-01,112,112
IXIAMAS,atenciones odontologicas,restauraciones,2009-01-01,72,72
JESUS DE MACHACA,atenciones odontologicas,restauraciones,2009-01-01,15,15
LA ASUNTA,atenciones odontologicas,restauraciones,2009-01-01,16,16
LA GUARDIA,atenciones odontologicas,restauraciones,2009-01-01,305,305
LA PAZ,atenciones odontologicas,restauraciones,2009-01-01,14657,14657
LAGUNILLAS,atenciones odontologicas,restauraciones,2009-01-01,29,29
LAJA,atenciones odontologicas,restauraciones,2009-01-01,53,53
LAS CARRERAS,atenciones odontologicas,restauraciones,2009-01-01,36,36
LICOMA PAMPA,atenciones odontologicas,restauraciones,2009-01-01,33,33
LLALLAGUA,atenciones odontologicas,restauraciones,2009-01-01,279,279
LLICA,atenciones odontologicas,restauraciones,2009-01-01,18,18
LURIBAY,atenciones odontologicas,restauraciones,2009-01-01,3,3
MACHACAMARCA,atenciones odontologicas,restauraciones,2009-01-01,98,98
MACHARETI,atenciones odontologicas,restauraciones,2009-01-01,63,63
MAGDALENA,atenciones odontologicas,restauraciones,2009-01-01,204,204
MAIRANA,atenciones odontologicas,restauraciones,2009-01-01,119,119
MAPIRI,atenciones odontologicas,restauraciones,2009-01-01,89,89
MECAPACA,atenciones odontologicas,restauraciones,2009-01-01,27,27
MINEROS,atenciones odontologicas,restauraciones,2009-01-01,89,89
MIZQUE,atenciones odontologicas,restauraciones,2009-01-01,126,126
MOCOMOCO,atenciones odontologicas,restauraciones,2009-01-01,24,24
MOJOCOYA,atenciones odontologicas,restauraciones,2009-01-01,18,18
MONTEAGUDO,atenciones odontologicas,restauraciones,2009-01-01,282,282
MONTERO,atenciones odontologicas,restauraciones,2009-01-01,400,400
MORO MORO,atenciones odontologicas,restauraciones,2009-01-01,40,40
MOROCHATA,atenciones odontologicas,restauraciones,2009-01-01,41,41
OCURI,atenciones odontologicas,restauraciones,2009-01-01,35,35
OKINAWA,atenciones odontologicas,restauraciones,2009-01-01,22,22
ORURO,atenciones odontologicas,restauraciones,2009-01-01,1963,1963
PADCAYA,atenciones odontologicas,restauraciones,2009-01-01,389,389
PADILLA,atenciones odontologicas,restauraciones,2009-01-01,101,101
PAILON,atenciones odontologicas,restauraciones,2009-01-01,157,157
PALCA,atenciones odontologicas,restauraciones,2009-01-01,6,6
PALOS BLANCOS,atenciones odontologicas,restauraciones,2009-01-01,63,63
PAMPA AULLAGAS,atenciones odontologicas,restauraciones,2009-01-01,28,28
PAMPA GRANDE,atenciones odontologicas,restauraciones,2009-01-01,37,37
PASORAPA,atenciones odontologicas,restauraciones,2009-01-01,110,110
PAZÑA,atenciones odontologicas,restauraciones,2009-01-01,35,35
PELECHUCO,atenciones odontologicas,restauraciones,2009-01-01,4,4
POCOATA,atenciones odontologicas,restauraciones,2009-01-01,40,40
POCONA,atenciones odontologicas,restauraciones,2009-01-01,17,17
POJO (CBBA),atenciones odontologicas,restauraciones,2009-01-01,98,98
POOPO,atenciones odontologicas,restauraciones,2009-01-01,29,29
PORCO,atenciones odontologicas,restauraciones,2009-01-01,47,47
POROMA,atenciones odontologicas,restauraciones,2009-01-01,2,2
PORONGO,atenciones odontologicas,restauraciones,2009-01-01,39,39
PORTACHUELO,atenciones odontologicas,restauraciones,2009-01-01,176,176
PORVENIR,atenciones odontologicas,restauraciones,2009-01-01,19,19
POSTRER VALLE,atenciones odontologicas,restauraciones,2009-01-01,22,22
POTOSI,atenciones odontologicas,restauraciones,2009-01-01,1469,1469
PRESTO,atenciones odontologicas,restauraciones,2009-01-01,25,25
PUCARA,atenciones odontologicas,restauraciones,2009-01-01,16,16
PUCARANI,atenciones odontologicas,restauraciones,2009-01-01,17,17
PUERTO ACOSTA,atenciones odontologicas,restauraciones,2009-01-01,109,109
PUERTO CARABUCO,atenciones odontologicas,restauraciones,2009-01-01,63,63
PUERTO GONZALO MORENO,atenciones odontologicas,restauraciones,2009-01-01,8,8
PUERTO QUIJARRO,atenciones odontologicas,restauraciones,2009-01-01,42,42
PUERTO RICO,atenciones odontologicas,restauraciones,2009-01-01,28,28
PUERTO SUAREZ,atenciones odontologicas,restauraciones,2009-01-01,101,101
PUERTO VILLARROEL,atenciones odontologicas,restauraciones,2009-01-01,192,192
PUNA,atenciones odontologicas,restauraciones,2009-01-01,79,79
PUNATA,atenciones odontologicas,restauraciones,2009-01-01,646,646
QUILLACOLLO,atenciones odontologicas,restauraciones,2009-01-01,1010,1010
QUIME,atenciones odontologicas,restauraciones,2009-01-01,73,73
QUIRUSILLAS,atenciones odontologicas,restauraciones,2009-01-01,81,81
REYES,atenciones odontologicas,restauraciones,2009-01-01,82,82
RIBERALTA,atenciones odontologicas,restauraciones,2009-01-01,353,353
ROBORE,atenciones odontologicas,restauraciones,2009-01-01,84,84
RURRENABAQUE,atenciones odontologicas,restauraciones,2009-01-01,96,96
SABAYA,atenciones odontologicas,restauraciones,2009-01-01,1,1
SACABA,atenciones odontologicas,restauraciones,2009-01-01,659,659
SACABAMBA,atenciones odontologicas,restauraciones,2009-01-01,47,47
SACACA,atenciones odontologicas,restauraciones,2009-01-01,98,98
SAIPINA,atenciones odontologicas,restauraciones,2009-01-01,40,40
SALINAS DE GARCI MENDOZA,atenciones odontologicas,restauraciones,2009-01-01,79,79
SAMAIPATA,atenciones odontologicas,restauraciones,2009-01-01,292,292
SAN AGUSTIN,atenciones odontologicas,restauraciones,2009-01-01,4,4
SAN ANDRES DE MACHACA,atenciones odontologicas,restauraciones,2009-01-01,10,10
SAN ANTONIO DE LOMERIO,atenciones odontologicas,restauraciones,2009-01-01,59,59
SAN BENITO,atenciones odontologicas,restauraciones,2009-01-01,116,116
SAN BORJA,atenciones odontologicas,restauraciones,2009-01-01,179,179
SAN BUENA VENTURA,atenciones odontologicas,restauraciones,2009-01-01,27,27
SAN CARLOS,atenciones odontologicas,restauraciones,2009-01-01,87,87
SAN IGNACIO,atenciones odontologicas,restauraciones,2009-01-01,540,540
SAN IGNACIO DE VELASCO,atenciones odontologicas,restauraciones,2009-01-01,298,298
SAN JAVIER(STC),atenciones odontologicas,restauraciones,2009-01-01,27,27
SAN JOAQUIN,atenciones odontologicas,restauraciones,2009-01-01,6,6
SAN JUAN DE YAPACANI,atenciones odontologicas,restauraciones,2009-01-01,42,42
SAN JULIAN,atenciones odontologicas,restauraciones,2009-01-01,61,61
SAN LORENZO(PND),atenciones odontologicas,restauraciones,2009-01-01,8,8
SAN LORENZO(TJA),atenciones odontologicas,restauraciones,2009-01-01,254,254
SAN LUCAS,atenciones odontologicas,restauraciones,2009-01-01,79,79
SAN MATIAS,atenciones odontologicas,restauraciones,2009-01-01,94,94
SAN MIGUEL DE VELASCO,atenciones odontologicas,restauraciones,2009-01-01,178,178
SAN PEDRO,atenciones odontologicas,restauraciones,2009-01-01,74,74
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,restauraciones,2009-01-01,58,58
SAN PEDRO DE CURAHUARA,atenciones odontologicas,restauraciones,2009-01-01,21,21
SAN PEDRO DE TIQUINA,atenciones odontologicas,restauraciones,2009-01-01,12,12
SAN RAFAEL,atenciones odontologicas,restauraciones,2009-01-01,68,68
SAN RAMON,atenciones odontologicas,restauraciones,2009-01-01,118,118
SAN RAMON,atenciones odontologicas,restauraciones,2009-01-01,66,66
SANTA ANA,atenciones odontologicas,restauraciones,2009-01-01,255,255
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,restauraciones,2009-01-01,8793,8793
SANTA ROSA,atenciones odontologicas,restauraciones,2009-01-01,106,106
SANTA ROSA DEL SARA,atenciones odontologicas,restauraciones,2009-01-01,91,91
SANTIAGO DE HUARI,atenciones odontologicas,restauraciones,2009-01-01,105,105
SANTIAGO DE MACHACA,atenciones odontologicas,restauraciones,2009-01-01,40,40
SANTIVAÑES,atenciones odontologicas,restauraciones,2009-01-01,57,57
SANTUARIO DE QUILLACAS,atenciones odontologicas,restauraciones,2009-01-01,25,25
SAPAHAQUI,atenciones odontologicas,restauraciones,2009-01-01,14,14
SENA,atenciones odontologicas,restauraciones,2009-01-01,18,18
SICA SICA (VILLA AROMA),atenciones odontologicas,restauraciones,2009-01-01,94,94
SICAYA,atenciones odontologicas,restauraciones,2009-01-01,16,16
SIPE SIPE,atenciones odontologicas,restauraciones,2009-01-01,675,675
SOPACHUY,atenciones odontologicas,restauraciones,2009-01-01,64,64
SORACACHI,atenciones odontologicas,restauraciones,2009-01-01,13,13
SORATA,atenciones odontologicas,restauraciones,2009-01-01,71,71
SUCRE,atenciones odontologicas,restauraciones,2009-01-01,3946,3946
TACACOMA,atenciones odontologicas,restauraciones,2009-01-01,63,63
TAHUA,atenciones odontologicas,restauraciones,2009-01-01,18,18
TAPACARI,atenciones odontologicas,restauraciones,2009-01-01,100,100
TARABUCO,atenciones odontologicas,restauraciones,2009-01-01,46,46
TARACO,atenciones odontologicas,restauraciones,2009-01-01,7,7
TARATA,atenciones odontologicas,restauraciones,2009-01-01,99,99
TARIJA,atenciones odontologicas,restauraciones,2009-01-01,3857,3857
TARVITA,atenciones odontologicas,restauraciones,2009-01-01,121,121
TEOPONTE,atenciones odontologicas,restauraciones,2009-01-01,32,32
TIAWANACU,atenciones odontologicas,restauraciones,2009-01-01,8,8
TINGUIPAYA,atenciones odontologicas,restauraciones,2009-01-01,15,15
TIQUIPAYA,atenciones odontologicas,restauraciones,2009-01-01,733,733
TIRAQUE (CBBA),atenciones odontologicas,restauraciones,2009-01-01,752,752
TOCO,atenciones odontologicas,restauraciones,2009-01-01,179,179
TOLATA,atenciones odontologicas,restauraciones,2009-01-01,87,87
TOLEDO,atenciones odontologicas,restauraciones,2009-01-01,93,93
TOMAVE,atenciones odontologicas,restauraciones,2009-01-01,22,22
TOMINA,atenciones odontologicas,restauraciones,2009-01-01,80,80
TORO TORO,atenciones odontologicas,restauraciones,2009-01-01,43,43
TOTORA(CBBA),atenciones odontologicas,restauraciones,2009-01-01,32,32
TOTORA(ORR),atenciones odontologicas,restauraciones,2009-01-01,5,5
TRIGAL,atenciones odontologicas,restauraciones,2009-01-01,20,20
TRINIDAD,atenciones odontologicas,restauraciones,2009-01-01,695,695
TUPIZA,atenciones odontologicas,restauraciones,2009-01-01,83,83
TURCO,atenciones odontologicas,restauraciones,2009-01-01,24,24
UMALA,atenciones odontologicas,restauraciones,2009-01-01,12,12
UNCIA,atenciones odontologicas,restauraciones,2009-01-01,153,153
URIONDO (A. CONCEPCION),atenciones odontologicas,restauraciones,2009-01-01,316,316
URUBICHA,atenciones odontologicas,restauraciones,2009-01-01,43,43
UYUNI,atenciones odontologicas,restauraciones,2009-01-01,10,10
VACAS,atenciones odontologicas,restauraciones,2009-01-01,77,77
VALLEGRANDE,atenciones odontologicas,restauraciones,2009-01-01,416,416
VIACHA,atenciones odontologicas,restauraciones,2009-01-01,155,155
VILA VILA,atenciones odontologicas,restauraciones,2009-01-01,9,9
VILLA MONTES,atenciones odontologicas,restauraciones,2009-01-01,233,233
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,restauraciones,2009-01-01,48,48
VILLA RIVERO,atenciones odontologicas,restauraciones,2009-01-01,73,73
VILLA SERRANO,atenciones odontologicas,restauraciones,2009-01-01,171,171
VILLA TUNARI,atenciones odontologicas,restauraciones,2009-01-01,853,853
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,restauraciones,2009-01-01,99,99
VILLAZON,atenciones odontologicas,restauraciones,2009-01-01,140,140
VINTO,atenciones odontologicas,restauraciones,2009-01-01,67,67
VITICHI,atenciones odontologicas,restauraciones,2009-01-01,1,1
WALDO BALLIVIAN,atenciones odontologicas,restauraciones,2009-01-01,11,11
WARNES,atenciones odontologicas,restauraciones,2009-01-01,434,434
YACO,atenciones odontologicas,restauraciones,2009-01-01,21,21
YACUIBA,atenciones odontologicas,restauraciones,2009-01-01,1180,1180
YAMPARAEZ,atenciones odontologicas,restauraciones,2009-01-01,62,62
YANACACHI,atenciones odontologicas,restauraciones,2009-01-01,20,20
YAPACANI,atenciones odontologicas,restauraciones,2009-01-01,165,165
YOCALLA,atenciones odontologicas,restauraciones,2009-01-01,3,3
YOTALA,atenciones odontologicas,restauraciones,2009-01-01,75,75
YUNCHARA,atenciones odontologicas,restauraciones,2009-01-01,135,135
ZUDAÑEZ,atenciones odontologicas,restauraciones,2009-01-01,24,24
ACHACACHI,atenciones odontologicas,restauraciones,2009-02-01,74,74
ACHOCALLA,atenciones odontologicas,restauraciones,2009-02-01,24,24
AIQUILE,atenciones odontologicas,restauraciones,2009-02-01,92,92
ALALAY,atenciones odontologicas,restauraciones,2009-02-01,18,18
ALCALA,atenciones odontologicas,restauraciones,2009-02-01,27,27
ANCORAIMES,atenciones odontologicas,restauraciones,2009-02-01,25,25
ANDAMARCA,atenciones odontologicas,restauraciones,2009-02-01,20,20
ANTEQUERA,atenciones odontologicas,restauraciones,2009-02-01,38,38
ANZALDO,atenciones odontologicas,restauraciones,2009-02-01,71,71
APOLO,atenciones odontologicas,restauraciones,2009-02-01,48,48
ARAMPAMPA,atenciones odontologicas,restauraciones,2009-02-01,32,32
ARANI,atenciones odontologicas,restauraciones,2009-02-01,64,64
ARBIETO,atenciones odontologicas,restauraciones,2009-02-01,68,68
ARQUE,atenciones odontologicas,restauraciones,2009-02-01,96,96
ASCENCION DE GUARAYOS,atenciones odontologicas,restauraciones,2009-02-01,48,48
AYATA,atenciones odontologicas,restauraciones,2009-02-01,49,49
AYO AYO,atenciones odontologicas,restauraciones,2009-02-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,restauraciones,2009-02-01,153,153
AZURDUY,atenciones odontologicas,restauraciones,2009-02-01,40,40
BAURES,atenciones odontologicas,restauraciones,2009-02-01,23,23
BERMEJO,atenciones odontologicas,restauraciones,2009-02-01,325,325
BETANZOS,atenciones odontologicas,restauraciones,2009-02-01,147,147
BOLIVAR,atenciones odontologicas,restauraciones,2009-02-01,17,17
BOLPEBRA,atenciones odontologicas,restauraciones,2009-02-01,23,23
BOYUIBE,atenciones odontologicas,restauraciones,2009-02-01,20,20
BUENA VISTA,atenciones odontologicas,restauraciones,2009-02-01,31,31
CABEZAS,atenciones odontologicas,restauraciones,2009-02-01,55,55
CAIROMA,atenciones odontologicas,restauraciones,2009-02-01,33,33
"CAIZA ""D""",atenciones odontologicas,restauraciones,2009-02-01,22,22
CAJUATA,atenciones odontologicas,restauraciones,2009-02-01,5,5
CALACOTO,atenciones odontologicas,restauraciones,2009-02-01,10,10
CALAMARCA,atenciones odontologicas,restauraciones,2009-02-01,66,66
CAMARGO,atenciones odontologicas,restauraciones,2009-02-01,158,158
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,restauraciones,2009-02-01,27,27
CAMIRI,atenciones odontologicas,restauraciones,2009-02-01,273,273
CAPINOTA,atenciones odontologicas,restauraciones,2009-02-01,175,175
CAQUIAVIRI,atenciones odontologicas,restauraciones,2009-02-01,12,12
CARACOLLO,atenciones odontologicas,restauraciones,2009-02-01,66,66
CARANAVI,atenciones odontologicas,restauraciones,2009-02-01,89,89
CARAPARI,atenciones odontologicas,restauraciones,2009-02-01,148,148
CARIPUYO,atenciones odontologicas,restauraciones,2009-02-01,18,18
CARMEN RIVERO TORREZ,atenciones odontologicas,restauraciones,2009-02-01,36,36
CATACORA,atenciones odontologicas,restauraciones,2009-02-01,8,8
CHALLAPATA,atenciones odontologicas,restauraciones,2009-02-01,121,121
CHAQUI,atenciones odontologicas,restauraciones,2009-02-01,30,30
CHARAGUA,atenciones odontologicas,restauraciones,2009-02-01,92,92
CHARAÑA,atenciones odontologicas,restauraciones,2009-02-01,44,44
CHAYANTA,atenciones odontologicas,restauraciones,2009-02-01,68,68
CHIMORE,atenciones odontologicas,restauraciones,2009-02-01,52,52
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,restauraciones,2009-02-01,78,78
CHUMA,atenciones odontologicas,restauraciones,2009-02-01,16,16
CLIZA,atenciones odontologicas,restauraciones,2009-02-01,167,167
COBIJA,atenciones odontologicas,restauraciones,2009-02-01,113,113
COCHABAMBA,atenciones odontologicas,restauraciones,2009-02-01,6173,6173
COLCAPIRHUA,atenciones odontologicas,restauraciones,2009-02-01,258,258
COLLANA,atenciones odontologicas,restauraciones,2009-02-01,20,20
COLOMI,atenciones odontologicas,restauraciones,2009-02-01,121,121
COLPA BELGICA,atenciones odontologicas,restauraciones,2009-02-01,60,60
COLQUECHACA,atenciones odontologicas,restauraciones,2009-02-01,24,24
COLQUENCHA,atenciones odontologicas,restauraciones,2009-02-01,32,32
COLQUIRI,atenciones odontologicas,restauraciones,2009-02-01,67,67
COMANCHE,atenciones odontologicas,restauraciones,2009-02-01,3,3
COMARAPA,atenciones odontologicas,restauraciones,2009-02-01,321,321
COMBAYA,atenciones odontologicas,restauraciones,2009-02-01,46,46
CONCEPCION,atenciones odontologicas,restauraciones,2009-02-01,16,16
COPACABANA,atenciones odontologicas,restauraciones,2009-02-01,35,35
CORIPATA,atenciones odontologicas,restauraciones,2009-02-01,29,29
CORO CORO,atenciones odontologicas,restauraciones,2009-02-01,9,9
COROICO,atenciones odontologicas,restauraciones,2009-02-01,98,98
CORQUE,atenciones odontologicas,restauraciones,2009-02-01,8,8
COTAGAITA,atenciones odontologicas,restauraciones,2009-02-01,190,190
COTOCA,atenciones odontologicas,restauraciones,2009-02-01,26,26
CUATRO CAÑADAS,atenciones odontologicas,restauraciones,2009-02-01,105,105
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,restauraciones,2009-02-01,24,24
CUEVO,atenciones odontologicas,restauraciones,2009-02-01,25,25
CULPINA,atenciones odontologicas,restauraciones,2009-02-01,9,9
CURAHUARA DE CARANGAS,atenciones odontologicas,restauraciones,2009-02-01,22,22
CURVA,atenciones odontologicas,restauraciones,2009-02-01,5,5
DESAGUADERO,atenciones odontologicas,restauraciones,2009-02-01,25,25
EL ALTO,atenciones odontologicas,restauraciones,2009-02-01,4774,4774
EL PUENTE(STC),atenciones odontologicas,restauraciones,2009-02-01,7,7
EL PUENTE(TJA),atenciones odontologicas,restauraciones,2009-02-01,168,168
EL TORNO,atenciones odontologicas,restauraciones,2009-02-01,71,71
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-02-01,105,105
ENTRE RIOS,atenciones odontologicas,restauraciones,2009-02-01,70,70
EUCALIPTUS,atenciones odontologicas,restauraciones,2009-02-01,41,41
EXALTACION,atenciones odontologicas,restauraciones,2009-02-01,59,59
FERNANDEZ ALONSO,atenciones odontologicas,restauraciones,2009-02-01,89,89
FILADELFIA,atenciones odontologicas,restauraciones,2009-02-01,3,3
GENERAL SAAVEDRA,atenciones odontologicas,restauraciones,2009-02-01,67,67
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,restauraciones,2009-02-01,35,35
GUANAY,atenciones odontologicas,restauraciones,2009-02-01,45,45
GUAQUI,atenciones odontologicas,restauraciones,2009-02-01,23,23
GUAYARAMERIN,atenciones odontologicas,restauraciones,2009-02-01,297,297
GUTIERREZ,atenciones odontologicas,restauraciones,2009-02-01,54,54
HUACARETA,atenciones odontologicas,restauraciones,2009-02-01,33,33
HUACHACALLA,atenciones odontologicas,restauraciones,2009-02-01,21,21
HUANUNI,atenciones odontologicas,restauraciones,2009-02-01,97,97
HUARACAJE,atenciones odontologicas,restauraciones,2009-02-01,60,60
HUAYLLAMARCA,atenciones odontologicas,restauraciones,2009-02-01,32,32
ICLA,atenciones odontologicas,restauraciones,2009-02-01,40,40
INCAHUASI,atenciones odontologicas,restauraciones,2009-02-01,31,31
INQUISIVI,atenciones odontologicas,restauraciones,2009-02-01,18,18
IRUPANA (VILLA DE LANZA),atenciones odontologicas,restauraciones,2009-02-01,82,82
IXIAMAS,atenciones odontologicas,restauraciones,2009-02-01,43,43
JESUS DE MACHACA,atenciones odontologicas,restauraciones,2009-02-01,43,43
LA ASUNTA,atenciones odontologicas,restauraciones,2009-02-01,13,13
LA GUARDIA,atenciones odontologicas,restauraciones,2009-02-01,172,172
LA PAZ,atenciones odontologicas,restauraciones,2009-02-01,9589,9589
LAGUNILLAS,atenciones odontologicas,restauraciones,2009-02-01,33,33
LAJA,atenciones odontologicas,restauraciones,2009-02-01,29,29
