municipality,group,variable,month,Nacidos vivos,TOTAL
COPACABANA,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
CORIPATA,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
CORO CORO,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
COROICO,atencion de partos en servicios,nacidos vivos,2011-01-01,25,25
CORQUE,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos,2011-01-01,20,20
COTOCA,atencion de partos en servicios,nacidos vivos,2011-01-01,57,57
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos,2011-01-01,17,17
CUEVO,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
CULPINA,atencion de partos en servicios,nacidos vivos,2011-01-01,22,22
CURAHUARA DE CARANGAS,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
DESAGUADERO,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
EL ALTO,atencion de partos en servicios,nacidos vivos,2011-01-01,1299,1299
EL CHORO,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
EL PUENTE(STC),atencion de partos en servicios,nacidos vivos,2011-01-01,18,18
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos,2011-01-01,15,15
EL TORNO,atencion de partos en servicios,nacidos vivos,2011-01-01,67,67
EL VILLAR,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos,2011-01-01,28,28
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos,2011-01-01,26,26
ESCOMA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
EXALTACION,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
GUANAY,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
GUAQUI,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos,2011-01-01,100,100
GUTIERREZ,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
HUACARETA,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos,2011-01-01,18,18
HUARACAJE,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
HUARINA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
HUAYLLAMARCA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
HUMANATA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
ICLA,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
INCAHUASI,atencion de partos en servicios,nacidos vivos,2011-01-01,12,12
INGAVI (HUMAITA),atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
INQUISIVI,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos,2011-01-01,12,12
IXIAMAS,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
LA ASUNTA,atencion de partos en servicios,nacidos vivos,2011-01-01,34,34
LA GUARDIA,atencion de partos en servicios,nacidos vivos,2011-01-01,55,55
LA PAZ,atencion de partos en servicios,nacidos vivos,2011-01-01,1578,1578
LAGUNILLAS,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
LAJA,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
LICOMA PAMPA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
LLALLAGUA,atencion de partos en servicios,nacidos vivos,2011-01-01,66,66
LLICA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
LORETO,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
LURIBAY,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,nacidos vivos,2011-01-01,6,6
MACHARETI,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos vivos,2011-01-01,20,20
MAIRANA,atencion de partos en servicios,nacidos vivos,2011-01-01,35,35
MALLA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
MAPIRI,atencion de partos en servicios,nacidos vivos,2011-01-01,18,18
MECAPACA,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
MINEROS,atencion de partos en servicios,nacidos vivos,2011-01-01,23,23
MIZQUE,atencion de partos en servicios,nacidos vivos,2011-01-01,19,19
MOCOMOCO,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
MOJOCOYA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
MONTEAGUDO,atencion de partos en servicios,nacidos vivos,2011-01-01,42,42
MONTERO,atencion de partos en servicios,nacidos vivos,2011-01-01,285,285
MORO MORO,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
MOROCHATA,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
NAZACARA DE PACAJES,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
OCURI,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
OKINAWA,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
OMEREQUE,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
ORURO,atencion de partos en servicios,nacidos vivos,2011-01-01,605,605
PADCAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
PADILLA,atencion de partos en servicios,nacidos vivos,2011-01-01,39,39
PAILON,atencion de partos en servicios,nacidos vivos,2011-01-01,38,38
PALCA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos,2011-01-01,40,40
PAMPA AULLAGAS,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
PAMPA GRANDE,atencion de partos en servicios,nacidos vivos,2011-01-01,11,11
PASORAPA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,22,22
PAZÑA,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
PELECHUCO,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
POCOATA,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
POCONA,atencion de partos en servicios,nacidos vivos,2011-01-01,12,12
POJO (CBBA),atencion de partos en servicios,nacidos vivos,2011-01-01,11,11
POOPO,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
PORCO,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
POROMA,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
PORONGO,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
PORTACHUELO,atencion de partos en servicios,nacidos vivos,2011-01-01,63,63
PORVENIR,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
POSTRER VALLE,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos,2011-01-01,348,348
PRESTO,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
PUCARA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
PUCARANI,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
PUERTO ACOSTA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
PUERTO QUIJARRO,atencion de partos en servicios,nacidos vivos,2011-01-01,28,28
PUERTO RICO,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
PUERTO SILES,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos,2011-01-01,45,45
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos,2011-01-01,95,95
PUNA,atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
PUNATA,atencion de partos en servicios,nacidos vivos,2011-01-01,77,77
QUIABAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos,2011-01-01,120,120
QUIME,atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
RAVELO,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
REYES,atencion de partos en servicios,nacidos vivos,2011-01-01,24,24
RIBERALTA,atencion de partos en servicios,nacidos vivos,2011-01-01,241,241
ROBORE,atencion de partos en servicios,nacidos vivos,2011-01-01,39,39
RURRENABAQUE,atencion de partos en servicios,nacidos vivos,2011-01-01,52,52
SABAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
SACABA,atencion de partos en servicios,nacidos vivos,2011-01-01,212,212
SACABAMBA,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
SACACA,atencion de partos en servicios,nacidos vivos,2011-01-01,15,15
SAIPINA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
SAMAIPATA,atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
SAN ANDRES,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
SAN ANDRES DE MACHACA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
SAN BENITO,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
SAN BORJA,atencion de partos en servicios,nacidos vivos,2011-01-01,62,62
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos,2011-01-01,17,17
SAN CARLOS,atencion de partos en servicios,nacidos vivos,2011-01-01,53,53
SAN IGNACIO,atencion de partos en servicios,nacidos vivos,2011-01-01,27,27
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos,2011-01-01,153,153
SAN JAVIER(BNI),atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos,2011-01-01,28,28
SAN JOAQUIN,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos,2011-01-01,33,33
SAN JUAN DE YAPACANI,atencion de partos en servicios,nacidos vivos,2011-01-01,14,14
SAN JULIAN,atencion de partos en servicios,nacidos vivos,2011-01-01,74,74
SAN LORENZO(PND),atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
SAN LUCAS,atencion de partos en servicios,nacidos vivos,2011-01-01,26,26
SAN MATIAS,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos,2011-01-01,15,15
SAN PEDRO,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SAN PEDRO DE QUEMES,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SAN RAFAEL,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
SAN RAMON BENI,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
SAN RAMON SCZ,atencion de partos en servicios,nacidos vivos,2011-01-01,22,22
SANTA ANA,atencion de partos en servicios,nacidos vivos,2011-01-01,37,37
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos,2011-01-01,2856,2856
SANTA ROSA,atencion de partos en servicios,nacidos vivos,2011-01-01,30,30
SANTA ROSA DEL SARA,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
SANTIAGO DE CALLAPA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
SANTIAGO DE HUATA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SANTIAGO DE MACHACA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
SANTIVAÑES,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SANTUARIO DE QUILLACAS,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
SAPAHAQUI,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
SENA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SHINAOTA,atencion de partos en servicios,nacidos vivos,2011-01-01,66,66
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos vivos,2011-01-01,15,15
SICAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
SIPE SIPE,atencion de partos en servicios,nacidos vivos,2011-01-01,26,26
SOPACHUY,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
SORACACHI,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
SORATA,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
SUCRE,atencion de partos en servicios,nacidos vivos,2011-01-01,552,552
TACACOMA,atencion de partos en servicios,nacidos vivos,2011-01-01,6,6
TACOBAMBA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
TACOPAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
TAPACARI,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
TARABUCO,atencion de partos en servicios,nacidos vivos,2011-01-01,28,28
TARATA,atencion de partos en servicios,nacidos vivos,2011-01-01,6,6
TARIJA,atencion de partos en servicios,nacidos vivos,2011-01-01,416,416
TARVITA,atencion de partos en servicios,nacidos vivos,2011-01-01,12,12
TEOPONTE,atencion de partos en servicios,nacidos vivos,2011-01-01,6,6
TIAWANACU,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
TINGUIPAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
TIPUANI,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
TIQUIPAYA,atencion de partos en servicios,nacidos vivos,2011-01-01,77,77
TIRAQUE (CBBA),atencion de partos en servicios,nacidos vivos,2011-01-01,23,23
TOCO,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
TOLATA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
TOLEDO,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
TOMAVE,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
TOMINA,atencion de partos en servicios,nacidos vivos,2011-01-01,12,12
TORO TORO,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
TOTORA(ORR),atencion de partos en servicios,nacidos vivos,2011-01-01,4,4
TRIGAL,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos,2011-01-01,263,263
TUPIZA,atencion de partos en servicios,nacidos vivos,2011-01-01,64,64
TURCO,atencion de partos en servicios,nacidos vivos,2011-01-01,2,2
UMALA,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
UNCIA,atencion de partos en servicios,nacidos vivos,2011-01-01,13,13
URIONDO (A. CONCEPCION),atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
URUBICHA,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
UYUNI,atencion de partos en servicios,nacidos vivos,2011-01-01,51,51
VACAS,atencion de partos en servicios,nacidos vivos,2011-01-01,9,9
VALLEGRANDE,atencion de partos en servicios,nacidos vivos,2011-01-01,35,35
VIACHA,atencion de partos en servicios,nacidos vivos,2011-01-01,47,47
VILA VILA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
VILLA CHARCAS,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
VILLA MONTES,atencion de partos en servicios,nacidos vivos,2011-01-01,87,87
VILLA RIVERO,atencion de partos en servicios,nacidos vivos,2011-01-01,6,6
VILLA SERRANO,atencion de partos en servicios,nacidos vivos,2011-01-01,17,17
VILLA TUNARI,atencion de partos en servicios,nacidos vivos,2011-01-01,123,123
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos vivos,2011-01-01,8,8
VILLAZON,atencion de partos en servicios,nacidos vivos,2011-01-01,56,56
VINTO,atencion de partos en servicios,nacidos vivos,2011-01-01,60,60
VITICHI,atencion de partos en servicios,nacidos vivos,2011-01-01,7,7
WARNES,atencion de partos en servicios,nacidos vivos,2011-01-01,86,86
YACO,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
YACUIBA,atencion de partos en servicios,nacidos vivos,2011-01-01,175,175
YAMPARAEZ,atencion de partos en servicios,nacidos vivos,2011-01-01,10,10
YANACACHI,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
YAPACANI,atencion de partos en servicios,nacidos vivos,2011-01-01,73,73
YOCALLA,atencion de partos en servicios,nacidos vivos,2011-01-01,3,3
YOTALA,atencion de partos en servicios,nacidos vivos,2011-01-01,16,16
YUNCHARA,atencion de partos en servicios,nacidos vivos,2011-01-01,1,1
ZUDAÑEZ,atencion de partos en servicios,nacidos vivos,2011-01-01,5,5
ACACIO,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos vivos,2011-02-01,20,20
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2011-02-01,5,5
AIQUILE,atencion de partos en servicios,nacidos vivos,2011-02-01,31,31
ALALAY,atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos,2011-02-01,2,2
ALTO BENI,atencion de partos en servicios,nacidos vivos,2011-02-01,8,8
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2011-02-01,8,8
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2011-02-01,15,15
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos,2011-02-01,17,17
ARBIETO,atencion de partos en servicios,nacidos vivos,2011-02-01,12,12
ARQUE,atencion de partos en servicios,nacidos vivos,2011-02-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2011-02-01,68,68
ATOCHA,atencion de partos en servicios,nacidos vivos,2011-02-01,7,7
AUCAPATA,atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
AYATA,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
AYO AYO,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2011-02-01,11,11
AZURDUY,atencion de partos en servicios,nacidos vivos,2011-02-01,6,6
BATALLAS,atencion de partos en servicios,nacidos vivos,2011-02-01,5,5
BAURES,atencion de partos en servicios,nacidos vivos,2011-02-01,10,10
BELEN DE ANDAMARCA,atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
BELEN DE URMIRI,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2011-02-01,2,2
BERMEJO,atencion de partos en servicios,nacidos vivos,2011-02-01,61,61
BETANZOS,atencion de partos en servicios,nacidos vivos,2011-02-01,18,18
BOYUIBE,atencion de partos en servicios,nacidos vivos,2011-02-01,6,6
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2011-02-01,19,19
CABEZAS,atencion de partos en servicios,nacidos vivos,2011-02-01,41,41
CAIROMA,atencion de partos en servicios,nacidos vivos,2011-02-01,11,11
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CAJUATA,atencion de partos en servicios,nacidos vivos,2011-02-01,9,9
CALAMARCA,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CAMARGO,atencion de partos en servicios,nacidos vivos,2011-02-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CAMIRI,atencion de partos en servicios,nacidos vivos,2011-02-01,78,78
CAPINOTA,atencion de partos en servicios,nacidos vivos,2011-02-01,17,17
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos vivos,2011-02-01,13,13
CARANAVI,atencion de partos en servicios,nacidos vivos,2011-02-01,67,67
CARAPARI,atencion de partos en servicios,nacidos vivos,2011-02-01,11,11
CARIPUYO,atencion de partos en servicios,nacidos vivos,2011-02-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2011-02-01,5,5
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2011-02-01,41,41
CHAQUI,atencion de partos en servicios,nacidos vivos,2011-02-01,5,5
CHARAGUA,atencion de partos en servicios,nacidos vivos,2011-02-01,49,49
CHAYANTA,atencion de partos en servicios,nacidos vivos,2011-02-01,8,8
CHIMORE,atencion de partos en servicios,nacidos vivos,2011-02-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2011-02-01,26,26
CHUMA,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2011-02-01,6,6
CKOCHAS,atencion de partos en servicios,nacidos vivos,2011-02-01,3,3
CLIZA,atencion de partos en servicios,nacidos vivos,2011-02-01,21,21
COBIJA,atencion de partos en servicios,nacidos vivos,2011-02-01,159,159
COCAPATA,atencion de partos en servicios,nacidos vivos,2011-02-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2011-02-01,1497,1497
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2011-02-01,63,63
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2011-02-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos,2011-02-01,27,27
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2011-02-01,7,7
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2011-02-01,12,12
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2011-02-01,4,4
