,group,variable,month,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,L 22.2 N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
EL PUENTE(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,13,13
EL PUENTE(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,4,4
EL TORNO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,138,138
EL VILLAR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
ENTRE RIOS TRJ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,29,29
ESCOMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,5,5
EUCALIPTUS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
EUREKA (SANTOS MERCADO),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
FERNANDEZ ALONSO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
FILADELFIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,7,7
GUAYARAMERIN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,59,59
GUTIERREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,34,34
HUACAYA (VILLA DE HUACAYA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,9,9
HUANUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,81,81
ICLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,6,6
INCAHUASI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,8,8
IRUPANA (VILLA DE LANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,15,15
LA ASUNTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,53,53
LA GUARDIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,57,57
LA PAZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1298,1298
LAGUNILLAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
LAS CARRERAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,4,4
LLALLAGUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,148,148
LLICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,6,6
MACHARETI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,6,6
MAIRANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,30,30
MINEROS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,55,55
MIZQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,55,55
MOJOCOYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,9,9
MONTEAGUDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,92,92
MONTERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,167,167
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
ORURO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,467,467
PADCAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
PADILLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,15,15
PAILON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,63,63
PALOS BLANCOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,22,22
PAMPA GRANDE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,18,18
PATACAMAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,45,45
POJO (CBBA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
POROMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,6,6
PORTACHUELO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,17,17
PORVENIR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,13,13
POTOSI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,141,141
PRESTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
PUERTO GONZALO MORENO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,4,4
PUERTO QUIJARRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,32,32
PUERTO SUAREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,45,45
PUERTO VILLARROEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,190,190
PUNATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,108,108
QUILLACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,10,10
QUIME,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,8,8
RIBERALTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,22,22
ROBORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,32,32
RURRENABAQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,30,30
SACABA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,355,355
SALINAS DE GARCI MENDOZA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
SAN ANDRES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
SAN CARLOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,42,42
SAN IGNACIO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,38,38
SAN IGNACIO DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,114,114
SAN JAVIER(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,29,29
SAN JOSE DE CHIQUITOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,31,31
SAN JUAN DE YAPACANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,11,11
SAN JULIAN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,88,88
SAN LORENZO(PND),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,11,11
SAN LORENZO(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,24,24
SAN LUCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,37,37
SAN MATIAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
SAN MIGUEL DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,29,29
SAN PEDRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,27,27
SAN PEDRO DE BUENA VISTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,1,1
SAN RAFAEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
SANTA ANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,51,51
SANTA CRUZ DE LA SIERRA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,759,759
SANTA ROSA DEL SARA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,26,26
SENA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
SHINAOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,22,22
SIPE SIPE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
SOPACHUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,18,18
SORATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,19,19
SUCRE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,529,529
TARABUCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,16,16
TARATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
TARIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,206,206
TARVITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,8,8
TIPUANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,19,19
TOCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,9,9
TOLATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,11,11
TOLEDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,5,5
TOMINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
TOTORA(ORR),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
TRINIDAD,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,91,91
TUPIZA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,19,19
TURCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,2,2
UNCIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,16,16
URIONDO (A. CONCEPCION),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,5,5
URUBICHA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,16,16
UYUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,51,51
VALLEGRANDE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,55,55
VIACHA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,10,10
VILLA CHARCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,18,18
VILLA MONTES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,36,36
VILLA NUEVA (LOMA ALTA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,8,8
VILLA SERRANO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,13,13
VILLA TUNARI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,285,285
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
VILLAZON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,139,139
WARNES,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,209,209
YACUIBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,73,73
YAMPARAEZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,12,12
YAPACANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,20,20
YOTALA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,3,3
YUNCHARA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,14,14
ZUDAÑEZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-01-01,0,11,11
ACHACACHI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,27,27
AIQUILE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,32,32
ALCALA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,9,9
ARBIETO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,19,19
ARQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,4,4
ASCENCION DE GUARAYOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,32,32
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,15,15
AZURDUY,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,12,12
BATALLAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
BERMEJO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,66,66
BETANZOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,16,16
BUENA VISTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,11,11
CABEZAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,15,15
CAMARGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,30,30
CAMATAQUI (C. VILLA ABECIA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,2,2
CAMIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,138,138
CAPINOTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,39,39
CARACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,18,18
CARANAVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,91,91
CARMEN RIVERO TORREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,17,17
CHALLAPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,58,58
CHIMORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,9,9
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,30,30
CHUMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,5,5
COBIJA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,230,230
COCHABAMBA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,459,459
COLCAPIRHUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
COLPA BELGICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
COROICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,31,31
COTAGAITA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,17,17
COTOCA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,6,6
CUATRO CAÑADAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,24,24
CUCHUMUELA (V. G. VILLARROEL),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
CULPINA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,35,35
EL ALTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1655,1655
EL PUENTE(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,10,10
EL PUENTE(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,9,9
EL TORNO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,114,114
ENTRE RIOS TRJ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,32,32
ESCOMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
EUCALIPTUS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,13,13
EUREKA (SANTOS MERCADO),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
FERNANDEZ ALONSO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,16,16
FILADELFIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
GENERAL SAAVEDRA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,14,14
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,5,5
GUAYARAMERIN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,167,167
GUTIERREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,28,28
HUACAYA (VILLA DE HUACAYA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,4,4
HUACHACALLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
HUANUNI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,56,56
ICLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,21,21
INCAHUASI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,4,4
INQUISIVI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,5,5
IRUPANA (VILLA DE LANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,13,13
LA ASUNTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,40,40
LA GUARDIA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,78,78
LA PAZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1059,1059
LAS CARRERAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
LLALLAGUA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,114,114
LLICA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
MACHARETI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
MAIRANA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,14,14
MAPIRI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
MINEROS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,68,68
MIZQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,59,59
MOJOCOYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,11,11
MONTEAGUDO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,71,71
MONTERO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,225,225
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,5,5
ORURO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,790,790
PADCAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,22,22
PADILLA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,12,12
PAILON,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,59,59
PALOS BLANCOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,18,18
PAMPA GRANDE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,15,15
PATACAMAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,35,35
POROMA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,2,2
PORONGO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,12,12
PORTACHUELO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,26,26
PORVENIR,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,13,13
POSTRER VALLE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,2,2
POTOSI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,162,162
PRESTO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
PUCARANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,11,11
PUERTO GONZALO MORENO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
PUERTO QUIJARRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,34,34
PUERTO RICO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,30,30
PUERTO SUAREZ,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,30,30
PUERTO VILLARROEL,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,164,164
PUNATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,37,37
QUIABAYA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
QUILLACOLLO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,1,1
RIBERALTA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,35,35
ROBORE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,38,38
RURRENABAQUE,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,28,28
SACABA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,274,274
SAMAIPATA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,3,3
SAN BUENA VENTURA,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,2,2
SAN CARLOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,53,53
SAN IGNACIO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,36,36
SAN IGNACIO DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,83,83
SAN JAVIER(STC),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,25,25
SAN JOSE DE CHIQUITOS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,25,25
SAN JUAN DE YAPACANI,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,25,25
SAN JULIAN,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,8,8
SAN LORENZO(PND),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,14,14
SAN LORENZO(TJA),vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,21,21
SAN LUCAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,49,49
SAN MATIAS,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,22,22
SAN MIGUEL DE VELASCO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,18,18
SAN PEDRO,vih,l 22.2        n de mujeres embarazadas con prueba rapida,2012-02-01,0,28,28
