,group,variable,month,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,4,4
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,109,316,425
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,8,8
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,6,8,14
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,8,10
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,15,15
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,4,6,10
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,3,3
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,7,8
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,34,34
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,9,9
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,82,84
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,8,9
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,8,9
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,1,2
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,19,20
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,9,57,66
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,5,62,67
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,25,710,735
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,4,4
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,17,20
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,34,35
MAPIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,0,1
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,55,57
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,57,57
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,10,10
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,96,99
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,61,198,259
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,1,1
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,34,496,530
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,14,15
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,21,23
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,12,78,90
PALOS BLANCOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,22,22
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,18,18
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,63,65
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,7,10
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,6,6
PORTACHUELO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,1,3
PORVENIR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,13,14
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,12,239,251
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,13,13
PUERTO GONZALO MORENO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,12,19,31
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,12,15
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,4,48,52
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,7,35,42
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,8,119,127
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,5,11,16
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,22,22
ROBORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,33,36
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,31,32
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,10,363,373
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,7,7
SAN ANDRES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,1,1
SAN CARLOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,6,28,34
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,8,45,53
SAN IGNACIO DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,34,134,168
SAN JAVIER(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,30,32
SAN JOSE DE CHIQUITOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,13,27,40
SAN JUAN DE YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,12,14
SAN JULIAN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,2,3
SAN LORENZO(PND),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,11,11
SAN LORENZO(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,24,26
SAN LUCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,38,40
SAN MATIAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,1,1
SAN MIGUEL DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,32,34
SAN PEDRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,37,38
SAN PEDRO DE BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,19,3,22
SAN RAFAEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,4,4
SANTA ANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,51,53
SANTA CRUZ DE LA SIERRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,267,761,1028
SANTA ROSA DEL SARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,26,26
SENA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,3,3
SHINAOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,4,22,26
SIPE SIPE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,3,3
SOPACHUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,20,20
SORATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,19,19
SUCRE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,69,637,706
TARABUCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,2,21,23
TARATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,12,12
TARIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,30,184,214
TARVITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,8,9
TIPUANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,20,21
TOCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,9,9
TOLATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,12,12
TOLEDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,6,7
TOMINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,10,10
TOTORA(ORR),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,7,8
TRIGAL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,1,1
TRINIDAD,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,178,234,412
TUPIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,12,12
TURCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,20,9,29
UNCIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,18,19
URIONDO (A. CONCEPCION),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,5,5
URUBICHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,3,6,9
VALLEGRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,55,55
VIACHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,12,12
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,18,19
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,14,15
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,26,15,41
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,6,6,12
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,4,136,140
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,6,209,215
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,8,125,133
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,14,15
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,4,16,20
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,3,3
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,0,10,10
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-01-01,1,12,13
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,233,27,260
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,4,37,41
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,10,10
ARBIETO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,19,19
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,79,70,149
AYATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,0,1
AZURDUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,12,13
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,60,60
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,17,18
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,11,11
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,15,15
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,10,10
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,8,9
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,4,128,132
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,8,1,9
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,19,21
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,35,102,137
CHALLAPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,1,4
CHIMORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,5,13,18
CHUQUIHUTA AYLLU JUCUMANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,1,2
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,38,39
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,76,467,543
COLCAPIRHUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,1,3
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,6,8,14
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,32,33
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,17,18
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,6,12,18
CUCHUMUELA (V. G. VILLARROEL),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,1,1
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,260,2055,2315
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,10,10
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,9,9
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,56,164,220
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,9,15,24
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,4,5
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,20,20
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,8,9
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,16,16
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,2,3
GENERAL SAAVEDRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,15,15
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,7,9,16
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,105,116,221
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,26,26
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,4,4
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,59,59
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,22,22
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,4,6
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,5,6
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,2,2
JESUS DE MACHACA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,0,1
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,4,91,95
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,60,925,985
LAGUNILLAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,7,7
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,1,1
LLALLAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,117,117
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,15,15
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,28,28
MAPIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,5,8
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,7,9
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,61,61
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,11,11
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,73,76
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,10,164,174
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,4,4
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,57,429,486
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,23,23
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,27,27
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,4,97,101
PALOS BLANCOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,18,19
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,15,16
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,9,49,58
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,2,2
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,4,16,20
PORTACHUELO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,0,1
PORVENIR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,14,14
POSTRER VALLE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,2,2
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,8,32,40
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,12,12
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,11,11
PUERTO GONZALO MORENO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,3,3
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,4,7
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,30,32
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,10,35,45
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,179,181
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,7,110,117
QUIABAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,3,4
QUILLACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,4,4
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,35,45,80
