,group,variable,month,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,5,53,58
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,90,1163,1253
LAGUNILLAS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
LLALLAGUA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,5,160,165
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,17,20
MAIRANA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
MAPIRI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,0,2
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,23,26
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,76,60,136
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,38,338,376
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,14,15
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,6,8
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-01-01,12,5,17
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,22,22
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,17,20
POJO (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,7,10
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,1,5
PORVENIR,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,41,47
PUERTO GONZALO MORENO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,12,19,31
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,13,12,25
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,48,52
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-01-01,7,216,223
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,8,116,124
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-01-01,5,3,8
ROBORE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,1,4
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,30,31
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,9,185,194
SALINAS DE GARCI MENDOZA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,1,1
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,28,34
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,35,37
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,34,20,54
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,30,32
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,14,43,57
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,1,3
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-01-01,11,12,23
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,11,11
SAN LORENZO(TJA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,0,2
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,1,3
SAN MATIAS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,13,13
SAN MIGUEL DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,3,5
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,36,38
SAN PEDRO DE BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,19,4,23
SAN RAFAEL,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,4,4
SANTA ANA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,131,321,452
SENA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,3,3
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,22,26
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,3,3
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,65,76,141
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,2,5,7
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,24,142,166
TARVITA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
TIPUANI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,1,2
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,12,12
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,1,2
TOMINA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,10,10
TOTORA(ORR),vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,4,5
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-01-01,100,190,290
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
TURCO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,20,7,27
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,18,19
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,3,18,21
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,78,78
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,55,55
VIACHA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-01-01,11,20,31
VILLA NUEVA (LOMA ALTA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,0,2,2
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,14,15
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,26,35,61
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,13,19
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-01-01,5,33,38
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-01-01,6,0,6
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-01-01,9,42,51
YAMPARAEZ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,2,3
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-01-01,4,36,40
ZUDAÑEZ,vih,l 22.3        n de personas con prueba rapida,2012-01-01,1,0,1
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,233,27,260
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,4,37,41
ALCALA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,49,38,87
AZURDUY,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,6,1,7
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,16,17
BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,10,18,28
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,3,3
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,10,11
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,4,128,132
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,8,40,48
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,1,3
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,32,15,47
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,59,62
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,5,4,9
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,1,2
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,14,47,61
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,52,358,410
COLCAPIRHUA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,9,11
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,6,16,22
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,32,33
COTAGAITA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,17,18
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,4,7
CULPINA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,0,2
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,260,1013,1273
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,10,10
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,56,50,106
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-02-01,12,42,54
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,1,2
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,7,7
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,8,9
FILADELFIA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,1,2
GENERAL SAAVEDRA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,15,15
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.3        n de personas con prueba rapida,2012-02-01,7,4,11
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-02-01,112,95,207
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,26,26
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
HUACHACALLA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,0,3
INQUISIVI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,11,3,14
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,5,3,8
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,4,77,81
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-02-01,68,888,956
LLALLAGUA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,3,3
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,9,9
MAIRANA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,2,2
MAPIRI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,2,5
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,75,77
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,2,2
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,25,28
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,35,132,167
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,60,274,334
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,23,23
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,27,27
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-02-01,4,40,44
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
PAMPA GRANDE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,9,14,23
PORONGO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,4,4,8
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,0,2
PORVENIR,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
POSTRER VALLE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,2,2
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,15,80,95
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
PUCARANI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,11,11
PUERTO GONZALO MORENO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,2,2
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,4,7
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,9,11
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-02-01,10,35,45
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,17,19
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,7,109,116
QUIABAYA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,3,4
RIBERALTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,35,10,45
ROBORE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,3,6
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,29,32
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,18,181,199
SAN BUENA VENTURA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,4,6
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,0,2
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,27,28
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,23,17,40
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,25,26
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,27,29
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,0,3
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,25,26
SAN LORENZO(TJA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,50,50
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,4,5
SAN MATIAS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,22,22
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,12,39,51
SAN PEDRO DE BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,22,22
SANTA ANA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,119,2858,2977
SENA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,22,23
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,8,14,22
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,3,3
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,13,14
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,63,113,176
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,49,52
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,38,109,147
TIAWANACU,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,4,5
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,9,9
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,1,1
TOMINA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,5,5
TOTORA(CBBA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,36,39
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-02-01,280,179,459
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,3,5,8
TURCO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,29,29
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,1,3
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,5,11,16
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,46,47
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,49,50
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,6,6
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-02-01,15,38,53
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,13,13
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,2,8,10
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-02-01,11,43,54
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-02-01,6,21,27
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-02-01,1,0,1
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,10,19,29
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-02-01,5,64,69
YUNCHARA,vih,l 22.3        n de personas con prueba rapida,2012-02-01,0,3,3
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,106,55,161
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,6,60,66
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,37,39
ARANI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,1,1
ARQUE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,6,7
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,20,40,60
AYATA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,8,9
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,8,17,25
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,26,28
BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,20,24,44
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,7,0,7
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,8,9
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,112,112
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,41,44
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,8,4,12
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,25,132,157
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,4,7
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,32,35
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,2,6
CHUMA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,2,2
CLIZA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,5,2,7
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,34,46,80
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,165,646,811
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,12,42,54
COLQUIRI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,4,4
CORQUE,vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,7,11
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,2,3
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,12,12
DESAGUADERO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,1,2
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,253,963,1216
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-03-01,32,59,91
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,130,104,234
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,2,2
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-03-01,20,40,60
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,10,14
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,6,7
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,6,7
FERNANDEZ ALONSO,vih,l 22.3        n de personas con prueba rapida,2012-03-01,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.3        n de personas con prueba rapida,2012-03-01,11,20,31
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-03-01,12,8,20
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,6,6
HUACHACALLA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,2,1,3
ICLA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,9,10
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,9,9
INGAVI (HUMAITA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,0,7,7
INQUISIVI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,1,2
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,9,11,20
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,3,30,33
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-03-01,57,1137,1194
MACHACAMARCA,vih,l 22.3        n de personas con prueba rapida,2012-03-01,1,0,1
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-03-01,5,26,31
