municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,6,6
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,12,12
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,3,3
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,12,12
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,11,11
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,8,8
TIPUANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TOLEDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,15,15
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,4,4
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-01-01,2,2
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,4,4
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,17,17
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,9,9
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,3,3
HUARINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,3,3
MORO MORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,7,7
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,6,6
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,13,13
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,8,8
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,10,10
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,6,6
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,7,7
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,8,8
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,9,9
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,13,13
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
TEOPONTE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,5,5
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,4,4
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
TURCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,2,2
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,6,6
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-02-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
CHARAÑA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,21,21
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,9,9
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
MAPIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
MINEROS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,6,6
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,8,8
PORVENIR,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,4,4
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
PUNATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,9,9
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,11,11
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,10,10
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,9,9
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,0,0
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,7,7
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,7,7
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,5,5
TOCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
TODOS SANTOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,8,8
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,11,11
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,2,2
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
YAMPARAEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-03-01,3,3
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,5,5
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
CAJUATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
CHIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,25,25
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,11,11
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
EL VILLAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,3,3
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
MACHARETI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
MAPIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
MINEROS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,3,3
PORVENIR,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,7,7
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,4,4
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2010-04-01,1,1
