municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
SOPACHUY,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,5,5
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,5,5
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,2,2
TOMINA,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,4,4
YANACACHI,tuberculosis,n de tbp baar (-) nuevos,2008-02-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-03-01,2,2
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,19,19
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (-) nuevos,2008-03-01,2,2
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,3,3
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,11,11
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,18,18
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,2,2
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
SAN LORENZO(TJA),tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,2,2
SOPACHUY,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,9,9
SORATA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,3,3
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,5,5
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,1,1
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,4,4
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,4,4
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,17,17
VITICHI,tuberculosis,n de tbp baar (-) nuevos,2008-03-01,5,5
ACHACACHI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
AYATA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,13,13
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,7,7
CULPINA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,28,28
PORCO,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,12,12
PORVENIR,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,15,15
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,3,3
PUNA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,6,6
SAN CARLOS,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,5,5
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
SAN LUCAS,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,17,17
SANTIAGO DE HUARI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
SORATA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,16,16
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
UMALA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
VIACHA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,3,3
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,9,9
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,3,3
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,2,2
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-04-01,14,14
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,28,28
BUENA VISTA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,14,14
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,12,12
CHIMORE,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,3,3
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,3,3
EL PUENTE(TJA),tuberculosis,n de tbp baar (-) nuevos,2008-05-01,3,3
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,20,20
LAGUNILLAS,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
MAIRANA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,25,25
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,4,4
PUNA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,2,2
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SACABA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-05-01,18,18
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,11,11
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,7,7
TACACOMA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,6,6
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,19,19
VIACHA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,3,3
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,6,6
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,45,45
YOTALA,tuberculosis,n de tbp baar (-) nuevos,2008-05-01,1,1
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,17,17
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,18,18
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,10,10
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,3,3
CUATRO CAÑADAS,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,6,6
ENTRE RIOS,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,4,4
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,25,25
MAPIRI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,3,3
PAILON,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,13,13
PORCO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,4,4
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,3,3
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
PRESTO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,2,2
PUCARA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
SAMAIPATA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,4,4
SAN LORENZO(TJA),tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,16,16
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,10,10
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,2,2
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2008-06-01,1,1
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,5,5
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,5,5
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,8,8
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-06-01,83,83
ANCORAIMES,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,21,21
AZURDUY,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
CAJUATA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,5,5
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
COLPA BELGICA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
COTOCA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,3,3
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,7,7
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,9,9
GUAYARAMERIN,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,19,19
LAGUNILLAS,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
PAILON,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,31,31
POCOATA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,3,3
PORCO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,9,9
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,3,3
PUERTO SUAREZ,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,3,3
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
SACACA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,3,3
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-07-01,27,27
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,13,13
SAN LORENZO(TJA),tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
SAN LUCAS,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
SAN PEDRO,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,7,7
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,23,23
SICA SICA (VILLA AROMA),tuberculosis,n de tbp baar (-) nuevos,2008-07-01,2,2
SORATA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,6,6
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
TOMINA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,2,2
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,18,18
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,6,6
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,1,1
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-07-01,70,70
BERMEJO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-08-01,6,6
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,19,19
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
COLCAPIRHUA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
COLQUECHACA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
COROICO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,4,4
ENTRE RIOS,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,3,3
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,17,17
LAGUNILLAS,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,4,4
LLICA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
PAILON,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
PORONGO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
PORTACHUELO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,7,7
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,8,8
PUERTO SUAREZ,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
ROBORE,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,6,6
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-08-01,19,19
SAN JUAN DE YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,3,3
SANTA ANA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,13,13
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,4,4
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,8,8
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,1,1
TOMAVE,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,5,5
VILLA MONTES,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,31,31
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,4,4
WARNES,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,2,2
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,4,4
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-08-01,68,68
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,26,26
AZURDUY,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,13,13
BERMEJO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,3,3
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-09-01,2,2
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,12,12
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
COROICO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,6,6
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,26,26
PAILON,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,13,13
POCOATA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,13,13
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,3,3
SACABA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SACACA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-09-01,42,42
SAN JOAQUIN,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,2,2
SAN MIGUEL DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,6,6
SANTA ROSA DEL SARA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,8,8
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,2,2
TORO TORO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,2,2
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,2,2
UNCIA,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
VILLA TUNARI,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,4,4
VINTO,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,1,1
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2008-09-01,92,92
ATOCHA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,27,27
BATALLAS,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
CAMARGO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
CARAPARI,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,3,3
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,13,13
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,3,3
CULPINA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,7,7
EL PUENTE(TJA),tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,15,15
OKINAWA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
PADCAYA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
PAILON,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,9,9
PATACAMAYA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
PORCO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,6,6
POTOSI,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,2,2
RIBERALTA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
SAN IGNACIO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,3,3
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2008-10-01,27,27
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,9,9
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,11,11
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,2,2
TOMAVE,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
TORO TORO,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
TUPIZA,tuberculosis,n de tbp baar (-) nuevos,2008-10-01,1,1
