municipality,group,variable,month,Viviendas Roceadas,TOTAL
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-02-01,18,18
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-02-01,4,4
ICLA,chagas viviendas,viviendas roceadas,2020-02-01,4,4
MOJOCOYA,chagas viviendas,viviendas roceadas,2020-02-01,108,108
OMEREQUE,chagas viviendas,viviendas roceadas,2020-02-01,32,32
PADCAYA,chagas viviendas,viviendas roceadas,2020-02-01,5,5
POJO (CBBA),chagas viviendas,viviendas roceadas,2020-02-01,7,7
PRESTO,chagas viviendas,viviendas roceadas,2020-02-01,20,20
PUNATA,chagas viviendas,viviendas roceadas,2020-02-01,2,2
SACABA,chagas viviendas,viviendas roceadas,2020-02-01,5,5
SAN BENITO,chagas viviendas,viviendas roceadas,2020-02-01,2,2
SAN LUCAS,chagas viviendas,viviendas roceadas,2020-02-01,9,9
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-02-01,13,13
SICAYA,chagas viviendas,viviendas roceadas,2020-02-01,3,3
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-02-01,14,14
TACACHI,chagas viviendas,viviendas roceadas,2020-02-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2020-02-01,1,1
TIQUIPAYA,chagas viviendas,viviendas roceadas,2020-02-01,1,1
TOMAVE,chagas viviendas,viviendas roceadas,2020-02-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2020-02-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-02-01,5,5
VALLEGRANDE,chagas viviendas,viviendas roceadas,2020-02-01,20,20
VILA VILA,chagas viviendas,viviendas roceadas,2020-02-01,61,61
VILLA MONTES,chagas viviendas,viviendas roceadas,2020-02-01,6,6
VINTO,chagas viviendas,viviendas roceadas,2020-02-01,2,2
YOTALA,chagas viviendas,viviendas roceadas,2020-02-01,10,10
ACACIO,chagas viviendas,viviendas roceadas,2020-03-01,2,2
AIQUILE,chagas viviendas,viviendas roceadas,2020-03-01,13,13
ARANI,chagas viviendas,viviendas roceadas,2020-03-01,1,1
ARQUE,chagas viviendas,viviendas roceadas,2020-03-01,3,3
CAMARGO,chagas viviendas,viviendas roceadas,2020-03-01,5,5
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2020-03-01,2,2
CAPINOTA,chagas viviendas,viviendas roceadas,2020-03-01,26,26
CLIZA,chagas viviendas,viviendas roceadas,2020-03-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-03-01,16,16
HUACARETA,chagas viviendas,viviendas roceadas,2020-03-01,4,4
ICLA,chagas viviendas,viviendas roceadas,2020-03-01,1,1
MIZQUE,chagas viviendas,viviendas roceadas,2020-03-01,0,0
OMEREQUE,chagas viviendas,viviendas roceadas,2020-03-01,1,1
PADCAYA,chagas viviendas,viviendas roceadas,2020-03-01,3,3
POJO (CBBA),chagas viviendas,viviendas roceadas,2020-03-01,499,499
PRESTO,chagas viviendas,viviendas roceadas,2020-03-01,3,3
SAN LUCAS,chagas viviendas,viviendas roceadas,2020-03-01,21,21
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-03-01,3,3
SICAYA,chagas viviendas,viviendas roceadas,2020-03-01,5,5
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-03-01,51,51
TACACHI,chagas viviendas,viviendas roceadas,2020-03-01,1,1
TAPACARI,chagas viviendas,viviendas roceadas,2020-03-01,4,4
TIQUIPAYA,chagas viviendas,viviendas roceadas,2020-03-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2020-03-01,8,8
TUPIZA,chagas viviendas,viviendas roceadas,2020-03-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-03-01,16,16
VALLEGRANDE,chagas viviendas,viviendas roceadas,2020-03-01,6,6
VILA VILA,chagas viviendas,viviendas roceadas,2020-03-01,18,18
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-03-01,3,3
VINTO,chagas viviendas,viviendas roceadas,2020-03-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2020-04-01,2,2
CAMARGO,chagas viviendas,viviendas roceadas,2020-04-01,15,15
HUACARETA,chagas viviendas,viviendas roceadas,2020-04-01,750,750
ICLA,chagas viviendas,viviendas roceadas,2020-04-01,9,9
LAGUNILLAS,chagas viviendas,viviendas roceadas,2020-04-01,43,43
MIZQUE,chagas viviendas,viviendas roceadas,2020-04-01,69,69
POJO (CBBA),chagas viviendas,viviendas roceadas,2020-04-01,276,276
PRESTO,chagas viviendas,viviendas roceadas,2020-04-01,62,62
TAPACARI,chagas viviendas,viviendas roceadas,2020-04-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-04-01,13,13
VILA VILA,chagas viviendas,viviendas roceadas,2020-04-01,29,29
VILLA SERRANO,chagas viviendas,viviendas roceadas,2020-04-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2020-05-01,121,121
ANZALDO,chagas viviendas,viviendas roceadas,2020-05-01,45,45
ARQUE,chagas viviendas,viviendas roceadas,2020-05-01,7,7
CAPINOTA,chagas viviendas,viviendas roceadas,2020-05-01,12,12
COBIJA,chagas viviendas,viviendas roceadas,2020-05-01,0,0
COLQUECHACA,chagas viviendas,viviendas roceadas,2020-05-01,10,10
ICLA,chagas viviendas,viviendas roceadas,2020-05-01,7,7
MIZQUE,chagas viviendas,viviendas roceadas,2020-05-01,223,223
MONTERO,chagas viviendas,viviendas roceadas,2020-05-01,0,0
OMEREQUE,chagas viviendas,viviendas roceadas,2020-05-01,15,15
POJO (CBBA),chagas viviendas,viviendas roceadas,2020-05-01,16,16
SACABA,chagas viviendas,viviendas roceadas,2020-05-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2020-05-01,5,5
SICAYA,chagas viviendas,viviendas roceadas,2020-05-01,22,22
TACACHI,chagas viviendas,viviendas roceadas,2020-05-01,3,3
TARIJA,chagas viviendas,viviendas roceadas,2020-05-01,1,1
TIQUIPAYA,chagas viviendas,viviendas roceadas,2020-05-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-05-01,8,8
VILA VILA,chagas viviendas,viviendas roceadas,2020-05-01,13,13
YOTALA,chagas viviendas,viviendas roceadas,2020-05-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2020-06-01,58,58
ANZALDO,chagas viviendas,viviendas roceadas,2020-06-01,44,44
ARQUE,chagas viviendas,viviendas roceadas,2020-06-01,9,9
CAMARGO,chagas viviendas,viviendas roceadas,2020-06-01,7,7
COTAGAITA,chagas viviendas,viviendas roceadas,2020-06-01,1,1
MIZQUE,chagas viviendas,viviendas roceadas,2020-06-01,23,23
OMEREQUE,chagas viviendas,viviendas roceadas,2020-06-01,5,5
POCONA,chagas viviendas,viviendas roceadas,2020-06-01,2,2
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-06-01,7,7
TAPACARI,chagas viviendas,viviendas roceadas,2020-06-01,26,26
TARATA,chagas viviendas,viviendas roceadas,2020-06-01,4,4
TOCO,chagas viviendas,viviendas roceadas,2020-06-01,1,1
TOMAVE,chagas viviendas,viviendas roceadas,2020-06-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2020-06-01,12,12
TUPIZA,chagas viviendas,viviendas roceadas,2020-06-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-06-01,4,4
VILA VILA,chagas viviendas,viviendas roceadas,2020-06-01,17,17
VILLA SERRANO,chagas viviendas,viviendas roceadas,2020-06-01,3,3
YOTALA,chagas viviendas,viviendas roceadas,2020-06-01,38,38
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-06-01,1,1
AIQUILE,chagas viviendas,viviendas roceadas,2020-07-01,26,26
ANZALDO,chagas viviendas,viviendas roceadas,2020-07-01,29,29
ARAMPAMPA,chagas viviendas,viviendas roceadas,2020-07-01,4,4
ARQUE,chagas viviendas,viviendas roceadas,2020-07-01,6,6
CAMARGO,chagas viviendas,viviendas roceadas,2020-07-01,4,4
CLIZA,chagas viviendas,viviendas roceadas,2020-07-01,1,1
ICLA,chagas viviendas,viviendas roceadas,2020-07-01,4,4
MIZQUE,chagas viviendas,viviendas roceadas,2020-07-01,5,5
OCURI,chagas viviendas,viviendas roceadas,2020-07-01,1,1
OMEREQUE,chagas viviendas,viviendas roceadas,2020-07-01,18,18
PASORAPA,chagas viviendas,viviendas roceadas,2020-07-01,30,30
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-07-01,5,5
SICAYA,chagas viviendas,viviendas roceadas,2020-07-01,10,10
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-07-01,2,2
TARABUCO,chagas viviendas,viviendas roceadas,2020-07-01,10,10
TARATA,chagas viviendas,viviendas roceadas,2020-07-01,2,2
TOMAVE,chagas viviendas,viviendas roceadas,2020-07-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2020-07-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-07-01,1,1
VILA VILA,chagas viviendas,viviendas roceadas,2020-07-01,19,19
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-07-01,6,6
VITICHI,chagas viviendas,viviendas roceadas,2020-07-01,1,1
YOTALA,chagas viviendas,viviendas roceadas,2020-07-01,27,27
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-07-01,10,10
AIQUILE,chagas viviendas,viviendas roceadas,2020-08-01,23,23
ANZALDO,chagas viviendas,viviendas roceadas,2020-08-01,20,20
ARAMPAMPA,chagas viviendas,viviendas roceadas,2020-08-01,1,1
ARQUE,chagas viviendas,viviendas roceadas,2020-08-01,3,3
CKOCHAS,chagas viviendas,viviendas roceadas,2020-08-01,3,3
COBIJA,chagas viviendas,viviendas roceadas,2020-08-01,0,0
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-08-01,1,1
ICLA,chagas viviendas,viviendas roceadas,2020-08-01,2,2
OMEREQUE,chagas viviendas,viviendas roceadas,2020-08-01,20,20
PASORAPA,chagas viviendas,viviendas roceadas,2020-08-01,20,20
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-08-01,2,2
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-08-01,14,14
SICAYA,chagas viviendas,viviendas roceadas,2020-08-01,12,12
TAPACARI,chagas viviendas,viviendas roceadas,2020-08-01,17,17
TARABUCO,chagas viviendas,viviendas roceadas,2020-08-01,5,5
TARATA,chagas viviendas,viviendas roceadas,2020-08-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2020-08-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-08-01,1,1
VILA VILA,chagas viviendas,viviendas roceadas,2020-08-01,10,10
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-08-01,2,2
VITICHI,chagas viviendas,viviendas roceadas,2020-08-01,6,6
ACACIO,chagas viviendas,viviendas roceadas,2020-09-01,9,9
AIQUILE,chagas viviendas,viviendas roceadas,2020-09-01,68,68
ARANI,chagas viviendas,viviendas roceadas,2020-09-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2020-09-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2020-09-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2020-09-01,27,27
CKOCHAS,chagas viviendas,viviendas roceadas,2020-09-01,12,12
CLIZA,chagas viviendas,viviendas roceadas,2020-09-01,4,4
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2020-09-01,12,12
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2020-09-01,3,3
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-09-01,18,18
EL TORNO,chagas viviendas,viviendas roceadas,2020-09-01,35,35
HUACARETA,chagas viviendas,viviendas roceadas,2020-09-01,5,5
ICLA,chagas viviendas,viviendas roceadas,2020-09-01,2,2
LURIBAY,chagas viviendas,viviendas roceadas,2020-09-01,56,56
OCURI,chagas viviendas,viviendas roceadas,2020-09-01,2,2
OMEREQUE,chagas viviendas,viviendas roceadas,2020-09-01,13,13
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2020-09-01,4,4
PASORAPA,chagas viviendas,viviendas roceadas,2020-09-01,34,34
POCONA,chagas viviendas,viviendas roceadas,2020-09-01,7,7
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-09-01,5,5
SACABA,chagas viviendas,viviendas roceadas,2020-09-01,10,10
SAN BENITO,chagas viviendas,viviendas roceadas,2020-09-01,2,2
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-09-01,38,38
SAPAHAQUI,chagas viviendas,viviendas roceadas,2020-09-01,34,34
SICAYA,chagas viviendas,viviendas roceadas,2020-09-01,15,15
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-09-01,19,19
TACACHI,chagas viviendas,viviendas roceadas,2020-09-01,5,5
TAPACARI,chagas viviendas,viviendas roceadas,2020-09-01,61,61
TARATA,chagas viviendas,viviendas roceadas,2020-09-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-09-01,5,5
VILA VILA,chagas viviendas,viviendas roceadas,2020-09-01,10,10
YAMPARAEZ,chagas viviendas,viviendas roceadas,2020-09-01,56,56
YANACACHI,chagas viviendas,viviendas roceadas,2020-09-01,1,1
YOTALA,chagas viviendas,viviendas roceadas,2020-09-01,24,24
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-09-01,20,20
AIQUILE,chagas viviendas,viviendas roceadas,2020-10-01,40,40
ARANI,chagas viviendas,viviendas roceadas,2020-10-01,23,23
ARQUE,chagas viviendas,viviendas roceadas,2020-10-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2020-10-01,5,5
CAIROMA,chagas viviendas,viviendas roceadas,2020-10-01,136,136
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2020-10-01,5,5
CAMARGO,chagas viviendas,viviendas roceadas,2020-10-01,18,18
CAPINOTA,chagas viviendas,viviendas roceadas,2020-10-01,33,33
CLIZA,chagas viviendas,viviendas roceadas,2020-10-01,6,6
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-10-01,26,26
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2020-10-01,9,9
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2020-10-01,11,11
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-10-01,9,9
ICLA,chagas viviendas,viviendas roceadas,2020-10-01,7,7
LURIBAY,chagas viviendas,viviendas roceadas,2020-10-01,2,2
MIZQUE,chagas viviendas,viviendas roceadas,2020-10-01,0,0
OMEREQUE,chagas viviendas,viviendas roceadas,2020-10-01,3,3
PADCAYA,chagas viviendas,viviendas roceadas,2020-10-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2020-10-01,64,64
PASORAPA,chagas viviendas,viviendas roceadas,2020-10-01,9,9
POCONA,chagas viviendas,viviendas roceadas,2020-10-01,5,5
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-10-01,3,3
SACABA,chagas viviendas,viviendas roceadas,2020-10-01,3,3
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-10-01,23,23
SICAYA,chagas viviendas,viviendas roceadas,2020-10-01,14,14
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-10-01,11,11
SUCRE,chagas viviendas,viviendas roceadas,2020-10-01,105,105
TACACHI,chagas viviendas,viviendas roceadas,2020-10-01,3,3
TACOBAMBA,chagas viviendas,viviendas roceadas,2020-10-01,11,11
TAPACARI,chagas viviendas,viviendas roceadas,2020-10-01,15,15
TARABUCO,chagas viviendas,viviendas roceadas,2020-10-01,85,85
TARATA,chagas viviendas,viviendas roceadas,2020-10-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2020-10-01,18,18
TUPIZA,chagas viviendas,viviendas roceadas,2020-10-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-10-01,10,10
VILA VILA,chagas viviendas,viviendas roceadas,2020-10-01,9,9
VINTO,chagas viviendas,viviendas roceadas,2020-10-01,13,13
VITICHI,chagas viviendas,viviendas roceadas,2020-10-01,5,5
YAMPARAEZ,chagas viviendas,viviendas roceadas,2020-10-01,22,22
YOTALA,chagas viviendas,viviendas roceadas,2020-10-01,3,3
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-10-01,3,3
ACACIO,chagas viviendas,viviendas roceadas,2020-11-01,1,1
AIQUILE,chagas viviendas,viviendas roceadas,2020-11-01,98,98
ARAMPAMPA,chagas viviendas,viviendas roceadas,2020-11-01,2,2
ARANI,chagas viviendas,viviendas roceadas,2020-11-01,4,4
ARBIETO,chagas viviendas,viviendas roceadas,2020-11-01,5,5
ARQUE,chagas viviendas,viviendas roceadas,2020-11-01,8,8
CAIROMA,chagas viviendas,viviendas roceadas,2020-11-01,1,1
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2020-11-01,4,4
CAMARGO,chagas viviendas,viviendas roceadas,2020-11-01,10,10
CAPINOTA,chagas viviendas,viviendas roceadas,2020-11-01,49,49
CARAPARI,chagas viviendas,viviendas roceadas,2020-11-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-11-01,28,28
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2020-11-01,3,3
COTAGAITA,chagas viviendas,viviendas roceadas,2020-11-01,5,5
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-11-01,15,15
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2020-11-01,1,1
ICLA,chagas viviendas,viviendas roceadas,2020-11-01,14,14
LAS CARRERAS,chagas viviendas,viviendas roceadas,2020-11-01,12,12
MIZQUE,chagas viviendas,viviendas roceadas,2020-11-01,4,4
OCURI,chagas viviendas,viviendas roceadas,2020-11-01,61,61
OMEREQUE,chagas viviendas,viviendas roceadas,2020-11-01,1,1
PALCA,chagas viviendas,viviendas roceadas,2020-11-01,9,9
PASORAPA,chagas viviendas,viviendas roceadas,2020-11-01,17,17
POROMA,chagas viviendas,viviendas roceadas,2020-11-01,13,13
PRESTO,chagas viviendas,viviendas roceadas,2020-11-01,51,51
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-11-01,9,9
SACABA,chagas viviendas,viviendas roceadas,2020-11-01,2,2
SAN BENITO,chagas viviendas,viviendas roceadas,2020-11-01,2,2
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-11-01,36,36
SICAYA,chagas viviendas,viviendas roceadas,2020-11-01,9,9
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-11-01,24,24
TACACHI,chagas viviendas,viviendas roceadas,2020-11-01,2,2
TACOBAMBA,chagas viviendas,viviendas roceadas,2020-11-01,15,15
TAPACARI,chagas viviendas,viviendas roceadas,2020-11-01,13,13
TARABUCO,chagas viviendas,viviendas roceadas,2020-11-01,40,40
TARATA,chagas viviendas,viviendas roceadas,2020-11-01,2,2
TOCO,chagas viviendas,viviendas roceadas,2020-11-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2020-11-01,16,16
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2020-11-01,7,7
TUPIZA,chagas viviendas,viviendas roceadas,2020-11-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-11-01,4,4
VILA VILA,chagas viviendas,viviendas roceadas,2020-11-01,5,5
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-11-01,4,4
VILLA SERRANO,chagas viviendas,viviendas roceadas,2020-11-01,24,24
VINTO,chagas viviendas,viviendas roceadas,2020-11-01,2,2
YACUIBA,chagas viviendas,viviendas roceadas,2020-11-01,49,49
YAMPARAEZ,chagas viviendas,viviendas roceadas,2020-11-01,52,52
YOTALA,chagas viviendas,viviendas roceadas,2020-11-01,1,1
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-11-01,35,35
AIQUILE,chagas viviendas,viviendas roceadas,2020-12-01,44,44
ARANI,chagas viviendas,viviendas roceadas,2020-12-01,11,11
ARBIETO,chagas viviendas,viviendas roceadas,2020-12-01,21,21
ARQUE,chagas viviendas,viviendas roceadas,2020-12-01,12,12
CAPINOTA,chagas viviendas,viviendas roceadas,2020-12-01,37,37
CARAPARI,chagas viviendas,viviendas roceadas,2020-12-01,1,1
CLIZA,chagas viviendas,viviendas roceadas,2020-12-01,31,31
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-12-01,24,24
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2020-12-01,3,3
COTAGAITA,chagas viviendas,viviendas roceadas,2020-12-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2020-12-01,5,5
ICLA,chagas viviendas,viviendas roceadas,2020-12-01,7,7
LA ASUNTA,chagas viviendas,viviendas roceadas,2020-12-01,16,16
LURIBAY,chagas viviendas,viviendas roceadas,2020-12-01,26,26
PADCAYA,chagas viviendas,viviendas roceadas,2020-12-01,10,10
POROMA,chagas viviendas,viviendas roceadas,2020-12-01,5,5
PUNATA,chagas viviendas,viviendas roceadas,2020-12-01,47,47
SACABA,chagas viviendas,viviendas roceadas,2020-12-01,12,12
SAN BENITO,chagas viviendas,viviendas roceadas,2020-12-01,2,2
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-12-01,18,18
SAPAHAQUI,chagas viviendas,viviendas roceadas,2020-12-01,8,8
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-12-01,509,509
TACACHI,chagas viviendas,viviendas roceadas,2020-12-01,2,2
TACOBAMBA,chagas viviendas,viviendas roceadas,2020-12-01,1,1
TAPACARI,chagas viviendas,viviendas roceadas,2020-12-01,17,17
TARIJA,chagas viviendas,viviendas roceadas,2020-12-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2020-12-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-12-01,4,4
VILA VILA,chagas viviendas,viviendas roceadas,2020-12-01,3,3
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-12-01,3,3
VINTO,chagas viviendas,viviendas roceadas,2020-12-01,6,6
YACUIBA,chagas viviendas,viviendas roceadas,2020-12-01,52,52
YAMPARAEZ,chagas viviendas,viviendas roceadas,2020-12-01,20,20
