,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,6,5,6,5,11
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
ENTRE RIOS TRJ,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,45,48,45,48,93
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,4,1,4,1,5
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,11,8,11,8,19
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,1,1,1,2
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,9,5,9,5,14
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
REYES,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,6,0,6,0,6
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,68,61,68,61,129
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,15,15,15,15,30
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,12,8,12,8,20
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,8,14,8,14,22
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,2,1,2,1,3
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,3,3,3,3,6
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,2,1,2,3
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,5,7,5,7,12
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,62,75,62,75,137
CULPINA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,6,17,6,17,23
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,4,2,4,2,6
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,5,2,5,2,7
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,4,1,4,1,5
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,43,44,43,44,87
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,3,3,3,3,6
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,17,20,17,20,37
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,11,13,11,13,24
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,5,0,5,0,5
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,90,89,90,89,179
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,16,19,16,19,35
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,14,20,14,20,34
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,15,15,15,15,30
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,2,1,2,1,3
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,2,1,2,1,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,2,0,2,0,2
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,0,4,0,4,4
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,1,3,1,3,4
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-03-01,4,2,4,2,6
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,1,1,1,2
BAURES,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,1,1,1,2
CAPINOTA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,3,1,3,1,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,73,85,73,85,158
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,8,7,8,7,15
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,3,2,3,2,5
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,3,2,3,2,5
HUARACAJE,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,4,0,4,0,4
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,76,78,76,78,154
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,2,2,2,2,4
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,6,4,6,4,10
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,6,10,6,10,16
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,10,11,10,11,21
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,1,1,1,2
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,6,4,6,4,10
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,86,79,86,79,165
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,21,18,21,18,39
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,2,0,2,0,2
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,16,18,16,18,34
TARVITA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,10,12,10,12,22
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,2,1,2,1,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,3,4,3,4,7
ZUDAÑEZ,internaciones,fallecidos a partir de las 48 hrs.,2017-04-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,2,1,2,1,3
BOYUIBE,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,3,1,3,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,70,69,70,69,139
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,2,0,2,0,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,8,11,8,11,19
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,2,1,2,3
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,78,90,78,90,168
MINEROS,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,7,1,7,1,8
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,12,8,12,8,20
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,5,16,5,16,21
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
REYES,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,6,6,6,6,12
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,5,3,5,3,8
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,2,0,2,0,2
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,89,77,89,77,166
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,23,23,23,23,46
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,23,15,23,15,38
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,13,11,13,11,24
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,2,0,2,0,2
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-05-01,3,1,3,1,4
ATOCHA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,0,0,0,0
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,3,1,3,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
CARAPARI,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,3,3,3,3,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,74,62,74,62,136
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,2,1,2,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,8,9,8,9,17
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,65,76,65,76,141
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,5,6,5,6,11
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,6,7,6,7,13
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,12,9,12,9,21
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,3,6,3,6,9
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,3,0,3,0,3
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,89,69,89,69,158
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,28,18,28,18,46
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,15,23,15,23,38
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,19,14,19,14,33
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,11,0,11,0,11
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,3,0,3,3
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-06-01,5,4,5,4,9
ACHACACHI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
APOLO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,0,4,0,4
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,2,1,2,3
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,6,4,6,10
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,68,58,68,58,126
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,2,0,2,0,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,17,13,17,13,30
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,3,4,3,7
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,83,73,83,73,156
MACHARETI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,4,4,4,8
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,8,5,8,5,13
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,2,0,2,2
POSTRER VALLE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,16,11,16,11,27
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,6,6,6,6,12
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,2,0,2,2
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,2,0,2,0,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,2,1,2,3
SAN MATIAS,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,88,70,88,70,158
SOPACHUY,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
SORATA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,29,24,29,24,53
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,18,24,18,24,42
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,10,4,10,14
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,6,3,6,3,9
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,2,0,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-07-01,4,1,4,1,5
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
CAPINOTA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,3,5,3,5,8
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,63,69,63,69,132
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,2,0,2,0,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,6,14,6,14,20
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,3,5,3,5,8
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,87,79,87,79,166
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,6,2,6,2,8
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,18,12,18,12,30
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,2,1,2,3
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,20,9,20,9,29
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,0,1,0,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
REYES,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,3,4,3,4,7
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,82,71,82,71,153
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,19,23,19,23,42
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,31,15,31,15,46
TARVITA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,9,8,9,8,17
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,2,2,2,2,4
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-08-01,4,0,4,0,4
