,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
COLPA BELGICA,internaciones,egresos,2017-01-01,4,6,4,6,10
COLQUECHACA,internaciones,egresos,2017-01-01,0,1,0,1,1
COLQUENCHA,internaciones,egresos,2017-01-01,0,4,0,4,4
COLQUIRI,internaciones,egresos,2017-01-01,2,8,2,8,10
COMARAPA,internaciones,egresos,2017-01-01,5,54,5,54,59
CONCEPCION,internaciones,egresos,2017-01-01,11,65,11,65,76
COPACABANA,internaciones,egresos,2017-01-01,1,8,1,8,9
CORIPATA,internaciones,egresos,2017-01-01,0,11,0,11,11
CORO CORO,internaciones,egresos,2017-01-01,0,1,0,1,1
COROICO,internaciones,egresos,2017-01-01,14,69,14,69,83
COTAGAITA,internaciones,egresos,2017-01-01,10,25,10,25,35
COTOCA,internaciones,egresos,2017-01-01,22,59,22,59,81
CUATRO CAÑADAS,internaciones,egresos,2017-01-01,6,9,6,9,15
CULPINA,internaciones,egresos,2017-01-01,11,40,11,40,51
CURAHUARA DE CARANGAS,internaciones,egresos,2017-01-01,1,2,1,2,3
DESAGUADERO,internaciones,egresos,2017-01-01,0,2,0,2,2
EL ALTO,internaciones,egresos,2017-01-01,982,2875,982,2875,3857
EL CHORO,internaciones,egresos,2017-01-01,0,2,0,2,2
EL PUENTE(STC),internaciones,egresos,2017-01-01,16,19,16,19,35
EL TORNO,internaciones,egresos,2017-01-01,185,398,185,398,583
EL VILLAR,internaciones,egresos,2017-01-01,0,2,0,2,2
ENTRE RIOS TRJ,internaciones,egresos,2017-01-01,8,37,8,37,45
ENTRE RIOS CBBA,internaciones,egresos,2017-01-01,4,38,4,38,42
ESCOMA,internaciones,egresos,2017-01-01,3,6,3,6,9
EUCALIPTUS,internaciones,egresos,2017-01-01,0,4,0,4,4
EXALTACION,internaciones,egresos,2017-01-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,egresos,2017-01-01,1,27,1,27,28
FILADELFIA,internaciones,egresos,2017-01-01,2,4,2,4,6
GENERAL SAAVEDRA,internaciones,egresos,2017-01-01,14,32,14,32,46
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2017-01-01,0,1,0,1,1
GUANAY,internaciones,egresos,2017-01-01,16,27,16,27,43
GUAQUI,internaciones,egresos,2017-01-01,0,3,0,3,3
GUAYARAMERIN,internaciones,egresos,2017-01-01,138,330,138,330,468
GUTIERREZ,internaciones,egresos,2017-01-01,12,27,12,27,39
HUACARETA,internaciones,egresos,2017-01-01,5,24,5,24,29
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2017-01-01,0,4,0,4,4
HUANUNI,internaciones,egresos,2017-01-01,69,95,69,95,164
HUARACAJE,internaciones,egresos,2017-01-01,6,11,6,11,17
HUARINA,internaciones,egresos,2017-01-01,0,2,0,2,2
HUATAJATA,internaciones,egresos,2017-01-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,egresos,2017-01-01,1,0,1,0,1
HUMANATA,internaciones,egresos,2017-01-01,0,1,0,1,1
ICHOCA,internaciones,egresos,2017-01-01,0,1,0,1,1
ICLA,internaciones,egresos,2017-01-01,1,4,1,4,5
INCAHUASI,internaciones,egresos,2017-01-01,3,7,3,7,10
INQUISIVI,internaciones,egresos,2017-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),internaciones,egresos,2017-01-01,7,30,7,30,37
IXIAMAS,internaciones,egresos,2017-01-01,0,16,0,16,16
JESUS DE MACHACA,internaciones,egresos,2017-01-01,0,10,0,10,10
LA ASUNTA,internaciones,egresos,2017-01-01,8,59,8,59,67
LA GUARDIA,internaciones,egresos,2017-01-01,23,100,23,100,123
LA PAZ,internaciones,egresos,2017-01-01,2244,4610,2244,4610,6854
LAGUNILLAS,internaciones,egresos,2017-01-01,0,4,0,4,4
LAJA,internaciones,egresos,2017-01-01,0,7,0,7,7
LICOMA PAMPA,internaciones,egresos,2017-01-01,0,1,0,1,1
LLICA,internaciones,egresos,2017-01-01,0,2,0,2,2
MAGDALENA,internaciones,egresos,2017-01-01,31,65,31,65,96
MAIRANA,internaciones,egresos,2017-01-01,3,60,3,60,63
MAPIRI,internaciones,egresos,2017-01-01,6,34,6,34,40
MECAPACA,internaciones,egresos,2017-01-01,0,2,0,2,2
MINEROS,internaciones,egresos,2017-01-01,0,21,0,21,21
MIZQUE,internaciones,egresos,2017-01-01,14,43,14,43,57
MOCOMOCO,internaciones,egresos,2017-01-01,0,1,0,1,1
MOJOCOYA,internaciones,egresos,2017-01-01,0,6,0,6,6
MONTEAGUDO,internaciones,egresos,2017-01-01,73,152,73,152,225
MONTERO,internaciones,egresos,2017-01-01,370,778,370,778,1148
MORO MORO,internaciones,egresos,2017-01-01,0,1,0,1,1
MOROCHATA,internaciones,egresos,2017-01-01,6,9,6,9,15
NACEBE (SANTA ROSA DEL ABUNA),internaciones,egresos,2017-01-01,0,3,0,3,3
OCURI,internaciones,egresos,2017-01-01,0,4,0,4,4
OKINAWA,internaciones,egresos,2017-01-01,3,7,3,7,10
OMEREQUE,internaciones,egresos,2017-01-01,4,14,4,14,18
ORURO,internaciones,egresos,2017-01-01,1151,2039,1151,2039,3190
PADILLA,internaciones,egresos,2017-01-01,36,68,36,68,104
PAILON,internaciones,egresos,2017-01-01,34,95,34,95,129
PALCA,internaciones,egresos,2017-01-01,0,3,0,3,3
PALOS BLANCOS,internaciones,egresos,2017-01-01,10,48,10,48,58
PAMPA GRANDE,internaciones,egresos,2017-01-01,2,7,2,7,9
PAPEL PAMPA,internaciones,egresos,2017-01-01,0,2,0,2,2
PASORAPA,internaciones,egresos,2017-01-01,2,2,2,2,4
PATACAMAYA,internaciones,egresos,2017-01-01,14,91,14,91,105
PELECHUCO,internaciones,egresos,2017-01-01,0,1,0,1,1
POCOATA,internaciones,egresos,2017-01-01,0,1,0,1,1
POCONA,internaciones,egresos,2017-01-01,0,6,0,6,6
POJO (CBBA),internaciones,egresos,2017-01-01,2,13,2,13,15
POOPO,internaciones,egresos,2017-01-01,0,3,0,3,3
PORCO,internaciones,egresos,2017-01-01,0,5,0,5,5
POROMA,internaciones,egresos,2017-01-01,0,2,0,2,2
PORTACHUELO,internaciones,egresos,2017-01-01,44,118,44,118,162
PORVENIR,internaciones,egresos,2017-01-01,1,2,1,2,3
POTOSI,internaciones,egresos,2017-01-01,689,1386,689,1386,2075
PRESTO,internaciones,egresos,2017-01-01,1,8,1,8,9
PUCARA,internaciones,egresos,2017-01-01,0,2,0,2,2
PUCARANI,internaciones,egresos,2017-01-01,0,5,0,5,5
PUERTO ACOSTA,internaciones,egresos,2017-01-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,egresos,2017-01-01,0,3,0,3,3
PUERTO GONZALO MORENO,internaciones,egresos,2017-01-01,1,15,1,15,16
PUERTO QUIJARRO,internaciones,egresos,2017-01-01,28,41,28,41,69
PUERTO RICO,internaciones,egresos,2017-01-01,7,13,7,13,20
PUERTO SUAREZ,internaciones,egresos,2017-01-01,50,127,50,127,177
PUERTO VILLARROEL,internaciones,egresos,2017-01-01,77,193,77,193,270
PUNA,internaciones,egresos,2017-01-01,0,6,0,6,6
PUNATA,internaciones,egresos,2017-01-01,95,171,95,171,266
QUIABAYA,internaciones,egresos,2017-01-01,0,3,0,3,3
QUILLACOLLO,internaciones,egresos,2017-01-01,34,403,34,403,437
QUIME,internaciones,egresos,2017-01-01,1,5,1,5,6
QUIRUSILLAS,internaciones,egresos,2017-01-01,0,2,0,2,2
RAVELO,internaciones,egresos,2017-01-01,0,1,0,1,1
REYES,internaciones,egresos,2017-01-01,12,39,12,39,51
RIBERALTA,internaciones,egresos,2017-01-01,151,631,151,631,782
ROBORE,internaciones,egresos,2017-01-01,20,70,20,70,90
RURRENABAQUE,internaciones,egresos,2017-01-01,45,77,45,77,122
SACABA,internaciones,egresos,2017-01-01,152,591,152,591,743
SACABAMBA,internaciones,egresos,2017-01-01,3,4,3,4,7
SACACA,internaciones,egresos,2017-01-01,1,17,1,17,18
SAIPINA,internaciones,egresos,2017-01-01,2,7,2,7,9
SALINAS DE GARCI MENDOZA,internaciones,egresos,2017-01-01,1,7,1,7,8
SAMAIPATA,internaciones,egresos,2017-01-01,3,14,3,14,17
SAN ANTONIO DE LOMERIO,internaciones,egresos,2017-01-01,4,14,4,14,18
SAN BENITO,internaciones,egresos,2017-01-01,0,2,0,2,2
SAN BORJA,internaciones,egresos,2017-01-01,39,132,39,132,171
SAN BUENA VENTURA,internaciones,egresos,2017-01-01,22,52,22,52,74
SAN CARLOS,internaciones,egresos,2017-01-01,0,12,0,12,12
SAN IGNACIO,internaciones,egresos,2017-01-01,27,72,27,72,99
SAN IGNACIO DE VELASCO,internaciones,egresos,2017-01-01,106,292,106,292,398
SAN JAVIER(STC),internaciones,egresos,2017-01-01,4,47,4,47,51
SAN JOAQUIN,internaciones,egresos,2017-01-01,10,37,10,37,47
SAN JOSE DE CHIQUITOS,internaciones,egresos,2017-01-01,32,133,32,133,165
SAN JUAN DE YAPACANI,internaciones,egresos,2017-01-01,7,19,7,19,26
SAN JULIAN,internaciones,egresos,2017-01-01,37,125,37,125,162
SAN LORENZO(TJA),internaciones,egresos,2017-01-01,0,8,0,8,8
SAN LUCAS,internaciones,egresos,2017-01-01,7,41,7,41,48
SAN MATIAS,internaciones,egresos,2017-01-01,21,38,21,38,59
SAN MIGUEL DE VELASCO,internaciones,egresos,2017-01-01,12,25,12,25,37
SAN PEDRO,internaciones,egresos,2017-01-01,5,12,5,12,17
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2017-01-01,0,14,0,14,14
SAN PEDRO DE CURAHUARA,internaciones,egresos,2017-01-01,0,1,0,1,1
SAN RAFAEL,internaciones,egresos,2017-01-01,5,16,5,16,21
SAN RAMON BENI,internaciones,egresos,2017-01-01,10,27,10,27,37
SAN RAMON SCZ,internaciones,egresos,2017-01-01,12,29,12,29,41
SANTA ANA,internaciones,egresos,2017-01-01,31,82,31,82,113
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2017-01-01,4243,7912,4243,7912,12155
SANTA ROSA,internaciones,egresos,2017-01-01,12,19,12,19,31
SANTA ROSA DEL SARA,internaciones,egresos,2017-01-01,21,43,21,43,64
SANTIAGO DE HUARI,internaciones,egresos,2017-01-01,0,7,0,7,7
SANTIAGO DE HUATA,internaciones,egresos,2017-01-01,1,1,1,1,2
SANTIAGO DE MACHACA,internaciones,egresos,2017-01-01,0,1,0,1,1
SANTIVAÑES,internaciones,egresos,2017-01-01,0,4,0,4,4
SANTUARIO DE QUILLACAS,internaciones,egresos,2017-01-01,0,1,0,1,1
SAPAHAQUI,internaciones,egresos,2017-01-01,0,4,0,4,4
SENA,internaciones,egresos,2017-01-01,4,10,4,10,14
SHINAOTA,internaciones,egresos,2017-01-01,23,37,23,37,60
SICA SICA (VILLA AROMA),internaciones,egresos,2017-01-01,0,6,0,6,6
SICAYA,internaciones,egresos,2017-01-01,0,3,0,3,3
SIPE SIPE,internaciones,egresos,2017-01-01,0,35,0,35,35
SOPACHUY,internaciones,egresos,2017-01-01,1,8,1,8,9
SORACACHI,internaciones,egresos,2017-01-01,0,2,0,2,2
SORATA,internaciones,egresos,2017-01-01,2,15,2,15,17
SUCRE,internaciones,egresos,2017-01-01,1318,2434,1318,2434,3752
TACACOMA,internaciones,egresos,2017-01-01,0,7,0,7,7
TACOPAYA,internaciones,egresos,2017-01-01,1,8,1,8,9
TAPACARI,internaciones,egresos,2017-01-01,0,2,0,2,2
TARABUCO,internaciones,egresos,2017-01-01,22,40,22,40,62
TARATA,internaciones,egresos,2017-01-01,0,5,0,5,5
TARIJA,internaciones,egresos,2017-01-01,859,1463,859,1463,2322
TARVITA,internaciones,egresos,2017-01-01,11,30,11,30,41
TEOPONTE,internaciones,egresos,2017-01-01,0,14,0,14,14
TIAWANACU,internaciones,egresos,2017-01-01,0,3,0,3,3
TIPUANI,internaciones,egresos,2017-01-01,2,9,2,9,11
TIQUIPAYA,internaciones,egresos,2017-01-01,14,146,14,146,160
TIRAQUE (CBBA),internaciones,egresos,2017-01-01,0,13,0,13,13
TOCO,internaciones,egresos,2017-01-01,0,3,0,3,3
TOLEDO,internaciones,egresos,2017-01-01,0,1,0,1,1
TOMINA,internaciones,egresos,2017-01-01,0,9,0,9,9
TORO TORO,internaciones,egresos,2017-01-01,0,6,0,6,6
TOTORA(CBBA),internaciones,egresos,2017-01-01,4,28,4,28,32
TOTORA(ORR),internaciones,egresos,2017-01-01,0,3,0,3,3
TRIGAL,internaciones,egresos,2017-01-01,4,3,4,3,7
TRINIDAD,internaciones,egresos,2017-01-01,521,1068,521,1068,1589
TUPIZA,internaciones,egresos,2017-01-01,25,263,25,263,288
UMALA,internaciones,egresos,2017-01-01,0,1,0,1,1
UNCIA,internaciones,egresos,2017-01-01,0,10,0,10,10
URUBICHA,internaciones,egresos,2017-01-01,11,18,11,18,29
UYUNI,internaciones,egresos,2017-01-01,55,107,55,107,162
VACAS,internaciones,egresos,2017-01-01,0,2,0,2,2
VALLEGRANDE,internaciones,egresos,2017-01-01,58,127,58,127,185
VIACHA,internaciones,egresos,2017-01-01,66,108,66,108,174
VILA VILA,internaciones,egresos,2017-01-01,0,3,0,3,3
VILLA CHARCAS,internaciones,egresos,2017-01-01,3,17,3,17,20
VILLA MONTES,internaciones,egresos,2017-01-01,64,168,64,168,232
VILLA RIVERO,internaciones,egresos,2017-01-01,0,2,0,2,2
VILLA TUNARI,internaciones,egresos,2017-01-01,52,194,52,194,246
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2017-01-01,10,18,10,18,28
VILLAZON,internaciones,egresos,2017-01-01,52,179,52,179,231
VINTO,internaciones,egresos,2017-01-01,38,93,38,93,131
WARNES,internaciones,egresos,2017-01-01,31,83,31,83,114
YACUIBA,internaciones,egresos,2017-01-01,310,638,310,638,948
YAMPARAEZ,internaciones,egresos,2017-01-01,0,4,0,4,4
YANACACHI,internaciones,egresos,2017-01-01,0,1,0,1,1
YAPACANI,internaciones,egresos,2017-01-01,74,170,74,170,244
YOTALA,internaciones,egresos,2017-01-01,3,15,3,15,18
ZUDAÑEZ,internaciones,egresos,2017-01-01,3,24,3,24,27
ACACIO,internaciones,egresos,2017-02-01,2,1,2,1,3
ACHACACHI,internaciones,egresos,2017-02-01,10,61,10,61,71
ACHOCALLA,internaciones,egresos,2017-02-01,0,4,0,4,4
AIQUILE,internaciones,egresos,2017-02-01,23,49,23,49,72
ALTO BENI,internaciones,egresos,2017-02-01,0,12,0,12,12
ANCORAIMES,internaciones,egresos,2017-02-01,0,2,0,2,2
ANTEQUERA,internaciones,egresos,2017-02-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2017-02-01,20,4,20,4,24
APOLO,internaciones,egresos,2017-02-01,4,13,4,13,17
ARANI,internaciones,egresos,2017-02-01,0,13,0,13,13
ARBIETO,internaciones,egresos,2017-02-01,0,1,0,1,1
ARQUE,internaciones,egresos,2017-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,egresos,2017-02-01,62,137,62,137,199
ATOCHA,internaciones,egresos,2017-02-01,72,88,72,88,160
AYATA,internaciones,egresos,2017-02-01,0,3,0,3,3
AYO AYO,internaciones,egresos,2017-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2017-02-01,7,35,7,35,42
AZURDUY,internaciones,egresos,2017-02-01,5,17,5,17,22
BATALLAS,internaciones,egresos,2017-02-01,0,5,0,5,5
BAURES,internaciones,egresos,2017-02-01,6,13,6,13,19
BELLA FLOR,internaciones,egresos,2017-02-01,0,6,0,6,6
BERMEJO,internaciones,egresos,2017-02-01,80,163,80,163,243
BETANZOS,internaciones,egresos,2017-02-01,1,11,1,11,12
BOYUIBE,internaciones,egresos,2017-02-01,8,19,8,19,27
BUENA VISTA,internaciones,egresos,2017-02-01,12,10,12,10,22
CABEZAS,internaciones,egresos,2017-02-01,4,13,4,13,17
CAIROMA,internaciones,egresos,2017-02-01,0,3,0,3,3
"CAIZA ""D""",internaciones,egresos,2017-02-01,0,1,0,1,1
CAJUATA,internaciones,egresos,2017-02-01,0,10,0,10,10
CALAMARCA,internaciones,egresos,2017-02-01,0,7,0,7,7
CAMARGO,internaciones,egresos,2017-02-01,44,58,44,58,102
CAMIRI,internaciones,egresos,2017-02-01,154,412,154,412,566
CAPINOTA,internaciones,egresos,2017-02-01,6,35,6,35,41
CAQUIAVIRI,internaciones,egresos,2017-02-01,0,1,0,1,1
CARACOLLO,internaciones,egresos,2017-02-01,34,7,34,7,41
CARANAVI,internaciones,egresos,2017-02-01,44,187,44,187,231
CARIPUYO,internaciones,egresos,2017-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,egresos,2017-02-01,6,23,6,23,29
CHALLAPATA,internaciones,egresos,2017-02-01,9,81,9,81,90
CHARAGUA,internaciones,egresos,2017-02-01,32,90,32,90,122
CHAYANTA,internaciones,egresos,2017-02-01,0,3,0,3,3
CHIMORE,internaciones,egresos,2017-02-01,2,18,2,18,20
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2017-02-01,34,60,34,60,94
CHUMA,internaciones,egresos,2017-02-01,2,9,2,9,11
CKOCHAS,internaciones,egresos,2017-02-01,0,2,0,2,2
CLIZA,internaciones,egresos,2017-02-01,15,66,15,66,81
COBIJA,internaciones,egresos,2017-02-01,164,428,164,428,592
COCAPATA,internaciones,egresos,2017-02-01,1,2,1,2,3
COCHABAMBA,internaciones,egresos,2017-02-01,2672,4664,2672,4664,7336
COLCAPIRHUA,internaciones,egresos,2017-02-01,20,105,20,105,125
"COLCHA ""K""",internaciones,egresos,2017-02-01,2,1,2,1,3
COLLANA,internaciones,egresos,2017-02-01,0,3,0,3,3
COLOMI,internaciones,egresos,2017-02-01,0,19,0,19,19
COLPA BELGICA,internaciones,egresos,2017-02-01,7,14,7,14,21
COLQUECHACA,internaciones,egresos,2017-02-01,1,7,1,7,8
COLQUENCHA,internaciones,egresos,2017-02-01,0,9,0,9,9
COLQUIRI,internaciones,egresos,2017-02-01,0,4,0,4,4
COMARAPA,internaciones,egresos,2017-02-01,7,42,7,42,49
CONCEPCION,internaciones,egresos,2017-02-01,10,59,10,59,69
COPACABANA,internaciones,egresos,2017-02-01,0,9,0,9,9
CORIPATA,internaciones,egresos,2017-02-01,0,6,0,6,6
CORO CORO,internaciones,egresos,2017-02-01,0,1,0,1,1
COROICO,internaciones,egresos,2017-02-01,23,60,23,60,83
COTAGAITA,internaciones,egresos,2017-02-01,2,15,2,15,17
COTOCA,internaciones,egresos,2017-02-01,16,62,16,62,78
CUEVO,internaciones,egresos,2017-02-01,0,1,0,1,1
CULPINA,internaciones,egresos,2017-02-01,13,46,13,46,59
DESAGUADERO,internaciones,egresos,2017-02-01,0,8,0,8,8
EL ALTO,internaciones,egresos,2017-02-01,831,2565,831,2565,3396
EL PUENTE(STC),internaciones,egresos,2017-02-01,12,25,12,25,37
EL TORNO,internaciones,egresos,2017-02-01,235,378,235,378,613
EL VILLAR,internaciones,egresos,2017-02-01,0,2,0,2,2
ENTRE RIOS TRJ,internaciones,egresos,2017-02-01,7,26,7,26,33
ENTRE RIOS CBBA,internaciones,egresos,2017-02-01,4,55,4,55,59
ESCOMA,internaciones,egresos,2017-02-01,0,11,0,11,11
EUCALIPTUS,internaciones,egresos,2017-02-01,0,2,0,2,2
EXALTACION,internaciones,egresos,2017-02-01,0,1,0,1,1
FERNANDEZ ALONSO,internaciones,egresos,2017-02-01,8,19,8,19,27
FILADELFIA,internaciones,egresos,2017-02-01,5,5,5,5,10
GENERAL SAAVEDRA,internaciones,egresos,2017-02-01,5,19,5,19,24
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2017-02-01,0,3,0,3,3
GUANAY,internaciones,egresos,2017-02-01,15,39,15,39,54
GUAQUI,internaciones,egresos,2017-02-01,0,1,0,1,1
GUAYARAMERIN,internaciones,egresos,2017-02-01,126,312,126,312,438
GUTIERREZ,internaciones,egresos,2017-02-01,18,35,18,35,53
HUACARETA,internaciones,egresos,2017-02-01,9,18,9,18,27
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2017-02-01,2,1,2,1,3
HUACHACALLA,internaciones,egresos,2017-02-01,0,1,0,1,1
HUANUNI,internaciones,egresos,2017-02-01,48,67,48,67,115
HUARACAJE,internaciones,egresos,2017-02-01,3,10,3,10,13
HUARINA,internaciones,egresos,2017-02-01,1,0,1,0,1
HUAYLLAMARCA,internaciones,egresos,2017-02-01,1,0,1,0,1
ICLA,internaciones,egresos,2017-02-01,0,6,0,6,6
INCAHUASI,internaciones,egresos,2017-02-01,1,7,1,7,8
IRUPANA (VILLA DE LANZA),internaciones,egresos,2017-02-01,13,26,13,26,39
IXIAMAS,internaciones,egresos,2017-02-01,4,26,4,26,30
JESUS DE MACHACA,internaciones,egresos,2017-02-01,0,6,0,6,6
LA ASUNTA,internaciones,egresos,2017-02-01,8,56,8,56,64
LA GUARDIA,internaciones,egresos,2017-02-01,38,92,38,92,130
LA PAZ,internaciones,egresos,2017-02-01,1929,3397,1929,3397,5326
LAJA,internaciones,egresos,2017-02-01,0,5,0,5,5
LICOMA PAMPA,internaciones,egresos,2017-02-01,0,2,0,2,2
LLALLAGUA,internaciones,egresos,2017-02-01,68,181,68,181,249
MACHARETI,internaciones,egresos,2017-02-01,1,8,1,8,9
MAGDALENA,internaciones,egresos,2017-02-01,35,50,35,50,85
MAIRANA,internaciones,egresos,2017-02-01,5,53,5,53,58
MAPIRI,internaciones,egresos,2017-02-01,6,25,6,25,31
MECAPACA,internaciones,egresos,2017-02-01,0,4,0,4,4
MINEROS,internaciones,egresos,2017-02-01,2,17,2,17,19
MIZQUE,internaciones,egresos,2017-02-01,7,56,7,56,63
MOCOMOCO,internaciones,egresos,2017-02-01,0,2,0,2,2
MOJOCOYA,internaciones,egresos,2017-02-01,0,7,0,7,7
MONTEAGUDO,internaciones,egresos,2017-02-01,89,146,89,146,235
MONTERO,internaciones,egresos,2017-02-01,340,801,340,801,1141
MORO MORO,internaciones,egresos,2017-02-01,0,1,0,1,1
MOROCHATA,internaciones,egresos,2017-02-01,1,7,1,7,8
OCURI,internaciones,egresos,2017-02-01,0,1,0,1,1
OKINAWA,internaciones,egresos,2017-02-01,2,5,2,5,7
OMEREQUE,internaciones,egresos,2017-02-01,8,13,8,13,21
ORURO,internaciones,egresos,2017-02-01,1068,2032,1068,2032,3100
PADILLA,internaciones,egresos,2017-02-01,28,46,28,46,74
PAILON,internaciones,egresos,2017-02-01,27,104,27,104,131
PALCA,internaciones,egresos,2017-02-01,0,3,0,3,3
PALOS BLANCOS,internaciones,egresos,2017-02-01,14,41,14,41,55
PAMPA GRANDE,internaciones,egresos,2017-02-01,3,8,3,8,11
PASORAPA,internaciones,egresos,2017-02-01,1,3,1,3,4
PATACAMAYA,internaciones,egresos,2017-02-01,3,31,3,31,34
PELECHUCO,internaciones,egresos,2017-02-01,0,1,0,1,1
POCOATA,internaciones,egresos,2017-02-01,2,8,2,8,10
POCONA,internaciones,egresos,2017-02-01,1,3,1,3,4
POJO (CBBA),internaciones,egresos,2017-02-01,0,16,0,16,16
POROMA,internaciones,egresos,2017-02-01,0,3,0,3,3
PORTACHUELO,internaciones,egresos,2017-02-01,55,142,55,142,197
PORVENIR,internaciones,egresos,2017-02-01,3,6,3,6,9
POSTRER VALLE,internaciones,egresos,2017-02-01,2,2,2,2,4
