municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,14,29
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,4,8
CHOQUE COTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,4,5
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,27,27,20,47
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,11,22
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,60,60,48,108
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,33,33,32,65
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2036,2036,1757,3793
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,199,199,231,430
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,5,9
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,1,3
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,129,129,98,227
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,13,19
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,31,31,34,65
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,12,18
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,171,171,158,329
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,3,13
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,27,27,26,53
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,6,11
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,25,25,20,45
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,20,20,27,47
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,39,39,25,64
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,4,8
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,62,62,62,124
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,20,20,13,33
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,43,43,46,89
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,81,81,57,138
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,50,50,48,98
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,0,2
CUEVO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,3,4
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,289,289,249,538
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,3,3,4,7
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,5,11
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,8,16
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2271,2271,2152,4423
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,3,3,1,4
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,110,110,107,217
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,14,25
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,59,59,48,107
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,87,87,70,157
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,109,109,110,219
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,13,13,19,32
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,6,12
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,2,6
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,1,1
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,15,30
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,22,22,22,44
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,77,77,67,144
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,17,26
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,19,19,22,41
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,5,14
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,86,86,75,161
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,118,118,142,260
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,142,142,114,256
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,56,56,42,98
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,0,5
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,206,206,182,388
HUARACAJE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,3,5
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,24,24,19,43
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,38,38,31,69
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,195,195,186,381
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,328,328,294,622
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,1,1
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,168,168,193,361
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,8,19
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,1,11
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,5,11
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,43,43,49,92
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,240,240,220,460
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1401,1401,1213,2614
LA RIVERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,1,1
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,12,20
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,15,26
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,63,63,62,125
LICOMA PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,38,38,26,64
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,62,62,56,118
LLICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,3,8
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,41,41,42,83
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,6,14
MACHACAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,3,3
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,89,89,95,184
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,7,16
MAIRANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,7,18
MALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,3,3,1,4
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,6,21
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,16,16,15,31
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,25,25,23,48
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,60,60,110,170
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,12,23
MOJINETE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,1,3
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,110,110,88,198
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,342,342,346,688
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,114,114,90,204
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,3,3,1,4
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,112,112,106,218
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,19,19,6,25
OCURI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,20,31
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,111,111,131,242
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,4,13
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,761,761,790,1551
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,29,29,24,53
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,170,170,177,347
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,10,14
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,20,31
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,50,50,35,85
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,1,7
PAMPA GRANDE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,9,15
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,5,13
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,1,5
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,39,39,50,89
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,2,9
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,3,13
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,12,12,22,34
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,54,54,38,92
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,19,30
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,28,28,34,62
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,12,21
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,104,104,115,219
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,15,30
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,102,102,79,181
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,7,12
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,1,2
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,456,456,404,860
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,121,121,97,218
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,1,1
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,35,35,40,75
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,45,45,38,83
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,19,19,15,34
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,3,4
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,18,18,8,26
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,25,25,21,46
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,13,23
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,10,21
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,23,23,29,52
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,79,79,74,153
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,41,41,40,81
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,163,163,183,346
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,2,3
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,622,622,459,1081
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,109,109,120,229
QUIRUSILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,2,2
RAVELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,14,29
REYES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,13,13,18,31
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,145,145,127,272
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,43,43,45,88
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,20,20,20,40
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,5,12
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,624,624,504,1128
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,35,35,22,57
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,16,16,12,28
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,14,14,3,17
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,14,14,4,18
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,2,10
SAN AGUSTIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,1,2
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,55,55,57,112
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,3,8
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,0,0,3,3
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,8,8,4,12
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,31,31,36,67
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,62,62,58,120
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,7,12
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,22,22,23,45
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,48,48,34,82
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,50,50,48,98
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,4,15
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,22,22,15,37
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,17,24
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,13,28
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,76,76,89,165
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,5,12
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,27,27,27,54
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,493,493,495,988
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,15,30
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,6,15
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,1,7
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,25,25,34,59
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,20,20,17,37
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,5,11
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,1,2
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,16,16,9,25
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,8,15
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,42,42,39,81
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,8,12
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,40,40,26,66
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,3448,3448,2915,6363
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,11,21
