municipality,group,variable,month,Controles repetidos en niños de 2 años de < 5 NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,62,62,69,131
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,22,22,20,42
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,131,131,128,259
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,34,34,37,71
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,20,20,26,46
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1,1,0,1
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,19,19,14,33
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,57,57,68,125
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,19,19,27,46
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,366,366,373,739
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,97,97,95,192
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,20,20,16,36
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,32,32,49,81
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,169,169,177,346
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,74,74,51,125
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,72,72,119,191
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,57,57,52,109
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,33,33,47,80
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,17,17,11,28
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,146,146,135,281
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,166,166,172,338
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,58,58,53,111
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,24,24,15,39
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,20,20,31,51
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,199,199,231,430
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,69,69,73,142
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,128,128,109,237
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,19,19,13,32
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,3,3,9,12
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,52,52,50,102
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,45,45,55,100
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,185,185,233,418
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,14,14,19,33
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,109,109,122,231
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,35,35,27,62
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,10,10,13,23
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,8,13
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,16,16,12,28
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,58,58,56,114
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,59,59,46,105
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,193,193,189,382
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1284,1284,889,2173
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,69,69,67,136
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,40,40,61,101
COLLANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,9,9,7,16
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,19,19,17,36
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,57,57,43,100
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,271,271,237,508
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,84,84,51,135
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,2,2,2,4
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,115,115,91,206
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,33,33,32,65
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,69,69,85,154
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,53,53,38,91
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,48,48,47,95
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,15,15,19,34
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,7,7,7,14
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,192,192,186,378
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,157,157,107,264
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,51,51,57,108
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,17,17,7,24
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,39,39,35,74
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,22,22,16,38
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,17,17,11,28
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,47,47,32,79
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1488,1488,1444,2932
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,9,9,16,25
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,100,100,74,174
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,110,110,118,228
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,157,157,136,293
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,123,123,129,252
ESCARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,0,0,2,2
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,40,40,44,84
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,34,34,33,67
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,19,19,9,28
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,141,141,130,271
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,15,15,15,30
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,98,98,108,206
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,60,60,55,115
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,48,48,39,87
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,24,24,18,42
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,210,210,220,430
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,209,209,204,413
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,4,4,3,7
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,40,40,28,68
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,23,23,28,51
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,6,6,9,15
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,13,13,5,18
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,136,136,138,274
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,70,70,44,114
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,37,37,50,87
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,48,48,35,83
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,206,206,185,391
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1489,1489,1448,2937
LA RIVERA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,0,0,1,1
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,68,68,77,145
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,56,56,53,109
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,259,259,287,546
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,17,17,14,31
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,3,3,3,6
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,74,74,59,133
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,9,9,14,23
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,55,55,46,101
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,39,39,39,78
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,52,52,42,94
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,65,65,50,115
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,29,29,36,65
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,126,126,132,258
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,107,107,131,238
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,72,72,64,136
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,4,9
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,573,573,607,1180
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,43,43,23,66
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,45,45,33,78
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,24,24,13,37
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,7,7,1,8
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,15,15,21,36
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,215,215,220,435
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,30,30,29,59
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,46,46,41,87
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,565,565,590,1155
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,131,131,134,265
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,41,41,53,94
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,20,20,10,30
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,174,174,162,336
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,14,14,15,29
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,51,51,57,108
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,6,6,13,19
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,48,48,34,82
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,66,66,61,127
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,22,22,12,34
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,21,21,15,36
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,149,149,161,310
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,23,23,12,35
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,33,33,36,69
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,12,12,6,18
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,13,13,14,27
POROMA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,55,55,32,87
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,39,39,24,63
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,103,103,92,195
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,25,25,25,50
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,10,10,10,20
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,554,554,533,1087
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,6,6,1,7
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,75,75,101,176
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,88,88,75,163
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,102,102,128,230
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,24,24,23,47
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,66,66,69,135
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,46,46,32,78
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,6,6,15,21
PUERTO SILES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,2,2,1,3
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,34,34,33,67
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,92,92,136,228
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,240,240,208,448
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,44,44,49,93
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,6,6,4,10
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,114,114,107,221
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,7,7,5,12
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,140,140,132,272
REYES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,89,89,85,174
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,368,368,378,746
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,75,75,59,134
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,53,53,43,96
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,3,3,4,7
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,156,156,155,311
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,9,14
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,207,207,177,384
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,51,51,42,93
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,46,46,66,112
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,59,59,51,110
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,17,17,12,29
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,75,75,70,145
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,15,15,14,29
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,4,4,4,8
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,123,123,133,256
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,59,59,52,111
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,175,175,154,329
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,43,43,47,90
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,119,119,115,234
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,149,149,120,269
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,470,470,453,923
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,14,14,17,31
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,98,98,157,255
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,41,41,52,93
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,90,90,64,154
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,89,89,75,164
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,83,83,91,174
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,38,38,26,64
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,154,154,168,322
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,57,57,52,109
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,44,44,47,91
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,18,18,10,28
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,133,133,111,244
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,108,108,100,208
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,42,42,47,89
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1,1,1,2
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,18,18,18,36
SAN PEDRO(PND),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,0,0,1,1
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,59,59,54,113
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,3,8
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,58,58,46,104
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,112,112,73,185
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,2160,2160,2001,4161
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,25,25,46,71
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,99,99,100,199
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,24,24,15,39
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,42,42,50,92
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,11,11,12,23
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,58,58,41,99
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,4,9
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,68,68,65,133
SENA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,77,77,67,144
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,139,139,145,284
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,9,9,11,20
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,50,50,49,99
