municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
COLQUENCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,51,51,54,105
COMANCHE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3,3,6,9
COMARAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,165,165,164,329
CONCEPCION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,76,76,76,152
COPACABANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,98,98,88,186
CORIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,113,113,83,196
CORO CORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,50,50,47,97
COROICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,39,39,20,59
CORQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,14,14,10,24
COTAGAITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,223,223,213,436
COTOCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,307,307,280,587
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,77,77,65,142
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,20,20,6,26
CUEVO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,30,30,49,79
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,31,31,29,60
CURVA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,18,18,11,29
DESAGUADERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,29,29,33,62
EL ALTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3156,3156,2707,5863
EL CHORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,16,16,10,26
EL PUENTE(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,64,64,49,113
EL TORNO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,190,190,185,375
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,209,209,151,360
ENTRE RIOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,132,132,144,276
ESCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,0,0,1,1
EUCALIPTUS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,52,52,36,88
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,12,12,25,37
EXALTACION,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,15,15,16,31
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,175,175,157,332
FILADELFIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,15,15,17,32
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,116,116,102,218
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,60,60,67,127
GUANAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,89,89,64,153
GUAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,40,40,32,72
GUAYARAMERIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,367,367,391,758
GUTIERREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,118,118,140,258
HUACHACALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,5,5,3,8
HUANUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,29,29,24,53
HUARACAJE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,32,32,39,71
HUAYLLAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,17,17,10,27
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,1,1,3,4
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,144,144,127,271
IXIAMAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,93,93,63,156
JESUS DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,68,68,70,138
LA ASUNTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,49,49,55,104
LA GUARDIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,325,325,302,627
LA PAZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3013,3013,2896,5909
LAGUNILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,70,70,64,134
LAJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,99,99,104,203
LLALLAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,219,219,223,442
LLICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,13,13,18,31
LORETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,1,1,0,1
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,100,100,77,177
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,18,18,22,40
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,91,91,89,180
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,71,71,100,171
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,29,29,33,62
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,140,140,101,241
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,70,70,56,126
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,249,249,186,435
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,134,134,109,243
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,51,51,54,105
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,6,6,7,13
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,908,908,820,1728
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,29,29,18,47
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,49,49,47,96
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,16,16,9,25
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,10,10,10,20
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,182,182,205,387
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,37,37,35,72
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,61,61,76,137
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,1024,1024,944,1968
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,131,131,134,265
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,81,81,51,132
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,54,54,45,99
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,262,262,258,520
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,16,16,15,31
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,73,73,60,133
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,4,4,13,17
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,41,41,47,88
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,151,151,149,300
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,38,38,33,71
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,18,18,28,46
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,132,132,147,279
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,32,32,39,71
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,47,47,53,100
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,4,4,6,10
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,48,48,35,83
POROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,28,28,13,41
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,50,50,48,98
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,144,144,115,259
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,34,34,29,63
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,13,13,23,36
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,1064,1064,990,2054
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,11,11,4,15
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,140,140,132,272
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,77,77,81,158
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,140,140,116,256
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,31,31,24,55
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,54,54,50,104
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,90,90,107,197
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,49,49,37,86
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,91,91,87,178
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,143,143,150,293
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,215,215,200,415
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,108,108,120,228
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,4,4,3,7
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,267,267,266,533
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,11,11,9,20
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,142,142,115,257
REYES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,140,140,140,280
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,822,822,792,1614
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,83,83,75,158
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,138,138,122,260
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,19,19,8,27
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,247,247,218,465
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,14,14,12,26
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,163,163,147,310
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,57,57,66,123
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,49,49,47,96
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,94,94,82,176
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,15,15,14,29
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,66,66,54,120
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,20,20,20,40
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,9,9,8,17
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,111,111,113,224
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,67,67,63,130
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,286,286,287,573
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,78,78,78,156
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,236,236,203,439
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,190,190,156,346
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,627,627,585,1212
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,12,12,22,34
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,90,90,95,185
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,5,5,4,9
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,97,97,93,190
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,134,134,108,242
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,119,119,115,234
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,41,41,36,77
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,165,165,170,335
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,72,72,75,147
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,96,96,88,184
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,14,14,13,27
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,142,142,140,282
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,107,107,90,197
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,34,34,35,69
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,0,0,2,2
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,28,28,33,61
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,62,62,59,121
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,5,5,7,12
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,66,66,75,141
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,194,194,158,352
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3487,3487,3169,6656
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,65,65,80,145
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,111,111,105,216
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,20,20,30,50
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,45,45,54,99
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,21,21,8,29
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,60,60,53,113
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,13,13,10,23
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,81,81,61,142
SENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,51,51,64,115
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,159,159,145,304
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,27,27,12,39
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,138,138,103,241
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,23,23,29,52
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,97,97,81,178
TACACOMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,32,32,27,59
TACOBAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,50,50,46,96
TACOPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,55,55,71,126
TAHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,7,7,4,11
TAPACARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,137,137,154,291
TARACO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,15,15,19,34
TARATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,44,44,34,78
TARIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,881,881,840,1721
TEOPONTE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,70,70,77,147
TIAWANACU,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,77,77,61,138
