municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,198,198,176,374
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,58,58,42,100
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,34,34,27,61
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,18,18,10,28
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,14,14,15,29
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,17,17,14,31
CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,3,4
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,25,25,34,59
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,10,17
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,60,60,73,133
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,8,12
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,14,14,10,24
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,9,16
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,3,8
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,13,13,9,22
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,14,18
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,858,858,834,1692
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,228,228,183,411
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,8,9
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,67,67,86,153
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,2,6
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,133,133,128,261
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,3,4
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,11,11,8,19
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,2,10
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,7,13
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,4,11
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,5,9
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,60,60,52,112
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,35,35,22,57
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,3,13
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,14,14,10,24
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,57,57,62,119
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,243,243,266,509
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,0,2
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1226,1226,1135,2361
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,61,61,79,140
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,13,13,9,22
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,43,43,38,81
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,104,104,93,197
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,78,78,80,158
ESCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,8,13
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,23,23,43,66
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,137,137,118,255
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,5,12
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,15,15,12,27
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,27,27,27,54
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,135,135,158,293
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,135,135,139,274
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,58,58,62,120
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,4,6
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,69,69,52,121
HUARACAJE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,8,20
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,10,18
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,34,34,42,76
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,273,273,263,536
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,258,258,321,579
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,126,126,159,285
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,6,16
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,2,3
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,9,9,7,16
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,69,69,59,128
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,761,761,662,1423
LA RIVERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,72,72,76,148
LICOMA PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,83,83,87,170
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,3,5
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,21,21,40,61
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,3,9
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,111,111,140,251
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
MALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,2,2
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,1,6
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,5,17
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,14,26
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,49,49,36,85
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,6,16
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,133,133,119,252
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,316,316,305,621
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,71,71,71,142
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,2,3
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,65,65,73,138
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,15,15,8,23
OCURI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,2,5
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,78,78,67,145
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,9,15
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,222,222,218,440
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,25,25,18,43
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,227,227,227,454
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,3,11
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,5,7
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,0,2
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,8,13
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,1,3
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,29,29,24,53
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,8,18
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,16,16,16,32
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,5,12
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,115,115,96,211
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,71,71,45,116
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,3,3
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,168,168,171,339
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,140,140,139,279
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,5,12
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,4,16
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,41,41,46,87
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,5,8
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,5,7
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,18,28
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,7,10
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,41,41,39,80
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,6,14
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,38,38,46,84
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,190,190,183,373
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,107,107,105,212
REYES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,41,41,38,79
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,17,17,13,30
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,4,6
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,1,5
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,188,188,199,387
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,17,17,14,31
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,33,33,44,77
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,3,5
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,63,63,69,132
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,6,7
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,29,29,36,65
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,112,112,62,174
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,28,28,46,74
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,40,40,27,67
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,4,9
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,11,12
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,99,99,114,213
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,8,12
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,484,484,549,1033
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,5,15
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,2,7
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,4,10
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,12,24
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,1,3
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,13,13,17,30
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,1,4
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,31,31,21,52
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,5,5
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2196,2196,1871,4067
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,4,6
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,8,8,14,22
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,0,2
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,4,11
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
SICAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,2,5
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,108,108,78,186
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,175,175,197,372
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,5,5
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,10,10,9,19
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,847,847,919,1766
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,1,2
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,4,4,8,12
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,23,23,22,45
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,525,525,548,1073
TARACO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,2,4
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,254,254,241,495
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,301,301,336,637
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,60,60,62,122
TIPUANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,4,5
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,48,48,28,76
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,181,181,176,357
TOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,3,5
TODOS SANTOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,1,1
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,13,13,4,17
TOLEDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,6,7
TOMAVE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,12,12,6,18
TOMINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,167,167,198,365
TOTORA(CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,9,9,7,16
TOTORA(ORR),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,10,12
