municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,681,681
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,281,281
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,496,496
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,5309,5309
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,279,279
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,53620,53620
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,6448,6448
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,527,527
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,496,496
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,192,192
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,434,434
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,92,92
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,340,340
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1829,1829
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,277,277
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,23928,23928
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1023,1023
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,682,682
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,150,150
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,150,150
GIA-TIM,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1736,1736
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,614,614
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,279,279
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1736,1736
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,527,527
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,465,465
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,288,288
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2635,2635
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,85837,85837
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,21,21
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,24,24
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,217,217
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,868,868
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,3,3
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2356,2356
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,8304,8304
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1333,1333
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,26661,26661
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,194,194
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,92,92
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,92,92
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,125,125
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,682,682
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,341,341
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,279,279
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,61,61
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1024,1024
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2542,2542
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,120,120
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,16095,16095
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,527,527
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,465,465
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,114,114
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,859,859
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,205,205
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2468,2468
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,558,558
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,3224,3224
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,4402,4402
QUIME,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,30,30
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,713,713
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,3782,3782
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1142,1142
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,620,620
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,4836,4836
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,402,402
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,278,278
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,100,100
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,768,768
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1085,1085
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2821,2821
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,341,341
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,240,240
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1081,1081
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,29,29
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2492,2492
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1209,1209
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,559,559
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,434,434
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,651,651
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,65841,65841
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,317,317
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,279,279
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,279,279
SENA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,75,75
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,896,896
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
SORACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1,1
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,38316,38316
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,341,341
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,682,682
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,17400,17400
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1149,1149
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,589,589
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,744,744
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,6654,6654
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2883,2883
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
URUBICHA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1440,1440
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1079,1079
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1929,1929
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,217,217
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,403,403
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1302,1302
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,122,122
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,4165,4165
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1581,1581
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1612,1612
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1477,1477
YACO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,64,64
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,9030,9030
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1100,1100
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,248,248
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,551,551
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,725,725
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,279,279
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,261,261
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,118,118
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,323,323
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1972,1972
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1089,1089
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,609,609
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,725,725
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,2196,2196
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,551,551
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,464,464
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,418,418
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,341,341
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,203,203
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,288,288
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1160,1160
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1221,1221
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,609,609
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,841,841
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,522,522
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,59,59
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,381,381
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1770,1770
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,205,205
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,140,140
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,603,603
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,116,116
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,754,754
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,204,204
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,522,522
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,4892,4892
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,232,232
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,48923,48923
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,5969,5969
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,526,526
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,464,464
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,29,29
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,180,180
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,406,406
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1023,1023
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,87,87
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,928,928
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,406,406
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,203,203
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,1740,1740
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,464,464
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,145,145
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,232,232
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,348,348
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,261,261
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,58,58
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,21720,21720
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,174,174
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,986,986
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-02-01,232,232
