municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4,4
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,198,198
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,167,167
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,8,8
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,62,62
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,141,141
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2399,2399
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,30067,30067
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3823,3823
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,6,6
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,24,24
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,6,6
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,204,204
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,244,244
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1258,1258
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,42,42
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,16444,16444
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,105,105
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,488,488
EL VILLAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,7,7
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,94,94
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,313,313
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,40,40
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,24,24
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,44,44
GIA-TIM,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4,4
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,90,90
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,826,826
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,72,72
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,39,39
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,63,63
HUACHACALLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,534,534
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,15,15
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,67,67
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,12,12
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,75,75
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,942,942
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,50180,50180
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,9,9
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,715,715
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,7,7
LURIBAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,19,19
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,127,127
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,110,110
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,106,106
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,172,172
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,627,627
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4312,4312
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,44,44
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,14644,14644
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,295,295
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,185,185
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,233,233
PAMPA AULLAGAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,19,19
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,123,123
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4,4
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,47,47
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,102,102
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,517,517
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,8562,8562
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,29,29
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,8,8
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,10,10
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,344,344
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,73,73
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,343,343
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1159,1159
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,958,958
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1413,1413
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,6,6
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
RAVELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,84,84
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2578,2578
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,458,458
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,438,438
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,26,26
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1910,1910
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
SACACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,32,32
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,30,30
SAN ANDRES,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,24,24
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,430,430
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,96,96
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,266,266
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1037,1037
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,57,57
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,43,43
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,283,283
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1061,1061
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,126,126
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,95,95
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,49,49
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,78,78
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,55,55
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,26,26
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,95,95
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,83,83
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,68091,68091
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,117,117
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,86,86
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
SENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,15,15
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,164,164
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,30,30
SORACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,24583,24583
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,6,6
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,10,10
TAPACARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,210,210
TARATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,10660,10660
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,59,59
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,11,11
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,329,329
TOMINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,8,8
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,31,31
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,12,12
TRIGAL,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4352,4352
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,588,588
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,3,3
URUBICHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,31,31
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,529,529
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,702,702
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,446,446
VILA VILA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4,4
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,594,594
VILLA RIVERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,4,4
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2127,2127
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,16,16
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,555,555
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,588,588
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,618,618
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2274,2274
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,702,702
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,15,15
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,93,93
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,135,135
ALCALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,12,12
ANTEQUERA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,47,47
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,604,604
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,240,240
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,11,11
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,35,35
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,51,51
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,790,790
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,7,7
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,16,16
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,30,30
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,250,250
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,31,31
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,273,273
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,355,355
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,85,85
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,5,5
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,582,582
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,25,25
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,313,313
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,189,189
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,139,139
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,132,132
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,58,58
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,128,128
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2263,2263
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,27765,27765
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3361,3361
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,13,13
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,12,12
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,138,138
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,123,123
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,205,205
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1141,1141
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,163,163
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,15,15
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,15753,15753
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,100,100
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,463,463
EL VILLAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,6,6
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,74,74
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,341,341
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,35,35
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,13,13
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,45,45
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,84,84
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,844,844
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,66,66
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,35,35
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,54,54
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,6,6
HUACHACALLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,451,451
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,22,22
INCAHUASI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,50,50
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,12,12
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,819,819
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,47326,47326
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,7,7
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,615,615
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,10,10
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,107,107
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,80,80
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,98,98
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,154,154
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,682,682
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3450,3450
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,0,0
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,37,37
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,12736,12736
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,184,184
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,223,223
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,158,158
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,33,33
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,29,29
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,130,130
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,35,35
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,14,14
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,90,90
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,324,324
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,8048,8048
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,34,34
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,42,42
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,6,6
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,263,263
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,28,28
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,326,326
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1250,1250
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,786,786
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1717,1717
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,11,11
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,220,220
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2627,2627
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,392,392
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,328,328
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,22,22
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1959,1959
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,11,11
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,24,24
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,6,6
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,32,32
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,45,45
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,488,488
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,279,279
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,229,229
