,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
COCHABAMBA,internaciones,ingresos espontaneos,2019-01-01,3103,5429,3103,5429,8532
COLCAPIRHUA,internaciones,ingresos espontaneos,2019-01-01,37,135,37,135,172
"COLCHA ""K""",internaciones,ingresos espontaneos,2019-01-01,1,0,1,0,1
COLLANA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
COLOMI,internaciones,ingresos espontaneos,2019-01-01,0,25,0,25,25
COLPA BELGICA,internaciones,ingresos espontaneos,2019-01-01,10,17,10,17,27
COLQUECHACA,internaciones,ingresos espontaneos,2019-01-01,1,19,1,19,20
COLQUENCHA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
COLQUIRI,internaciones,ingresos espontaneos,2019-01-01,3,5,3,5,8
COMARAPA,internaciones,ingresos espontaneos,2019-01-01,5,57,5,57,62
CONCEPCION,internaciones,ingresos espontaneos,2019-01-01,20,67,20,67,87
COPACABANA,internaciones,ingresos espontaneos,2019-01-01,0,13,0,13,13
CORIPATA,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
CORO CORO,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
COROICO,internaciones,ingresos espontaneos,2019-01-01,17,52,17,52,69
CORQUE,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
COTAGAITA,internaciones,ingresos espontaneos,2019-01-01,6,16,6,16,22
COTOCA,internaciones,ingresos espontaneos,2019-01-01,49,164,49,164,213
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2019-01-01,26,31,26,31,57
CULPINA,internaciones,ingresos espontaneos,2019-01-01,7,34,7,34,41
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
DESAGUADERO,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
EL ALTO,internaciones,ingresos espontaneos,2019-01-01,931,2334,931,2334,3265
EL PUENTE(STC),internaciones,ingresos espontaneos,2019-01-01,27,25,27,25,52
EL PUENTE(TJA),internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
EL TORNO,internaciones,ingresos espontaneos,2019-01-01,217,374,217,374,591
EL VILLAR,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,ingresos espontaneos,2019-01-01,4,14,4,14,18
ENTRE RIOS CBBA,internaciones,ingresos espontaneos,2019-01-01,6,38,6,38,44
ESCOMA,internaciones,ingresos espontaneos,2019-01-01,1,14,1,14,15
EUCALIPTUS,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
EXALTACION,internaciones,ingresos espontaneos,2019-01-01,1,4,1,4,5
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2019-01-01,5,7,5,7,12
FILADELFIA,internaciones,ingresos espontaneos,2019-01-01,1,9,1,9,10
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2019-01-01,2,16,2,16,18
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
GUANAY,internaciones,ingresos espontaneos,2019-01-01,3,18,3,18,21
GUAQUI,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
GUAYARAMERIN,internaciones,ingresos espontaneos,2019-01-01,153,314,153,314,467
GUTIERREZ,internaciones,ingresos espontaneos,2019-01-01,6,13,6,13,19
HUACARETA,internaciones,ingresos espontaneos,2019-01-01,7,17,7,17,24
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
HUACHACALLA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
HUANUNI,internaciones,ingresos espontaneos,2019-01-01,106,110,106,110,216
HUARACAJE,internaciones,ingresos espontaneos,2019-01-01,3,11,3,11,14
HUARINA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
HUATAJATA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
ICHOCA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
ICLA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
INCAHUASI,internaciones,ingresos espontaneos,2019-01-01,2,20,2,20,22
INQUISIVI,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2019-01-01,11,12,11,12,23
IXIAMAS,internaciones,ingresos espontaneos,2019-01-01,3,18,3,18,21
JESUS DE MACHACA,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
LA ASUNTA,internaciones,ingresos espontaneos,2019-01-01,0,52,0,52,52
LA GUARDIA,internaciones,ingresos espontaneos,2019-01-01,50,135,50,135,185
LA PAZ,internaciones,ingresos espontaneos,2019-01-01,1966,3199,1966,3199,5165
LAGUNILLAS,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
LAJA,internaciones,ingresos espontaneos,2019-01-01,0,11,0,11,11
LAS CARRERAS,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
LLALLAGUA,internaciones,ingresos espontaneos,2019-01-01,85,203,85,203,288
LLICA,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
LORETO,internaciones,ingresos espontaneos,2019-01-01,1,0,1,0,1
MACHACAMARCA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
MACHARETI,internaciones,ingresos espontaneos,2019-01-01,5,8,5,8,13
MAGDALENA,internaciones,ingresos espontaneos,2019-01-01,27,60,27,60,87
MAIRANA,internaciones,ingresos espontaneos,2019-01-01,6,34,6,34,40
MAPIRI,internaciones,ingresos espontaneos,2019-01-01,4,34,4,34,38
MINEROS,internaciones,ingresos espontaneos,2019-01-01,11,17,11,17,28
MIZQUE,internaciones,ingresos espontaneos,2019-01-01,17,39,17,39,56
MOCOMOCO,internaciones,ingresos espontaneos,2019-01-01,2,0,2,0,2
MOJOCOYA,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
MONTEAGUDO,internaciones,ingresos espontaneos,2019-01-01,60,99,60,99,159
MONTERO,internaciones,ingresos espontaneos,2019-01-01,330,568,330,568,898
OCURI,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
OKINAWA,internaciones,ingresos espontaneos,2019-01-01,3,4,3,4,7
OMEREQUE,internaciones,ingresos espontaneos,2019-01-01,1,5,1,5,6
ORURO,internaciones,ingresos espontaneos,2019-01-01,997,2033,997,2033,3030
PADILLA,internaciones,ingresos espontaneos,2019-01-01,47,77,47,77,124
PAILON,internaciones,ingresos espontaneos,2019-01-01,30,90,30,90,120
PALOS BLANCOS,internaciones,ingresos espontaneos,2019-01-01,8,40,8,40,48
PAMPA AULLAGAS,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
PAMPA GRANDE,internaciones,ingresos espontaneos,2019-01-01,1,5,1,5,6
PAPEL PAMPA,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
PASORAPA,internaciones,ingresos espontaneos,2019-01-01,3,2,3,2,5
PATACAMAYA,internaciones,ingresos espontaneos,2019-01-01,12,55,12,55,67
POCOATA,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
POCONA,internaciones,ingresos espontaneos,2019-01-01,0,8,0,8,8
POJO (CBBA),internaciones,ingresos espontaneos,2019-01-01,1,15,1,15,16
POOPO,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
PORCO,internaciones,ingresos espontaneos,2019-01-01,6,12,6,12,18
PORONGO,internaciones,ingresos espontaneos,2019-01-01,9,18,9,18,27
PORTACHUELO,internaciones,ingresos espontaneos,2019-01-01,44,94,44,94,138
PORVENIR,internaciones,ingresos espontaneos,2019-01-01,1,6,1,6,7
POSTRER VALLE,internaciones,ingresos espontaneos,2019-01-01,5,4,5,4,9
POTOSI,internaciones,ingresos espontaneos,2019-01-01,819,1607,819,1607,2426
PRESTO,internaciones,ingresos espontaneos,2019-01-01,6,5,6,5,11
PUCARANI,internaciones,ingresos espontaneos,2019-01-01,0,10,0,10,10
PUERTO ACOSTA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2019-01-01,1,4,1,4,5
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2019-01-01,12,16,12,16,28
PUERTO RICO,internaciones,ingresos espontaneos,2019-01-01,4,17,4,17,21
PUERTO SILES,internaciones,ingresos espontaneos,2019-01-01,1,1,1,1,2
PUERTO SUAREZ,internaciones,ingresos espontaneos,2019-01-01,43,73,43,73,116
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2019-01-01,69,179,69,179,248
PUNA,internaciones,ingresos espontaneos,2019-01-01,0,6,0,6,6
PUNATA,internaciones,ingresos espontaneos,2019-01-01,79,168,79,168,247
QUILLACOLLO,internaciones,ingresos espontaneos,2019-01-01,67,382,67,382,449
QUIME,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
QUIRUSILLAS,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
RAQAYPAMPA(ETA),internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
RAVELO,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
REYES,internaciones,ingresos espontaneos,2019-01-01,6,25,6,25,31
RIBERALTA,internaciones,ingresos espontaneos,2019-01-01,212,499,212,499,711
ROBORE,internaciones,ingresos espontaneos,2019-01-01,54,76,54,76,130
RURRENABAQUE,internaciones,ingresos espontaneos,2019-01-01,35,70,35,70,105
SACABA,internaciones,ingresos espontaneos,2019-01-01,143,597,143,597,740
SACABAMBA,internaciones,ingresos espontaneos,2019-01-01,3,9,3,9,12
SACACA,internaciones,ingresos espontaneos,2019-01-01,0,7,0,7,7
SAIPINA,internaciones,ingresos espontaneos,2019-01-01,5,4,5,4,9
SALINAS DE GARCI MENDOZA,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
SAMAIPATA,internaciones,ingresos espontaneos,2019-01-01,1,10,1,10,11
SAN ANDRES,internaciones,ingresos espontaneos,2019-01-01,0,6,0,6,6
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2019-01-01,9,6,9,6,15
SAN BENITO,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
SAN BORJA,internaciones,ingresos espontaneos,2019-01-01,41,150,41,150,191
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2019-01-01,10,41,10,41,51
SAN CARLOS,internaciones,ingresos espontaneos,2019-01-01,0,8,0,8,8
SAN IGNACIO,internaciones,ingresos espontaneos,2019-01-01,13,69,13,69,82
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2019-01-01,137,259,137,259,396
SAN JAVIER(STC),internaciones,ingresos espontaneos,2019-01-01,9,35,9,35,44
SAN JOAQUIN,internaciones,ingresos espontaneos,2019-01-01,18,39,18,39,57
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2019-01-01,78,150,78,150,228
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2019-01-01,1,2,1,2,3
SAN JULIAN,internaciones,ingresos espontaneos,2019-01-01,75,156,75,156,231
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
SAN LUCAS,internaciones,ingresos espontaneos,2019-01-01,18,47,18,47,65
SAN MATIAS,internaciones,ingresos espontaneos,2019-01-01,30,44,30,44,74
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2019-01-01,13,26,13,26,39
SAN PEDRO,internaciones,ingresos espontaneos,2019-01-01,9,21,9,21,30
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
SAN PEDRO DE CURAHUARA,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
SAN RAFAEL,internaciones,ingresos espontaneos,2019-01-01,4,18,4,18,22
SAN RAMON BENI,internaciones,ingresos espontaneos,2019-01-01,8,13,8,13,21
SAN RAMON SCZ,internaciones,ingresos espontaneos,2019-01-01,11,41,11,41,52
SANTA ANA,internaciones,ingresos espontaneos,2019-01-01,24,43,24,43,67
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2019-01-01,4316,8237,4316,8237,12553
SANTA ROSA,internaciones,ingresos espontaneos,2019-01-01,8,31,8,31,39
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2019-01-01,27,41,27,41,68
SANTIAGO DE HUATA,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
SANTIVAÑES,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
SAPAHAQUI,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
SENA,internaciones,ingresos espontaneos,2019-01-01,1,16,1,16,17
SHINAOTA,internaciones,ingresos espontaneos,2019-01-01,8,39,8,39,47
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2019-01-01,0,6,0,6,6
SIPE SIPE,internaciones,ingresos espontaneos,2019-01-01,0,33,0,33,33
SOPACHUY,internaciones,ingresos espontaneos,2019-01-01,9,28,9,28,37
SORATA,internaciones,ingresos espontaneos,2019-01-01,1,8,1,8,9
SUCRE,internaciones,ingresos espontaneos,2019-01-01,1108,2366,1108,2366,3474
TACACOMA,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
TACOPAYA,internaciones,ingresos espontaneos,2019-01-01,3,4,3,4,7
TAPACARI,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
TARABUCO,internaciones,ingresos espontaneos,2019-01-01,48,59,48,59,107
TARIJA,internaciones,ingresos espontaneos,2019-01-01,707,1560,707,1560,2267
TARVITA,internaciones,ingresos espontaneos,2019-01-01,4,13,4,13,17
TEOPONTE,internaciones,ingresos espontaneos,2019-01-01,0,15,0,15,15
TIAHUANACU,internaciones,ingresos espontaneos,2019-01-01,0,8,0,8,8
TIPUANI,internaciones,ingresos espontaneos,2019-01-01,0,10,0,10,10
TIQUIPAYA,internaciones,ingresos espontaneos,2019-01-01,11,39,11,39,50
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2019-01-01,0,18,0,18,18
TOCO,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
TOLATA,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
TOMAVE,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
TOMINA,internaciones,ingresos espontaneos,2019-01-01,0,15,0,15,15
TORO TORO,internaciones,ingresos espontaneos,2019-01-01,1,10,1,10,11
TOTORA(CBBA),internaciones,ingresos espontaneos,2019-01-01,9,25,9,25,34
TOTORA(ORR),internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
TRIGAL,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
TRINIDAD,internaciones,ingresos espontaneos,2019-01-01,424,897,424,897,1321
TUPIZA,internaciones,ingresos espontaneos,2019-01-01,355,294,355,294,649
UNCIA,internaciones,ingresos espontaneos,2019-01-01,0,10,0,10,10
URUBICHA,internaciones,ingresos espontaneos,2019-01-01,6,23,6,23,29
UYUNI,internaciones,ingresos espontaneos,2019-01-01,36,130,36,130,166
VACAS,internaciones,ingresos espontaneos,2019-01-01,0,4,0,4,4
VALLEGRANDE,internaciones,ingresos espontaneos,2019-01-01,56,121,56,121,177
VIACHA,internaciones,ingresos espontaneos,2019-01-01,66,153,66,153,219
VILA VILA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
VILLA CHARCAS,internaciones,ingresos espontaneos,2019-01-01,0,8,0,8,8
VILLA MONTES,internaciones,ingresos espontaneos,2019-01-01,59,132,59,132,191
VILLA RIVERO,internaciones,ingresos espontaneos,2019-01-01,1,9,1,9,10
VILLA SERRANO,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
VILLA TUNARI,internaciones,ingresos espontaneos,2019-01-01,101,186,101,186,287
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2019-01-01,12,29,12,29,41
VILLAZON,internaciones,ingresos espontaneos,2019-01-01,47,122,47,122,169
VINTO,internaciones,ingresos espontaneos,2019-01-01,40,88,40,88,128
VITICHI,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
WALDO BALLIVIAN,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
WARNES,internaciones,ingresos espontaneos,2019-01-01,50,102,50,102,152
YACO,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
YACUIBA,internaciones,ingresos espontaneos,2019-01-01,264,559,264,559,823
YAMPARAEZ,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
YANACACHI,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
YAPACANI,internaciones,ingresos espontaneos,2019-01-01,130,111,130,111,241
YOTALA,internaciones,ingresos espontaneos,2019-01-01,1,12,1,12,13
ZUDAÑEZ,internaciones,ingresos espontaneos,2019-01-01,1,23,1,23,24
ACACIO,internaciones,ingresos espontaneos,2019-02-01,0,2,0,2,2
ACHACACHI,internaciones,ingresos espontaneos,2019-02-01,4,35,4,35,39
AIQUILE,internaciones,ingresos espontaneos,2019-02-01,32,78,32,78,110
ALALAY,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2019-02-01,0,8,0,8,8
ANZALDO,internaciones,ingresos espontaneos,2019-02-01,11,16,11,16,27
APOLO,internaciones,ingresos espontaneos,2019-02-01,1,18,1,18,19
ARANI,internaciones,ingresos espontaneos,2019-02-01,0,4,0,4,4
ARBIETO,internaciones,ingresos espontaneos,2019-02-01,0,5,0,5,5
ARQUE,internaciones,ingresos espontaneos,2019-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2019-02-01,54,120,54,120,174
ATOCHA,internaciones,ingresos espontaneos,2019-02-01,33,48,33,48,81
AYATA,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2019-02-01,0,7,0,7,7
AZURDUY,internaciones,ingresos espontaneos,2019-02-01,5,10,5,10,15
BATALLAS,internaciones,ingresos espontaneos,2019-02-01,0,4,0,4,4
BAURES,internaciones,ingresos espontaneos,2019-02-01,4,16,4,16,20
BELLA FLOR,internaciones,ingresos espontaneos,2019-02-01,0,2,0,2,2
BERMEJO,internaciones,ingresos espontaneos,2019-02-01,88,200,88,200,288
BETANZOS,internaciones,ingresos espontaneos,2019-02-01,0,15,0,15,15
BOLPEBRA,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
BOYUIBE,internaciones,ingresos espontaneos,2019-02-01,4,7,4,7,11
BUENA VISTA,internaciones,ingresos espontaneos,2019-02-01,11,37,11,37,48
CABEZAS,internaciones,ingresos espontaneos,2019-02-01,9,16,9,16,25
CAIROMA,internaciones,ingresos espontaneos,2019-02-01,0,2,0,2,2
CAJUATA,internaciones,ingresos espontaneos,2019-02-01,0,6,0,6,6
CALAMARCA,internaciones,ingresos espontaneos,2019-02-01,0,6,0,6,6
CAMARGO,internaciones,ingresos espontaneos,2019-02-01,33,47,33,47,80
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2019-02-01,1,3,1,3,4
CAMIRI,internaciones,ingresos espontaneos,2019-02-01,117,246,117,246,363
CAPINOTA,internaciones,ingresos espontaneos,2019-02-01,10,35,10,35,45
CAQUIAVIRI,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
CARACOLLO,internaciones,ingresos espontaneos,2019-02-01,0,9,0,9,9
CARANAVI,internaciones,ingresos espontaneos,2019-02-01,23,128,23,128,151
CARAPARI,internaciones,ingresos espontaneos,2019-02-01,1,4,1,4,5
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2019-02-01,8,12,8,12,20
CHALLAPATA,internaciones,ingresos espontaneos,2019-02-01,15,89,15,89,104
CHAQUI,internaciones,ingresos espontaneos,2019-02-01,0,5,0,5,5
CHARAGUA,internaciones,ingresos espontaneos,2019-02-01,26,80,26,80,106
CHAYANTA,internaciones,ingresos espontaneos,2019-02-01,1,0,1,0,1
CHIMORE,internaciones,ingresos espontaneos,2019-02-01,9,24,9,24,33
CHUA COCANI,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2019-02-01,37,67,37,67,104
CHUMA,internaciones,ingresos espontaneos,2019-02-01,1,6,1,6,7
CKOCHAS,internaciones,ingresos espontaneos,2019-02-01,0,4,0,4,4
CLIZA,internaciones,ingresos espontaneos,2019-02-01,3,26,3,26,29
COBIJA,internaciones,ingresos espontaneos,2019-02-01,184,278,184,278,462
COCAPATA,internaciones,ingresos espontaneos,2019-02-01,0,4,0,4,4
COCHABAMBA,internaciones,ingresos espontaneos,2019-02-01,2738,4702,2738,4702,7440
COLCAPIRHUA,internaciones,ingresos espontaneos,2019-02-01,31,90,31,90,121
"COLCHA ""K""",internaciones,ingresos espontaneos,2019-02-01,4,3,4,3,7
COLLANA,internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
COLOMI,internaciones,ingresos espontaneos,2019-02-01,0,21,0,21,21
COLPA BELGICA,internaciones,ingresos espontaneos,2019-02-01,9,7,9,7,16
COLQUECHACA,internaciones,ingresos espontaneos,2019-02-01,0,17,0,17,17
COLQUENCHA,internaciones,ingresos espontaneos,2019-02-01,0,11,0,11,11
COLQUIRI,internaciones,ingresos espontaneos,2019-02-01,0,7,0,7,7
COMARAPA,internaciones,ingresos espontaneos,2019-02-01,1,46,1,46,47
CONCEPCION,internaciones,ingresos espontaneos,2019-02-01,25,80,25,80,105
COPACABANA,internaciones,ingresos espontaneos,2019-02-01,0,3,0,3,3
CORIPATA,internaciones,ingresos espontaneos,2019-02-01,0,5,0,5,5
COROICO,internaciones,ingresos espontaneos,2019-02-01,27,55,27,55,82
COTAGAITA,internaciones,ingresos espontaneos,2019-02-01,6,20,6,20,26
COTOCA,internaciones,ingresos espontaneos,2019-02-01,82,169,82,169,251
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2019-02-01,20,34,20,34,54
CUCHUMUELA (V. G. VILLARROEL),internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
CUEVO,internaciones,ingresos espontaneos,2019-02-01,4,5,4,5,9
CULPINA,internaciones,ingresos espontaneos,2019-02-01,5,28,5,28,33
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2019-02-01,0,3,0,3,3
CURVA,internaciones,ingresos espontaneos,2019-02-01,0,2,0,2,2
DESAGUADERO,internaciones,ingresos espontaneos,2019-02-01,0,6,0,6,6
EL ALTO,internaciones,ingresos espontaneos,2019-02-01,737,1936,737,1936,2673
EL PUENTE(STC),internaciones,ingresos espontaneos,2019-02-01,21,24,21,24,45
EL PUENTE(TJA),internaciones,ingresos espontaneos,2019-02-01,0,1,0,1,1
EL TORNO,internaciones,ingresos espontaneos,2019-02-01,170,330,170,330,500
EL VILLAR,internaciones,ingresos espontaneos,2019-02-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,ingresos espontaneos,2019-02-01,2,17,2,17,19
ENTRE RIOS CBBA,internaciones,ingresos espontaneos,2019-02-01,3,23,3,23,26
