,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
TARATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,0,20,0,20
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,50,50,50,50,100
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,73,1028,73,1028,1101
TIRAQUE (CBBA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,22,0,22,22
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,6,91,6,91,97
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,40,0,40,40
TORO TORO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,2,0,2,2
UNCIA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,250,0,250,250
VACAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,17,106,17,106,123
VIACHA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,6143,0,6143,6143
VILLA MONTES,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
VILLA RIVERO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,3,0,3,0,3
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,107,158,107,158,265
VILLAZON,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,4,0,4,0,4
VINTO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,50,125,50,125,175
WARNES,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,102,54,102,54,156
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,170,0,170,170
YAPACANI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,84,0,84,84
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,0,1,0,1
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,52,469,52,469,521
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,3,35,3,35,38
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,186,0,186,186
ARANI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,435,0,435,435
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,20,127,20,127,147
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,9,0,9,9
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,103,1485,103,1485,1588
AYATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,47,0,47,47
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,40,0,40,40
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
BUENA VISTA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,5,0,5,5
CABEZAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,220,190,220,190,410
"CAIZA ""D""",otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,12,0,12,12
CALACOTO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
CAMIRI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,5,890,5,890,895
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,30,10,30,10,40
CAQUIAVIRI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,160,0,160,160
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,40,0,40,40
CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,8,0,8,8
CHAYANTA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,12,5,12,5,17
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,5,0,5,5
CHIPAYA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2,111,2,111,113
CHUMA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,6,0,6,6
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,57,16,57,16,73
COBIJA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,20,40,20,40,60
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,184,0,184,184
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,455,567,455,567,1022
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,1510,0,1510,1510
COLLANA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,110,0,110,110
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,18,25,18,25,43
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,8,0,8,0,8
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,431,0,431,431
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,1058,7429,1058,7429,8487
CUATRO CAÑADAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,747,0,747,747
CUEVO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,70,0,70,70
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,13,0,13,0,13
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,324,135,324,135,459
EL PUENTE(STC),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,269,207,269,207,476
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,6,0,6,0,6
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2,32,2,32,34
FILADELFIA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,37,0,37,37
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2,5,2,5,7
GUANAY,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,26,0,26,26
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,458,0,458,458
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,1,0,1,1
HUACHACALLA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,53,0,53,53
HUAYLLAMARCA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,43,0,43,43
IXIAMAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,36,0,36,36
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,14,40,14,40,54
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,42,409,42,409,451
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,320,506,320,506,826
MAGDALENA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,7,0,7,7
MALLA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,19,0,19,19
MECAPACA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,5,0,5,5
MINEROS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,21,374,21,374,395
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,9,37,9,37,46
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,197,483,197,483,680
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,947,0,947,947
OCURI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,16,0,16,16
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,17,0,17,17
ORURO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,10,300,10,300,310
PAILON,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,54,0,54,54
PASORAPA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,47,0,47,47
PORTACHUELO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,5,0,5,0,5
PUCARANI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,35,0,35,35
PUERTO ACOSTA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,2,0,2,2
PUERTO SUAREZ,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,8,0,8,8
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,14,61,14,61,75
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,49,109,49,109,158
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,58,2552,58,2552,2610
RAVELO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,20,0,20,20
ROBORE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,61,0,61,61
SABAYA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,9,0,9,0,9
SACABA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,101,1761,101,1761,1862
SACACA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,50,0,50,50
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,5,0,5,5
SAMAIPATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,40,0,40,40
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,466,0,466,466
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,24,10,24,10,34
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,25,30,25,30,55
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2689,285,2689,285,2974
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,10,104,10,104,114
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,2,907,2,907,909
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,7,0,7,7
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,150,0,150,150
SAN PEDRO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,7,0,7,0,7
SAN RAFAEL,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,48,163,48,163,211
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,387,12867,387,12867,13254
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,14,0,14,14
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,9,138,9,138,147
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,14,0,14,14
SICAYA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,6,0,6,6
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,257,157,257,157,414
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,72,0,72,72
SORATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,141,0,141,141
TACACHI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,20,0,20,20
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,11,114,11,114,125
TARATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,27,0,27,0,27
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,9,150,9,150,159
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,12,1744,12,1744,1756
TOCO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,18,0,18,18
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,6,28,6,28,34
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
TORO TORO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,10,0,10,0,10
TRINIDAD,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,10,0,10,10
TUPIZA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,4,0,4,4
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,7,0,7,7
VACAS,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,16,56,16,56,72
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,22,0,22,22
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,99,223,99,223,322
VILLAZON,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,4,10,4,10,14
VINTO,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,1455,476,1455,476,1931
WARNES,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,131,83,131,83,214
YACUIBA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,0,20,0,20,20
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2013-02-01,1,0,1,0,1
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,30,176,30,176,206
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,2,255,2,255,257
ANTEQUERA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,2,0,2,0,2
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,20,292,20,292,312
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,9,776,9,776,785
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,8,0,8,8
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,380,0,380,380
AYATA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,16,131,16,131,147
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,46,0,46,46
AZURDUY,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,40,0,40,40
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,28,0,28,28
CAMARGO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,3,0,3,3
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,4,65,4,65,69
CAQUIAVIRI,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,10,4,10,4,14
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,284,0,284,284
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,244,0,244,244
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,30,0,30,30
CHACARILLA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,3,0,3,3
CHAYANTA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,10,140,10,140,150
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,100,0,100,100
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2013-03-01,16,33,16,33,49
CHUMA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,23,0,23,23
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,10,0,10,10
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,4,49,4,49,53
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,47,305,47,305,352
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,607,1518,607,1518,2125
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,713,0,713,713
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,4,43,4,43,47
COROICO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,11,32,11,32,43
COTAGAITA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,26,0,26,26
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,1146,0,1146,1146
CURVA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,10,0,10,10
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,949,2027,949,2027,2976
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,8,0,8,8
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,14,0,14,14
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,3,20,3,20,23
GUANAY,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,52,0,52,52
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2013-03-01,0,69,0,69,69
