,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,1,1,1,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,5,1,5,1,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,63,62,63,62,125
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,9,11,9,11,20
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,3,1,3,1,4
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,4,5,4,5,9
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,80,72,80,72,152
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,7,8,7,8,15
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,18,7,18,7,25
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,8,10,8,10,18
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,4,4,4,4,8
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,2,1,2,1,3
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,76,69,76,69,145
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,21,13,21,13,34
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,14,28,14,28,42
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,7,13,7,13,20
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,5,1,5,6
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,3,1,3,4
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,1,3,1,3,4
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,3,1,3,4
CAPINOTA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,2,1,2,3
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,4,2,4,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,69,75,69,75,144
CULPINA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,15,12,15,12,27
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,1,2,1,3
GENERAL SAAVEDRA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,4,1,4,1,5
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,2,2,2,4
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,80,93,80,93,173
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,4,6,4,6,10
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,23,2,23,2,25
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,12,15,12,15,27
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,7,3,7,3,10
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,2,0,2,2
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,1,1,1,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,0,1,0,1,1
SAN PEDRO,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SAN RAMON SCZ,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,98,76,98,76,174
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,26,23,26,23,49
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,10,20,10,20,30
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,12,7,12,7,19
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,2,2,2,4
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,1,2,1,3
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,3,7,3,7,10
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-03-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,2,1,2,3
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,3,0,3,0,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,62,55,62,55,117
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
COTAGAITA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
CULPINA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,9,12,9,12,21
GENERAL SAAVEDRA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,74,77,74,77,151
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,10,7,10,7,17
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,15,13,15,13,28
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,2,3,2,3,5
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,14,9,14,9,23
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,3,9,3,9,12
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,2,0,2,0,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,2,1,2,1,3
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,99,90,99,90,189
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,0,1,0,1,1
SOPACHUY,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,23,21,23,21,44
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,13,28,13,28,41
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,7,5,7,5,12
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,3,1,3,1,4
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,2,0,2,0,2
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-04-01,1,5,1,5,6
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
AZURDUY,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
BAURES,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,3,1,3,4
CABEZAS,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,4,0,4,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,60,77,60,77,137
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,7,12,7,12,19
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,3,0,3,3
HUANUNI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,2,0,2,2
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,88,85,88,85,173
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,5,4,5,4,9
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,16,11,16,11,27
POJO (CBBA),internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,4,0,4,4
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,9,9,9,9,18
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,2,1,2,3
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,11,1,11,1,12
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,109,83,109,83,192
SORATA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,29,29,29,29,58
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,13,33,13,33,46
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,11,11,11,11,22
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,4,3,4,3,7
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,4,1,4,1,5
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-05-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,2,1,2,1,3
BUENA VISTA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,2,6,2,6,8
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,2,3,2,3,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,79,82,79,82,161
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,3,0,3,3
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,2,1,2,1,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,11,9,11,9,20
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,2,1,2,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,3,1,3,1,4
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,78,79,78,79,157
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,1,1,1,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,6,6,6,6,12
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,25,15,25,15,40
POJO (CBBA),internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,2,0,2,2
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,9,9,9,9,18
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,2,1,2,3
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,6,5,6,5,11
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,98,84,98,84,182
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,26,19,26,19,45
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,16,17,16,17,33
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,3,4,3,4,7
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,2,0,2,0,2
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,1,3,1,3,4
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-06-01,3,0,3,0,3
APOLO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,2,2,2,4
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,4,0,4,0,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,0,2,0,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,69,96,69,96,165
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,18,14,18,14,32
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,2,1,2,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,2,2,2,4
INCAHUASI,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,99,107,99,107,206
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,9,2,9,2,11
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,39,13,39,13,52
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,12,6,12,6,18
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
REYES,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,8,6,8,6,14
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,0,2,0,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,1,1,1,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,4,0,4,4
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,69,62,69,62,131
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,26,29,26,29,55
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,13,30,13,30,43
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,11,18,11,18,29
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,2,2,2,4
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,3,3,3,3,6
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-07-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-08-01,1,2,1,2,3
CARACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2018-08-01,0,1,0,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-08-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2018-08-01,0,1,0,1,1
