,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
COBIJA,internaciones,ingresos espontaneos,2018-01-01,123,199,123,199,322
COCAPATA,internaciones,ingresos espontaneos,2018-01-01,1,5,1,5,6
COCHABAMBA,internaciones,ingresos espontaneos,2018-01-01,2939,5108,2939,5108,8047
COLCAPIRHUA,internaciones,ingresos espontaneos,2018-01-01,17,84,17,84,101
"COLCHA ""K""",internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
COLOMI,internaciones,ingresos espontaneos,2018-01-01,0,22,0,22,22
COLPA BELGICA,internaciones,ingresos espontaneos,2018-01-01,10,17,10,17,27
COLQUECHACA,internaciones,ingresos espontaneos,2018-01-01,2,16,2,16,18
COLQUENCHA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
COMARAPA,internaciones,ingresos espontaneos,2018-01-01,3,55,3,55,58
COMBAYA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
CONCEPCION,internaciones,ingresos espontaneos,2018-01-01,19,55,19,55,74
COPACABANA,internaciones,ingresos espontaneos,2018-01-01,0,12,0,12,12
CORIPATA,internaciones,ingresos espontaneos,2018-01-01,1,11,1,11,12
CORO CORO,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
COROICO,internaciones,ingresos espontaneos,2018-01-01,17,56,17,56,73
COTAGAITA,internaciones,ingresos espontaneos,2018-01-01,10,12,10,12,22
COTOCA,internaciones,ingresos espontaneos,2018-01-01,41,73,41,73,114
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2018-01-01,12,31,12,31,43
CUEVO,internaciones,ingresos espontaneos,2018-01-01,3,3,3,3,6
CULPINA,internaciones,ingresos espontaneos,2018-01-01,5,40,5,40,45
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2018-01-01,1,3,1,3,4
DESAGUADERO,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
EL ALTO,internaciones,ingresos espontaneos,2018-01-01,1104,2469,1104,2469,3573
EL PUENTE(STC),internaciones,ingresos espontaneos,2018-01-01,14,24,14,24,38
EL TORNO,internaciones,ingresos espontaneos,2018-01-01,212,297,212,297,509
EL VILLAR,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
ENTRE RIOS TRJ,internaciones,ingresos espontaneos,2018-01-01,3,7,3,7,10
ENTRE RIOS CBBA,internaciones,ingresos espontaneos,2018-01-01,0,21,0,21,21
ESCOMA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
EUCALIPTUS,internaciones,ingresos espontaneos,2018-01-01,1,0,1,0,1
EXALTACION,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2018-01-01,10,20,10,20,30
FILADELFIA,internaciones,ingresos espontaneos,2018-01-01,3,5,3,5,8
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2018-01-01,6,22,6,22,28
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
GUANAY,internaciones,ingresos espontaneos,2018-01-01,0,19,0,19,19
GUAYARAMERIN,internaciones,ingresos espontaneos,2018-01-01,145,289,145,289,434
GUTIERREZ,internaciones,ingresos espontaneos,2018-01-01,13,30,13,30,43
HUACARETA,internaciones,ingresos espontaneos,2018-01-01,5,12,5,12,17
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2018-01-01,2,2,2,2,4
HUACHACALLA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
HUANUNI,internaciones,ingresos espontaneos,2018-01-01,91,107,91,107,198
HUARACAJE,internaciones,ingresos espontaneos,2018-01-01,3,11,3,11,14
HUARINA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
HUATAJATA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
HUAYLLAMARCA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
ICHOCA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
ICLA,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
INCAHUASI,internaciones,ingresos espontaneos,2018-01-01,4,13,4,13,17
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2018-01-01,4,16,4,16,20
IXIAMAS,internaciones,ingresos espontaneos,2018-01-01,1,13,1,13,14
JESUS DE MACHACA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
LA ASUNTA,internaciones,ingresos espontaneos,2018-01-01,3,55,3,55,58
LA GUARDIA,internaciones,ingresos espontaneos,2018-01-01,29,125,29,125,154
LA PAZ,internaciones,ingresos espontaneos,2018-01-01,1927,4319,1927,4319,6246
LAJA,internaciones,ingresos espontaneos,2018-01-01,0,9,0,9,9
LAS CARRERAS,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
LLALLAGUA,internaciones,ingresos espontaneos,2018-01-01,68,175,68,175,243
LLICA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
MACHARETI,internaciones,ingresos espontaneos,2018-01-01,5,20,5,20,25
MAGDALENA,internaciones,ingresos espontaneos,2018-01-01,20,48,20,48,68
MAIRANA,internaciones,ingresos espontaneos,2018-01-01,3,37,3,37,40
MAPIRI,internaciones,ingresos espontaneos,2018-01-01,5,31,5,31,36
MECAPACA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
MINEROS,internaciones,ingresos espontaneos,2018-01-01,9,22,9,22,31
MIZQUE,internaciones,ingresos espontaneos,2018-01-01,11,39,11,39,50
MOCOMOCO,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
MOJOCOYA,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
MONTEAGUDO,internaciones,ingresos espontaneos,2018-01-01,51,112,51,112,163
MONTERO,internaciones,ingresos espontaneos,2018-01-01,303,572,303,572,875
MORO MORO,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
MOROCHATA,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
OCURI,internaciones,ingresos espontaneos,2018-01-01,0,7,0,7,7
OKINAWA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
OMEREQUE,internaciones,ingresos espontaneos,2018-01-01,2,14,2,14,16
ORURO,internaciones,ingresos espontaneos,2018-01-01,605,1546,605,1546,2151
PADILLA,internaciones,ingresos espontaneos,2018-01-01,22,71,22,71,93
PAILON,internaciones,ingresos espontaneos,2018-01-01,17,91,17,91,108
PALOS BLANCOS,internaciones,ingresos espontaneos,2018-01-01,23,30,23,30,53
PAMPA AULLAGAS,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
PAMPA GRANDE,internaciones,ingresos espontaneos,2018-01-01,0,7,0,7,7
PAPEL PAMPA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
PASORAPA,internaciones,ingresos espontaneos,2018-01-01,1,3,1,3,4
PATACAMAYA,internaciones,ingresos espontaneos,2018-01-01,5,39,5,39,44
POCOATA,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
POCONA,internaciones,ingresos espontaneos,2018-01-01,1,6,1,6,7
POJO (CBBA),internaciones,ingresos espontaneos,2018-01-01,0,14,0,14,14
PORCO,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
POROMA,internaciones,ingresos espontaneos,2018-01-01,1,9,1,9,10
PORONGO,internaciones,ingresos espontaneos,2018-01-01,6,17,6,17,23
PORTACHUELO,internaciones,ingresos espontaneos,2018-01-01,42,88,42,88,130
PORVENIR,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
POSTRER VALLE,internaciones,ingresos espontaneos,2018-01-01,3,5,3,5,8
POTOSI,internaciones,ingresos espontaneos,2018-01-01,613,1354,613,1354,1967
PRESTO,internaciones,ingresos espontaneos,2018-01-01,4,6,4,6,10
PUCARANI,internaciones,ingresos espontaneos,2018-01-01,0,10,0,10,10
PUERTO ACOSTA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
PUERTO CARABUCO,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
PUERTO PEREZ,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2018-01-01,32,15,32,15,47
PUERTO RICO,internaciones,ingresos espontaneos,2018-01-01,2,19,2,19,21
PUERTO SILES,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,ingresos espontaneos,2018-01-01,32,89,32,89,121
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2018-01-01,91,180,91,180,271
PUNA,internaciones,ingresos espontaneos,2018-01-01,0,7,0,7,7
PUNATA,internaciones,ingresos espontaneos,2018-01-01,59,141,59,141,200
QUIABAYA,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
QUILLACOLLO,internaciones,ingresos espontaneos,2018-01-01,26,285,26,285,311
QUIME,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
QUIRUSILLAS,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
RAQAYPAMPA(ETA),internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
RAVELO,internaciones,ingresos espontaneos,2018-01-01,0,8,0,8,8
REYES,internaciones,ingresos espontaneos,2018-01-01,2,29,2,29,31
RIBERALTA,internaciones,ingresos espontaneos,2018-01-01,198,440,198,440,638
ROBORE,internaciones,ingresos espontaneos,2018-01-01,34,74,34,74,108
RURRENABAQUE,internaciones,ingresos espontaneos,2018-01-01,45,82,45,82,127
SACABA,internaciones,ingresos espontaneos,2018-01-01,163,433,163,433,596
SACABAMBA,internaciones,ingresos espontaneos,2018-01-01,5,12,5,12,17
SACACA,internaciones,ingresos espontaneos,2018-01-01,1,7,1,7,8
SAIPINA,internaciones,ingresos espontaneos,2018-01-01,1,9,1,9,10
SALINAS DE GARCI MENDOZA,internaciones,ingresos espontaneos,2018-01-01,0,10,0,10,10
SAMAIPATA,internaciones,ingresos espontaneos,2018-01-01,2,11,2,11,13
SAN ANDRES,internaciones,ingresos espontaneos,2018-01-01,0,11,0,11,11
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2018-01-01,2,18,2,18,20
SAN BENITO,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
SAN BORJA,internaciones,ingresos espontaneos,2018-01-01,48,93,48,93,141
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2018-01-01,10,41,10,41,51
SAN CARLOS,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
SAN IGNACIO,internaciones,ingresos espontaneos,2018-01-01,20,62,20,62,82
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2018-01-01,101,261,101,261,362
SAN JAVIER(STC),internaciones,ingresos espontaneos,2018-01-01,12,11,12,11,23
SAN JOAQUIN,internaciones,ingresos espontaneos,2018-01-01,12,34,12,34,46
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2018-01-01,78,158,78,158,236
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2018-01-01,25,23,25,23,48
SAN JULIAN,internaciones,ingresos espontaneos,2018-01-01,64,104,64,104,168
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2018-01-01,0,7,0,7,7
SAN LUCAS,internaciones,ingresos espontaneos,2018-01-01,11,46,11,46,57
SAN MATIAS,internaciones,ingresos espontaneos,2018-01-01,17,56,17,56,73
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2018-01-01,5,19,5,19,24
SAN PEDRO,internaciones,ingresos espontaneos,2018-01-01,10,12,10,12,22
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2018-01-01,1,13,1,13,14
SAN PEDRO DE TIQUINA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
SAN RAFAEL,internaciones,ingresos espontaneos,2018-01-01,4,18,4,18,22
SAN RAMON BENI,internaciones,ingresos espontaneos,2018-01-01,5,36,5,36,41
SAN RAMON SCZ,internaciones,ingresos espontaneos,2018-01-01,8,39,8,39,47
SANTA ANA,internaciones,ingresos espontaneos,2018-01-01,25,88,25,88,113
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2018-01-01,3594,6449,3594,6449,10043
SANTA ROSA,internaciones,ingresos espontaneos,2018-01-01,8,31,8,31,39
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2018-01-01,14,41,14,41,55
SANTIAGO DE HUATA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
SANTIVAÑES,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
SAPAHAQUI,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
SENA,internaciones,ingresos espontaneos,2018-01-01,4,11,4,11,15
SHINAOTA,internaciones,ingresos espontaneos,2018-01-01,9,58,9,58,67
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2018-01-01,0,10,0,10,10
SICAYA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
SIPE SIPE,internaciones,ingresos espontaneos,2018-01-01,0,31,0,31,31
SOPACHUY,internaciones,ingresos espontaneos,2018-01-01,12,24,12,24,36
SORATA,internaciones,ingresos espontaneos,2018-01-01,2,10,2,10,12
SUCRE,internaciones,ingresos espontaneos,2018-01-01,990,1845,990,1845,2835
TACACOMA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
TACOPAYA,internaciones,ingresos espontaneos,2018-01-01,1,4,1,4,5
TAPACARI,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
TARABUCO,internaciones,ingresos espontaneos,2018-01-01,25,39,25,39,64
TARACO,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
TARIJA,internaciones,ingresos espontaneos,2018-01-01,906,1197,906,1197,2103
TARVITA,internaciones,ingresos espontaneos,2018-01-01,1,19,1,19,20
TEOPONTE,internaciones,ingresos espontaneos,2018-01-01,0,8,0,8,8
TIAWANACU,internaciones,ingresos espontaneos,2018-01-01,0,4,0,4,4
TIPUANI,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
TIQUIPAYA,internaciones,ingresos espontaneos,2018-01-01,24,162,24,162,186
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2018-01-01,0,18,0,18,18
TOCO,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
TOLATA,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
TOMINA,internaciones,ingresos espontaneos,2018-01-01,1,10,1,10,11
TORO TORO,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
TOTORA(CBBA),internaciones,ingresos espontaneos,2018-01-01,16,51,16,51,67
TRIGAL,internaciones,ingresos espontaneos,2018-01-01,1,1,1,1,2
TRINIDAD,internaciones,ingresos espontaneos,2018-01-01,362,894,362,894,1256
TUPIZA,internaciones,ingresos espontaneos,2018-01-01,161,259,161,259,420
TURCO,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
UMALA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
UNCIA,internaciones,ingresos espontaneos,2018-01-01,0,14,0,14,14
URUBICHA,internaciones,ingresos espontaneos,2018-01-01,7,15,7,15,22
UYUNI,internaciones,ingresos espontaneos,2018-01-01,43,132,43,132,175
VACAS,internaciones,ingresos espontaneos,2018-01-01,0,7,0,7,7
VALLEGRANDE,internaciones,ingresos espontaneos,2018-01-01,69,91,69,91,160
VIACHA,internaciones,ingresos espontaneos,2018-01-01,30,139,30,139,169
VILA VILA,internaciones,ingresos espontaneos,2018-01-01,1,1,1,1,2
VILLA CHARCAS,internaciones,ingresos espontaneos,2018-01-01,1,8,1,8,9
VILLA MONTES,internaciones,ingresos espontaneos,2018-01-01,57,164,57,164,221
VILLA RIVERO,internaciones,ingresos espontaneos,2018-01-01,0,13,0,13,13
VILLA SERRANO,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
VILLA TUNARI,internaciones,ingresos espontaneos,2018-01-01,94,195,94,195,289
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2018-01-01,18,37,18,37,55
VILLAZON,internaciones,ingresos espontaneos,2018-01-01,64,135,64,135,199
VINTO,internaciones,ingresos espontaneos,2018-01-01,45,94,45,94,139
VITICHI,internaciones,ingresos espontaneos,2018-01-01,1,1,1,1,2
WARNES,internaciones,ingresos espontaneos,2018-01-01,74,135,74,135,209
YACO,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
YACUIBA,internaciones,ingresos espontaneos,2018-01-01,242,409,242,409,651
YAMPARAEZ,internaciones,ingresos espontaneos,2018-01-01,0,8,0,8,8
YANACACHI,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
YAPACANI,internaciones,ingresos espontaneos,2018-01-01,227,188,227,188,415
YOTALA,internaciones,ingresos espontaneos,2018-01-01,2,10,2,10,12
ZUDAÑEZ,internaciones,ingresos espontaneos,2018-01-01,1,16,1,16,17
ACACIO,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
ACHACACHI,internaciones,ingresos espontaneos,2018-02-01,4,18,4,18,22
AIQUILE,internaciones,ingresos espontaneos,2018-02-01,24,40,24,40,64
ALTO BENI,internaciones,ingresos espontaneos,2018-02-01,0,2,0,2,2
ANZALDO,internaciones,ingresos espontaneos,2018-02-01,13,7,13,7,20
APOLO,internaciones,ingresos espontaneos,2018-02-01,5,25,5,25,30
ARANI,internaciones,ingresos espontaneos,2018-02-01,0,4,0,4,4
ARQUE,internaciones,ingresos espontaneos,2018-02-01,1,2,1,2,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2018-02-01,43,130,43,130,173
ATOCHA,internaciones,ingresos espontaneos,2018-02-01,48,45,48,45,93
AYATA,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
AYO AYO,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2018-02-01,1,26,1,26,27
AZURDUY,internaciones,ingresos espontaneos,2018-02-01,9,12,9,12,21
BATALLAS,internaciones,ingresos espontaneos,2018-02-01,1,7,1,7,8
BAURES,internaciones,ingresos espontaneos,2018-02-01,8,11,8,11,19
BELEN DE ANDAMARCA,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
BERMEJO,internaciones,ingresos espontaneos,2018-02-01,74,129,74,129,203
BETANZOS,internaciones,ingresos espontaneos,2018-02-01,0,20,0,20,20
BOLIVAR,internaciones,ingresos espontaneos,2018-02-01,0,2,0,2,2
BOYUIBE,internaciones,ingresos espontaneos,2018-02-01,8,9,8,9,17
BUENA VISTA,internaciones,ingresos espontaneos,2018-02-01,11,9,11,9,20
CABEZAS,internaciones,ingresos espontaneos,2018-02-01,9,18,9,18,27
CAIROMA,internaciones,ingresos espontaneos,2018-02-01,0,5,0,5,5
"CAIZA ""D""",internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
CAJUATA,internaciones,ingresos espontaneos,2018-02-01,0,7,0,7,7
CALACOTO,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2018-02-01,0,5,0,5,5
CAMARGO,internaciones,ingresos espontaneos,2018-02-01,44,75,44,75,119
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2018-02-01,1,2,1,2,3
CAMIRI,internaciones,ingresos espontaneos,2018-02-01,128,276,128,276,404
CAPINOTA,internaciones,ingresos espontaneos,2018-02-01,7,29,7,29,36
CARACOLLO,internaciones,ingresos espontaneos,2018-02-01,1,11,1,11,12
CARANAVI,internaciones,ingresos espontaneos,2018-02-01,26,114,26,114,140
CARAPARI,internaciones,ingresos espontaneos,2018-02-01,1,8,1,8,9
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2018-02-01,8,11,8,11,19
CHALLAPATA,internaciones,ingresos espontaneos,2018-02-01,13,59,13,59,72
CHARAGUA,internaciones,ingresos espontaneos,2018-02-01,26,86,26,86,112
CHAYANTA,internaciones,ingresos espontaneos,2018-02-01,3,8,3,8,11
CHIMORE,internaciones,ingresos espontaneos,2018-02-01,7,18,7,18,25
CHIPAYA,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
CHUA COCANI,internaciones,ingresos espontaneos,2018-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2018-02-01,22,55,22,55,77
CHUMA,internaciones,ingresos espontaneos,2018-02-01,2,2,2,2,4
CKOCHAS,internaciones,ingresos espontaneos,2018-02-01,0,2,0,2,2
CLIZA,internaciones,ingresos espontaneos,2018-02-01,20,70,20,70,90
COBIJA,internaciones,ingresos espontaneos,2018-02-01,107,163,107,163,270
COCAPATA,internaciones,ingresos espontaneos,2018-02-01,0,3,0,3,3
COCHABAMBA,internaciones,ingresos espontaneos,2018-02-01,2681,4331,2681,4331,7012
COLCAPIRHUA,internaciones,ingresos espontaneos,2018-02-01,22,100,22,100,122
"COLCHA ""K""",internaciones,ingresos espontaneos,2018-02-01,3,2,3,2,5
COLOMI,internaciones,ingresos espontaneos,2018-02-01,0,21,0,21,21
COLPA BELGICA,internaciones,ingresos espontaneos,2018-02-01,15,18,15,18,33
COLQUECHACA,internaciones,ingresos espontaneos,2018-02-01,0,17,0,17,17
COLQUENCHA,internaciones,ingresos espontaneos,2018-02-01,0,6,0,6,6
COLQUIRI,internaciones,ingresos espontaneos,2018-02-01,0,4,0,4,4
COMARAPA,internaciones,ingresos espontaneos,2018-02-01,4,40,4,40,44
CONCEPCION,internaciones,ingresos espontaneos,2018-02-01,15,60,15,60,75
COPACABANA,internaciones,ingresos espontaneos,2018-02-01,0,8,0,8,8
CORIPATA,internaciones,ingresos espontaneos,2018-02-01,0,11,0,11,11
CORO CORO,internaciones,ingresos espontaneos,2018-02-01,0,2,0,2,2
COROICO,internaciones,ingresos espontaneos,2018-02-01,22,60,22,60,82
COTAGAITA,internaciones,ingresos espontaneos,2018-02-01,0,15,0,15,15
COTOCA,internaciones,ingresos espontaneos,2018-02-01,35,132,35,132,167
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2018-02-01,14,31,14,31,45
CUEVO,internaciones,ingresos espontaneos,2018-02-01,1,6,1,6,7
CULPINA,internaciones,ingresos espontaneos,2018-02-01,8,39,8,39,47
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2018-02-01,0,4,0,4,4
DESAGUADERO,internaciones,ingresos espontaneos,2018-02-01,0,6,0,6,6
EL ALTO,internaciones,ingresos espontaneos,2018-02-01,1082,2161,1082,2161,3243
EL PUENTE(STC),internaciones,ingresos espontaneos,2018-02-01,4,20,4,20,24
EL TORNO,internaciones,ingresos espontaneos,2018-02-01,211,337,211,337,548
EL VILLAR,internaciones,ingresos espontaneos,2018-02-01,0,4,0,4,4
ENTRE RIOS TRJ,internaciones,ingresos espontaneos,2018-02-01,1,15,1,15,16
ENTRE RIOS CBBA,internaciones,ingresos espontaneos,2018-02-01,1,33,1,33,34
ESCOMA,internaciones,ingresos espontaneos,2018-02-01,0,3,0,3,3
EUCALIPTUS,internaciones,ingresos espontaneos,2018-02-01,0,1,0,1,1
EXALTACION,internaciones,ingresos espontaneos,2018-02-01,4,3,4,3,7
