municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
CORO CORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
COROICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
CORQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
COTAGAITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
COTOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
CULPINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,20,20
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
CURVA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
EL ALTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,745,745
EL CHORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
EL PUENTE(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
EL PUENTE(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
EL TORNO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,34,34
EL VILLAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
ENTRE RIOS TRJ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,21,21
ENTRE RIOS CBBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,31,31
ESCARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
ESCOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
EUCALIPTUS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
EXALTACION,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
FILADELFIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
GENERAL SAAVEDRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
GUANAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
GUAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
GUAYARAMERIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
GUTIERREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
HUACARETA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
HUACHACALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
HUANUNI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,19,19
HUARINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
HUATAJATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
HUAYLLAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
HUMANATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
ICHOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
ICLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
INCAHUASI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,16,16
INQUISIVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
IXIAMAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
JESUS DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
LA ASUNTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,56,56
LA GUARDIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,74,74
LA PAZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,452,452
LAGUNILLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
LAJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
LAS CARRERAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
LICOMA PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
LLALLAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,46,46
LLICA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
LURIBAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
MACHACAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
MACHARETI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
MAGDALENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
MAIRANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,19,19
MALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
MAPIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,22,22
MECAPACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
MINEROS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
MIZQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,28,28
MOCOMOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
MOJINETE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
MOJOCOYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
MONTEAGUDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,26,26
MONTERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,41,41
MOROCHATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
OCURI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,21,21
OKINAWA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
OMEREQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
ORURO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,444,444
PADCAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
PADILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
PAILON,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,24,24
PALCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
PALOS BLANCOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,39,39
PAMPA AULLAGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
PAMPA GRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
PAPEL PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
PASORAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
PATACAMAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,32,32
PAZÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
PELECHUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
POCOATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,26,26
POCONA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
POJO (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
POOPO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
PORCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,19,19
POROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
PORTACHUELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,27,27
PORVENIR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
POSTRER VALLE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
POTOSI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,46,46
PRESTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
PUCARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,23,23
PUERTO ACOSTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
PUERTO CARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
PUERTO GONZALO MORENO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
PUERTO PEREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
PUERTO QUIJARRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,16,16
PUERTO RICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,11,11
PUERTO SUAREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,35,35
PUERTO VILLARROEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,134,134
PUNA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,11,11
PUNATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,68,68
QUIABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
QUILLACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,203,203
QUIME,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
RAQAYPAMPA(ETA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
RAVELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
REYES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,17,17
RIBERALTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,206,206
ROBORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,31,31
RURRENABAQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,29,29
SABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
SACABA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,134,134
SACABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SACACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
SAMAIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SAN AGUSTIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
SAN ANDRES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
SAN BENITO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SAN BORJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
SAN BUENA VENTURA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,28,28
SAN CARLOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,17,17
SAN IGNACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,67,67
SAN JAVIER(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,27,27
SAN JOAQUIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SAN JULIAN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
SAN LORENZO(PND),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
SAN LORENZO(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
SAN LUCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,40,40
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SAN PEDRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,27,27
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SAN RAFAEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
SAN RAMON BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
SANTA ANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,32,32
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2378,2378
SANTA ROSA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
SANTA ROSA DEL SARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SANTIAGO DE HUARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
SANTIAGO DE HUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SANTIAGO DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SANTIVAÑES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
SAPAHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
SENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
SHINAOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,37,37
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
SICAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
SIPE SIPE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,31,31
SOPACHUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
SORACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
SORATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
SUCRE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,310,310
TACACOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
TACOBAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
TACOPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
TAPACARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,27,27
TARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,16,16
TARACO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
TARATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,12,12
TARIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,219,219
TARVITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
TEOPONTE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
TIAWANACU,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
TINGUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,23,23
TIPUANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,81,81
TIRAQUE (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,17,17
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
TOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,5,5
TOLATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
TOLEDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
TOMAVE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
TOMINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
TORO TORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
TOTORA(CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,29,29
TOTORA(ORR),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
TRIGAL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
TRINIDAD,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
TUPIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
TURCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
UMALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
UNCIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
URIONDO (A. CONCEPCION),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
URUBICHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
VACAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
VALLEGRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
VIACHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,61,61
VILA VILA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
VILLA CHARCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
VILLA MONTES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,48,48
VILLA RIVERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
VILLA SERRANO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
VILLA TUNARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,93,93
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
VILLAZON,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,47,47
VINTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,33,33
VITICHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,9,9
WALDO BALLIVIAN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
WARNES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,100,100
