municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,37,37
AZURDUY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,18,18
BATALLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,14,14
BAURES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
BERMEJO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,51,51
BETANZOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,6,6
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
CABEZAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,58,58
CAIROMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,15,15
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
CAJUATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
CALACOTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
CAMARGO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
CAMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,63,63
CAPINOTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,31,31
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,5,5
CARACOLLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,22,22
CARANAVI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,76,76
CARAPARI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,23,23
CARIPUYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
CATACORA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
CHACARILLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,58,58
CHAQUI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
CHARAGUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,50,50
CHARAÑA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,19,19
CHIMORE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,45,45
CHIPAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,31,31
CHUMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
CKOCHAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,19,19
CLIZA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,35,35
COBIJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,111,111
COCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,43,43
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,775,775
COIPASA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,61,61
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
COLLANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
COLOMI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,22,22
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,61,61
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
COLQUIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,28,28
COMANCHE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
COMARAPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
COMBAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,62,62
COPACABANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
CORIPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
CORO CORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
COROICO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
CORQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
COTAGAITA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,28,28
COTOCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,100,100
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,30,30
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
CUEVO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
CULPINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,27,27
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
CURVA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
EL ALTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1451,1451
EL CHORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,6,6
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,23,23
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,19,19
EL TORNO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,109,109
EL VILLAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,30,30
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,67,67
ESCOMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,6,6
ESMERALDA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,6,6
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
EXALTACION,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,33,33
FILADELFIA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,27,27
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
GUANAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,22,22
GUAQUI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,84,84
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
HUACARETA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
HUANUNI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,28,28
HUARACAJE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
HUARINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
HUATAJATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
HUMANATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
ICHOCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
ICLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,5,5
INCAHUASI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
INQUISIVI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,14,14
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,19,19
IXIAMAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,17,17
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,17,17
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,65,65
LA GUARDIA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,228,228
LA PAZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1026,1026
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,22,22
LAJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,77,77
LLICA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
LORETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
LURIBAY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
MACHARETI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
MAGDALENA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
MAIRANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,31,31
MALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
MAPIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
MECAPACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
MINEROS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,29,29
MIZQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,40,40
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,15,15
MOJINETE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
MOJOCOYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,34,34
MONTERO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,247,247
MORO MORO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
MOROCHATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,19,19
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
NAZACARA DE PACAJES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
OCURI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,27,27
OKINAWA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,37,37
OMEREQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,9,9
ORURO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,400,400
PADCAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
PADILLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
PAILON,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,62,62
PALCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,35,35
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,63,63
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,14,14
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
PASORAPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
PATACAMAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,29,29
PAZÑA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
PELECHUCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
POCOATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
POCONA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
POJO (CBBA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
POOPO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
PORCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,18,18
POROMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
PORONGO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,21,21
PORTACHUELO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,40,40
PORVENIR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,22,22
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
POTOSI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,396,396
PRESTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,15,15
PUCARA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
PUCARANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,37,37
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,10,10
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,26,26
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,5,5
PUERTO QUIJARRO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,34,34
PUERTO RICO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,20,20
PUERTO SILES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,21,21
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,92,92
PUNA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,18,18
PUNATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,34,34
QUIABAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,1,1
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,215,215
QUIME,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,11,11
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
RAVELO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,17,17
REYES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,23,23
RIBERALTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,216,216
ROBORE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,18,18
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,25,25
SABAYA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,4,4
SACABA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,292,292
SACABAMBA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
SACACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
SAIPINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,23,23
SAMAIPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
SAN ANDRES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
SAN BENITO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
SAN BORJA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,71,71
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,12,12
SAN CARLOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,40,40
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,50,50
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,108,108
SAN JAVIER(BNI),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,17,17
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,32,32
SAN JOAQUIN,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,16,16
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,42,42
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,17,17
SAN JULIAN,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,95,95
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,33,33
SAN LUCAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,39,39
SAN MATIAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,49,49
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,27,27
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,7,7
SAN PEDRO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,13,13
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,43,43
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,5,5
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,3,3
SAN PEDRO(PND),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,2,2
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,8,8
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,20,20
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,24,24
SANTA ANA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,50,50
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2018-01-01,964,964
